"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Esterrefatto.","Non ho mai mangiato una pizza così buona in tutta la mia vita è vi assicuro che sono uno che di pizze ne mangia.Trovatomi qui a Firenze per una breve vacanza con la famiglia e per caso mi sono trovato in questa piccola deliziosa pizzeria.pizza squisita personale gentilissimo premuroso e attento un pezzo di Napoli a Firenze.complimenti ragazzi siete grandi."
"ui_bubble_rating bubble_50","Consigliato ","Ottima pizza dalla pasta soffice e ben cotta, servizio veloce, prezzo assolutamente accettabile. Il locale è accogliente e il personale cortese. Consigliato!Excellent pizza soft and well cooked, fast service, absolutely acceptable price. Cosy place. Friendly staff. Recommended!"
"ui_bubble_rating bubble_10","Peccato non si possano mettere zero stelle","Per poter esprimere una recensione prima avrei dovuto almeno consumare un pasto all'interno di questo locale ma ciò non è stato possibile e di certo non per mie colpe.Mi sono recato all'interno di questo locale il 2/01 per una pizza veloce perché attratto dalle molteplici recensioni positive. Molto probabilmente colui che stava alla cassa, che serviva i clienti e che spinava le birre non era il titolare. Mentre il pizzaiolo preparava 2 pizze in 10 minuti consultando whatsapp tra una pizza e l'altra, il locale era affollato e nessuno era servito nemmeno con le bevande. La cosa più imbarazzante è che il locale tiene al massimo 15/20 coperti e nessuno di noi è stato servito nei 20 minuti durante i quali siamo stati seduti. Siamo dovuti scappare per manifesta incapacità, davvero un'esperienza grottesca."
"ui_bubble_rating bubble_10","Pessimo.. ","Pizza che naviga nell'olio e immangiabile, fatta rifare ma comunque orrobile. Questa NON è la vera pizza napoletana, definirla tale è un abominio. Mi dispiace ma non lo consiglio affatto. "
"ui_bubble_rating bubble_40","<U+0001F44D><U+0001F3FB><U+0001F44D><U+0001F3FB>","Cena con un’amica;Locale piccolino quindi meglio prenotare;Pizza BUONISSIMA!Staff cortese e disponibile;Da ripetere sicuramente."
"ui_bubble_rating bubble_50","La miglior pizza","Pizzeria piccolina con pochi tavoli poiché principalmente d'asporto ma è stata la miglior pizza mangiata a firenze. Accoglienza fantastica!"
"ui_bubble_rating bubble_50","Una bellissima sorpresa","Ci siamo entrati per caso senza aver letto prima nessuna recensione. La pizza é ottima; impasto lievitato a regola d'arte,ingredienti di primissima qualità. Il locale é piccolo ma molto accogliente e il personale é di gentilezza e disponibilità davvero uniche. Rapporto qualità/ prezzo eccellente. Torneremo sicuramente !"
"ui_bubble_rating bubble_40","Pizza buonissima ","Pizzeria molto piccola, ma carina. A prezzi veramente bassi vista la zona in cui si trova. Io sono di Firenze e mi aspettavo di finire in un posto da turisti, mentre alla fine ho avuto delle sorprese molto positive soprattutto sulla qualità del cibo. Per il resto personale molto alla mano (anche se con qualche preferenza per i clienti conterranei del sud). In generale però ottima esperienza"
"ui_bubble_rating bubble_50","Atomico! ","Locale piccolo ma accogliente, personale giovane e cordiale, pizzaiolo di talento!Pizza e calzone ripieno al forno sono una bomba, si mangiano già con gli occhi e al primo boccone sembra di essere a Napoli!!Il Vulcano come dolce proposto è stata un ottima chiusura!!Prezzi onesti per essere vicino al centro di Firenze!Consigliatissimo!!!"
"ui_bubble_rating bubble_40","Ottimo nonostante un disguido ","Ci siamo recati nel locale dopo aver prenotato per le 21, siamo arrivati alle 20.50 ed il ragazzo ci ha detto di aspettare 10 minuti, appena siamo tornati alle 21 in punto il nostro tavolo era stato ceduto ad un'altra coppia, abbiamo dovuto aspettare altri 15 minuti, nonostante questo ci siamo seduti, il servizio è stato molto veloce, i ragazzi sono giovani e simpatici, e la pizza è la migliore che io abbia mai mangiato! Per scusarsi dell'accaduto riguardo la prenotazione ci hanno offerto il dolce, anche questo buonissimo! Unica cosa negativa, l'aria che entra dalla porta ogni volta che quest'ultima viene aperta, in pieno dicembre non è proprio piacevole, per il resto, nel finale, siamo rimasti soddisfatti! "
"ui_bubble_rating bubble_50","Ottimo","Personale cordiale ed accogliente.Abbiamo ordinato due pizze e siamo stati serviti dopo poco tempo.Pizza, napoletana, buonissima e ben cotta come avevo chiesto. Rapporto qualitá prezzo ottimo ed alla fine ci è stato anche offerto un buon caffè."
"ui_bubble_rating bubble_50","Pizza superlativa!!!!!!","Siamo arrivati in questa pizzeria già da me e la mia famiglia conosciuta.Su prenotazione e se pur di qualche minuto da aspettare perché siamo arrivati con un po' di ritardo ne è valso la pena.Pizza in assoluto la migliore di Firenze (avendo provato quasi tutte le pizze che girano al centro e provincia qui a Firenze,personale accogliente e gentilissimo come sempre.Consiglistissimo "
"ui_bubble_rating bubble_50","Bonissimo!!","Nonostante la prenotazione affrettata abbiamo trovato posto in un locale accogliente, tranquillo e con staff particolarmente cordiale. Pizza napoletana molto buona e prezzo relativamente basso. Da consigliare assolutamente!!"
"ui_bubble_rating bubble_10","ASPETTATIVA 1000 REALTÀ SOTTO ZERO","Io e la mia ragazza volevamo andare a mangiare lì incuriositi dalla bontà della pizza del locale tanto recensita,quindi abbiamo chiamato e prenotato. Poi siamo arrivati nel posto con 10 minuti di ritardo rispetto all'orario di prenotazione (siamo arrivati in giornata a Firenze per la prima volta e abbiamo avuto un po' di problemi con trovare il posto non di certo per mancanza di rispetto) e una dipendente del locale con cui avevamo parlato al telefono, ci ha detto di aspettare fuori che si liberasse un tavolo dato il NOSTRO RITARDO molto significativo evidentemente. Perché figuramioci era impossibile aspettare 10 minuti per cortesia degli ospiti che addirittura hanno chiamato per prenotare! La cosa che ci ha stupidi in modo negativo è il fatto che quando ci ha visti prima ha guardato l'orario come se così ha trovato la scusa dei 10 minuti di ritardo e poi si è soffermata su quello dicendoci eh ragazzi per noi è fondamentale la puntualità come se fossimo ad una lezione a scuola mamma mia! Invece è un locale che sta parlando con dei suoi ospiti. Ci siamo sentiti come cacciati di casa! Una scortesia totale non l avevamo mai vista e noi frequentiamo parecchi posti. Proprio perché a nostro parere si erano semplicemente scordati della prenotazione e la ragazza si è voluta salvare davanti all'altro collega a cui avevamo chiesto inizialmente. Lui tra l'altro non ha battuto ciglio ma spero vivamente visto come ha parlato la sua collega, di cui non faremo il nome, speriamo l'abbia almeno fatto notare. Consigliamo caldamente di evitare quel posto per chi volesse cenare in un posto accogliente e non da caserma, anche perché a 130 m di distanza ci sono altre pizzerie molto buone che abbiamo avuto il piacere grazie all'episodio di provare. Non ci esprimiamo sulla qualità del cibo perché, data la situazione creata, ce ne siamo subito andati."
"ui_bubble_rating bubble_50","Buonissima pizza","Locale piccolo con forno a vista. Pizza spettacolare. Leggerissima.Tiramisu e babba da urlo.Solo il conto un poco salato ma ci sta per la qualità"
"ui_bubble_rating bubble_50","Migliore in assoluto","Se vuoi mangiare la VERA PIZZA NAPOLETANA devi venire assolutamente qui. Consigliatissimo. Pizza eccellente e personale gentilissimo."
"ui_bubble_rating bubble_40","Ottima pizza","Locale piccolo ma accogliente. Camerieri e pizzaioli simpatici, svegli e folkloristici. Il menù non è molto ampio, ma il prodotto pizza è di alta qualità. Come dolce abbiamo preso un buon babà tradizionale in due. Abbiamo spesso 29 euro: ottimo rapporto qualità-prezzo!"
"ui_bubble_rating bubble_50","Una pizza squisita","Buonissima pizza ...locale piccolo ma tempi di attesa molto brevi! Possibile anche take away. Abbiamo trovato quello che volevamo senza spendere tanto e mangiare davvero bene. Consigliato"
