"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Un'istituzione","I panini di Lì x Lì non si possono descrivere, vanno solo provati. E quando li provi non puoi più farne a meno. Golosissimi, gustosi, con ingredienti di prima qualità. E il personale simpaticissimo, una tappa obbligatoria."
"ui_bubble_rating bubble_50","Firenze a tavola","Piccolo e simpatico locale dove si possono mangiare sia ottimi panini fatti al momento che piatti della cucina fiorentina. Delizioso l'ambiente e contagiosi la simpatia e lo spirito dello staff. Consigliatissimo per un pasto in pausa pranzo o se si passa in zona e lì per lì ti viene voglia di mangiare un boccone immerso nella fiorentinità autentica. "
"ui_bubble_rating bubble_40","Cucina fiorentina doc","Ottimo, veloce e genuinamente goliardico come solo i toscani sanno essere. Panini di ottima qualità con le più svariate specialità locali, oltre a piatti ben fatti, sia primi che secondi."
"ui_bubble_rating bubble_50","Magnifico","Meravigliose memorie dei tempi universitari e non. Da questi ragazzi si mangia in maniera spettacolare. Non solo panini espressi, ma anche cucina tipica toscana che negli anni si è anche ingrandita permettendo la realizzazione di cene, cene di lavoro e degustazioni varie, per la gioia degli affezionati. I ragazzi che ci lavorano sono simpaticissimi, alla mano. Nonostante siano sempre super indaffarati, quattro chiacchiere amichevoli vengono sempre assicurate a tutti. Casomai non sapessi cosa scegliere, no problem, segui i consigli di Ale e i suoi, caschi sempre bene.Di gran lunga migliore rispetto ad altri posti turistici considerati il tempio degli dei, il cui nettare consiste in 'semplici' schiacciate e affettati toscani. Genuini e buoni, non ci sbagliamo, ma il 'LixLi ha, personalmente, più di una marcia in più, è magari solo meno pubblicizzato. Ad maiora! Grandissimi!"
"ui_bubble_rating bubble_40","... pausa pranzo ...","... un panino ma ora anche primi e secondi ... nell'occasione ravioli al sugo e tagliolini alle vongole molto apprezzati ... panini vari (la specialità) ... il mio semplicemente spalla e pecorino ... molto buono"
"ui_bubble_rating bubble_50","Pausa pranzo...Top!","Il mio ragazzo è un habitué del posto e un bel giorno ha deciso di rendermi finalmente partecipe delle prelibatezze decantate ogni volta...aveva pienamente ragione!! Primi veramente ottimi, abbondanti e di qualità, rapporto qualità prezzo onesto! Ci sono stata due volte e ci tornerò sicuramente, se non altro per provare i panini che ancora non ho avuto modo di assaggiare.Piccola nota: state al gioco e non offendetevi se il cameriere si piazza al vostro tavolo e scambia qualche battuta con voi! Lui e gli altri dello staff sono veri fiorentini D.o.c. (simpaticissimi ovviamente)! "
"ui_bubble_rating bubble_10","Avrei tanto voluto andarci, ma...","Esco dall’ospedale Careggi alle 14, dopo una mattinata allucinante, e cerco su Trip Advisor un ristorante aperto a quell’ora... trovo questo... per essere sicura che sia veramente aperto, chiamo e....vengo derisa è presa in giro al telefono perché nomino Trip Advisor(non hanno nemmeno capito di che parlavo!).Mi passano un altro ragazzo che mi dice” Signora faccia veloce che non è orario, via...” e non mi fa nemmeno parlare...Ovviamente non ci sono andata e mai ci andrò! Altro che simpatici...sono proprio dei cafoni! "
"ui_bubble_rating bubble_40","Consigliatissimo","Cercavamo un posto lontano dai turisti e abbiamo scoperto questo simpatico locale. Abbiamo mangiato 2 primi e un secondo. I gestori sono simpatici e cordiali. Essendo tardi avevano finito alcuni piatti del giorno ma ci hanno saputo consigliare delle alternative più che valide. Luogo accogliente e pulito.Ci torneremo"
"ui_bubble_rating bubble_50","Ottimo panino","Locale gestito da tipici fiorentini, con tutta la loro allegria, rumorosità ed educazione. Cibo ottimo, servito velocemente, prezzo onesto. Ci ritorneremo."
"ui_bubble_rating bubble_50","Cena riservata in centro.","Locale riservato solo a noi per una cena tra amici in pieno centro.Cucina ottima, servizio eccellente e prezzo più che giusto."
"ui_bubble_rating bubble_50","Ritrovo vecchi amici","Ottimo cibo, ottimo vino, prezzi più che onesti. Locale origianale e accogliente . lo consiglio vivamente a chi vuole pranzare o cenare in un ambiente familiare e non convenzionale senza rinunciare per questo a un servizio professionale e puntuale."
"ui_bubble_rating bubble_50","Cena differente","Paninoteca normalmente (e devo dire ottima) ma con amici abbiamo riservato una cena in esclusiva. Ottimo sia il menu che il servizio. Consigliatissimo. "
"ui_bubble_rating bubble_50","Cena tra amici top","Siamo stati qua per una cena tra amici vecchia data e devi dire che non potevamo scegliere meglio! Ambiente familiare e molto carino!! Ottimi tutti i piatti proposti...antipasti...primi pasta fatta in casa e sughi top...fritto veramente buono..caffe..tutto a un prezzo conveniente!!! Un bravo veramente a questi ragazzi!! Da tornare!"
"ui_bubble_rating bubble_50","Cena al Li x Li","Ho cenato al Li x Li con un gruppo di amici. Atmosfera familiare, ottimo per una cena in compagnia: avevamo il locale a nostra completa disposizione. Si mangia davvero bene. Il menù combina perfettamente i piatti tradizionali toscani con alcune rivisitazioni in chiave più moderna. Cucina di ottima qualità per niente pesante. Insomma, un posto adatto anche per gli sportivi: la domenica avevo una gara ed è andata molto bene nonostante abbia mangiato in abbondanza il venerdì sera.Lo consiglio vivamente a chi vuol fare una bella cena in centro a Firenze senza spendere una fortuna."
"ui_bubble_rating bubble_40","Ottimo per un pranzo veloce ed allegro","Locale gestito da tipici fiorentini, allegri, educati e simpaticamente rumorosi Il cibo é ottimo, servito velocemente, ad un prezzo adeguato.Perfetto per coniugare un buon pasto, ad un momento positivo, per intervallare le visite in Firenze.Bravi."
"ui_bubble_rating bubble_30","Turismo","Trattoria particolarissimaForma di servizio molto poco convenzionale dove L informalita e la semplicità del rapporto ristoratore cliente è di casa ed è una caratteristica fondamentale del locale Cucina espressa con prodotti di qualità Vino della casa Non ho provato i panini che sembravano molto appetitosi e di qualità Un esperienza da provare per il senso di casa che trasmette "
