"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Ottima schiacciata","Siamo stati in questo piccolo locale per pranzo. Le schiacciate erano ottime, anche quella vegetariana, e anche il vino consigliato era ottimo. Da ritornarci"
"ui_bubble_rating bubble_40","Ottimo pranzo! ","Se volete mangiare un'ottima schiacciata farcita è il posto che fa per voi. Il locale è piccolissimo e i posti a sedere ridotti, ma se avete un poco di tempo vale la pena aspettare. Il personale è giovane, simpatico e gentile. Schiacciate super. Buono anche il tagliere con salumi e crostini toscani. Da provare."
"ui_bubble_rating bubble_40","Schiacciatine ripiene bone","Le schiacciate ripiene sono davvero buone anche se dovrebbero essere un po’ più grandi. I ragazzi del locale sono giovani, simpatici e FIORENTINI.Ampia scelta di vini."
"ui_bubble_rating bubble_50","Super!!","Sono stato con la famiglia alcuni giorni a FirenzeSu indicazioni di amici abbiamo pranzato allo SchiacciavinoIl posto è piccolino ma essendo leggermente fuori dal viavai turistico si trova sempre posto se ci si vuol sedere Schiacciate ottime, in particolare la golosa Prezzi contenuti....siamo tornati anche il giorno successivo..."
"ui_bubble_rating bubble_50","SchiacciaTop ! ","Siamo stati oggi da Schiacciavino con l’idea di fare un pranzo veloce e di provare le famose schiacciate, e devo dire che siamo rimasti davvero soddisfatti. Essendo celiaca, ho chiesto se fosse possibile preparare una schiacciata utilizzando però il mio pane senza glutine che avevo portato con me, e uno dei ragazzi in sala mi ha assicurato come non ci fossero problemi, ovviamente considerando il fatto che, essendo il locale piccolo, ci sarebbero potute essere delle contaminazioni di farina nell’aria. Nonostante questo, mi è stato servito il mio panino, con gli ingredienti della schiacciata, riscaldato separatamente e portato in un piatto a parte rispetto alle altre schiacciate, che sono state portate sopra dei taglieri. Gli ingredienti erano ottimi, molto saporiti, e anche le schiacciate degli altri erano davvero buone. Prezzo ottimo per un pranzo rapido, ma gustoso. In un prossimo mio viaggio a Firenze sicuramente vorrò tornarci! "
"ui_bubble_rating bubble_50","Bonò","Bel localino giovanile, il piatto predominate la famosa schiacciata, davvero buona. Servizio veloce e prodotti di altissimissima qualità. Soppressa incredibile si scioglieva in bocca. Tappa d'obbligo, consigliata."
"ui_bubble_rating bubble_40","Ottimo Tagliere!","Siamo stati in questo piccolo locale ieri sera, 31 dicembre, prima dello spettacolo teatrale delle 21.00. Ambiente molto giovane, informale, servono focaccie farcite e taglieri. Abbiamo optato per un tagliere reale di salumi, formaggi, crostini e salsine. Ottimo apericena abbinato con 2 calici di vino. Cameriere gentile e simpatico. Consigliatissimo!"
"ui_bubble_rating bubble_50","Originale e buonissimo ","Abbiamo preso due classiche schiacciate consigliate da loro. Erano veramente buonissime e gli ingredienti freschi e di ottima qualità. Il personale gentile, giovane e accogliente.Ci torneremo sicuramente "
"ui_bubble_rating bubble_50","La perfe","Serata indimenticabile con amici e figli.Posto veramente bello. Accogliente, giovane, divertente.Scelta dei vini eccellente.Schiacciate ripiene, crostini toscani e salsiccia e stracchino non buoni di più!!!!Staff..... stupendo.Bravi davvero."
