"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Una vera perla di Firenze","Non e nel mio essere fare dei complimenti ,ma questo posto fa la differenza a Firenze e in maggior numero dei posti dove siamo stati durante le nostre vacanze di inizio anno.ero affamato e son passato subito alla tipica bistecca.... E mi fermerei qua per ore ore a descrivere la qualità e la suprema diversita dalle altre bistecche mangiate in giro.innamorato con questo posto.lo consiglio vivamente"
"ui_bubble_rating bubble_50","Molto bene !!! ","Sono venuto con la mia ragazza per le vacanze natalizie in questo ristorantino a pochi passi dal duomo. Personale gentile e atmosfera molto calda e romantica.Io e la mia ragazza siamo stati davvero bene,tagliere di formaggi,pappardelle al cinghiale,tortelloni tartufo e salsiccia e filetto in crosta di miele e timo. Tutto davvero buonissimo,ci torneremo sicuramente. "
"ui_bubble_rating bubble_40","Top!","Assolutamente consigliato! Trovandosi a pochi passi dal duomo, è il luogo perfetto dove fermarsi dopo una bella passeggiata per il centro. Bistecca ottima e personale gentile. La prossima volta che passerò per Firenze ci tornerò sicuramente!"
"ui_bubble_rating bubble_50","Bontà ed ospitalità ","Ristorante tipico molto vicino al Duomo. Buona accoglienza, molto simpatico il cameriere sardo! Abbiamo mangiato un ottimo antipasto alla Toscana al quale abbiamo fatto sostituire qualche affettato con dei formaggi (c'erano solo 4 pezzi di pecorino). Poi abbiamo mangiato un'ottima ribollita e provato un piatto nuovo: pici al ragù di anatra con cacao magro spolverato. Veramente ottimo, consigliato come il locale. Con la prenotazione on line c'è anche lo sconto del 20%. Insomma se vi trovate in zona Duomo, andateci.Saluti, Armando e Ilaria da Napoli. "
"ui_bubble_rating bubble_50","Soddisfatti !!! ","Gustosissima cena di venerdì fra amici a 2 metri dal Duomo!! Abbiamo mangiato un antipasto tipico della casa con una gustosa selezione di salumi e formaggi accompagnati da un Chianti classico che ci stava a pennello! Poi un assaggio di primi: tortellini tartufo e salasiccia e pici con anatra e cacao! Non contenti volevano anche provare La bistecca alla Fiorentina che era talmente tenera che si tagliava con la forchetta! Poi tiramisù caffè e amaro per una spesa irrisoria! Ci tornerò di sihuroooo"
"ui_bubble_rating bubble_50","Che bistecca!","Posizione centralissima dietro al Duomo.Ristorante un po’ turistico, il menù include pizza (buona), insalate etc.Sicuramente qui consiglio la Fiorentina molto buona!!"
"ui_bubble_rating bubble_40","Ottimo e accogliente ","Capitati per caso ieri pomeriggio,abbiamo trovato un posto caldo e accogliente. Personale gentilissimo e simpatico. Pappardelle al cinghiale e rosso di Montalcino consigliati. Ajo forza Paris!"
"ui_bubble_rating bubble_50","Ottimo ristorante","Locale decisamente accogliente, posizione centralissima accanto al Duomo. Davvero ottima la cucina e molto ricche le porzioni. Personale di servizio efficiente e simpatico. Ci torneremo senz'altro!"
"ui_bubble_rating bubble_50","Baileys","Siamo capitati per caso in questo ristorantino vicino al nostro hotel, proprio dietro il duomo. Abbiamo trovato da subito persone disponibili e simpatiche , come essere in famiglia. Abbiamo preso come antipasto una selezione di formaggi abbinati a miele e marmellata, una pasta al ragù di cinghiale (abbondante e decisamente ottima) poi un filetto in crosta di miele e timo...TUTTO BUONISSIMO e ad un giusto prezzo ci torneremo sicuramente! Eeyyya Aemme & Ivy <U+2764><U+FE0F> Da Bergamo"
