"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Ottima chianina","Buonissima carne... ho preso un hamburger con Chianina..alta qualità... posto molto accogliente e si trova proprio sul Arno vicino il ponte vecchio..prezzi nella norma.. super o siglato"
"ui_bubble_rating bubble_50","Eccellente ","Atmosfera molto rilassata e piacevole, servizio discreto molto professionale e garbato, e soprattutto cibo davvero buono ( ho assaggiato pesce, e devo dire che le crocchette di gamberi e tartufo sono ottime, così come sono squisiti i cavatelli ai frutti di mare) , con menù non banale come proposte e come realizzazione. La qualità giustifica assolutamente il prezzo. Consiglio vivamente. "
"ui_bubble_rating bubble_40","Ottima cena","Che scoperta!! lo consiglio assolutamente. Personale gentile, simpatico e cordiale, cibo ottimo, menu ampio e di qualità, bella ed elegante atmosfera."
"ui_bubble_rating bubble_40","Piacevole serata","Abbiamo sfruttato una promozione di The Fork per cenare in questo locale. Che dire? Ambiente raffinato e cucina di livello. Noi abbiamo scelto il menu degustazione di pesce a 50 Euro, che è stato abbastanza soddisfacente. Gli antipasti, ovvero salmone marinato e gamberi su una vellutata di ceci, sono risultati molto gradevoli, così come i primi, tortelli ripieni di branzino su una crema di zucchine e gnocchi con sugo di gamberi. Un po' meno soddisfacente il baccalà, forse perchè non lo amo particolarmente. Molto buono il tiramisu. Servizio perfetto, prezzi altini."
"ui_bubble_rating bubble_50","Sentirsi coccolati","Io adoro questo ristorante, il menu è ricercato, la cucina a vista è splendida, la location è romantica e raffinata, la carta dei vini è deliziosa, e ogni volta siamo accolti magnificamente. Ci sentiamo curati, coccolati e non solo nel gusto! Uno dei miei ristoranti preferiti e amati"
"ui_bubble_rating bubble_50","Bellissima serata","Davvero una bellissima scoperta: locale in pieno centro, con stile ricercato ed elegante e atmosfera molto romantica. Piatti buonissimi (porzioni non abbondanti), tarte tatin sublime. La vera chicca sono però i camerieri: tutti super disponibili ed estremamente simpatici. Grazie della bellissima serata!"
"ui_bubble_rating bubble_50","Degno di nota","Il locale si affaccia sul lungarno di Firenze, in una zona dunque vicina al centro ma non caotica. L'ambiente è molto ampio e dispone sia di tavoli interni che esterni, all'interno l'arredamento è molto moderno e curato, molto bella a mio modesto avviso, anche la grande cucina a vista.Menù abbastanza vario con pietanze di carne e pesce, porzioni forse un po' scarse considerando i prezzi non proprio abbordabili.Qualità del cibo e presentazione ottima, staff molto cordiale,attento e simpatico.L'unica pecca è stata la visita di un paio di ambulanti che vendevano rose. A mio avviso, in un locale di questo tipo, non ci si aspetta di dover essere disturbati durante la cena."
"ui_bubble_rating bubble_50","Da provare","Ci sono stato con amici un paio di volte e devo dire che non sono mai rimasto deluso.Carne e pesce preparati bene senza troppi ricami sul piatto è servito da uno staff molto cordiale.Ottimo cenare all’interno ma anche fuori è un ottima idea.Assolutamente consigliato "
"ui_bubble_rating bubble_40","Simpatici ed attenti","Il locale è molto bello, arredato in modo particolare. Si affaccia su una piazzetta sul lungarno, con disponibilità di posti anche all'aperto. L'accoglienza è degna di nota, con grande professionalità ed ospitalità. Personale molto attento e celere nel proporre ed esaudire le richieste. Menù non molto articolato ma particolare. Oltre alla professionalità si contraddistinguono anche per una simpatia che non sfocia mai sull'invadente. Il cibo è molto buono, anche se le porzioni non sono abbondanti. Molto buoni pure i dessert, con abbinamenti particolari. Prezzi un pò sopra la media, ma te l'aspetti da questo tipo di locale. Nota stonata, il venditore di rose che, a mio modesto parere, in un locale di questo tipo, non dovrebbe neanche avvicinarsi all'esterno della porta."
"ui_bubble_rating bubble_50","Grande eleganza e cucina eccellente ","Il locale fin dal primo impatto colpisce molto, sia per la posizione che per l’arredamento (esterno e interno) curato in ogni minimo dettaglio. Il personale, mi sentirei di dire tutto, almeno nella serata di ieri (Sabato 1 Settembre) è stato disponibile, gentile e sempre sorridente; aspetti che personalmente ritengo fondamentali. Ho preso un menù degustazione di terra, molto vario, ricco e di ottima qualità. Il prezzo è sinceramente fin troppo basso per quanto bene ho mangiato. Una serata davvero perfetta in una location meravigliosa come il Lungarno di Firenze. Complimenti davvero."
"ui_bubble_rating bubble_50","Una conferma","Location bella con davanti palazzo Corsini, uno dei palazzi più suggestivi di Firenze. Il ristorante è curato con un'ampia Location esterna. I piatti sono curati e molto gustosi, l'antipasto con lo sformato verdure con gorgonzola strepitoso. Inoltre non ci si può scordare del cameriere, perfetto e simpatico,da fidanzarcisi."
"ui_bubble_rating bubble_30","Mi sarei aspettato qualcosa in più","Sono stato in questo ristorante per pasqua, ho preso un primo e un secondo. Il primo che ho preso erano dei cavatielli con i frutti di mare, abbiamo aspettato moltissimo tempo prima che il piatto arrivasse. Dopo il piatto è arrivato ma mi ha fatto rammaricare perchè la pietanza era poca anche se il piatto era buono. Ma siccome noi avevamo ancora fame perchè e le pietanze erano piccole ci siamo fatti riportare il piatto ed abbiamo aspettato ancora moltissimo tempo. Poi abbiamo preso una frittura di mare con le verdure, nel menù c'era scritto 'frittura di mare con verdure' ma quando mi è arrivato il piatto c'erano solo le verdure!!! Non c'era il pesce c'era pochissimo o niete di pesce. L'unica cosa che mi è piaciuta è stato il dessert. Per questo invito i titolari a ripensarci la prossima volta e non consiglio questo ristorante a nessuno."
"ui_bubble_rating bubble_40","Una dolce sorpresa","Abbiamo conosciuto questo locale tramite The Fork. Accogliente, esteticamente di gusto; il personale gentile e simpatico, ci siamo sentiti coccolati e a nostro agio. Ottimo il cibo, nota di plauso per le crocchette di gamberi e tartufo "
