"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Non male.","Il Malborghetto è stata una piacevole sorpresa, la pizza è davvero buona e leggera. Il locale si presenta piccolo, il servizio è un po' lento ma vale la pena attendere. I prezzi sono ok."
"ui_bubble_rating bubble_50","UN'OTTIMA PIZZA A FIRENZE","Un posto accogliente dove trovare una pizza davvero deliziosa. Non forniscono servizio al tavolo, ma tutto è organizzato in modo tale da funzionare alla perfezione. Si può vedere sia i prodotti che utilizzano sia il forno per la pizza. Il rapporto qualità/prezzo è ottimo. Se dovessi passare di nuovo per Firenze, ci tornerei di sicuro."
"ui_bubble_rating bubble_40","Visita a Firenze","Locale molto carino e easy. Tagliere d’antipasto molto buono. I panini di pasta di pizza spettacolari. La pizza molto molto buona. Rapporto qualità prezzo imbarazzante ma in positivo. Estremamente consigliato."
"ui_bubble_rating bubble_30","Pizza buona , prezzi ottimi, servizio scadente ","Pizza buona e digeribile, ottime birre e buon rapporto qualità prezzo. Peccato per il servizio scadente ( 15 min di attesa prima di ricevere il menu nonostante i pochi coperti, cameriere distratto e scorbutico). "
"ui_bubble_rating bubble_40","Una vera pizza","Locale che ha saputo rivalutare la gestione precedente, grazie all'ottima qualità dei cibi, l'abile utilizzazione dello spazio relativamente scarso. Gentilezza e rapidità nel servizio. Senza dubbio consigliabile anche per i prezzi veramente onesti"
"ui_bubble_rating bubble_50","Top","Pizza veramente buona, birre di buona qualità, ottimo rapporto qualità-prezzo, da ritornarci senza dubbio"
"ui_bubble_rating bubble_50","Ottimi primi","Ero dubbioso visto alcuni commenti negativi.. . invece o mangiato benissimo,due primi buonissimi ,e porzioni abbondanti ,un ottimo prezzo.ho cenato all' aperto.con un ottima vista,ve lo consiglio"
"ui_bubble_rating bubble_50","Buonissimo!!!!","Pizza e panini fatti con l'impasto della pizza molto gustosi. Ottima la scelta di birre artigianali! Rapporto qualità/prezzo ottimo! Locale molto piccolo, ma accogliente! Consigliatissimo!!!!!"
"ui_bubble_rating bubble_50","Buonissimo","Ottimo rapporto qualitá-prezzo! Servizio buono e molto veloce!! Abbiamo preso due panini, davvero succulenti. Ci torneremo."
"ui_bubble_rating bubble_40","Ottimo pranzo al volo","Sono stato con mia moglie per un pranzo veloce in questo locale, ho mangiato un panino con fegatini e prosciutto che era la fine del mondo, mia moglie ha preso una mini-pizza molto buona. molto carino anche il locale."
"ui_bubble_rating bubble_50","Buonissimo!!","Bel Ristorantino al centro di Firenze! Pizza buonissima e ottimo rapporto qualitá-prezzo! Servizio buono e molto veloce!! "
"ui_bubble_rating bubble_40","Top in Florence","Ci siamo accomodati in questo locale quasi per caso dopo aver girato il centro storico di Firenze. Che dire? Bella scoperta. Pizza buona, curata e di qualità. Servizio amichevole e cortese. Prezzi modici. Se vi trovate a Firenze ne pressi di S. Croce non potete non andarci! "
"ui_bubble_rating bubble_50","Pizza napoletana, personale top!","La qualità della pizza e delle materie prime è ottima. Il proprietario è molto cordiale, dallo spirito napoletano, così come la pizza. E' stato piacevole anche scambiarci due parole amichevoli. Peccato per il poco spazio interno ma c'è da considerare che ho mangiato in una serata non molto calda, altrimenti si avrebbe potuto mangiare di fuori. Il prezzo è il punto forte di questo locale. Consiglio vivamente questo posto"
"ui_bubble_rating bubble_50","Pizza ottima, servizio veloce","Piccolo locale fuori dalla confusione del centro. Pizza buonissima e prezzi super onesti!! Consigliatissimo per un pranzo o una cena veloci."
"ui_bubble_rating bubble_50","Finalmente Pizza!","Buoni sia gli ingredienti che l' impasto nel cuore di Firenze é possibile mangiare un ottima pizza a prezzi più che ragionevoli."
"ui_bubble_rating bubble_50","Pizza napoletana ","Veramente buona prezzi onesti vera pizza napoletana servizio un Po scadente peccato per le cameriere"
"ui_bubble_rating bubble_50","Pizza super - cortesia e simpatia","Provato due volte, posto semplice, onesto (in tutto anche nel prezzo) e servizio con un sorriso infinito. La pizza è molto, molto buona: alta ma leggerissima. L'impasto è molto saporito ma estremamente digeribile. Condimento abbondante. Ottimi taglieri e panini golosi. Discreta scelta di vini con buoni nomi del territorio. Un posto da provare e dove ritornare. Non è una trappola acchiappaturisti ma un'attività condotta con serietà e competenza. "
"ui_bubble_rating bubble_40","Posticino tranquillo","Posticino tranquillo e piccolo, molto informale ma anche accogliente. Abbiamo preso due pizze, una 4 formaggi e una Margherita coi funghi, mi è arrivata prosciutto e funghi ma può capitare, non importa. Il cotto non era molto buono, ma l'impasto della pizza lo era eccome. Lievitata e soffice, molto digeribile. Da bere una coca e un bicchiere di vino, questo lasciava a desiderare ma quando si va a mangiare la pizza ci si può accontentare del vino così e così, in compenso c'era una buona scelta di birre artigianali."
"ui_bubble_rating bubble_50","Pizza a lievitazione 48h, molto buona e leggera","Pizzeria in pieno centro, locale accogliente anche se molto piccolo, possibilità di scegliere il diametro della pizza, prezzi onesti....scoperto per caso....piacevole sorpresa!"
