"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Consigliato!!!!","Piccolo locale in centro a Firenze. Location originale, staff cordiale, sorridente e disponibile. Bellissima la cucina a vista al centro del locale.. Abbiamo provato la degustazione di tartare e la tagliata entrambe ottime. Conviene prenotare. Consigliato!!!!"
"ui_bubble_rating bubble_50","Perfetto per pranzi di lavoro","Lavoro in centro a Firenze e scelgo spesso questo locale per pranzo. Un ottimo Hamburger o Tartare di manzo con un bicchiere di vino è irrinunciabile per me. Locale curato ed i ragazzi sono simpaticissimi. Cucina a vista spettacolare."
"ui_bubble_rating bubble_50","Che carne! ","Siamo passate davanti a questo ristorante per caso e il giorno dopo abbiamo pranzato qui. Piccolo, carino, molto curato e pulito. Cucina a vista e personale gentilissimo. La carne é meravigliosa. Abbiamo assaggiato le degustazioni di tartare ( una con olive taggiasche, una con tartufo e formaggio e una con capperi e acciughe) e un hamburger. Tutto buonissimo! Prezzo nella norma. Passateci! "
"ui_bubble_rating bubble_50","Mangiare carne di Manzo in un ambiente simpatico","Piccolo ma decisamente curato e pulito. Personale gentile e simpatico. Piatti ottimi. Assolutamente non manca nulla. Bravi. "
"ui_bubble_rating bubble_50","Carne fenomenale!","Ho cenato in questo ristorante martedì 18 dicembre, su suggerimento di un caro amico fiorentino.Il locale è molto accogliente e gestito da ragazzi giovani, molto simpatici ed in gamba.Io ho mangiato una tagliata rucola e grana, ovviamente cottura al sangue.Che dire, la carne è davvero di altissima qualità. Sapore pazzesco e morbidissima, tanto da sciogliersi in bocca.Prezzi buoni ed in linea con l’elevata qualità della carne. Andateci e mangiate tanta carne anche per me! Davvero consigliato."
"ui_bubble_rating bubble_50","Veramente un bel posto ","Abbiamo pranzato oggi ed è stata una bella scoperta... innanzitutto già solo il locale merita sia per l’arredo sia per la musica sia per i ragazzi che lo gestiscono .... poi per il cibo : una zuppa di cipolle saporita ma nello stesso tempo delicata il tris di hamburger veramente saporiti le tagliate ottime il tutto ad un prezzo onesto con limoncello offerto .... BRAVI RAGAZZI "
"ui_bubble_rating bubble_50","Cena con i contro manzi ","Siamo stati accolti dal caposala gentilissimo e simpatico. Abbiamo iniziato con un antipasto toscano del manzo di salumi e formaggi accompagnati da miele e olive (abbondante). Dopo di che siamo passati al secondo per me una costata al quanto favolosa e per la mia ragazza un cheesburgher altrettanto favoloso. Abbiamo concluso la cena con il tiramisù della casa. Prezzo proporzionato a quello che abbiamo mangiato.MOLTO SODDISFATTI. Sicuramente da consigliare."
"ui_bubble_rating bubble_50","Ormai uno dei miei posti del cuore","Ormai la quarta volta che ci vengo, viaggiando spesso per lavoro a Firenze, ed è sempre un piacere. La carne ottima, il personale giovane gentile e simpatico ti fa sentire subito un'amica e la location originale contribuiscono a questo mix di perfezione! Andateci e non ve ne pentirete!"
"ui_bubble_rating bubble_50","Vuoi fare il Ganzo? Mangia da Manzo!","Piacevole scoperta nel cuore di Firenze per il cenone di capodanno!Locale aperto da soli 7 mesi ma veramente fantastico, gestito da ragazzi giovani.Arredamento molto particolare e insolito ma piacevole (come vedrete dalle foto).Pulizia eccellente, personale gentile e disponibile, qualità del cibo ottima.Bellissima la vista della cucina nel centro della sala.Abbiamo preso una degustazione di Hamburger, un tagliere Manzo, una birra, un acqua, due caffè, un tiramisù e una cheesecake per un totale di 72 €.Consigliata la prenotazione, i posti a sedere sono pochi.Dovete andarci per forza!!"
