"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Cena ottimo ","Ottimo come sempre, pesce freschissimo, cucinato in maniera egregia, e.. Che dire.. Disponibilità massima del proprietario, sempre disponibile, sorridente, accogliente. Prezzo in linea con la qualità. Ci tornerò sicuramente, anzi.. Pesce solo qui!! Consiglio vivamente!! "
"ui_bubble_rating bubble_50","Il mare d’inverno anche a Firenze","- Location: inaspettata- Pesce: freschissimo- Servizio: - Conto: coerente Ps: torneremo sicuramente"
"ui_bubble_rating bubble_50","Eccellenza","L’unico posto dove vado a mangiare il pesce a Firenze.Per chi se ne intende di pesce es ha un palato fino solo in questo posto può deliziare il palato.Fabrizio, Franco e Marina sono una garanzia da 20 anni e più.Eccezionale il crudo, i primi e la spigola al sale è da orgasmo. Locale curato, intimo, anche se a me personalmente piaceva più Lo Scoglietto come ambientazione, personale gentile e che dire?Provatelo..."
"ui_bubble_rating bubble_20","Purtroppo no..","L’aspettativa ha di gran lunga superato la realtà!Locale carino, originale nell’arredamento, purtroppo però i piatti erano nella media e considerati i prezzi decisamente alti, il rapporto qualità prezzo non è equo. Anche il servizio è stato freddo e in più è tutto troppo veloce, non abbiamo fatto in tempo a fare due chiacchiere che avevamo già finito. Non ho avuto il tempo di finire il vino dell’aperitivo che me lo avevano già portato via. In un ristorante dove si spendono 65€ a testa ci si aspetta un livello un po’ più alto, sotto tutti i punti di vista. "
"ui_bubble_rating bubble_50","Senza parole!","È stato una scoperta incredibile,aperto da circa due anni e mezzo... questo ristorante è’ semplicemente fantastico!Cena ottima e servizio impeccabile ci hanno coccolato dall’inizio alla fine della cena...ogni piatto che abbiamo mangiato ci ha lasciati senza parole...torneremo sicuramente! "
"ui_bubble_rating bubble_50","Straordinario!","Me ne han sempre parlato bene tutti i miei clienti, ma non riuscivo mai ad andarci. Alla fine, prima con una coppia di amici e poi, immediatamente la settimana dopo - le mogli... - in coppia, ho potuto godere di questa FESTA. Sì perché qui è tutto una festa: l’ambiente, il cibo, l’accoglienza, la musica dal vivo. Come crudo e antipasti caldi siamo al top secondo me. Hanno cose che solitamente nel crudo non si trovano (ricci, limoni di mare, telline (se non sbaglio il nome...)), e sul caldo osano (salse di acciughe, di seppia con grano di semola), e quando si osa, spesso, si sbagli. Ma non qui! Poi si canta (il venerdì almeno è così), qualcuno osa col ballo (non so quanto gradito allo staff, perché d’intralcio al servizio). Insomma do 10! P.s.: un piccolissimo appunto: chi serve è davvero gentile e sorridente, ma darei l’input a tutte le cameriere di servire sempre il piatto da destra. Brutto vedersi passare un braccio sotto il mento. Mi si perdoni il puntiglio."
"ui_bubble_rating bubble_50","Ottima qualità","Ottima qualità soprattutto i piatti con i gamberoni, bavette strepitose! Complimenti al gestore che è stato veramente un ottimo “padrone di casa”! Prezzi abbastanza alti ma in molto casi direttamente proporzionali alla qualità! Ambiente molto accogliente!"
"ui_bubble_rating bubble_50","Cena ","Tutto ottimo dal servizio alla cena di pesce, da tornarci al più presto. locale con musica dal vivo non tutte le sere "
"ui_bubble_rating bubble_40","Buon pesce dove non te lo aspetti!","Antipasti di pesce molto buono e originali. Ottimi anche gli spaghetti aglio e olio e tartare e la catalana di scampi e gamberi .... Non allo stesso livello i dolci .... Locale originale con bella musica dal vivo.Unica critica la tovaglia di finta pelle nera .. veramente brutta e ti lascia l’impressione che non venga mai pulita ..."
"ui_bubble_rating bubble_10","Confusione e prezzi esagerati","Piccolo ma curato locale nell oltrarno. Il locale e’ noto per il caos che regna al suo interno durante le movimentate cene dove schiamazzi per i compleanni e il semplice dialogo trasforma una cena che dovrebbe essere intima in un assieme partenopeo. Pesce mal pulito e sopratutto mancanza della conoscenza dei vini proposti nel menu.Con i prezzi a listino si chiede la presenza di un esperto ed invece al di là del “questo è buono” o “gusto rotondo”, non si va. Qui si versa il vino prima agli uomini che alle donne e se chiedi nuovamente il pane fai prima a cercarti una panetteria ( sarà perché il caos impedisce di capirci).Il crudo è buono ma i ricci sono vuoti e i limoni di mare pessimi .La frettolosità regna è solo quando esci riesci a riaverti... peccato perché è la seconda volta che ci andiamo ma la delusione resta ..."
"ui_bubble_rating bubble_50","Il mare in bocca...","A mio avviso il miglior ristorante di pesce di Firenze.Fabrizio, il titolare, ci aveva già convinti la prima volta e ogni volta che torniamo è una conferma alla sua bravura, al suo carissima e alla sua accoglienza! La location ti porta indietro nel tempo, facendoti soffermare su ogni particolare.Il pesce è fresco e di prima scelta, con una ricerca unica nei dettagli. In ogni piatto c’è armonia e delicatezza, ma allo stesso modo un’esplosione di gustosità... Accostamenti particolari e sapori anche nuovi che nella loro semplicità ti riportano sempre e solo il mare in bocca.Ormai una certezza. Il mio ristorante preferito.Rachele M."
"ui_bubble_rating bubble_50","Ottima cena con musica annessa.","Provato menu' degustazione tutto a base di pesce composto da svariati antipastini ,un primo buonissimo (spaghetti con tartare di gamberi)un secondo (una fantastica ombrina al sale con verdure al vapore) e tris di dolci finale.Carta dei vini semplice e snella ma con ottime etichette. Simpatia e cordiali sia del.proprietario che dello staff e valore aggiunto la signora marina che oltre che stare in cucina da metà serata si impossessa del.palco in affiancamento all'altro cantante di turno.(Molto bravi)Prezzi giustissimi sia per la qualità delle pietanze sia per.lo spettacolo incluso.Torneremo !!"
"ui_bubble_rating bubble_50","Ottimo!","Solo ottimo pesce. Assaggio di antipasti variegati e buonissimi e pesce in crosta di sale da 10 e lode. Vini consigliati dal proprietario azzeccatissimi. Ma l’elemento più caratteristico e l’angolo dedicato alla musica e l’energia straordinaria della cuoca che a fine serata si mette a cantare. Ci torneremo! Consigliatissimo!!!"
