"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Sushi a Firenze ","Ottimo!!! Locale molto carino e personale molto gentile! Consigli appropriati per i gusti di ognuno. Qualità del cibo di alto livello."
"ui_bubble_rating bubble_50","A pranzo con sorella e nipote","Che dire? Cibo buonissimo tutto perfetto…...e per rispondere a chi dice che è caro dico solamente che la qualità del cibo si paga e qui la qualità è altissima.....poi ci sono i locali dove si spende meno...tipo all you can eat.. ma ci sarà un motivo no?"
"ui_bubble_rating bubble_50","Dipendenza da Mr sushi!","É la seconda volta che mi reco da Mr. Sushi e ne sono totalmente dipendente! ( soprattutto dai California!)Il proprietario é molto gentile, attento alle esigenze e sa consigliare nel modo giusto i migliori piatti in base ai gusti di ognuno.Consiglio oltre ai classici roll anche la grigliata di pesce ( la capasanta era squisita) e il mix di sashimi ( il pesce é freschissimo). Unica pecca un po' fredda la temperatura del locale.Alla prossima."
"ui_bubble_rating bubble_50","Numero Uno","Incuriosito dalle ottime recensioni decido di Provare questo locale, titolare gentile che ci consiglia sulle scelte da fare chiedendoci prima cosa Ci piace di più e cosa meno, iniziamo un percorso e devo dire di aver trovato un piatto migliore dell'altro, uno in realtà crea dipendenza come ci aveva anticipato il titolare, se volete mangiare un sushi vero vi consiglio di provarlo, non ne rimarrete delusi. Complimenti."
"ui_bubble_rating bubble_50","Top","Questo ristorante Giappone è il migliore di Firenze..sushi ottimo e ottima qualità e naturalmente il servizio eccellente. Merita!!! "
"ui_bubble_rating bubble_10","Bla bla bla.. il proprietario sa solo parlare e vantarsi, per il resto...","Questo ristorante è, prima di tutto, caro come il fuoco. Ho mangiato in posti decisamente migliori spendendo la metà. Qui viene il proprietario a spiegare la rava e la fava, vantandosi come se fosse lo chef più stellato del mondo. Morale... abbiamo pagato 40 euro a testa mangiando il giusto! Qualità buona, per carità ma di certo non ci tornerò. Non sopporto chi si vanta di ciò che fa senza sapere invece dei limiti che il proprio locale ha, a partire dal freddo che c'era tanto che ci si sono ghiacciati i piedi. Un po' più di riscaldamento, no?!?! Poi i prezzi alle stelle... lasciate stare sto posto, ne troverete di migliori alla metà del prezzo che questi fanno!!!!"
"ui_bubble_rating bubble_50","Ottimo sushi","Siamo stati in questo ristorante più volte. Piatti ottimi e servizio impeccabile!! Prezzo nella media dei ristoranti di sushi di medio/alto livello. Assolutamente consigliato."
"ui_bubble_rating bubble_50","Assolutamente consigliato!","Abbiamo deciso di farci consigliare dal titolare (molto simpatico e accomodante) che con poche domande sui nostri gusti ci ha consigliato delle portate meravigliose (presentazione 10 gusto 11!) Per non parlare del vino! E i dolci veramente buonissimi! Il locale poi non è da meno, al piano terra una sala ben arredata con colori caldi e luci soffuse. La chicca è al primo piano, ma non la svelo... vi consiglio solo di telefonare con una decina di giorni di anticipo e riservare una saletta. Garantisco personalmente. Non rimarrete delusi!"
"ui_bubble_rating bubble_50","Prima volta a capodanno","Niente da dire, 5 stelle. Probabilmente stai perdendo troppo tempo se leggi questa recensione. Prenota e vai tranquillo. Personale fantastico, simpatico e di compagnia. Posticino piccolo ed accogliente. Adatto pure per disabili. La cena di capodanno con la mia ragazza è stata fantastica e veloce. Qualsiasi cosa si ordini è ottima. Andate a caso e provate cose che normalmente non sareste sicuri di provare che rimarrete stupiti.Niente da dire, andate , mangiate e gustate."
"ui_bubble_rating bubble_50","Irrinunciabile ","Per noi è diventato un luogo dove trascorrere una serata in famiglia, dove mangiare e bere sono una certezza di qualità e bontà...è vero mr sushi è per chi non si accontenta! Complimenti a tutto lo staff, Bruno e Elena!"
"ui_bubble_rating bubble_40","Buono il cibo ma da migliorare nettamente il servizio ","Ottimo sashimi misto e Unadon strepitoso. Le portate però non vengono portate secondo l'ordine logico (mi è arrivato prima L'unadon e poi il sashimi) e non arrivano contemporaneamente ai vari commensali (sono arrivate prima entrambe le portate a me mentre il mio amico aspettava ancora la sua prima portata). Il servizio è talvolta frettoloso, tanto che una cameriera mi stava per portare via il vassoio mentre stavo ancora finendo il sashimi. Ho ordinato poi anche un'anguilla senza salsa teryaki ma mi è stata servita immersa di tale salsa (seppur squisita). Ero indeciso se assegnare tre palle o quattro, ho optato per la seconda opzione ma il servizio è da migliorare. "
"ui_bubble_rating bubble_50","Che buono","Scarso conoscitore della cucina giapponese sono rimasto sorpreso dalla qualità dei piatti e degli ingredienti. Guidati da mio figlio già frequentatore di questi ristoranti e dalla sapienza del responsabile abbiamo mangiato divinamente. Sicuramente un posto in cui ritornare per provare altre pietanze. Incantevoli le salette al piano di sopra che vanno però prenotate con largo anticipo"
"ui_bubble_rating bubble_50","Tutto eccezionale ","Tutto a dire poco sublime....veramente buono! Servizio impeccabile..personale gentilissimo e poi che dire del titolare.... una nota sulla tempura....mi aspettavo appena un po’ meglio ma era buona comunque!!!!"
"ui_bubble_rating bubble_50","Top in Firenze","Sono stata a cena con il mio fidanzato sabato sera dopo che un’amica mi aveva detto che si mangiava bene ...La ringrazierò 1000 volte per avermelo fatto conoscere il sushi è buonissimo con una qualità del pesce ottima ,è freschissimo .Abbiamo mangiato il famoso California Special che è davvero un sushi che crea dipendenza poi abbiamo preso un sushi fritto ma non fritto alla cinese un fritto leggero leggero con salmone affumicato e Philadelphia che era favoloso e altri 3 piatti ottimi spendendo solo 35 euro a testa compreso vino e caffè ..Che dire , Lo consiglio vivamente a tutti .Continuate così ci vedremo molto presto.Carol."
"ui_bubble_rating bubble_50","Che bontà ","Posto accogliente, con titolare gentilissimo e molto divertente, il cibo è buonissimo e la qualità è alta, inoltre si parcheggia molto molto bene, poi le salette su sono fantastiche. "
"ui_bubble_rating bubble_40","Qualità ottima ,ma....","Locale molto carino e qualità degli alimenti veramente eccellente ! Da criticare porzioni abbastanza piccole e prezzi a mio parere sopra la media ! "
"ui_bubble_rating bubble_50","Una certezza ","Vado spesso a cena, il sushi è esagerato così come i dolci. Il personale è gentilissimo e la location è veramente una chicca. Perfetto!"
"ui_bubble_rating bubble_40","Buono ","Buon sushi fatto molto bene locale nella parte superiore stupendo sotto sembra una vecchia casa del popolo risistemata,posto pulito e servizio celere,il cibo molto buono,carta dei vini da migliorare(giudizio personale) prezzo non proprio economico per essere in piazza a Brozzi ma la qualità si paga ! "
"ui_bubble_rating bubble_50","I love japan","Questo locale rispecchia la cucina e la tradizione giapponese nel gusto, nella qualità del cibo, nella cura del dettaglio, nella bellezza dell'ambiente. Si consiglia di prenotare in anticipo se si vuole mangiare nelle salette tipiche."
"ui_bubble_rating bubble_50","BUONISSIMO <U+0001F60D>","Ho cenato in questo ristorante con amici dietro loro suggerimento, perché ritenuto il migliore di Firenze. Che dire, scelta azzeccata! Location stupenda, al piano di sopra sembra di essere proprio in Giappone , ma soprattutto personale cortese e simpatico e CIBO OTTIMO!Buona la varietà ed ottima la qualità. Prezzi medi, non eccessivi (con 30€ a testa vi saziate). Vale la pena pagare un po' di più per del pesce di qualità, a differenza degli all you can eat qui si assapora cibo davvero di qualità e senza preoccupazioni. Consigliatissimo!"
"ui_bubble_rating bubble_50","una garanzia","...che dire sempre un piacere sia x il palato che x la mente (relax).Consiglio la sala al 1mo piano suddivisa in salette tipiche con i tavoli bassi alla giapponese Piatti di ottima qualità, proprietario che consiglia ad-hoc ed aiuta molto nella scelta.Se i prezzi fossero leggermente + bassi sarebbe da andarci tutte le settimane ma chiaramente la qualità ha un costo.voto globale 9"
"ui_bubble_rating bubble_50","Una garanzia","Come sempre Bruno e il suo staff sono una splendida garanzia... gusti unici, inimitabili!! Ogni volta che si mangia qui, è un esplosione di sapori! Rapporto qualità prezzo eccellente "
"ui_bubble_rating bubble_40","Tornerò di certo!","Sono stato consigliato di venire in questo ristorante perché avevo voglia di sushi, quello vero!Oltre all’incredibile accoglienza, data da un titolare davvero molto a modo, preparato e simpatico, ho gustato con estremo piacere ciò che ho scelto è ciò che mi ha consigliato.Tornerò di certo!"
"ui_bubble_rating bubble_40","Mr Sushi","Locale carino e raffinato! Il servizio accogliente. I rolls sono speciali, il sushi e il sashimi nella norma. Prezzo ottimi "
"ui_bubble_rating bubble_50","il sushi più buono del mondo!","Adoro Mr Sushi!! La qualità del cibo è unica, il proprietario è simpatico e suggerisce degli ottimi piatti da provare assolutamente, come il mitico California Special ** Ci torno spesso perchè so di mangiare dell'ottimo pesce, senza aver paura di sentirmi male! Lo consiglio tantissimooo"
"ui_bubble_rating bubble_50","Anni di qualità e di stare bene...","Elena e Bruno, queste sono le due persone che portano avanti il ristorante da anni, io personalmente sono almeno 10 anni che ci vado con famiglia ed amici. Il risultato è sempre il solito, ottima cucina giapponese (la migliore) e servizio curato, educato e molto professionale. Il ristorante è molto grande, al piano inferiore vi è un'ampia sala molto curata ed al piano superiore ci sono le tipiche salette orientali molto molto carine, intime e confortevoli dove si può gustare al meglio i piatti del ristorante. Non entro in merito di quello o questo piatto, vi dico solo di fissare ed andare a mangiarci rimarrete sicuramente soddisfatti ed entusiasti della scelta fatta. A prestissimo. Mitico Mr. Sushi!!!"
"ui_bubble_rating bubble_30","Il sushi","seppure il sushi non sia il mio ideale; l'ho mangiato anche qut e devo ammettere che a Brozzi non è così male"
"ui_bubble_rating bubble_50","Una piacevole scoperta","Il locale e la zona di primo impatto ti lasciano un po’ perplesso poi però quando ti accomodi tutto cambia. Servizio ottimo e rapido. La qualità del pesce è ottima e la cena è stata accompagnata anche da un buon vino bianco. Degno di nota anche il servizio del cameriere, preparato e simpatico...ci ritorneremo"
"ui_bubble_rating bubble_40","Cena con mio figlio ","Consigliato da amici, stasera abbiamo provato Mr Sushi.Locale carino, anche se non troppo caldo servizio molto cortese, informale e nel complesso veloce.Servono anche qualcosa per chi come me è allergico al pesce, voi direte: che ci sei andata a fare??? Mio figlio è un amante del pesce...Insomma da provare anche se l'ho trovato con prezzi sopra la media "
"ui_bubble_rating bubble_50","Accoglienza e qualità","Il ristorante è molto accogliente, soprattutto il piano superiore, ed il personale cortese, e simpatico. Il proprietario è simpatico e si prende cura dei clienti. Non è un all you can eat e questo lo pone già al di sopra di tutti i ristoranti del genere a Firenze, ma poi quando nel menù trovi piatti e pietanze tipiche giapponesi che nessun altro ha allora capisci che si ricerca il vero giappone. Ovviamente la bontà dei piatti conferma il tutto."
"ui_bubble_rating bubble_50","Buonissimo","Periferia di Firenze , ottimo ristorantino giapponese, niente a che vedere con gli you can eat , personale disponibile e competente io ci ritorno voi fate voi!!!"
"ui_bubble_rating bubble_40","Dell'ottimo Sushi!","Il ristorante e distaccato dai luoghi turistici forse meglio perché sicuramente la qualità e più alta visto che bisogna cercare questo ristorante.Luogo tranquillo e molto rappresentante quasi come i veri ristorante Giapponese.Sushi di ottima qualità carta vini non molto ricca però puoi scegliere vini da nord a sud."
"ui_bubble_rating bubble_50","Adoro","Stavolta a pranzo... velocissimi, tutto buonissimo... adoro questo posto! Assaggiato anche il cheesecake fatto da Bruno... era veramente buono! Nient'altro da aggiungere"
"ui_bubble_rating bubble_40","bella riproposizione ambiente giapponese","Arrivarci per chi non è di firenze è un'impresa nonostante il navigatore in quanto è in zona periferica. Però quando arrivi entri in un altro mondo però solo se sali al primo piano. infatti la foto presente nella didascalia è della struttura del 1 piano. Ambiente tranquillo che ti permette di mangiare in ambiente riservato con unico contatto con chi ti serve che compare solo se chiamato tramite apposito campanello.Proprietario istrionico ma che sa consigliarti in base ai gusti personali. Cibo di ottima qualità e varietà. Prezzo non eccessivo per le senzazioni che ti dona"
"ui_bubble_rating bubble_40","Il miglior sushi di Firenze","Non vorrei aggiungere altro al titolo. Pesce buono, presentazione discreta, personale cortese e locale accogliente. Provare per credere. "
"ui_bubble_rating bubble_50","Uno dei migliori","Credo sia uno dei migliori in città, pesce buonissimo e di qualità, locale curato nei dettagli. Straconsiglio!!"
"ui_bubble_rating bubble_50","Accogliente e con proposte di qualità","Abbiamo cenato al piano superiore in un'atmosfera intima, con piatti preparati con prodotti di ottima qualità e personale disponibile e preparato nel consigliare. Torneremo sicuramente. "
"ui_bubble_rating bubble_40","Sushi","Si mangia davvero bene in questo posto..cibo fresco, buono..e il proprietario è sempre pronto a dare qualche consiglio utile. Da tornarci certamente. Consiglio a tutti gli amanti del sushi e a chi si è un po' stancato degli ayce come se abbuffarsi debba essere la regola per mangiare giapponese mentre in un locale italiano 40 euro si posso spendere se si mangia bene. Ecco questo è un locale dove si mangia bene e quindi andateci con questo spirito."
"ui_bubble_rating bubble_40","Mr. Sushi","Veramente carino personale molto gentile. Prezzi giusti e cibo fresco.Ci tornerò sicuramente lo consiglio."
"ui_bubble_rating bubble_40","Strategico","Locale in quel di Brozzi, in posizione strategica. Fortunatamente non offre menù ayce, per cui la qualità è migliore rispetto ad altri locali "
"ui_bubble_rating bubble_50","Buonissimo ","In una zona così remota e per nulla turistica, un ristorante di sushi pieno di gente ha il suo perché. Pesce fresco, si sente la qualità, piatti tradizionali ma anche con qualche variante particolare (uso della mente, peperoncino ecc).Proprietario sa consigliare cosa mangiare in caso di indecisione ed è anche abbastanza amichevole. Spesa media 40 euro a testa, di certo non alla portata di tutti però un buon pesce comporta un prezzo più elevato.Insomma, sicuramente uno dei migliori posti dove mangiare sushi a Firenze!"
"ui_bubble_rating bubble_40","Piacevole","Il locale è ubicato in periferia, e quindi in una zona tranquilla, con ampia possibilità di parcheggio. Il ristorante è strutturato su due piani, il primo dei quali modesto ma accogliente, il secondo, invece, in perfetto stile Giapponese, con la disposizione dei tavoli ad emulazione dello stile Seiza; per potervi accedere, però, è necessario prenotare con una settimana di anticipo. Le portate sono, per dimensione, modeste, ma si nota la qualità del pesce. Il menù non dispone dell'all you can eat, la scelta non è particolarmente variegata. Ciononostante la cena è stata soddisfacente, ma non oltre, considerando il prezzo non troppo economico ma neanche esorbitante. Nota di merito va allo staff, cordiale e cortese."
"ui_bubble_rating bubble_50","Il migliore di Firenze!","Anche se vederlo da fuori lascia un po’ titubanti per la posizione un po’ isolata..... entrando tutti i dubbi spariscono! Non esiste sushi migliore di quello di mr sushi! Personale carino, prezzo un po’ caruccio dato che non è all u can eat ma la soddisfazione uscendo è tanta!"
"ui_bubble_rating bubble_50","Numero uno","L’unico ristorante dove non leggo mai il menù, pensa a tutto l’amico Bruno, fatevi consigliare da lui che ci capisce!!! A mio avviso il miglior sushi di Firenze!!!!A presto!!!!!!"
