"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Straordinari","Panini straordinari, poco costosi e che saziano. Non si può chiedere di meglio in centro a firenze. Con 5 o 6 euro con l'acqua ci si riempie, non lascia il tipico buco che ti fa poi spendere un patrimonio nelle gelaterie vicine. "
"ui_bubble_rating bubble_40","Qui Il Lampredotto incontra la tradizione e la storia Fiorentina. Eccellenti prodotti tipici e nuovi sapori.","Qui Il Lampredotto incontra la tradizione e la storia Fiorentina. Una eccellenza di accoppiamenti di prodotti tipici e nuovi sapori con la rivisitazioni delle ricette tradizionali, conditi da professionalità ed ospitalità.Firenze la città del Lampredotto … ma gira gira, solo qui c’è la Vera Storia e la tradizione.Partiamo che mi è stato consigliato vivamente dal giornalaio presente nella piazza e come sempre i consigli vanno seguiti ed apprezzati.La cordialità e professionalità dei proprietari è tangibile, in quanto vedendomi titubante su cosa mangiare mi fa assaggiare il “Lampredotto Tradizionale ” e “ed il Lampredetto con condimento del Giorno (nel mio caso Alla Fiorentina)”. Che dire … davvero Ottimi. Quindi il gioco è fatto, panino con il Lampredetto del Giorno con aggiunta di formaggio, un ottimo calice di vino locale ed aperitivo è fatto. Inoltre mentre mangiavo ho sfogliato il Menù e posso assicurare che i prezzi sono ottimi in relazione alla qualità dei prodotti davvero eccezionale ed anche la varietà del menu è considerevole.La prossima volta che tornerò a Firenze mi sono ripromesso di provare anche i salumi e formaggi e le altre specialità presenti a menù.Mi ha colpito molto la vetrina in ingresso e la cucina a vista che fa risaltare ancora i prodotti tipici, nonché la bontà dei prodotti.Il locale nel complesso è piccolino, ma carino accogliete e pulito. Dispone di tavolini all’aperto dove è possibile tranquillamente gustare il panino. Mi preme sottolineare la gentilezza e professionalità dei proprietari che con tranquillità ed esperienza del settore illustrano i loro prodotti e sono disponibili anche a far assaggiare alcune tipicità toscane ai loro clienti.Nel dettaglio ordinazione è stata 2 Panini “con il Lampredetto del Giorno” e 2 Calici di un Ottimo Rosso, il tutto per una cifra di 14e Totali, quindi nel complesso un Ottimo rapporto Qualità/Prezzo."
"ui_bubble_rating bubble_50","Purtroppo non siamo riusciti a tornarci... grandi !","Siamo passati per caso davanti a questo posto dopo la visita alle cappelle medicee ed alla basilica di San Lorenzo.Ci eravamo riproposti di assaggiare un'altra volta il famoso Lampredotto che il giorno prima da un'altra parte della città ,ci aveva deluso Approdiamo incerti al Nobile Bistrò e ci si apre un mondo : Un gestore cordiale ,quasi turbato dal fatto che non abbiamo apprezzato la delizia del posto....Ci offre un assaggio del SUO lampredotto contornato dalle classiche salse ,piccante e verde fatte in casa e ci propone anche la trippa ......ECCEZIONALE TUTTO ! Una vera esplosione di sapori , ci scusiamo e ci pentiamo per non aver fatto il bis e per non essere riusciti a tornare causa code  nei girni successivi Comunque su 4 lampredotti provati è per noi sicuramente il migliore e la personalità dell proprietario con la sua competenza e cortesia ci hanno colpito . Lo raccomando ."
"ui_bubble_rating bubble_50","Panini eccezionali ","Siamo stati ben due volte in questo piccolo locale , panini buonissimi (consiglio quello con il lampredotto) e non solo, prezzi onesti e gentilezza da parte dei titolari. Consigliatissimo per un pranzo al volo a Firenze! "
"ui_bubble_rating bubble_50","top del top","Locale molto accogliente, pulito e curato. Personale attento e ben preparato. Super panino al lampredotto accompagnato da un ottimo vino.Ottimi anche gli altri panini.Dolci buonissimi."
"ui_bubble_rating bubble_40","Fantastic","Mi è piaciuta tantissimo lo schiacciata Lampredotto, anche il mio compagno ne ha voluta una e ha detto che era spettacolare. Locale molto bello, accogliente e pulito. I proprietari super cordiali e sempre disponibili a consigli e ad ogni cosa. Rapporto qualità prezzo ottimo, lo consiglio vivamente"
"ui_bubble_rating bubble_40","Un buon locale","Durante il nostro viaggio nella splendida Florence siano stati invitati ad assaggiare questi buonissimi panini.Ottimi veramente,ben conditi,ottime salse,ma la cosa migliore è l'accoglienza dei proprietari e i loro consigli.Siamo rimasti soddisfatti."
"ui_bubble_rating bubble_50","Proprietari top!","Voto alto per rapporto qualità/prezzo velocità. Proprietari super gentili, cordiali è in grado di soddisfare lecuriosità dei clienti che non hanno mai assaggiato alcune tipicità toscane. Il loro panino con lampredotto servito con salsa verde stra-consigliato! Da tornare e suggerire agli amici, posizione turistica top!Noi siamo abruzzesi, ma ci molto torniamo volentieri se siamo in zona!"
"ui_bubble_rating bubble_50","Fantastico","Siamo stati a mangiare dal Nobile Bistrò! Che dire se non FANTASTICO! Da segnalare la schiacciata con il Lampredotto, oltre a quella con il Lardo e a quella con la Finocchiona. I proprietari sono simpaticissimi e molto disponibili. Una tappa obbligatoria quando si è a Firenze"
