"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","piccolo ma carino","Locale piccolo, una unica stanza, con tavolini molto vicini. Cibo in porzioni abbondanti a prezzo giusto. Una pecca secondo me è che manca il riscaldamento. il locale è scaldato da una stufetta portatile insufficiente , in quanto la porta, vicinissima ai tavoli, si apre spesso essendo anche take away e street food."
"ui_bubble_rating bubble_50","Pranzo","Locale piccolo e intimo in quel di Firenze, ottimo pranzo, personale disponibile e cordialeOttimo hamburger. Consigliato!!!"
"ui_bubble_rating bubble_40","Osto carino e informale","Pochi posti, in posizione centrale, vario il menù tra primi, contorni, carne, hamburger. Acqua 1.50, coca 3.00 euro. Primi tra 10 e 13 euro; coperto 1.50. Tempi non velocissimi."
"ui_bubble_rating bubble_40","Street food favoloso.","Abbiamo trovato questo posto per caso, i suoi panini erano eccessivamente invitanti e abbiamo deciso di fermarci. Abbiamo aspettato un po', ma gli hamburger erano davvero buonissimi. Complimenti! "
"ui_bubble_rating bubble_50","La divina Officina.","Io e il mio ragazzo siamo capitati davanti a questo locale per caso, e non abbiamo potuto far altro che entrarci. Il ragazzo che ci ha accolto, gentilissimo, ci ha informato che entro 15 minuti ci avrebbe fatto accomodare e così è stato. Abbiamo preso un tagliere di salumi e formaggi, la birra Fiorentina ed i picci, freschissimi, al ragù toscano, eccezionale. Le porzioni sono davvero abbondati e la qualità del cibo ottima, il locale molto raccolto ma accogliente e famigliare. Lo staff che lavora all’interno è favoloso ed efficientissimo, giovane e con la voglia di “spaccare il mondo” che ogni ragazzo dovrebbe avere. Il rapporto qualità-prezzo è uno dei migliori del centro città. Che dire, se vi trovate nella zona, l’Officina è sicuramente un’esperienza da provare.Complimenti ragazzi, vi meritate il vero successo."
"ui_bubble_rating bubble_50","Un piccolo tesoro ","Locale piccolissimo, ma veramente eccezionale. Situato in centro, a due passi dalle principali bellezze fiorentine. Pochi i posti a sedere che rendono il locale una perla e donando un senso di intimità. Consigliatissimi i loro taglieri e tutti i piatti a base di carne. "
"ui_bubble_rating bubble_30","Locale interessante","Il locale è carino, pochi tavoli ma accogliente. Anche i piatti sono buoni. Per la mia visita credo che ci fossero stati dei problemi con il riscaldamento perché il locale era davvero molto freddo. Ci ritornerò sicuramente per riuscire ad apprezzarlo meglio."
"ui_bubble_rating bubble_50","Piccolo tesoro in centro città ","Abbiamo prenotato domenica sera Posto piccolino, massimo 20 coperti circa, ma è un piccolo tesoro a FirenzeCibo delizioso, gli hamburger super saporiti e personale davvero gentilissimo Prezzo giusto Ci torneremo "
"ui_bubble_rating bubble_50","Buonissimo","Abbiamo mangiato in questo posticino delizioso con la mia famiglia. Locale piccolissimo ma molto comodo ed accogliente. Abbiamo preso un tagliere misto super mio marito ed io e le bambine degli hamburger davvero ottimi. Birra artigianale fantastica!!! Conto assolutamente ottimo per ciò che abbiamo mangiato"
"ui_bubble_rating bubble_40","Bellissima scoperta","Girovagando per il centro ci siamo fermati in questo piccolo locale. Ottima atmosfera, ottimo cibo (abbiamo preso fritto misto e hamburger, carne squisita) ottimo il rapporto qualità-prezzo. Assolutamente consigliato."
"ui_bubble_rating bubble_50","Speciale<U+0001F388>","Sono stata ad ottobre in questo locale con mio fratello. Che dire, ci è piaciuto, servizio veloce ed efficiente, tutti molto cordiali e simpatici, cibo ad hoc, carne molto buona, roba di qualità. Lo consiglio "
"ui_bubble_rating bubble_50","Da ritornarci","Locale piccolo, atmosfera accogliente e confortevole. Tutto molto buono, a partire dagli antipasti. Il personale è simpatico, in particolare Cleo é stato molto disponibile e sorridente ed Aurora gentile e professionale. Lo consiglio! "
"ui_bubble_rating bubble_30","cibo di strada","Buon locale di cibo di strada, come fritti ed hamburger. Ambiente piccolo, direttamente sulla strada, con i pregi e i difetti della porta del locale continuamente aperta e richiusa. Ho mangiato un ottimo hamburger, ma i fritti li ho trovati troppo imbevuti d'olio."
"ui_bubble_rating bubble_50","Hamburger ottimo","Sono stata con amici un mese fa. Tagliere con salumi, coccoli, e hamburger. Tutto squisito. Da tornarci sicuramente"
"ui_bubble_rating bubble_50","Locale intimo, servizio veloce, ottimo cibo","La presentazione dei piatti, molto curata. Cibo ottimo, di qualità. Vasta scelta di birre artigianali locali. Ottimo rapporto qualità prezzo. Per due hamburger (accompagnate da french fries), due dessert (tortino al cioccolato, cantuccini e Vin Santo), due birre artigianali, 52 euro... con amaro e grappa gentilmente offerte :) Consigliato sopratutto a chi cerca un prodotto di qualità a prezzi contenuti. Atmosfera perfetta con musica in sottofondo e luci soffuse. Staff da dieci! Ci tornerò sicuramente :)"
"ui_bubble_rating bubble_50","Esagerato ","Locale molto curato, servizio preciso e pronto: il Tomino di prima qualità si sente al primo morso... L'hamburger davvero ottimo. Diciamo che è una tappa in zona da non lasciarsi scappare. Altamente raccomandato.E. "
"ui_bubble_rating bubble_40","Buono","Siamo stati qui qualche settimana fa. Ho chiesto ai camerieri se era possibile avere un hamburger di pollo e son stati gentilissimi ad accontentarmi. Buono sia il mio che quello del mio fidanzato (così sembrava e così dice lui)L’unica pecca è stata l’attesa e il poco spazio tra un tavolo e l’altro, per il resto tutto ok."
