"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Sorprendente! ","“Sorprendente” è l’aggettivo adatto per questo ristorante! L’esterno del locale non da prova di quanto poi ritrovi appena ti siedi al tavolo. Accoglienza perfetta e servizio ottimo. Cucina squisita e l’atmosfera ti fa sentire a casa. Torneremo assolutamente!"
"ui_bubble_rating bubble_50","Consigliato!!!!","Sono stata con la mia famiglia in questa trattoria prima dello scorso Capodanno. Cena ottima, vino anche...e squisita la padrona di casa,figlia del proprietario! Da provare"
"ui_bubble_rating bubble_50","Buonissimo ristorante consigliatissimo","Piccolo ristorante con grandi piatti. Buono tutto quello che abbiamo gustato, dalla trippa alla ribollita. I dolci erano squisiti. Il personale cordialissimo. Consigliato a tutti. Ci torneremo di certo."
"ui_bubble_rating bubble_50","Magnifico","Poche parole per questo posto davvero magnifico.Una bellissima location e un ottimo cibo.Tutto espresso e cucinato anche velocemente, sapori ottimi e ottima anche la cordialitá.Rapporto qualitá prezzo ottimo."
"ui_bubble_rating bubble_50","Sì, sì, ancora sì ","In viaggio a Firenze durante le festività, io e il mio compagno, stuzzicati dalle ottime recensioni, abbiamo scelto il Vecchio Cancello per una cenetta. Abbiamo ordinato un antipasto di salumi misti e ribollita, poi un risotto con zucca e taleggio e della trippa fiorentina. Tutto ottimo, vino incluso. La pietanza migliore, tuttavia, è stata il dessert: fanno una torta di mele eccezionale. Ci siamo letteralmente trattenuti dal leccare il piatto.Prezzi accessibili e location davvero curata e ben arredata. Ci tornerei molto volentieri. "
"ui_bubble_rating bubble_50","Buonissimo tutto","Buonissimo tutto quello che abbiamo mangiato. Dagli antipasti alla trippa, dalla ribollita al dolce. Tutto personale era molto carino e cordiale. Di certo da rivisitare. "
"ui_bubble_rating bubble_50","Una piacevole scoperta","Durante un breve soggiorno a Firenze, grazie a TripAdvisor abbiamo scelto di cenare in questo ottimo ristorante. L'ambiente risulta fin da subito accogliente e curato. Il personale è stato professionale e disponibile per consigli. Rapporto qualità-prezzo ottimo.Super consigliato!! Un saluto dagli 8 riminesi. "
"ui_bubble_rating bubble_50","Ambiente familiare e Fiorentina strepitosa!!","Il ristorante è molto carino e a gestione familiare... consigliata la Fiorentina!! Assolutamente fantastica!! Consigliati anche il loro vino e olio! Da andarci e tornarci! "
"ui_bubble_rating bubble_50","Eccellente","Ci sono stato con la mia famiglia la sera di Natale, personale molto cordiale, professionale ed educato, la proprietaria molto gentile ed attenta al benessere dei suoi clienti. Ambiente molto curato,cibo super,per non parlare della squisita Fiorentina ! Vino prodotto dall’azienda di famiglia a mio parere superlativo . Come prezzo secondo me giusto . Le cose buone e di qualità si pagano . Chi si lamenta è gente da fast food . Lo consiglio a tutti ! E se avrò occasione di tornare a Firenze ci tornerò di sicuro ! Bravi! "
"ui_bubble_rating bubble_40","Niente da ridire ","Posto molto carino, ambiente accogliente e famigliare.Personale cordiale e capace; da mangiare tutto buonissimo! Da provare i pici all’anice stellato, molto particolari.. carne tenerissima!Anche il vino molto buono, siamo stati consigliati dalla cameriera.. quindi anche voi fidatevi dei consigli. Prezzo corretto.Unici nei: leggermente distante dal centro rispetto agli altri ristoranti e non ci hanno chiesto la cottura della carne.. anche io ho dimenticato di dirlo ma mi sarei aspettato che mi venisse chiesto.Però sono piccolezze, secondo me è da provare... siamo usciti molto contenti!!"
