"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Che fantastico!!!","Bella atmosfera e cibo delizioso<U+041E><U+0447><U+0435><U+043D><U+044C> <U+043F><U+043E><U+043D><U+0440><U+0430><U+0432><U+0438><U+043B><U+0438><U+0441><U+044C> <U+0410><U+043D><U+0442><U+0438><U+043F><U+0430><U+0441><U+0442><U+043E>, <U+043E><U+0441><U+043E><U+0431><U+0435><U+043D><U+043D><U+043E> Digustazione di pecorino <U+0438> Prosciutto e Bufala.<U+041F><U+0440><U+0438><U+0432><U+0435><U+0442><U+043B><U+0438><U+0432><U+044B><U+0439> <U+043F><U+0435><U+0440><U+0441><U+043E><U+043D><U+0430><U+043B> <U+0438> <U+043E><U+0447><U+0435><U+043D><U+044C> <U+0434><U+043E><U+0441><U+0442><U+0443><U+043F><U+043D><U+044B><U+0435> <U+0446><U+0435><U+043D><U+044B>!!!<U+0412><U+0441><U+0435><U+043C> <U+0440><U+0435><U+043A><U+043E><U+043C><U+0435><U+043D><U+0434><U+0443><U+044E>!!"
"ui_bubble_rating bubble_50","Ottimo","Un ristorante molto tradizionale è davvero buono. La mia valutazione verte sui pici alla norcina, un tipo di pasta molto simile agli spaghetti con salsiccia e crema di tartufo: davvero magnifici. Dopo questa consumazione non ho preso altro perché i pici riempiono completamente (e anche per il prezzo dato che si trova in piena Firenze)."
"ui_bubble_rating bubble_50","Ottimo ","Ho cenato all’Osteria del Proconsolo con il gruppo di colleghi. Il posto è comodissimo (vicinissimo al Duomo). Appena siamo entrati siamo stati accolti molto gentilmente e con Thefork abbiamo avuto anche il 20% di sconto. La cena ottima: due taglieri più che completi e un piatto di pici alla norcina da leccarsi i baffi. Amari offerti dalla casa. Consigliato !! "
"ui_bubble_rating bubble_50","Cena con mio figlio","Fuori di lunedì senza cuoca a casa abbiamo mangiato una bistecca buonissima cotta veramente bene con patate arrosto deliziose buon sevizio personale gentile e educato .ci torneremo"
"ui_bubble_rating bubble_50","Una conferma. ","Ogni volta che torno a Firenze, l'osteria del Proconsolo è una tappa fissa. Dal servizio al cibo è sempre una conferma. Ottima la carne, ottimi i primi e i secondi piatti. Il prezzo poi è onesto visto che siamo a due minuti da Piazza della Signoria. Altamente consigliato. "
"ui_bubble_rating bubble_50","Evviva la pasta!!!!","Con mio marito siamo andati a cena il giorno della befana,nonostante il locale fosse pieno i ragazzi sono riusciti a trovarci un posticino,abbiamo mangiato due primi fantastici, pici alla norcina e ravioli al tartufo, si sentiva proprio la freschezza della pasta. E poi un tiramisù fantastico. Il cameriere gentilissimo ci ha offerto anche un limoncello!!!! Ci ritorneremo di sicuro."
"ui_bubble_rating bubble_50","Ottimo T-bone","Ci siamo fermati con 2 amici a farci una bistecca alla fiorentina ovvero il famoso T-bone steak.. siamo rimasto molto contenti sia per il prezzo piu che conveniente essendo carne super frollata e anche per il servizio ricevuto. Consiglio pienamente. Grazie e auguri raggazzi"
"ui_bubble_rating bubble_40","Buon ristorante!","Sono passato per caso con la mia ragazza e siamo stati colpiti dalle luci e dall atmosfera molto familiare! Abbiamo ordinato due primi e devo dire la verità molto buoni soprattutto le pappardelle al cinghiale! Personale gentilissimo ! molto caratteristico il locale caratterizzato da molti oggetti antichi sospesi all interno! "
"ui_bubble_rating bubble_50","Cenone di capodanno TOP ??","Abbiamo cenato qui la sera del 31 locale molto carino e accogliente , personale professionale e bistecca all'altezza . Ci torneremo sicuramente ."
