"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","una cucina autentica","ottima cucina da veri professionisti e autentica. Siamo stati oggi a pranzo e ritorneremo sicuramente appena possibile anche per la cena. Musica di sottofondo molto gradevole. il personale è molto gentile. Tutto perfetto. Alla prossima!"
"ui_bubble_rating bubble_50","Ci siamo capitati per caso","... e siamo rimasti molto sorpresi per l’ambiente, il servizio e la qualità della cucina.E dire che siamo arrivati all’ultimo momento, pochi minuti prima della chiusura della cucina, ma nonostante questo i camerieri sono stati impeccabili e disponibilissimi.Le pappardelle al ragù di capriolo ottime e ottimo il diaframma di vacca alla griglia con peperoni saltati.Infine il tiramisù nella versione toscana, con i cantuccini di Prato al posto dei savoiardi, è stato davvero eccellente.Il mio voto è 5, perché ci sanno fare (e poi non sono cari: 32 euro compreso un bicchiere di Chianti Classico, caffè e digestivo)"
"ui_bubble_rating bubble_50","Estremamente soddisfacente!!!","Locale accogliente, personale competente, carta dei vini a vista molto interessante, e dei piatti, a mio gusto, molto buoni, con un ottimo rapporto qualità/prezzo...Un locale per fiorentini e non solo..."
"ui_bubble_rating bubble_50","Lontano dal rumore un spazio di qualità","Davvero una bella serata! Io e la mia amata ci siamo sentiti accolto da un servizio presente, cordiale e mai invadente. L'ambiente caldo e sobriamente di stile con cura dei dettagli. Il menù offre innovazioni, rispetto ai soliti menù da turisti a Firenze, onorando i gusti tradizionali della cucina Toscana. Ottimo anche il vino consigliato, prezzi in linea con la proposta. C'è rimasta la voglia di provare gli altri piatti che non abbiamo potuto prendere, sicuramente torneremo!"
"ui_bubble_rating bubble_40","Pranzo domenicale ottimo.","Perché 4/5 anziché 5/5?Beh perché davvero basterebbe pochissimo a questo ristorante per essere al top di ogni scelta.Il locale è davvero carino, raccolto, ricercato negli arredi e nella struttura. Il personale è cordiale e pur essendo ad un tiro di schioppo da Palazzo Pitti, è tutto tranne che una trappola per turisti.Abbiamo ordinato due antipasti, un primo ed un secondo. Tutti e quattro i piatti si sono dimostrati golosi, delicati, saporiti e con una vera personalità.Ad esso abbiamo accompagnato un calice di rosso e una bottiglia di acqua.La fonduta ai funghi con l'uovo e il Baccalà davvero superbi.La spesa totale è davvero contenuta per la qualità del pranzo. 55€ coperto incluso. I particolari da migliorare?- le luci della sala sono davvero particolari. È un peccato il cavo di corrente sia arrotolato e non in misura.- La tovaglia non è perfettamente stirata, si vedono delle pieghe che davvero stanno male- La porta del bagno, bello pure il bagno, dovrebbe rimanere chiusa anziché perennemente aperta. Sistemati questi tre aspetti direi sicuro 5/5.Ma sicuro tornerò :)"
"ui_bubble_rating bubble_50","Rustico elegante","Locale molto bello, tavola elegante in ambiente rustico. Personale molto educato. Ottimo rapporto qualità prezzo. Da consigliare."
"ui_bubble_rating bubble_40","Una conferma","Ci siamo recati a Firenze per una gita di famiglia ed abbiamo prenotato questo locale in anticipo. Veramente un piacevole pranzo! Gli antipasti deliziosi come pure le minestre ed il secondo. I dolci sono stati graditi come il Vin Santo in abbinamento. Abbiamo pasteggiato con calici di Vermentino e Chianti molto buoni. Servizio attento e disponibile. Il prezzo per il tipo di locale ed il servizio é assolutamente nella norma. Locale consigliato per un pranzo in tranquillità. Consigliatissimo!"
"ui_bubble_rating bubble_50","Ottima scelta","L'Osteria l'abbiamo scoperta per caso, passeggiando. Si trova vicino a Porta Romana, fuori dal caos del centro storico (che si raggiunge comunque in poco tempo) . Abbiamo mangiato benissimo, tutto ottimo, dal vino, ai primi piatti, alla selezione di formaggi. Il flan eccezionale. I camerieri molto gentili e preparati. Consigliatissimo!"
"ui_bubble_rating bubble_40","Buon cibo con stile","Una cena su consiglio di amici, prenotando il tavolo. Abbiamo mangiato tartara, pappardelle al sugo di capriolo, quaglia su letto di cavolo verza. Per dessert cannolicchi siciliani su una ganache al rum. Un bicchiere di sangiovese di Montalcino. Consiglio questo locale per lo stile con cui si rivisitano piatti classici della cucina toscana e non: buoni sapori, buone cotture e molta concretezza. "
"ui_bubble_rating bubble_50","Incontro inaspettato","Trovato grazie ad un suggerimento di una persona del luogo e fortunati ad aver trovato posto senza prenotazione. Locale con pochi tavoli che creano un'atmosfera intima e romantica. Personale accogliente e preparato. Bistecca di chianina a dir poco squisita, consigliataci dalla cameriera. Conto in linea con la qualità dei prodotti."
"ui_bubble_rating bubble_40","Da ripetere","Buoni tutti gli antipasti ( a parte il flan ma son gusti) ed anche la pasta. Il vero fiore all'occhiello sono la carne(ottima) e la fenomenale scelta di vini. A presto"
"ui_bubble_rating bubble_50","Una piacevolissima pausa pranzo ","Piacevole scoperta in pausa pranzo congresso. Servizio impeccabile, locale originale e pietanze fresche e delicate. Abbiamo provato il baccalà, vermentino super e cannolini siciliani...meno male che il congresso dura ancora un paio di giorni!! Da provare."
"ui_bubble_rating bubble_50","Numeri uno!","Frequentiamo l'Enoteca dal 2011, almeno una visita all'anno, tappa obbligata quando si viene a Firenze. All'Osteria era la nostra seconda volta, che dire... la qualità e la cura sono le stesse dell'Enoteca, con la sola differenza che qui c'è la carnazza vera! Sempre bella l'idea di scegliersi la bottiglia direttamente dalla cantina, con la solita selezione molto curata di aziende meno famose, ma veramente valide. Chianina da 1,4 kg... peccato non si possa mangiare pure l'osso!"
"ui_bubble_rating bubble_50","Buonissimo!","Tutto ottimo prezzi abbordabili e personale molto gentile, ci siamo trovati davvero bene e sicuramente torneremo se dovessimo ripassare da Firenze. Meglio prenotare"
"ui_bubble_rating bubble_50","Fantastica esperienza!!!","Posticino TOP per una cenetta rilassante e gustosa !Noi abbiamo mangiato, due tartare, i pici al papero , una cheseecake, un dolce allo yogurt e una bella bottiglia di rosso! Piatti tutti da 10, ah, abbiamo pure assaggiato il soufflé di zucchine, il cinghiale, il mascarpone e i canoli siciliani degli amici al tavolo con noi, tutto ottimo.Servizio gentile e molto simpatico, ragazzi giovani davvero in gamba e con la battuta pronta!Prezzi molto onesti per la qualità dei piatti e per il tipo di locale.Esperienza che rifaremo senza ombra di dubbio, bravi, continuate cosi!"
