"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Piatti unici in un'atmosfera speciale","Mi chiamo Engler M. ,sono stata ieri sera con il mio compagno e sono stata veramente beneposto accogliente ottimo il servizio , ottima la compagnia il personale è giovane simpatico e gentile.Piatti particolari complimenti allo Chef"
"ui_bubble_rating bubble_50","Ottimo dall'aperitivo al dolce","Un mix tra location fantastica e cibo squisito: basterebbe solo questo per consigliarlo. Ma quello che mi ha colpito di più è stata l'atmosfera: davvero d'effetto."
"ui_bubble_rating bubble_50","Posto unico in Firenze","Prima volta in questo locale. Ambiente unico e raffinato, senza parole per il panorama mozzafiato dalla terrazzina. Personale cortese e competente, piatti eccellenti sia per il gusto che per la preparazione. Ho mangiato gnocchi di porcini disidratati al gambero rosso di Mazara e ricciola agrumata con carbone di seppia e friggitelli, infine cheesecake di caprino con confettura di pomodorini e grappa. Per il vino fatevi consigliare dal cameriere, veramente competente in materia. Ci ritornerò sicuramente."
"ui_bubble_rating bubble_50","Esperienza sublime...","Location che fa restare senza fiato, piatti unici e preparati in maniera impeccabile. Ho preso: tagliatelle alla chitarra con cinta senese e gineopro, agnello in crosta di pistacchi con bietoline e salsa al caffè e infine il tortino dal cuore caldo di cioccolato e gelato al caramello salato, il tutto accompagnato da un ottimo vino rosso consigliato dal cameriere (preparatissimo!). Da tornarci assolutamente."
"ui_bubble_rating bubble_40","Panoramico SOLO DI GIORNO: la foto riguarda evidentemente un piano non accessibile !!!","Decisamente buono, ma cambierei la denominazione Panorama DI GIORNO Restaurant.Infatti DI GIORNO si vedrà qualcosa ma di sera è decisamente buio, si vede solo in alto Forte Belvedere, unico edificio illuminato. Pure essendo una terrazza completamente all'aperto sono desisamente TALEBANI con i fumatori, al tavolo non si fuma !!!"
"ui_bubble_rating bubble_30","Bella location, ma niente più ","Parto dalla location che è il fiore all'occhiello del ristorante: abbiamo cenato sulla romantica terrazzina più alta, che offre un panorama stupendo a 360° di Firenze ( quella inferiore non è un granché)... L'accessibilità al ristorante è davvero limitata essendoci varie scale molto strette già dall'ingresso del palazzo, passando poi per un ascensore terribilmente piccolo e poi ad altre scale. Il personale però si è dimostrato molto gentile nell'aiutarci a salire. Sul cibo invece non ci siamo: prezzi davvero alti , giustificati solo in piccola parte dalla bella vista di cui si gode. Porzioni molto scarse, menù ridotto e qualità nella media. Abbiamo preso un antipasto, due primi e due dolci, con due calici di vino e acqua spendendo poco meno di 100 euro.. Riguardo i vini il cameriere con i baffi è sembrato molto sul pezzo e si è dilungato a spiegarci dettagliatamente la carta dei vini, ma il rincaro sulle bottiglie è troppo evidente e non si può far pagare un calice alla mescita 10-12 euro! "
"ui_bubble_rating bubble_50","Serata stellata: sia in cielo che a tavola!","Ristorante su due livelli posto in vetta all’Hotel La Scaletta di Via de Guicciardini.Location senza eguali, con vista panoramica a 360 gradi sul Forte Belvedere, Duomo, Santa Croce, Santo Spirito ecc….Il menù nel corso degli anni ha subito un netto e significativo miglioramento fino a raggiungere – allo stato attuale – livelli meritevoli di riconoscimenti prestigiosi.Amuse-bouche: cappelletti con ripieno di trippa su crema di funghi porcini;a seguireRisotto “Acquerello” all’anatra e arancia e gelato alla liquirizia;Gnocchi di porcini disidratati al gambero rosso di Mazara e basilico;Cappelletti con guancetta di vitello su fonduta di pecorino di Pienza;Filetto di manzo al tartufo nero;Crema di pappa al pomodoro con flan di parmigiano reggiano e wafer al tartufo;Tortino dal cuore caldo di cioccolato e gelato al caramello salato.Vino Nebbiolo delle Langhe piemontesi.Davvero impeccabile la preparazione e la cortesia del sommelier Luis nonché la professionalità e preparazione del cameriere Andrea."
"ui_bubble_rating bubble_50","Il top di Firenze","Arrivati al locale il personale molto cortese ci ha fatto accomodare in questa piccola terrazza dall'atmosfera intima, quasi fosse un luogo segreto. Da lì abbiamo potuto ammirare tutta Firenze dall'alto e il panorama è stato solo il fiore all'occhiello di una cena perfetta. Dall'antipasto al dessert, il nostro pasto è stato una piacevolissima esperienza dove ogni piatto traspirava la cura e la dedizione dello chef. Complimenti a lui e al suo team che sono riusciti a trasmettere nei loro piatti l'amore e la passione per il loro lavoro. Da prova e ritornarci assolutamente!"
"ui_bubble_rating bubble_50","Cena strepitosa! Tutto perfetto","Serata stupenda sulla terrazza. Abbiamo mangiato benissimo, coccolati dal personale. Ottimo il vino che ci ha accompagnato durante la cena. Grazie"
