"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Molto buono e ci tornerei","sono stata un sabato a pranzo con il mio ragazzo, abbiamo ordinato una coca cola , un acqua, un vino rosso, due primi e due secondi.tutto ottimo e servizio ottimo. conto di 116 euro e ci sta.porzioni abbondanti e tutto buonissimo."
"ui_bubble_rating bubble_20","Troppo caro in rapporto al servizio che offre","Locale piuttosto minuscolo e tavoli addossati l'uno con l'altro. Eravamo in tre ma nonostante la prenotazione ci hanno dato un piccolissimo tavolo per due dove non ci stava nulla. Tagliatelle al ragù sufficienti e buona Fiorentina piuttosto cara (75,00€). Vino in bottiglia Chianti Colli Fiorentini senza infamia e senza lode, servizio piuttosto goffo con cameriere che ti sposta di peso per metterti il piatto in tavola. Prezzi del menù da ristorante medio alto e servizio da osteria. Concludo che avendo mangiato in molti altri posti a Firenze non lo consiglierei di certo e tanto meno ci tornerei."
"ui_bubble_rating bubble_50","Fantastico","Sono stata in questo locale per la cena del primo gennaio e mi sono trovata benissimo. Il locale è molto bello, soprattutto la stanza al piano di sotto. Il personale è gentile ed efficiente, il cibo ed il vino buonissimi. Sicuramente consigliato!!"
"ui_bubble_rating bubble_50","Superlativo ","Sono stato con amici la sera del primo gennaio, non avevamo prenotato, il locale era tutto pieno ma il proprietario è stato gentilissimo e ci ha subito trovato una sistemazione. Il servizio è stato impeccabile, persone super gentili e cordiali con una cura maniacale nei dettagli.Abbiamo ordinato la tipica bistecca alla Fiorentina (accompagnata da tanti assaggi, crostini tipici fiorentini, purè di patate al tartufo, fagioli stufati e molto altro ancora) la più buona che abbia mai mangiato e questo è merito dello chef Giovanni che con dedizione e passione serve i suoi piatti..."
"ui_bubble_rating bubble_40","Fiorentina cara ma buona","Consigliati da un amico ci siamo ritrovati in questo ristorante .Abbiamo ordinato la fiorentina da 1200g come da menù al costo di 75euro per due persone, qualità ottima forse leggermente cara. Servizio veloce"
"ui_bubble_rating bubble_50","Gran Bistecca","Scelto tra i consigliati dall’albergo abbiamo provato questo bel posto per cenare sabato 29.Prenotato per le 21 ci hanno fatto subito accomodare.Personale squisito ci hanno descritto i piatti e trattato con garbo i bambini.Pici all’aglione con guanciale pomodorini e pecorino da favola, poi Gran bistecca.Porzioni abbondanti e prezzi giusti completano un bel locale caratteristico.Da provare."
"ui_bubble_rating bubble_40","Abbondantemente buono!","L'osteria si presenta come quelle tipiche fiorentine con tavoli e sedie rustiche. Le porzioni dei piatti sono molto abbondanti, così come il vino servito al calice, ed i prodotti sono di qualità e vengono trattati con cura dalla cucina. L'unico appunto che posso fare è che la carne di cinghiale era un pò troppo avanti di cottura e pertanto risultava secca ma i primi piatti, gli altri secondi ed il dolce davvero buoni. Il personale è stato attento, cordiale e gentile. Consigliato!"
"ui_bubble_rating bubble_50","Una Bistecca da Favola","Consigliati dall'hotel Baglioni, siamo andati a mangiare espressamente al ristorante Parione (nome del Quartiere) e vi posso assicurare che ancora adesso ho gli odori delle tagliatelle hai funghi e della Buonissima Bistecca alla fiorentina 1,2 kg di carne strepitosamente cucinata! in un ambiente cordiale ed amichevole Consigliatissimo!"
"ui_bubble_rating bubble_40","BUONO E TRADIZIONALE, PORZIONI POLIFEMICHE!!!","Una trattoria caratteristica fiorentina di ottima qualità. Piatti ben presentati e di abbondanza a dir poco esuberante! I pici all'aglione molto buono, come le mezzelune di ricotta in crema di formaggio, un po' secco il cinghiale con polenta, che tira su la carne ma questa andrebbe accompagnata con un po del suo sugo. L'ossobuco è da applausi ma la porzione è almeno per due persone, un peccato non esser riuscito a finirla. D'altronde la caratteristica del Parione è questa accogliente abbondanza e l'abbiamo capito dopo, quando alcuni ospiti si facevano fare i piatti da dividere in due! Dolce buono ma a fine di un pasto così è stata un'impresa finirlo. I prezzi sembrerebbero alti ma le porzioni equilibrano una tale richiesta, così come il vino al calice che è servito in quantità abbondante. La prossima volta ci organizzeremo per affrontare una tale esuberante proposta. Il personale de il gestore del locale persone squisitissime, attente al cliente e molto simpatiche!!! Bravi!!"
