"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","accettabile","pizzeria di buona qualità servizio accettabileprezzo nella media servizio velocelocale pulito per una pizza veloce si può fare"
"ui_bubble_rating bubble_50","Ottima scoperta! ","Vicinissimo agli Uffizi, pizza ottima, personale cordialissimo (che ci ha fatto utilizzare senza problema il bagno mentre aspettavamo le nostre 6 pizze da asporto).Prezzo giusto per essere in centro a Firenze.Ottima scoperta!Siamo capitati per caso ma torneremo sicuramente per una pausa pranzo veloce e deliziosa ."
"ui_bubble_rating bubble_10","La pizza è cruda","Il posto sembra carino, ma si è rivelato una delusione. “Pizza pachino” fatta con i cuore di bue e per giunta la pizza era pure crudaTuristata"
"ui_bubble_rating bubble_50","Eccellente ","Pizza molto buona molto simpatici i camerieri e il servizio e veloce ed efficace peccato per il forno elettrico secondo me sarebbe molto meglio un forno a legna e la pizza sarebbe Forese meglio però la pizza e veramente uno spettacolo "
"ui_bubble_rating bubble_40","Ottima scoperta","Ci siamo recati la sera a mangiare attirati dal nome; locale piccolo ma grazioso e caratteristico, non molti i gusti delle pizze ma comunque davvero buone (considerando anche che il forno è elettrico e non a legna). Impasto morbido e condimento da vera pizza napoletana con un sugo fresco e per nulla acido e una mozzarella davvero buona che insieme al sugo formava quel sugo rosato tipico delle pizzerie napoletane. Particolare anche la pizza al pesto."
"ui_bubble_rating bubble_50","Pizza ottima e grande accoglienza","Ho pranzato la vigilia di Natale in questo piccolo e accogliente locale.ottima qualità pizza squisita come solo la tradizione napoletana sa garantire.consiglio assolutamente!ci si sente accolti e coccolati!Grazie al gentilissimo staff"
"ui_bubble_rating bubble_50","Ottima pizza nel centro di Firenze","Ci siamo trovati per caso di fronte a questa pizzeria e attirati dagli ottimi profumi siamo entrati e davvero non ci siamo sbagliati. Piccola Pizzeria, poche pizze ma di grande qualità e simpatico ed efficiente il personale in sala. Sicuramente consigliato. Bravi"
"ui_bubble_rating bubble_40","Cuore rosso","Piccolo distaccamento di pizzeria napoletana a Firenze. Accoglienza simpaticissima,pizza ottima. Consigliatissimo le pizze con bufala e salame piccante,la pesto e mozza "
"ui_bubble_rating bubble_50","8 dicembre","Buonissima prodotti da vera pizza napoletana in tre per far fare una merenda alla piccola viola ma alla fine ho assaggiato e credo perop che ci tornerò"
