"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Buona pizzeria familiare","Pizzeria tradizionale con forno a legna, collocata nella zona del Mercato Coperto. Locale piccolo ma servizio molto attento e veloce che permette rapidi pranzi e cene. Pizza buona ma non memorabile. Prezzi onesti, considerando che siamo nel centro di Firenze."
"ui_bubble_rating bubble_50","Pizza ottima!!","Pizza buonissima, leggera e camerieri davvero gentili e ospitali!!Lo consiglio come luogo per gustarsi una pizza in compagnia senza sentirsi troppo appesantiti a fine cena!!Bravi!!!"
"ui_bubble_rating bubble_40","Tutto buono","Piccolo locale vicino a Santa Maria Novella che accetta le prenotazioni, personale molto gentile e disponibile pizza buona e dolci ottimi prezzi normali."
"ui_bubble_rating bubble_50","Pizza e dolci eccezionali:)","Il posto è piccolino ma la cucina e il servizio sono ottimi: sia la pizza che i dolci (rigorosamente fatti in casa e con materie prime BIO) sono deliziosi. Il servizio è perfetto: i ragazzi ci hanno fatti sentire a nostro agio e ci hanno supportati nelle scelte con professionalità e gentilezza. Davvero piacevole, torneremo sicuramente la prossima volta che saremo a Firenze."
"ui_bubble_rating bubble_50","Fantastico","Una pizza favolosa, l'impasto leggero e molto gustoso, e i dolci sono uno spettacolo. È un po' piccolo il locale ma tutto sommato comodo, e il personale è molto gentile e simpatico. Prezzo onesto. Altamente consigliato. Allego foto di un dolce spettacolare.. "
"ui_bubble_rating bubble_40","Da provare...","Locale un po' troppo piccolo ma accogliente..personale cortese e simpatico ma soprattutto ottima pizza!! Confermo quanto di buono letto nella varie recensioni...lo consiglio!!"
"ui_bubble_rating bubble_50","Pizza a dir poco favolosa","La miglior pizza che abbia mai mangiato, leggera e gustosa. Complimenti al personale, molto simpatico e disponibile."
"ui_bubble_rating bubble_50","in ricordo di una visita all'Eremo...","Indicata tra le migliori pizzerie della città, prenoto un tavolo con mia moglie spinto dalla curiosità. L'esito non ha deluso le aspettative. Locale piccolo come vuole la tradizione della zona (antistante il mercato centrale), pizza ottima, sia per la freschezza degli ingredienti che per l'originalità del loro abbinamento. Personale cordiale e servizio attento e sollecito. Da consigliare vivamente!"
"ui_bubble_rating bubble_50","Pizza prima di partire","Siamo stati il 30 Dic sera, vicino alla stazione a lato del mercato Centrale e siamo rimasti soddisfatti dalla bontà della pizza, dalla cordialità e dalla velocità del servizio.Il locale è piccolo ma tutto funziona alla perfezione.Pizza ottima, digeribile e con ingredienti buoni. Fragrante fino all’ultimo.Lo consiglio vivamente."
"ui_bubble_rating bubble_50","Perfetto tutto","Locale piccolo accogliente e ben curato. Personale cordiale e preparato. La pizza ottima per qualità e quantità degli ingredienti, dolci fantastici, conto corretto. Complimenti, consigliatissimo."
"ui_bubble_rating bubble_50","Pizza ottima!","Complimenti! Pizza buonissima, croccante e spumosa allo stesso tempo, ingredienti di qualità. Ho preso la Regina Margherita,una tra le pizze più buone che io abbia mai mangiato.Prezzi onesti e personale molto gentile. Consigliatissimo!"
"ui_bubble_rating bubble_50","Pizza stupenda.","Locale in pieno centro, piccolino ma curato. Pizze eccezionali, personale gentilissimo e ampia scelta di vini e birre."
"ui_bubble_rating bubble_50","Davvero buona ","Ottime pizza a prezzi con prezzi ragionevoli. Trovato dopo una piccola ricerca su google.Andateci non ve ne pentirete "
"ui_bubble_rating bubble_50","Pizzeria i camaldoli","Locale piccolo ma accogliente personale gentilissimo pizze ottime e ottimi i dolci consigliatissimo. "
"ui_bubble_rating bubble_50","Pizza e dolci eccezionali ","Ottima pizza e dolci di rara bontà! Personale gentile, cortese, attento al cliente! Lo consiglio vivamente! "
"ui_bubble_rating bubble_40","Buona pizza","Buona la pizza napoletana. Servizio veloce. Locale molto piccolo. Conviene sempre prenotare. Personale accogliente. Prezzi buoni considerato che si è in centro. Ho usufruito di sconto the fork. Consigliato. "
"ui_bubble_rating bubble_50","Pizza ottima","Di ritorno da Milano, io e mio marito, abbiamo trovato questa pizzeria affidandoci al mondo delle recensioni e devo dire che la scelta è stata ottima.Pizza buonissima, prodotti di qualità ambiente familiare, personale cortese e disponibile. Il pizzaiolo è un ragazzo giovane e molto gentile che si è intrattenuto con noi raccontandoci con entusiasmo dell'inizio di questa attività, di come vengano usati solo prodotti di qualità a partire dalla farina, l'olio (ottimo) e il pomodoro e devo dire che il risultato ottenuto è davvero ottimo.La pizzeria si trova in piazza del mercato centrale (non dentro il mercato coperto).Complimenti davvero a Tommaso, Emanuele e a tutto lo staff e in bocca al lupo per il proseguimento della vostra attività!!!P.s. io intanto ho già riprenotato....una delle migliori pizze che ho mangiato a Firenze !!!!"
"ui_bubble_rating bubble_50","Pizzeria camaldoli","Locale piccolo ma accogliente. Pizza ottima e leggera impasto top. Ci siamo trovati bene. Si trova nella piazza mercato al centro di firenze accanto ad altra pizzeria più grande ma io ho scelto pizzeria Camaldoli e ho fatto bene. Consigliatissimo."
"ui_bubble_rating bubble_50","Scoperta interessante ","Consigliata da un’amica ho prenotato al Camaldoli per una pizza dopo un giro nel centro di Firenze. Il locale si trova nella piazza del mercato centrale vicino ad una famosa pizzeria dove si trova sempre una lunga coda all’esterno. Avessi potuto avrei consigliato a chi era in coda di spostarsi verso la pizzeria Camaldoli la cui pizza, a confronto è mille volte migliore (ho avuto modo di assaggiarla e lo dico con cognizione di causa). Impasto saporito e alto ma non troppo, condimento abbondante e di buona qualità! I dolci da 10 e lode e ottimo il servizio! Ambiente piccolo e tranquillo. Prezzi nella media della zona. Non conoscevo il posto ma adesso so di certo che ci tornerò! "
"ui_bubble_rating bubble_40","Super CALZONE!","Ho trovato questa pizzeria navigando su internet grazie a the fork, facilmente raggiungibile dalla stazione di SMN e a due passi dal cuore della città.Il locale è molto piccolo, circa una trentina di posti a sedere.Io e la mia ragazza abbiamo ordinato un misto del norcino che abbiamo diviso, una cimabue e un calzone e per concludere due ottimi dolci della casa.La macinatura a pietra della farina fa la differenza, l' impasto è leggero e di conseguenza facilmente digeribile.Rapporto qualità-prezzo ottimo grazie anche allo sconto ricevuto grazie a the fork.Siamo stati molto bene! "
"ui_bubble_rating bubble_40","Pizza a pranzo","Quando ti viene la voglia di pizza a pranzo speri sempre di trovare un posto che non ti deluda. Siamo stati fortunati! Ottima vegetariana e ottima Cimabue. L'impasto ai cereali è gustoso e leggerissimo! Ci torneremo presto. Bravi ragazzi!"
"ui_bubble_rating bubble_50","Piacevolissima scoperta","Attirati dalla recensioni abbiamo deciso di prenotare in questa pizzeria e siamo rimasti più che soddisfatti. La pizza è davvero leggera, gustosissima. Su suggerimento della deliziosa cameriera io e mio padre abbiamo scelto la Fenice, davvero strepitosa. I dolci, tutti di loro produzione sono assolutamente da provare. "
"ui_bubble_rating bubble_50","Cena tra amiche","Ho mangiato qui venerdì 23 novembre a cena.Posto scelto praticamente a caso,per la vicinanza all'Hotel. Ho trovato l'impasto della pizza molto buono come anche i condimenti utilizzati e il prezzo ottimo per la posizione centrale. Il locale è piccolo ma accogliente e il personale gentile."
"ui_bubble_rating bubble_50","Piacevole scoperta","Pizzeria in zona centralissima. Ambiente carino. La pizza è molto buona, anche quella senza glutine non è male. Buono il dolce al cioccolato. "
"ui_bubble_rating bubble_50","Pizza ottima","Il Locale è piccolo ma molto carino, personale cordiale e servizio veloce, lo consiglio vivamente!!!"
"ui_bubble_rating bubble_40","Ottime pizze in piazza del Mercato Centrale","Intercettato tramite App The Fork, abbiamo cenato in 2 con soddisfazione: i titolari hanno mantenuto la prenotazione senza problema (previo avviso telefonico per un ritardo del treno che ci portava a Firenze): al nostro arrivo abbiamo potuto scegliere dove accomodarci (ci sono tavoli tradizionali e tavoli rialzati con poltrone a sgabello) e ordinare dal menù che offre un'adeguata varietà di pizze (e non solo) ma senza gli eccessi di quei locali che propongono 30/40 composizioni. Entrambi abbiamo scelto una specialità della casa e siamo rimasti più che soddisfatti: pizza in stile napoletano (piccola e non scrocchiarella), ingredienti freschi, digeribilità nella media. Ampia offerta di birre in bottiglia, purtroppo alla spina solo una bionda o una rossa (Poretti, cmq una buona scelta). Ho, ahimé solo, visto passarmi davanti alcuni piatti di dolci che mi sono ripromesso di provare la prossima volta. Nota di merito: molto cordiali e sorridenti tutti i dipendenti."
"ui_bubble_rating bubble_50","Pizza 10 e lode!!!","Una piacevole scoperta, locale piccolo con pochi coperti ma con una cucina che fa impallidire i ristoranti più quotati. Pizza favolosa alta ma ben cotta e digeribilissima. Degni di una nota speviale i dolci, artigianali e buonissimi!!! Di sicuro torneremo e spargeremo voce di cotanta bontà e gentilezza!!! Nb: ricordatevi di prenotare prima sempre e comunque!!!!"
"ui_bubble_rating bubble_50","Pizza e birra","Tutto ottimo servizio speciale tante pizze che puoi scegliere..locale piccolo prenotate prima di andare"
"ui_bubble_rating bubble_40","Pizza buona, personale gentilissimo","Affamatissimi dopo un'intera giornata a passeggiare per la città, prenotiamo per 2 alle 19:30, orario insolito per noi per cenare, ma avevamo mangiato solo un tramezzino alle 12. Risponde al telefono un ragazzo gentilissimo che ci fa scegliere due orari 19:30 o le 20:00 optiamo per il primo. Arriviamo puntuali e ci fanno accomodare subito. Il locale è piccolino ma è pulito. Il forno è a gas e non a legna, i pizzaioli non sono napoletani, ma la pizza è davvero buona. Ordinata e arrivata in un attimo, non hanno la friggitrice,quindi non abbiamo potuto ordinare delle patatine fritte. Di loro produzione anche dell'ottimo olio. Tutto condito da tanta gentilezza e professionalità. Consiglio vivamente questa pizzeria."
"ui_bubble_rating bubble_30","Gluten free ni ","Abbiamo preso due pizze da asporto delle quali una senza glutine. Solo dopo aver ordinato capisco che la pizza senza glutine parte da una base preconfezionata per essere poi solo condita in loco e cotta separatamente in un forno elettrico. Mi aspettavo un impasto fatto da loro o che almeno fossi avvisata che non era in toto di loro produzione...infatti alla fine non ho apprezzato nemmeno il sapore, peccato... Per quanto riguarda la pizza fatta con il loro impasto e cotta nel forno a legna era molto buona.Rapporto qualità prezzo nella norma Personale cortese e preciso "
"ui_bubble_rating bubble_50","Pizza di altissima qualità a Firenze","Pizza buonissima. Impasto di farina macinata a pietra e ingredienti di alta qualità. Gentilissimo il proprietario, che ci ha fornito anche tante utili informazioni turistiche. Ottimo rapporto qualità-prezzo. Se torniamo a Firenze ritorneremo."
"ui_bubble_rating bubble_50","Pizza squisita<U+0001F60B>","Sono andata stasera con il mio fidanzato abbiamo mangiato la pizza buonissima leggera e molto squisita la birra molto buona e infine i dolci fatti in casa squisita il Servizio gentile e simpatico lo consiglierò molto volentieri <U+263A><U+FE0F>"
"ui_bubble_rating bubble_40","Pizza senza glutine","Sono stata a cena in questo ristorante-pizzeria con il mio ragazzo, il locale si trova nel centro di Firenze è piccolo e con poco spazio, ma il menù ha un'ampia offerta, anche di prodotti senza glutine. Abbiamo preso due pizze, una normale e una senza glutine, molto buone entrambe. Il servizio è stato preciso e veloce e il cameriere si è dimostrato molto attento alle mie intolleranze alimentari. Rapporto qualità-prezzo molto buono, lo consiglio sicuramente per passare una serata tranquilla e mangiare una buona pizza a prezzi accessibili."
"ui_bubble_rating bubble_50","Ottime pizze e personale gentilissimo.","Nel centro di Firenze, un locale intimo e accogliente, con cibo di qualità e prezzi ragionevoli. Le pizze sono le più buone che avessi mangiato da tempo, e c'è una grande scelta di dolci fatti in casa e di vino e birre. Il personale poi è gentilissimo, davvero un locale consigliato!"
"ui_bubble_rating bubble_50","Pizza ottima","Una buona pizza, conosciuta tramite sito. Veloci e molto carini con la clientela. Si trova nel cuore di Firenze. "
"ui_bubble_rating bubble_50","La simpatia e la cordialità di Arcangelo sono il tocco in pù!","l locale è piccolo, il che aumenta la sensazione di intimità specie se ti siedi ai tavolini rialzati con gli sgabelli alti."
"ui_bubble_rating bubble_50","Ottima serata","Sono stato in questa pizzeria per una serata fra amici e devo dire che è stata davvero un'ottima serata. I camerieri sorridenti ed educati, l'antipasto di affettati misti eccellente con prodotti di ottima qualità. Infine le pizze a dir poco squisite! Ci tornerò, lo consiglio!"
"ui_bubble_rating bubble_40","Un piccolo locale ma una grande pizza","Un locale giovane con ragazzi molto gentili che presentano il loro menù di pizze e dolci di ottima fattura."
"ui_bubble_rating bubble_50","OTTIMA SERATA!","Siamo stati io ed un mio amico a mangiare in questo ristorante vicino al Mercato Centrale. Personale gentile, locale molto carino e pizza davvero ottima. La location è strategica essendo completamente in centro e il menù vario con molte pizze gustose. Abbiamo preso un antipasto e da dividere, 2 pizze belle farcite, 2 birre e caffè. Con lo sconto del -20% di The fork abbiamo speso 20,00€ a testa. Consigliato!"
"ui_bubble_rating bubble_40","Pizza e dolce ottimi","Pizza squisita cotta a legna. Buono sia l'impasto che le materie prime, e si può scegliere tra le pizze classiche e delle pizze originali con degli ottimi accozzamenti di sapori. Stessa cosa per i dolci, solo che qui l'originalità mi ha veramente colpito! Ho preso una mousse al caffè con arancia e caramello veramente buonissima!!2 sole pecche: le birre artigianali in bottiglia hanno prezzi stratosferici (12€ mezzo litro), ma basta non prenderle; il ristorante è piccolissimo, sui 30 coperti e con spazi stretti. Naturalmente il servizio è di migliore qualità e più veloce della norma, però a me piace stare largo, motivo per cui ho dato 4 stelle e non 5"
"ui_bubble_rating bubble_50","Fantastica scoperta, proprio in centro!","Il posto si trova praticamente al Mercato Centrale di Firenze, fuori dalla struttura, e davanti c'è un parcheggio a pagamento, quindi trovare posto è abbastanza fattibile ma bisogna pagare.L'interno è nuovo, tenuto molto bene, pochissimi coperti ma posti abbastanza intimi, soprattutto i tavolini a due che sono divisi da dei simpatici divisori. Molto carina la pizzeria a vista separata da vetri trasparenti , si vede subito entrando la grossa attenzione ed alla pulizia del posto.Siamo stati in due a fare merenda con un dolce del giorno, alta qualità e prodotti freschissimi. Costo giusto per essere in centro a Firenze ( €5 a dolce).Il posto è principalmente una pizzeria con prodotti freschi e di qualità, qualche antipasto e insalata, ed i dolci. Vedendole portare le pizze hanno un aspetto interessante, con il bordo abbastanza alto. Il prezzo delle pizze oscilla intorno agli otto euro, che ripeto per essere in centro a Firenze è veramente buono. Abbiamo già prenotato per andarci a cena. Il menù delle birre offre una selezione proveniente da birrifici locali.Consigliatissimo."
"ui_bubble_rating bubble_50","Pausa pranzo..","Ambiente piccolo, ma molto accogliente,ottima la pizza di cui é stato chiesto il bis,situata bel centro del mercato centrale di Firenze... consiglio di andarci.."
"ui_bubble_rating bubble_40","Buona la pizza","Mi ci ha portato un mio amico e con mia sorpresa ho scoperto un piccolo posto dove la pizza è veramente buona. Buoni anche i dolci. Atmosfera serena. Da provare."
"ui_bubble_rating bubble_50","Pizza ottima","Sono andato con un gruppo di amici a mangiare una pizza in questo piccolo locale molto accogliente. Tutto benissimo, un prosecco offerto nell'attesa, pizza ottima e i dolci fatti dal proprietario Arcangelo superlativi.Ottimo"
"ui_bubble_rating bubble_40","Da provare. Consigliato!","Locale piccolo ma accogliente. Personale gentilissimo. Pizze buone con prezzi giusti. Accettano carte di credito."
"ui_bubble_rating bubble_50","Pizza squisita!","Abbiamo pranzato con pizza bio e soprattutto ben fatta e dell'ottimo vino, personale gentilissimo e locale accogliente dall'atmosfera rilassante. Consigliatissimo."
"ui_bubble_rating bubble_40","Non male","Personale gentile e scrupoloso, pizza non eccezionale ma disponibile in molte varietà anche particolari, buone birre artigianali. Però l'ho trovato un po' troppo caro."
"ui_bubble_rating bubble_50","Pizza (e non solo!) eccellente...","Abbiamo trascorso una piacevolissima serata alla pizzeria i camaldoli!Staff preparato e che fa con passione il proprio lavoro!!- Pizza eccellente... impasto, lievitazione ed ingredienti utilizzati sono di massima qualità- Ottima selezioni di vini... lo staff è appassionato e saprà consigliarvi i migliori accostamenti- Dessert (non sono un amante del dolce) fatti veramente con cura.Non abbiamo provato le birre artigianali, ma lo faremo presto!"
