"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Una gastronomia DOC","Una gastronomia che offre servizio al tavolo (5-6 tavoli esterni).Il personale è gentilissimo, molto simpatico e FIORENTINO DOC. Noi abbiamo mangiato due schiacciate, ma gli ingredienti sono davvero ottimi. Lasciatevi consigliare da loro, ma assaggiate la Sbriciolona."
"ui_bubble_rating bubble_20","Una gastronomia-trattoria","Ci siamo fermati in questo posticino che affaccia su una piazzetta e un sottoportico carini tra le viette di Firenze attirati dal sole che si affacciava sui tavolini esterni(5-6)per un pranzo veloce.Entrando si intuisce subito che è una gastronomia che serve al tavolo scaldando ciò che hanno cucinato loro in precedenza.Due primi(lasagne e ribollita)entrambi buoni,due secondi(seppie in umido e pollo allo spiedo)purtroppo serviti nello stesso piatto,ERESIA,una porzione di patate al forno,due calici di vino della casa e 1/2 di acqua.31,80€...insomma mi aspettavo di meno sinceramente ma comunque piatti buoni e gustosi.Ripeto peccato per quei due secondi portati nello stesso piatto..."
"ui_bubble_rating bubble_50","Ottimo","Ottimo servizio, tutti molto disponibili, ci siamo sentiti come a casa. Cibo molto buono e ottima posizione. "
"ui_bubble_rating bubble_50","Gustosa scoperta","Ci siamo fermati per caso durante una breve vacanza a Firenze. E' stata una piacevole sorpresa: i tavoli sono pochi ma se si trova posto vale la pena di assaggiare i piatti tipici , in particolare la Ribollita che è tutta un'altra cosa rispetto a quella offerta dai ristoranti per turisti. Il proprietario è una persona simpatica e se trova il tempo ama descrivere ciò che cucina. Il personale è molto disponibile e cortese. Essendo una gastronomia è possibile acquistare piatti d'asporto e consumarli in appartamento, se non si soggiorna in hotel."
"ui_bubble_rating bubble_50","Il vero street food fiorentino","Ho pranzato in questo posto al termine di una riunione di lavoro,insieme a dei colleghi fiorentini a cui avevo chiesto di evitare i posti preda di turisti o di bassa qualità. Eccomi servita. Un'antica pizzicheria con dei tavolini fuori, personale cordialissimo e un'ampia scelta di prodotti da banco, anche caldi, con cui comporre interessanti taglieri o piatti da condividere. Abbiamo preso: tagliere di salumi e formaggi, piatto misto di olive e sottoli, ribollita squisita, pappa al pomodoro, tagliatelle in bianco, mix di verdure stufate tra cui delle eccellenti cipolline borettane in agrodolce con foglie di alloro. Il tutto condito da un buon vino locale. Prezzo per persona, incluso il caffè: 15 euro. Assolutamente da consigliare."
"ui_bubble_rating bubble_40","Se vuoi un pasto eccellente al volo","Siamo stati in compagnia di un’altra famiglia.Dal duomo dista 5 min a piedi e ne valgono decisamente la pena, sia per il gusto che per il costo. Un piatto a 4,50€ che sia pappa al pomodoro o trippa o lasagna o ribollita ecc. I panini non li abbiamo assaggiati ma sembravano appetitosi. Assolutamente da provare"
"ui_bubble_rating bubble_50","Panini super!","Abbiamo gustato due panini con la sbriciolona (con fette di pane casalingo) allietate da un calice di vino della casa davvero eccellenti. Un piatto di pasticcio di osta con verdure e besciamella niente male. Un panino sempre realizzato con fette di pane con pecorino semistagionato di Siena, salame toscano e peperoni dolci grigliati davvero super! Prezzi onesti. Super consigliato! "
"ui_bubble_rating bubble_50","Il lampredotto della Pizzicheria del Porrati","Ci siamo fermati per caso, ero attratto dall'insegna fuori con su Lampredotto.Persone simpatiche e con cui scambiare due parole, mentre il lampredotto si riscaldava un po'.Lampredotto ottimo!"
"ui_bubble_rating bubble_10","Schifo","Una trapola,la commessa ci ha ingannato sui prezzi,ed e stata molto scorbutica da non consigliare a nessuno"
"ui_bubble_rating bubble_50","Panini senza glutine e prodotti locali ","Piccola e accogliente, con alcuni tavolini disposti fuori dal locale! Gastronomia e scelta eccellente delle pietanze! In più panini senza glutine da farcire a piacimento! Lampredotto ottimo!!! "
"ui_bubble_rating bubble_50","Una scoperta","C'è una bellissima canzone di Niccolò Fabi che dice: Raro è trovare una cosa specialenelle vetrine di una strada centralePer ogni cosa c'è un postoma quello della meraviglia è solo un po' più nascosto. Non amo scrivere recensioni a meno che qualcuno non mi stupisca molto positivamente o molto negativamente. Non aspettatevi un locale da movida, non pensate al locale alla moda... se non sei attento sembra solo una bottega, una salumeria. Ma sei fai attenzione, se sai andare oltre scopri belle persone, genuinità, cortesia, familiarità, una cucina bella, vera, toscana come volevo trovare ed un conto più che onesto. Mai fermarsi solo davanti all'apparenza, andare oltre, solo così si può fare una bellissima scoperta. "
"ui_bubble_rating bubble_30","Tipico....","Locale mix tra una salumeria ed una trattoria, propone in vetrina stuzzicherie varie e ottimi taglieri. Frequentato per un aperitivo tra le viuzze del centro, è senz'altro caratteristico ma non darei + dei 3 pallini vista la pulizia (il tavolo esterno era sporco e abbiamo dovuto richiedere noi la pulizia) e per il fatto che i cibi erano si buoni ma non eccezionali.Comunque per un aperitivo ci sta!"
"ui_bubble_rating bubble_50","Sentirsi a casa!","Ho soggiornato a Firenze per un breve week end con amiche di vecchia data, per caso sabato sera ci siamo fermati qui per un aperitivo in piazzetta, siamo rimaste solo un altro giorno ma siamo ritornate li altre tre volte! Uno staff eccezionale, allegro, attento e cordiale, ci hanno fatto davvero sentire come a casa! Tra le tante cose buone assaggiate vi consiglio vivamente gli Arancini, anche se a chilometri dalla Sicilia vi assicuro che sono buonissimi! C'è da dire che Firenze è bella tutta, ma credo che oltre all'assaggio di prodotti tipici ed ottimi il fattore umano ha sempre un gran valore aggiunto!!!"
"ui_bubble_rating bubble_40","Pranzo improvvisato","Un portico. Una piacevole brezza che lo attraversa. Un cameriere accogliente. Ambientazione perfetta per un pasto semplice e veloce in centro città."
"ui_bubble_rating bubble_50","Per un pranzo veloce ","Alla fine di borgo Albizi si può avere la gioia di assaporare le prelibatezze di questa piccola pizzicheria-gastronomia.Pochi posti all’aperto per uno spuntino veloce,grande scelta di piatti, tutto buonissimo fresco ed economico, condito di allegria e gentilezza dei titolari.Immancabile !"
"ui_bubble_rating bubble_50","Gentilezza e qualità","Ho soggiornato a Firenze per alcuni giorni insieme alle mie amiche, ci siamo fermate diverse volte presso la Pizzicheria molto volentieri. Il personale molto molto cordiale, cibi di qualità. Consiglio di assaggiare gli arancini, sono buoni quanto quelli che ho assaggiato in Sicilia! Se dovessi tornare a Firenze la tappa presso la Pizzicheria è d'obbligo! Ringrazio i proprietari che ci hanno fatte sentire a casa e ci hanno coccolate!"
"ui_bubble_rating bubble_50","Un giorno in piu","Simpatia 10Gentilezza 10+Qualità 10 Torniamo di certo .Ottimo per in pranzo veloce, tipico e buono."
"ui_bubble_rating bubble_50","Bella sorpresa!","Io e mio marito eravamo in cerca di un posto tranquillo dove mangiare prodotti tipici. Camminando per le stradine di Firenze, notiamo questo locale che inizialmente sembrava una salumeria, invece una signora molto gentile dai capelli neri, ci fa accomodare in una sala e ci consiglia dei piatti davvero sublimi! Non sono un'amante dei fagioli con la salsiccia , ma giuro di aver fatto anche la scarpetta ( ho ripulito il piatto con il pane!) perché aveva un sapore sublime! Ottimo vino della casa e rapporto qualità prezzo super! Consigliato!"
"ui_bubble_rating bubble_50","Casereccio e spettacolare","Ospitalità simpaticissima e grande assortimento di prelibatezze. Che dire di più? ottimo punto di ristoro per gustare uno spuntino con un ottimo bicchiere."
"ui_bubble_rating bubble_50","Fantastici !","Panini davvero gustosi E particolari ! Cè la possibilità di trovare molti prodotti tipici.Si possono avere panini senza glutine davvero molto buoni. Consigliatissimo!!!! Anche per il prezzo !"
"ui_bubble_rating bubble_30","Non lo so","Grande gentilezza per un alimentari/rosticceria. Anche troppa. Probabilmente per giustificare dei prezzi importanti. Qualità del cibo nella media. Espongono anche alcune confezioni di carne o cose varie da supermercato senza nasconderlo nella vetrina. Alcuni cibi in vetrina vecchi. Alcuni freschi e buoni. Cucina tipica e casereccia. Vini a prezzi troppo alti. Bicchieri sporchi igiene discutibile. Per me è un no mi dispiace. "
"ui_bubble_rating bubble_50","Ottima sbriciolona!","Ho mangiato un buon panino con la tipica Sbriciolona, accompagnata da del Pecorino Toscano, consiglio a tutti di provare accompagnando con un buon bicchiere di vino rosso! Personale simpatico e molto gentile!"
"ui_bubble_rating bubble_20","Per turisti che non tornano!","Posizione piacevole. Per la prima volta mi fermo da solo per cena, forse sono stato sfortunato, conosco la salumeria da anni. Vino rosso della casa molto modesto servito in calici ghiacciati. Primo piatto pasta al ragù di salsiccia, annegato nell'olio. A seguire peposo ben cucinato ma asciutto e forse antico. Prezzo € 20,00 onesto ma non ne vale la pena, c'è di meglio!"
"ui_bubble_rating bubble_50","pausa pranzo","insalata di trippa ....non solo buona come ingredienti...ma mai mangiato in vita mia una troppa così buona...mi è stato detto che la comperato nel mugello come del resto anche tanti altri prodotti"
"ui_bubble_rating bubble_50","Eccezionale Lampredotto senza glutine","Grande simpatia, servizio impeccabile, lampredotto senza glutine buonissimo. Tappa obbligata a Firenze!"
"ui_bubble_rating bubble_50","perfetto per lunch!","sempre un piacere tornarci a qualsiasi ora. Cibo molto buono e prezzi davvero onesti. per il pranzo ci sono dei tavolini disponibili e offrono dei primi o secondi di grande scelta. Ognuno troverà qualcosa per sè, carne, verdure, pasta etc"
"ui_bubble_rating bubble_50","Spuntino fuori orario","Sti ragazzi sono eccezionaliGentili e sorridentiCi sono tantissime verdure Qualche piatto veloce e tipicità toscane "
"ui_bubble_rating bubble_50","Tappa obbligatoria","Ogni volta che ci rechiamo a Firenze passiamo per uno spuntino a pranzo! prodotti locali eccezionali, vastissima scelta e soprattutto consigli preziosissimi da parte del proprietario.Imperdibile!"
