"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Se ci fosse gli darei la sesta stella ","Intimo, accogliente, rusticò ma allo stesso tempo chic, cibo ottimo, personale gentile e simpatico devo aggiungere altro? È un posto praticamente perfetto che consiglierei a una coppia per una serata romantica ma anche un gruppo di amici per una serata a base di buon cibo. I prezzi sono in linea con la qualità del cibo, il menù non è molto ampio e questo a mio avviso è una cosa positiva, significa che ogni piatto ha ingredienti ottimi e questo si sente. I due piatti che mi hanno fatta emozionare davvero sono stati i tagliolini al cavolo nero e coniglio, i fiori di zucca e il tiramisù (raramente ne ho mangiati di così buoni). Ci tornerò sicuramente! "
"ui_bubble_rating bubble_40","Un'ottima scelta ","Consigliato da amici siamo andati a provarlo!Posto piccolo ma molto curato e ben arredato, ci si sente davvero a nostro agio!Pochi piatti ma tutti freschi e con prodotti d'eccellenza, consiglio assolutamente il coniglio fritto e la pasta con l'agnello!Lo zuccotto è obbligatorio! Consiglio di prenotare e di andare un po' prima per trovare il posto tranquillamente! "
"ui_bubble_rating bubble_50","La cucina casalinga","Una cena ottima in una ambientazione originale. Simpatia e grande disponibilità del personale. Primo e secondo a base di coniglio con un fritto speciale. Buoni gli antipasti in particolare la mozzarella e i crostini ai fegatini (credo mantecati nel vinsanto). Bella carta dei vini anche se la Maremma meriterebbe qualche spazio in più (ma in questo caso sono di parte). Menzione speciale al giovane che ci ha servito in tavola brillante e appassionato."
"ui_bubble_rating bubble_50","Un tocco di classe in porta romana!","Se le foto non dovessero bastare per invitare ad andare in questo piccolo paradiso allora vi aggiungo qualcosa.altro...ricerca degli ingredienti, cortesia dei proprietari e locale suggestivo! La carbonara di mare o le.linguine al pesto di cavolo nero sono da provare...ma ogni volta che ci torno il menu cambia ma il gusto e la gioia dopo la cena è sempre la stessa! Consigliato...ma prenotate!!!"
"ui_bubble_rating bubble_50","incantevole e accogliente","siamo entrati per caso, siamo tornati con piacere. interno piccolo e prezioso, curato con amore. personale gentilissimo. materie prime ottime, selezione giusta e particolare. vini speciali, atmosfera intima che chi ha voglia di una cena speciale e non pretenziosa!"
"ui_bubble_rating bubble_40","Location accattivante ","Piccolo ristorante vicino alla Porta Romana. Pochi coperti in un’atmosfera retro’ un filo costruita ma comunque accattivante e modaiola. Come la cucina fatta di piatti tipici ma descritti con sagacia e ricerca di autenticità di territorio talvolta più teorica che reale. Molte proposte di pesce e di terra. Noi abbiamo provato il classico antipasto di salumi misti e formaggi che difficilmente delude è un bis di primi, ottimi i tagliolini al cinghiale, discreti quelli con i funghi porcini. Tiramisù buono. Servizio cortese locale molto affollato anche a pranzo conto medio. "
"ui_bubble_rating bubble_40","Un locale caratteristico con offerta originale","La prima cosa che colpisce è che questo locale è veramente molto particolare, arredato in maniera originale; la seconda cosa che si apprezza è il servizio, molto cortese e cordiale; sono poi rimasta colpita dall'offerta del menù, talmente particolare che ho avuto l'imbarazzo della scelta! Era un break di lavoro, per cui ho potuto assaggiare soltanto un'insalata di carciofi crudi con grana, veramente buona (scusate, ma non mi ricordo il nome con cui era presentata nel menù) ed un primo di bavette ai funghi porcini, non male anche se mi aspettavo qualcosa di più casareccio. Non ho potuto fare a meno di assaggiare un crostino con il classico paté di fegatini, rivisitato in maniera eccellente. Un calice di ottimo vino suggerito dalla simpatica e competente ragazza che mi ha servito!"
"ui_bubble_rating bubble_50","una piacevole sorpresa","Cena fra amiche, salta una prenotazione in altro locale, mi ricordo di Podere 39, ne avevo sentito parlare molto bene, prenotiamo.Ambiente accogliente, pieno di deliziosi dettagli vintage.La mise en table è perfettamente consona alla scelta d'immagine del locale, un viaggio nella confort zone di un tempo non troppo lontano, connesso al presente da ricette classiche rivisitate con umiltà e abilità dallo chef.Personale cordiale e efficiente."
"ui_bubble_rating bubble_30","Senza infamia e senza lode","sono andata in questo ristorante con delle mie amiche a pranzo e sinceramente direi che è senza infamia e senza lode. Il posto è veramente molto bellino dentro, questo è indubbio; ora che è cominciato l'inverno chiedete un tavolo non vicino all'uscita perchè le persone non sanno nè vivere nè chiudere le porte a quanto pare e questo crea un po' di riscontro. Personalmente sono rimasta un po' stupita dal fatto che il menu non avesse secondi ma forse a pranzo fanno menù ridotto, sinceramente non ho chiesto; abbiamo mangiato qualche antipasto da dividere non male e un primo a testa, io ho preso i tagliolini alla cacciatora e mi aspettavo un sugo a base di pomodoro (in famiglia mia si fa così) invece era bianco e aveva un discreto sentore di dado, diciamo che potevo scegliere meglio. Le mie amiche invece entrambe soddisfatte dei loro primi; poi dolcino e caffè. Insomma non male ma niente di esaltante. Servizio molto gentile e cordiale. rapporto q/p normale per un ristorante di Firenze, sui 40 euro a pax con antipasto primo dolce caffè e vino."
"ui_bubble_rating bubble_40","Un posto veramente giusto!","I proprietari sono due persone speciali,Giusy in sala il marito in cucina.L’ambiente è molto piacevole,arredato in modo particolare da loro stessi,alcuni tavoli sono in comune,non è grande conviene prenotare perché è sempre pieno.Il menù cambia spesso e le materie sono di ottima qualità.I primi sono tutti fatti in casa e fatti molto bene.Mi sento di consigliare vivamente il Podere 39!"
"ui_bubble_rating bubble_30","Particolare e curato ","Ristorante vicino a porta romana molto caratteristico e curato. Cibo particolare e buono, paste fatte in casa. Da tornare"
"ui_bubble_rating bubble_40","Slurp!","Siamo stati a cena al podere 39 venerdì sera con amici ... locale davvero carino a Porta Romana.Cibo di ottima qualità servito molto bene. Io ho gustato fiori di zucca in gratin ripieni di ricotta, pomodorini e gamberi ... piatto top. Di seguito ho mangiato tagliolini con pesto di cavolo nero e salsa di pane acciugata ... particolari e molto buoni.Di dessert zuccotto bugiardo con ricotta,gocce di cioccolato e amarene ...preferisco la versione originale ma è un gusto personale. Servizio rapido e cortese... tornerò di sicuro per gustare altre prelibatezze!"
"ui_bubble_rating bubble_20","PER CHI DI CIBO NE CAPISCE POCO","Siamo stati due volte in questo ristorante, nella prima sala ambiente carino, la seconda volta ci hanno messo nella seconda stanza, piccola, senza intonaco con un cattivo odore di umido, terribile cenare con tali puzzi. Primi praticamente mattoni, secondi banali, nn abbiamo preso dolci"
"ui_bubble_rating bubble_40","Compleanno ","Piacevole sorpresa! Location veramente carina e curata nei minimi particolari. Staff simpatico cordiale e disponibile. Abbiamo mangiato molto bene. La pasta, di loro produzione, è la specialità del posto ed è veramente buona. Unica nota dolente... servizio molto lento. Consiglio!!!!"
"ui_bubble_rating bubble_50","Cibo squisito e molto speciale","Ottimo cibo biologico con sapori particolari per buongustai. Ambiente piccolo e originale che ricorda davvero un antico podere toscano. Personale gentile. Buon rapporto qualità prezzo!"
"ui_bubble_rating bubble_50","Una chicca a “Porta Romana”","Vicino a San Frediano ,cuore della fiorentinita’ scopri L osteria che non ti aspetti piena di fascino e particolari che niente hanno di fiorentino,compreso il menù.Ma tutto e’così curato nei dettagli sia di arredamento che nel cibo che ti dispiace arrivare al conto,peraltro non esoso visto la quantita’/qualita’ dei piatti.Ottimi gli antipasti: mozzarella in carrozza e fiori di zucca i miei preferitiAbbondanti primi con pasta fresca ( tagliolini al pecorino e tartufo e al pesto e cavolo nero speciali entrambi)Non troppa scelta nei dolci ma con un Tiramisù al cucchiaio da dieci e lodeInsomma ,come diceva quello...provare x credere"
"ui_bubble_rating bubble_50","M.E.R.A.V.I.G.L.I.O.S.O.","Podere 39 è una perla in una zona per me affascinante di Firenze, Porta Romana. Il locale è una bomboniera di grandissima personalità. L’allure è di cosa farebbe un francese se avesse avuto la fortuna di essere italiano; enfatizzare il meglio della storia e della cultura culinaria italiana che si ritrova anche nell’arredo. Locale di gran gusto, pare che il cuoco proprietario sia anche l’interior designer. In sala una ragazza gentile misurata e competente, piatti spettacolari. Meraviglioso!"
"ui_bubble_rating bubble_50","1000 complimenti ","Quasi surreale trovare un ristorante del genere a firenze, leggermente decentrato, piccolo e pieno di armonia ed equilibrio! Entri e dici wow, esci e dici due volte wow, uno per la location e uno per i piatti! Abbiamo mangiato due primi e condiviso. Un antipasto, due calici di vino e un caffè! Gusto e materia prima di ottimo livello, menù stagionale (adoro). Tornerò sicuramente! Posto de cuore nella mia città! Ogni volta che avrò voglia di qualcosa di buono, saprò dove andare!"
"ui_bubble_rating bubble_50","Sempre meglio!!!!","Ennesima conferma per questo piccolo locale che merita una sosta! Gnudi ricotta e carote con salsa di vongole e scampi buonissimi, delicati ma con quel condimento che gli ha dato un tocco speciale. Anche polpo alla piastra e tiramisù molto buoni."
"ui_bubble_rating bubble_50","Zero difetti, complimenti!","Un menù che cambia continuamente in base ai prodotti stagionali, qualità e genuinità alla base delle ricette rivisitate e ben presentate. Il tutto in un locale accogliente e bene curato e poi che dire del personale? Disponibile e amichevole tanto da farti sentire a casa. Sono tornato più volte ed ho avuto solo riconferme.Il prezzo perfettamente in linea con quanto offerto. Stra-consigliato!"
"ui_bubble_rating bubble_50","Che bella serata!","Tutti i giorni passo da via Senese così quando mi capita di stare in fila vengo attirata da questo locale che ho scelto di proporre alle mie amiche di sempre per una cena dopo l'estate. Siamo state benissimo, l'accoglienza della titolare, l'atmosfera calma e rilassata dell'ambiente hanno fatto da cornice ad una cena buonissima. Io ho preso una carbonara di pesce, le mie amiche dei tagliolini con il tonno e un piatto vegetariano. Sicuramente ci ritornerò con mio marito per una cenetta romantica!"
"ui_bubble_rating bubble_50","c’è bisogno de sesto pallino!","ogni ristorante ha la sua fascia, chi mi segue sa che non scrivo recensioni negative ma solo positive, ci sono posti buoni altri ottimi per la loro fascia e proposta ma alcuni come questo superano ogni aspettativa ed è qui che ci vorrebbe il sesto pallino o almeno la possibilità della lode!il posto è piccolo (prenotate), già il fatto di pochi tavoli ed eventualmente condivisi, alla vecchia maniera, rende il posto particolare come tutto l’arredamento. Inutile descrivere il posto vale la visita, il bancone e il retro meritano una menzione particolare per l’idea di antica farmacia magistralmente creata dalle grappe aromatiche in preparazione.Ma venendo al sodo, come si mangia? Benissimo.Punto.Senza tanti fronzoli e se li cercate sappiate che il menù cambia, ci sono proposte anche del giorno e secondo stagionalità, dalla carne al pesce ma con un’ottica di rivisitazione, con sapienza e originalità proposti.Personalmente ho preso dei fiori fritti ripieni ai gamberetti, nella semplicità i migliori fiori fritti mai mangiati. Freschi e verdi perché non han perso la loro fragranza nella frittura ma allo stesso tempo fragranti e saporiti, il mio compagno un crescendo di bruschette di pesce che culminavano con l’aringa sapientemente marinata e solo per palati allenati.poi il primo per me la cui unica pecca è stata schizzare il nero di seppia sulla maglia.Per concludere uno zuccotto rivisitato con crema alla ricotta (sorprendentemente leggero ed equilibrato, personalmente sulla carta non gli avrei dato due lire invece era speciale) ed una grappa al mandarino home made.Devo tornarci nei prossimi giorni perché pare che anche la carne e la cacciagione la facciano da padrone.Consigliatissimo a pranzo, a cena, in due, in gruppo, da soli e se fosse possibile tutto giorni visto anche il prezzo per delle materie fresche e di ottima qualità."
"ui_bubble_rating bubble_50","Piccolo ma delizioso ","Prodotti di prima qualità per una cucina semplice, rustica ma davvero squisita. Il locale è molto piccolo ma curato in ogni dettaglio. Vale al pena farci un salto ! "
"ui_bubble_rating bubble_50","Piacevole sorpresa ","Avevo sentito parlare di questo posto e finalmente dopo tanto sono riuscito ad andare . Location unica nel suo genere...sembra di fare un salto nel passato .. menu semplice ma con materiale prime di qualità e piatti ben curati .. servizio impeccabile.. la titolare solo col suo sorriso ti mette di buon umore .. davvero un bel posto dove passare una serata tra amici o una cenetta di coppia .."
"ui_bubble_rating bubble_50","Cucina spettacolare ","Location molto ricercataCibo curato e non banalePersonale simpatico e cortesePoco spazio ambiente raccolto "
"ui_bubble_rating bubble_50","Un salto nel passato ","Una piccola trattoria che ti riporta nel passato con muri di mattoni e luce soffusa, quasi un gusto di candele... una musica da grammofono in sottofondo molto gradevole. Il personale gradevole la cucina ottima sia nella presentazione che nei sapori molto ben bilanciati. Da provare."
"ui_bubble_rating bubble_40","Un podere di emozioni"," Che dire? Capito spesso al Podere 39 per pranzo. Ogni volta è sempre una piacevole scoperta. Entri e sei conquistato dalla gentilezza della ragazza bionda e dalla particolarità del posto. Prodotti eccellenti e freschi. Un suggerimento: optate per le portate fuori menù del giorno, soprattutto per il segato di carciofi! "
