"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Ottimo ramen!!! ","L'esperienza è stata assolutamente positiva! Abbiamo mangiato dell'ottimo ramen, dai gusti molto particolari e ricercati. Tutti i piatti proposti sono curati nei minimi dettagli e il servizio è attento. L'ambiente è piacevole e la qualità del cibo ci spingerà sicuramente a ritornare.Unica cosa da segnalare: i prezzi sono di fascia medio-alta, anche se adeguata alla qualità del cibo. Forse da rivedere i prezzi dei dolci. Abbiamo preso un antipasto (polpette di polpo, davvero ottime!) in due, ramen piccante e ramen tradizionale (particolare e buonissimo), due dolci (cheesecake al the verde ottimo), acqua e un birra per un totale di 69 euro. Ambiente:7/10Servizio: 9/10Cibo: 9/10Prezzi: 7/10"
"ui_bubble_rating bubble_50","Ottimo Ramen","Sono stato in questo locale a novembre con un mio amico, abbiamo preso dei Gyoza di carne ottimi, a seguire un Yaki Udonl Ramen, e un Ramen vegetariano, ottimi tutti e due. Il servizio è molto cordiale e presente, si meriterebbero un locale più bello. Prezzi non proprio popolari"
"ui_bubble_rating bubble_30","Buono ma salato (non di sapore).","In cerca di un modo per scaldarci decidiamo di optare per un bel ramen bollente.Arriviamo, il posto non aiuta visto la zona e gli interni un po' da circolino Libertas.Comunque si inizia con:1 antipasto (polpettine di verdure con polpo) molto saporito diviso a metà2 ramen (il piccante e il lampredotto) che erano veramente squisiti e ci hanno scaldato il cuore2 dolci (gelato sesamo e doraemon) buoni ma salatissimi anche se dolci1 vino da 18€ e 1 acqua naturale.Totale 81€ eccessivo anche perché ripeto su un conto da 80€ il luogo dove si mangia conta."
"ui_bubble_rating bubble_50","Ramen piccante","Il miglior Ramen di firenze piccante al punto giusto se per un attimo chiudiamo gli occhi ci sentiamo in Giappone. Ottima selezione di vini e birre artigianali speciali. Per concludere consiglio un buon dolce ed un ottimo whisky .. Grazie per farci assaporare la vera cucina Giapponese. "
"ui_bubble_rating bubble_40","Che cena!","Il locale dall'esterno non ispira granché, ma ad accogliervi ci sarà uno stuzzicante menù ed un attento servizio. La specialità principale è il ramen, che consiglio vivamente, in più ci si può sbizzarrire anche con la carta dei dolci! I prezzi sono un po' alti considerata la zona ma la qualità si sente. Torneremo volentieri"
"ui_bubble_rating bubble_50","Il ramen migliore di firenze.... e non solo!!","Ottimo locale sul viale talenti a due passi dalla tramvia, vera cucina giapponese. Ottimi anche i dolci, provate assolutamente la torta pere e cioccolata."
"ui_bubble_rating bubble_40","Cena buona e divertente","Ho cenato in questo posto ieri sera con un amico incuriositi dalle belle recensioni e dalla cucina giapponese che non sia il solito sushi e devo dire che è stato molto piacevole e divertente poter assaggiare questi sapori.LOCATION - In zona isolotto a due passi dalla fermata della tramvia. Il locale è semplice, ma curato e pulito. Molto bella l'esposizione di vini alle pareti. Degna di nota anche l'atmosfera molto tranquilla con un sottofondo musicale azzeccato nello stile e nel volume.SERVIZIO - Personale gentilissimo che ci ha spiegato anche alcune caratteristiche dei piatti e delle bevande. Tempi di attesa giusti.MENU - Abbiamo preso due antipasti, il Tako Yaki e il Gyoza, ottimi entrambi con salsine di accompagnamento personalizzabili in base ai propri gusti. Poi due Ramen classici buoni e abbondanti. Il tutto accompagnato da birra Sapporo Premium (giapponese), leggera e servita a temperatura perfetta. Per finire abbiamo degustato due Sakè uno dolce e l'altro alla prugna con retrogusto piccante, quest'ultimo fenomenale.CONTO - Direi tutto sommato giusto (79 €), magari un pò cari gli antipasti, ma erano così buoni che alla fine non ci ho fatto troppo caso.Lo consiglio e credo di ritornarci per assaggiare altre cose che mi incuriosivano."
"ui_bubble_rating bubble_30","Buono ma non buonissimo","Spinto dalle entusiastiche recensioni del locale, l’altra sera ho deciso di provarlo con una coppia di amici.Nonostante la zona in cui si trova non sia bellissima, il locale al suo interno ha il suo perché, con tante belle bottiglie di vino che ci ricordano che trattasi di una enoteca.Dal menù italo-giapponese, abbiamo deciso di provare i classici gyoza (ravioli), le palline fritte di polpo e zenzero con maionese aromatizzata, il Ramen con carne di maiale, alcuni commensali hanno invece scelto degli udon ed il pollo alla giapponese.I prezzi sono piuttosto alti, solo in parte giustificati dalla qualità del cibo.I ravioli e le palline di polpo sono buoni, ma la quantità appena sufficiente. Carina la possibilità di crearsi la salsa con i vari ingredienti che ti portano in tavola.Il piatto forte (Ramen) è buono, ma non entusiasmante come mi aspettavo. Il brodo è molto leggero e secondo me manca di un filo di sapidità.Infine un buon caffè (€ 2,30) ed un bicchierino di sakè gentilmente offerto dal proprietario, per un conto di € 35 a testa...non vile assolutamente.Sono uscito abbastanza soddisfatto...ma mi aspettavo di più."
"ui_bubble_rating bubble_40","OTTIMO","Ottimo ristorante che non conoscevo... Non comodissimo per il parcheggio ma locale molto pulito ben arredato e personale molto cordiale. Purtroppo ho provato solo la zuppa con il lampredotto perché ero di fretta ma era veramente ottima. Servizio non esageratamente veloce. Ci torneremo sicuramente. Consigliato!!!! "
