"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Manca un tanto così ","Locale giovane a due passi dal Duomo. L’interno e’ curato e gradevole. Il menu un po’ confuso. Nella patria della carne e’ d’obbligo ordinare la fiorentina. Buona non c’è che dire ma il cameriere è un po’ troppo lento a tagliarla e ci giunge al centro della tavola un po’ fredda. Ordini patate fritte e sono bruciacchiate. Le fai rifare e arrivano crude. Insomma molti dettagli sono da mettere a posto. Anche per questa ragione il conto e’ un po’ troppo alto "
"ui_bubble_rating bubble_50","Bistecca","La qualità della carne é ottima il personale é gentile ed il locale mi piace molto, insomma lo consiglierei a tutti."
"ui_bubble_rating bubble_50","Ottimo pranzo e conto adeguato ","Abbiamo provato questo ristorante su suggerimento dei padroni di casa.Ambiente e servizio molto curati e raffinati.Filetto alla griglia per me (accompagnato da un ottimo calice di Chianti) ed al pepe verde per mia moglie estremamente squisiti e tenerissimi.Polpette alla Livornese ed Hamburger per i ragazzi decisamente ottimi.Per concludere, un tiramisù con i fiocchi!Spesa inferiore ai 40€ a testa.Consigliatissimo!"
"ui_bubble_rating bubble_10","la regina non è la bistecca ma il conto!!","Direi, un posto solo da turisti ...ma nemmeno poveretti.Abbiamo speso un'esagerazione, in 8 tutti abbiamo preso il menu degustazione con un antipasto misto x tutti + 2 bistecche di numero di cui una europea e cioè Polacca e una toscana (che vuol dire un pezzetto a testa alto 3 cm e lungo 7 cm a scelta, o l'una o l'altra) + 1 dolce a testa + 2 bottiglie di vino. Spesa 65 euro a testa.La bistecca polacca da evitare assolutamente, è solo grasso! Un ristorante che ha la bistecca come punto forte non puo' servire una carne cosi.. davvero di pessima qualità.La cosa vergognosa è che non vengono a pesarti la bistecca prima di cuocerla ne a mostrartela, quindi non sai quanto alla fine ne hanno conteggiata. Inoltre il responsabile del ristorante, non fiorentino non mi sembrava neanche molto ferrato sull'argomento bistecca, dando informazioni alquanto discutibili. Insomma a Firenze se parli di bistecca a dei fiorentini devi sapere almeno quello che dici! Per il resto locale molto carino e buon servizio anche se aveva l'impronta di un catering...Conclusione: non ci torno e non lo consiglio"
"ui_bubble_rating bubble_50","Anche per celiaci","Ottima Fiorentina cotta a meraviglia,Ottima anche la tartare di manzo tagliata al coltello locale elegante, personale professionale, giovane gentilissimo. a mia figlia celiaca hanno spiegato cosa potesse scegliere tra i vari contorni e le hanno portato pane senza glutine. Per i primi non ci siamo informati ma qui è la carne che fa da regina!"
"ui_bubble_rating bubble_50","Esclusivo e raffinato ","Accoglienza menu e servizio eccellenti siamo stati accolti benissimo e consigliati in maniera impeccabile Esclusivamente esclusivo Grazie regina bistecca anche questa è cultura "
"ui_bubble_rating bubble_50","cucina regale","Meglio prenotare altrimenti il proprietario farà di tutto per trovare un tavolo per voi! La cucina è veramente ottima e di qualità. Il locale è un autentico posto di classe con camerieri attenti e precisi nei dettagli di i servizio di alta classe. Sanno dispensare consigli senza essere invadenti. I prezzi sono adeguati o anche inferiori rispetto alla qualità del prodotto. Torneremo sicuramente"
"ui_bubble_rating bubble_50","Eccezionale","Semplicemente perfetto. Carne buonissima e servizio ottimo, non se ne trovano più di ristoranti così. Complimenti!"
"ui_bubble_rating bubble_50","Un'altra Magnifica serata a Regina Bistecca","Ormai quando ho voglia di carne e non voglio prendere rischi vado sul sicuro....Regina Bistecca! Un'ottima atmosfera e sapori eccellenti, carta dei vini importante ma non esosa e personale davvero gentile.Ve lo consiglio davvero e se poi riuscirete a prenotare il tavolo tondo nel soppalco sarà davvero un tripudio!Consiglio inoltre di iniziare con un classico negroni al bar che si trova all'ingresso del locale.Alessio"
