"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Tradizione e innovazione","Bel locale, ottima accoglienza e professionalità. Trovato di passaggio alla ricerca di qualcosa un po' fuori dalle proposte per turisti. Devo dire davvero azzeccato! Fluire di benvenuto, primi cin ottime materie prime e ben preparati, vino della casa più che discreto. Due primi, pappardelle al sugo si cinghiale e cavatelli salsiccia e cime di rapa, e un antipasto, zuppa di fagioli cannellini, mezzo rosso della casa conto finale 48 euro. Per qualità e preparazioni lo abbiamo trovato adeguato. Ci ha incuriosito l'ho la carne che sembrava davvero squisita, ma eravamo ormai sazi. Motivo per tornare alla prossimo occasione "
"ui_bubble_rating bubble_50","Fiorentina ottima","Ho preso una fiorentina da 1.2 kg e verdure fresche del giorno, per un totale di 76 euro. Ottima qualità e personale cordiale"
"ui_bubble_rating bubble_50","Mai giudicare il libro dalla copertina","In visita a Firenze in occasione di Capodanno 2018, ci rechiamo alla ricerca ingenua di un ristorante evitando quelli palesemente turistici, finché arriviamo davanti alla vetrina di questo ristorante. Da fuori si nota poco e non promette benissimo, ma una volta entrati e assaggiato gli antipasti, abbiamo capito che eravamo nel posto giusto... azzecatissimo!La scelta è varia, abbiamo preso due antipasti, un primo, un secondo, un calice di chianti, una bott d’acqua e un caffè. Un conto di circa 60€ ma ben spesi! Qualità superba! Mousse di fegatini su crostone e prosc crudo affianco, lampredotto fantastico, tortelli con ripieno di pappa al pomodoro. Un pranzo con i fiocchi, al di sopra delle nostre aspettative.Complimenti a tutto lo staff.Ve lo consiglio."
"ui_bubble_rating bubble_40","mi è piaciuto","i piatti sono tipici della tradizione toscana, porzioni abbondanti e prezzi nella media vista la location. ci vado spesso perchè lavoro in centro. consiglio"
"ui_bubble_rating bubble_50","Grande scoperta","Ci siamo trovati ad alloggiare nei pressi di S. Marco e ho visto le buone recensioni di questo ristorante. Personale molto gentile. Piatti tipici della cucina toscana ma anche rivisitati, accompagnati da una interessante carta dei vini. Prezzo congruo. Da tornarci sicuramente."
"ui_bubble_rating bubble_20","Niente di che","Locale con scarsissima illuminazione, camerieri altezzosi e prezzi elevati per le pietanze offerte. Osteria che dovrebbe offrire di più a quei prezzi.Non ci tornerei ma infondo il cibo era buono e il locale pulito."
"ui_bubble_rating bubble_30","C'è di meglio a Firenze!!!","Locale in centro a Firenze molto rumoroso e scarsamente illuminato. Qualità dei piatti accettabile, ma prezzi leggermente cari per la qualità offerta. In più il POS non funzionava..."
"ui_bubble_rating bubble_50","Vario e fantasioso","Locale non prettamente di specialità toscane ma con un menu vario e ricco di particolarità (ottimi gli spaghetti alle polpettine come una volta), grande cortesia dello staff, offerto bicchiere di prosecco a chi attende il tavolo. Prezzi in linea con la qualità offerta."
"ui_bubble_rating bubble_40","Ottima Fiorentina! ","Trovato questo ristorante quasi per caso, la semplicità unita all'eleganza ha permesso di trascorrere una buona serata in un ambiente tranquillo e riservato.Da segnalare un ottima Fiorentina di 1,2kg accompagnata da un buon Morellino!Servizio cortese ed efficiente, prezzo giusto per quanto mangiato"
"ui_bubble_rating bubble_50","Cucina da Accademia","Cucina da Accademia, situato al centro di Firenze ma facilmente raggiungibile a piedi; un ristorante pizzeria di alta qualità. Dalla pizza ai sofisticati antipasti, abbina eleganza e gusto. Ottima la carne ed anche il pesce, questo ristorante riesce ad unire diverse cucine senza perdere in qualità. Ben fornita anche la cantina. Servizio efficiente e cortese."
"ui_bubble_rating bubble_40","La conferma piacevole di una cucina toscana ottima e non solo","Siamo ritornati in questo ristorante per confermare o meno la prima e la seconda impressione, dobbiamo confermare tutto. Il cibo è ottimo e di buona qualità, preparato veramente in modo ottimo, la qualità della carne è ottima, confermiamo la professionalità del personale. Ottimi anche i contorni ed i primi, le regole della cucina toscana sono rispettate completamente. I crostini toscani sono veramente toscani. Anche il vino rosso si è rilevato non il solito della casa ma veramente buono ed io che soffro l'alcol confermo. Veramente buon pranzo e cena. Goffredo"
"ui_bubble_rating bubble_50","Una buona esperienza e una cena deliziosa","L’atmosfera del ristorante e i camerieri sono molto accoglienti. Nonostante essendo in una zona turistica, il ristorante non era pieno dei turisti. Abbiamo goduto una cena meravigliosa, per gli antipasti i carciofi alle erbette e la zuppa degli asparagi bianchi e per i secondi il filetto di manzo al barchetto per mia moglie e per me la bistecchina di cinta senese. Abbiamo bevuto un dievole, molto buono e non molto costoso. Per i dolci abbiamo scelto tiramisù per me e strudel di mele con gelato per mia moglie. Senza dubbio, una buona esperienza e una cena deliziosa."
