"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50",". ","Potrei dare 5 stelle solo per l'invito di mangiare l'osso con le mani. Comunque, locale molto accogliente, cameriere molto simpatico e carne davvero buona. Prezzo non esagerato e nella media. "
"ui_bubble_rating bubble_50","Tutto squisito!","Abbiamo pernotatto a Firenze per 5 notti e siamo andati a mangiare in questa trattoria per ben 2 volte. Staff gentile e simpatico, Alessio é un vero Bischero. La prima serata abbiamo mangiato il tagliere dei salumi toscani con affettati tipici della zona accompagnato da pane con crema di fegatino. Primi piatti per entrambi una corposa porzione di tagliolini al pistacchio con pancetta e crema di cipolla! Una vera é propria delizia. Come dolce una porzione di tartufo al cioccolato (buono e ricco) e un semifreddo al torrone (molto saporito).La seconda sera abbiam mangiato come antipasto salumi toscani con burrata, pomodori freschi e rucola. Poi non poteva mancare il kilo e mezzo della Fiorentina, carne croccante al di fuore con un cuore morbido al suo interno. Ottima scelta."
"ui_bubble_rating bubble_50","Bene bene ","Siamo arrivati a cena in questo ristorante dopo aver prenotato ( non avremmo altrimenti trovato posto!)...Abbiamo preso in 4 il menù toscano che prevede crostini ai fegatini costata con osso dolce e caffè .... la carne era davvero squisita e i dolci buonissimi ...Due filetti al bacon croccante ottimi !Il tutto servito dal proprietario che si è poi dedicato a noi con una piacevole chiacchierata ed offrendoci anche il digestivo .. abbiamo pagato un conto onestissimo.... COMPLIMENTI!"
"ui_bubble_rating bubble_50","SPETTACOLAREEEE !!!!!","Tutto fantastico, eravamo un gruppo di cinque amici e abbiamo provato sia i primi che la costata, ogni cosa era spettacolare, per concludere abbiamo deciso di prendere la creme brûlé come dolce e ci è stata preparata davanti agli occhi. La qualità dei prodotti e la cortesia del personale ad un prezzo veramente modico."
"ui_bubble_rating bubble_40","Tutto buono ma.....","Cenato molto bene con antipasto di salumi,classico ma buoni poi una tagliata al naturale e una fiorentina da un chilo ( se costa 30 euro al kg forse era qualcosa in piú) carne squisita e vino ancora meglio e per finire i mitici cantucci con vin santo. il tutto per la modica cifra (forse a Firenze!!) di 70 euro a cranio!!! Alla faccia!!!"
"ui_bubble_rating bubble_50","Buonissimo","Tutto molto buono dall’antipasto fino al dolce. La bistecca alla fiorentina, come la pasta e il tiramisù. Si consiglia sempre prenotate o meglio ancora telefonare direttamente al ristorante. Sempre pieno."
"ui_bubble_rating bubble_50","Ottimo locale in centro","Locale accogliente e personale molto gentile ed attento alle nostre esigenze. Cibo di qualità a prezzi contenuti per essere in pieno centro.Disponibile wifi per chi non riesce proprio a farne a meno.Ottimi anche i dolci. Che altro dire...le immagini parlano da sole..."
"ui_bubble_rating bubble_50","Pranzo","Eccellente rapporto qualità prezzo, servizio perfetto.Menù toscano consigliatissimo per gustarsi un ottima Fiorentina"
"ui_bubble_rating bubble_50","Quando pensi di mangiare un panino e invece!!","Il risparmio in una breve vacanza e la prima cosa ma quando ti imbatti in un un ristorante come questo non puoi fare a meno di apprezzare la qualità del cibo e la cortesia del personale che si sa vendere bene!!!. Consigliatissimo per i primi e la carne "
"ui_bubble_rating bubble_50","Cena a Firenze","Il locale è accogliente ed ospitale, situato a due passi dal Duomo.Fiorentina squisita, patate al forno ottime ed una squisita crostata di pere e noci! Prezzi ottimi e personale molto cordiale ed amichevole.Assolutamente consigliato!"
"ui_bubble_rating bubble_50","Pranzo tra colleghi","Sono stato oggi a pranzo, con i colleghi di lavoro, cucina piu che ottima, ambiente molto caldo ed accogliente, personale gentile e competente. Da ritornarci, sicuramente."
"ui_bubble_rating bubble_40","buona cena","Prenotato con TripAdvisor avevamo diritto ad uno sconto sulla cena del 20%. Abbiamo chiesto pollo con una cottura e condimento diverso dalla lista e siamo stati accontentati. Fiorentina buonissima, buon calice di morellino, servizio veloce e frizzante grazie al simpatico ragazzo che ha seguito il nostro tavolo. Solo una nota meno positiva.... Il tavolo vicino alla porta d'entrata! Brrr!"
"ui_bubble_rating bubble_40","Weekend a Firenze","Abbiamo mangiato una fiorentina ottima davvero e il riso gorgonzola e tartufo da 10!camerieri bravi e simpatici e il prezzo giusto.lo consiglio."
"ui_bubble_rating bubble_40","Anche da sola un'ottima serata","Mi son ritrovata per la serata da sola a Firenze e girando per il centro ho deciso di entrare in questo locale. Ho mangiato un'ottima carne, bevuto un buon vino, consiglio i dolci fatti da loro in particolare la crostata di pere e noci, ottima! Ottimo rapporto qualità prezzo, ci tornerò in compagnia."
"ui_bubble_rating bubble_50","OTTIMA LOCATION E OTTIMA CUCINA","Mi ha portata qui una mia amica e devo dire che io ci porterò i miei clienti in futuro. Il ristorante è vicinissimo al Duomo e alla stazione, si mangia benissimo e il personale è molto cordiale e professionale. I nostri piatti sono usciti velocemente (devo dire che non c'erano molti clienti, vista l'ora tarda) e il prezzo non è onesto. Lo consiglierei assolutamente."
"ui_bubble_rating bubble_50","Una vera scoperta!!","Siamo entrati in questo ristorante dopo averlo visto per caso la mattina passando di lì e siamo stati attratti dalla carne esposta fuori dal ristorante. Abbiamo riscontrato un ristorante di classe, personale accogliente e alla mano, delle persone in gamba. La bistecca alla fiorentina è stata indescrivibile, si scioglieva in bocca nonostante fosse al sangue. Molto tenera. Buonissima. Ha soddisfatto a pieno le nostre aspettative. Anche il vino era ottimo. Abbiamo trascorso una serata piacevole. Complimenti davvero."
"ui_bubble_rating bubble_50","Piacevolmente sorpresa ","Ci sono stata con il mio ragazzo e siamo rimasti entrambi soddisfatti. Staff super gentile, disponibile e simpatico! Rapporto qualità prezzo giusto; La Fiorentina è buonissima ed anche i primi piatti meritano tantissimo. Il proprietario ci ha anche regalato dei biscotti all’uscita. Consigliatissimo."
"ui_bubble_rating bubble_40","ottimo e non da turisti","Difficile non imbattersi in qualcosa di prettamente turistico se così vicini al centro di Firenze, ma questo locale non lo è. I cibi sono freschi e ben cotti, i sapori sono intensi e la presentazione dei piatti ottima. Un ringraziamento per il cameriere Alessio, professionale e simpatico come pochi se ne trovano."
"ui_bubble_rating bubble_30","Primi per un pranzo veloce senza troppe pretese","Primi buoni e variegati, gli gnocchi con la stracciatella si presentano molto bene e i sapori erano freschi, peccato il troppo aglio. I tagliolini con il pistacchio di Bronte e il pancetta erano buoni ma un po’ difficili da digerire. Per un pranzo veloce va molto bene, ma non mi fermerei per una cena!"
"ui_bubble_rating bubble_50","Cena raffinata e di qualità ","Siamo stati in questo ristorante attirati dalle recensioni e dal fatto che non era nel caos del centro. Siamo stati accolti da Alessio, un simpatico ed onesto cameriere che ci ha subito consigliato cosa assaggiare..il menù è ricco con molta scelta tra piatti di terra e piatti di mare. Ciò che mi ha colpito è stata la scelta degli ingredienti , di qualità e pasta fresca. Abbiamo preso come antipasto tortino ai carciofi e bacon, morbidissimo e gustoso, tagliolini di pasta fresca con tartufo, è tagliolini sempre di pasta fresca con pistacchio di Bronte, cipolla e bacon. Curato nella presentazione e delizioso al palato! Onore al cuoco e ad Alessio!!! Super consigliato!!!"
"ui_bubble_rating bubble_30","Buono, ma che arroganza!!","Appena arrivati il cameriere ci comunica che mancano 5 minuti alla chiusura della cucina, e che quindi per poter ordinare dovevamo sbrigarci. Ci ha servito questo cameriere molto scontroso e arrogante, sicuramente non ci ritornerò. L’educazione e la cordialità prima di tutto."
"ui_bubble_rating bubble_40","Ottimo!","Sabato di novembre , nella grande indecisione per dove andare a pranzo, ci imbattiamo in questo ristorante. Ordiniamo pici al ragù di coniglio e taglierini con pistacchio di bronte pancetta affumicata e cipolla caramellata .. l’attesa importante , ma il locale molto pieno lo ha reso accettabile . Due piatti eccellenti ,tutto molto buono consiglio vivamente qualità prezzo nella media "
"ui_bubble_rating bubble_40","Si mangia proprio bene!","Abbiamo scoperto questo posto per caso, girando fra Piazza Duomo e Sanata Maria Novella. La carne è gustosa ed altrettanto il dessert che abbiamo mangiato (crostata con le pere e una crema speciale). Il servizio è stato gentile e per nulla invadente. Il locale è pulito, grazioso ed arredato in stile tipico toscano. Da provare!"
"ui_bubble_rating bubble_50","Carni di livello super","Tre sere a Firenze, tre sere in questo ristorante. Locale tipico, in posizione vicina al centro, tranquillo, personale discreto e gentile. In visita alla città con la moglie, la prima volta ci siamo andati perché era vicinissimo all'albergo e noi eravamo stanchi morti, ma i filetti che hanno portato ci hanno convinti a tornare. La bistecca alla fiorentina della seconda sera era, semplicemente, la più buona che avessi mai mangiato: carne e cottura perfette. Così la terza sera siamo tornati ancora. A leggere le recensioni qua sopra mi dispiace solo di non avere provato altri piatti oltre alla carne. Ma ci tornerò."
"ui_bubble_rating bubble_50","Ottimo!!","Siamo capitati per caso con mia moglie in questo ristorantino.. che dire... camerieri gentilissimi, piatti gustosi e dessert da leccarsi i baffi! Ci torneremo sicuramente! 10 e lode! Renato & Cristina"
"ui_bubble_rating bubble_50","Consigliatissimo","Sono toscana e ho vissuto gli ultimi 12 anni tra Germania, Francia e Svezia. Ho avuto la fortuna di trovare, per puro caso, il ristorante alla griglia. Ho mangiato uno dei risotti più buoni della mia vita e bevuto un ottimo rosso di Montalcino. Il tutto accompagnato da un servizio di vera classe che mi ha fatto ricordare quanto può essere piacevole e unica l'Italia. Consigliatissimo"
"ui_bubble_rating bubble_50","Eccezzionale","Siamo stati con la famiglia a cena. Un locale tipico, tranquillo e in una posizione perfetta. La cena era fantastica. Tutto molto buono. Personale amichevole e titolare simpaticissimo :-). Qualitá prezzo top. Assolutamente da consigliare "
"ui_bubble_rating bubble_50","Uno dei pochi ristoranti al centro do Firenze, dove è possibile mangiare a prezzi ragionevoli.","Ci ho cenato due sere di fila. Ottimo, in entrambe le occasioni. La prima volta ho preso il menu Fiorentina: una succulenta costata di carne cotta meravigliosamente bene, accompagnata da patate al forno; il menu, prevede anche un antipasto di gustosissimi salumi affettati, ed il dolce a scelta: io consiglio il gelato tartufo di Pizzo Calabro, ottimo gelato artigianale tipico della cittadina calabrese. Avendolo mangiato proprio a Pizzo Calabro, posso asserire che anche quello mangiato qui è proprio originale. La seconda sera, ho assaggiato anche i primi piatti, realizzati con pasta fresca in diversa formati, molto saporiti, gustosi e realizzati com ottima maestria. Anche la tagliata di manzo è stupenda, morbida, ben cotta, di dimensioni giuste, ed accompagnata da tanta rucola ed aceto balsamico. Ci hanno anche servito bieta. Per dolce ho ripreso , l'ottimo tartufo di Pizzo Calabro. Il locale e molto carino ed accogliente. Il personale molto professionale, disponibile, cortese. Il proprietario è molto comunicativo, ascolta i clienti, disponibile a venire incontro alle esigenze dei clienti. Assolutamente da tenere in considerazione!"
"ui_bubble_rating bubble_50","qui la bistecca e' ottima.....","locale non proprio in vista…. arredato in modo semplice,ma comodo ed essenziale...servizio impeccabile e veloce,dopo l'ordinazione….personale competente e discreto… cucina tipicamente toscana...la bistecca,il punto di forza…..eccellente....come si deve sempre fare….."
"ui_bubble_rating bubble_50","Eccellente","Ho cenato due sere in questo ristorante su consiglio dell'addetta al ricevimento dell'hotel dove alloggiavo. Direi un ottimo consiglio. Locale arredato in modo molto carino, staff professionale, cordiale e rapido. Per quanto riguarda il cibo ho avuto il piacere di assaggiare la bistecca da 400g e i pici al ragù di coniglio; entrambi i piatti erano buonissimi, con nota di merito alla carne, saporita e cotta al punto giusto.Consigliatissimo"
"ui_bubble_rating bubble_40","Promesse mantenute","Abbiamo scelto questo ristorante per la vicinanza all'Hotel, e soprattutto ci ha convinto la locandina con menù e prezzi esposti chiaramente senza costringere il cliente a varie ipotetiche valutazioni.Devo dire che quanto esposto è stato rispettato. Ovviamente non poteva essere esposta la qualità del prodotto che ho potuto verificare direttamente. Tagliere toscano di salumi veramente speciale, Tagliolini al tartufo decisamente sopra la media e soprattutto la Fiorentina,cotta al punto giusto , gradevole al palato e gustosa. Il tutto condito con una bottiglia di Chianti. Cena toscana veramente ottima e in locale pulito con personale cortese e gentile. Bravi!!"
"ui_bubble_rating bubble_50","Cortesia e ottimo cibo","Ristorante vicinissimo al Duomo in cui siamo stati accolti da un personale gentilissimo. Tutto buonissimo, dagli antipasti al dolce, e soprattutto della carne di grande qualità."
"ui_bubble_rating bubble_40","Ottime bistecche vicino al Duomo","A due passi dal Duomo e dalla stazione FS, si trova questo locale molto accogliente, caloroso e tranquillo. Personale molto gentile e carne davvero squisita! Cottura perfetta!È sempre un rischio mangiare in pieno centro storico, ma devo dire che stavolta siamo stati molto fortunati e quando torneremo a Firenze sarà una tappa da non perdere.I prezzi sono modici tendenti al caro, ma per la buona carne né vale la pena (convenienti i menù Fiorentina propostosi da 30€ e 18€ in base al peso più contorno - vedi foto).Decisamente sproporzionato il costo delle bevande (3€ la bottiglia piccola d’acqua o la lattina in generale) ed il coperto (2€ a persona, che non credo sia ancora lecito pagare) per questo motivo tolgo una stella ! D’altronde è uno stimolo per migliorare, torneremo a controllare :-))."
"ui_bubble_rating bubble_50","Complimenti ","Complimenti x la qualità e la cordialità mostrata...locale bello e personale da serie A!! Ci torno .............!!!!!!!"
"ui_bubble_rating bubble_50","Qualità ottima!","Sono stata in questo ristorante a cena e direi la miglior fiorentina che abbia mai mangiato. Locale piccolo, ma accogliente così come il personale molto simpatico e disponibile!"
"ui_bubble_rating bubble_50","Indimenticabile cena Fiorentina","Una piacevolissima scoperta! Avevo trovato il locale su trip Advisor prima di arrivare a Firenze e poi, in maniera del tutto casuale, mi é stato indicato anche dalla proprietaria dell’albergo in cui alloggio. Cena ottima, sapori incredibili, ambiente rilassante e curato, il tutto accompagnato dal servizio pronto, dinamico ed efficace del simpaticissimo Alessio. Il rapporto qualità/prezzo é ottimo. Che dire, alla prossima!"
"ui_bubble_rating bubble_50","Ottima cena","Abbiamo cenato in questo ristorante nel corso del nostro soggiorno a Firenze. Abbiamo optato per il menù Fiorentina per 2: la carne era ottima, lo stesso dicasi per i contorni e i crostini serviti come antipasto. Delizioso anche il dolce della casa (abbiamo ordinato la crostata noci e pere e i cantucci con il vinsanto). Da provare sicuramente. Consigliato a tutti."
"ui_bubble_rating bubble_40","Locale piacevole, non indimenticabile","Ambiente gradevole. Personale attento. La carne, se pur buona, non è indimenticabile. Discreto rapporto qualità prezzo."
"ui_bubble_rating bubble_50","Ottima scoperta","Per caso da turisti passeggiavamo per le vie di Firenze e siamo capitati in questo ristorante.....Che dire? Poche parole per esprimere cortesia, ottimo cibo e prezzi modici.Ottimo in tutto.Consigliatissimo."
"ui_bubble_rating bubble_50","Ottima fiorentina","Serata piacevole in compagnia di amici, accompagnata da un buon vino e da ottimo cibo.Fiorentina davvero squisita, così come anche i dolci, fatti in casa, davvero apprezzabili.La cortesia e la compagnia del proprietario ci hanno fatto sentire a nostro agio. Prezzi ottimi considerando la quantità e la qualità del cibo che abbiamo preso.Da ripetere."
"ui_bubble_rating bubble_50","Ottimo pranzo a Firenze","Ottima fiorentina e servizio cordialissimo. Trattati molto bene e molto ospitali anche con il mio piccolo che ha apprezzato i pici con ragù bianco di coniglio!!"
