"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Buon cibo, porzioni scarse, ambiente freddo.","Cena predefinita nell'ambito di un pacchetto che ha voluto offrire anche due cene con cucina tipica. Picci senesi, tagliata con rucola, cheese cake: tutto veramente buono, ma porzioni scarse. Inoltre il locale non è bello, atmosfera fredda. Il titolare marocchino e i camerieri asiatici completano un quadro che non mi sento di consigliare."
"ui_bubble_rating bubble_30","Cibo Buono, Atmosfera No","Ristorante vicino a Santa Maria Novella che offre nel complesso un buon cibo. L'atmosfera nel locale non è delle migliori, con una luce più spenta che soffusa e la musica che si ripete in sottofondo non è particolarmente piacevole. Incostante anche il servizio: abbiamo aspettato più di mezz'ora per l'entréè e gli antipasti, le portate successive invece sono arrivate con regolarità. I prezzi in relazione alla qualità offerta sono un po' alti, in particolare i dessert a partire dai 7€ a salire e i calici di vino dagli 8€."
"ui_bubble_rating bubble_40","Piccole delizie","Cibo ottimo ma porzioni un po’ scarse in rapporto al prezzo...Il tutto coronato da un sottofondo infinito di musica jazz che non allieta proprio tutti."
"ui_bubble_rating bubble_50","Si conferma una certezza","Posso solo dire che ormai da anni frequento questo splendido Ristorante (con la R maiuscola) con piacere, soprattutto delle mia papille gustative. Ogni volta una sorpresa; una cucina di alta qualità disponibile per tutti. Disponibile anche un menù toscano tradizionale."
"ui_bubble_rating bubble_50","Una GRANDE, GRANDE conferma","Ormai sono una veterana di questo ristorante, è il luogo che scelgo quando voglio sentirmi “bene”, e anche stavolta nessuna delusione. Personale super gentile, il proprietario Abdel, persona adorabile, ti coccola come in pochi fanno, il locale è elegante ma non spocchioso, molto molto carino, è il cibo è super. Come sempre quando veniamo qui ci affidiamo ad Abdel per le scelte, ma stavolta oltre a affidarmi a lui ho espresso il desiderio del tartufo bianco che era fuori menù. Ecco, posso dire che abbiamo entrambi fatto scarpetta, il tartufo più buono che abbia mai mangiato davvero. Oltre a quello una parmigiana rivisitata, ravioli al nero di seppia, polpo e petto d’anatra per il mio compagno, e per finire cheese cake e strudel. Le parole sono superflue, per capire dovete venire qui, saranno i sapori a parlare per voi. Entusiasmante, meraviglioso, spesa giusta per quello che si mangia. Fidatevi e occhio che crea dipendenza!!"
"ui_bubble_rating bubble_50","Eccellente","Ristorante top, sia nella cucina che nel servizio, attentissimo dal primo all'ultimo minuto. Ci torneremo quanto prima. Lo consiglio vivamente."
"ui_bubble_rating bubble_50","Promosso :)","Location tranquilla e con una bella atmosfera, la cameriera gentilissima e molto carina nei modi di fare, piatti curati in ogni minimo dettaglio e ingredienti di ottima qualità, promosso "
"ui_bubble_rating bubble_50","Tutto buonissimo","Siamo stati in questo locale Sabati sera verso le 20:30 in compagnia di amici. Bellissimo posto, personale cortese e professionale. Cibo ottimo, qualità/prezzo giusta. Consigliato"
"ui_bubble_rating bubble_40","Cordialità che concorda col nome ","Davvero Belcore ..Avendo fissato con una amica che arrivava col treno proprio all’ora di cena ho cercato un locale che fosse centrale ma non turistico .. mi sono ricordata di questo posto in cui eri stata anno fa e ho cercato se esistesse ancora .. c’era e con buone recensioni e ora sono qui a commentare Il ristorante è un po’ vecchiotto ma confortevole e carino , sono tutti gentilissimi e cordiali quindi l’atmosfera piacevole e rilassante . Ci hanno offerto un bicchiere per aperitivo ... eravamo tre e avevamo scelto tre stipsi da dividerci e loro visto che eravamo così golose ce ne hanno offerto un quarto.... erano tutti buoni tanti da non saper dire quale il migliore poi abbiamo preso un risotto e dei raviolo al nero di seppia anche questi buoni forse la ricciola un po’ troppo cotta . Crema catalana con frutta buona offerto anche il vino di accompagnamento Buona scelta dei vini . Siamo state veramente bene ed è un locale che merita per la cuciamo ripeto anche per la squisitezza delle persone che li gestiscono "
"ui_bubble_rating bubble_50","Il mio preferito a Firenze","In questo ristorante vado sempre con molto piacere ed è un'ottima soluzione per chi desidera qualcosa di alternativo alla tipica cucina toscana. Il menu prepone piatti un po' ricercati sebbene siano presenti anche pietanze di tradizione locale. Ogni volta che ci sono andata ho mangiato sempre molto bene. Il personale è molto gentile e disponibile. I prezzi sono medio-alti."
"ui_bubble_rating bubble_10","Cibo nella media ma personale inadeguato","Siamo venuti a mangiare in questo ristorante per le recensioni positive che ha questo ristorante .Siamo arrivati abbiamo preso antipasti promo e secondo condiviso in tre i piatti sono ben presentati però senza sapore nel mangiare il secondo abbiamo notato che l’olio era scaduto da quasi un anno , abbiamo fatto notare alla cameriera che l’olio non era piu buono la cameriera la portato ha una persona che sembrava il responsabile , la cameriera ha riportato l’olio a tavola senza chiedere scusa di averlo preso dall’antipasto fino al primo , poi quando sono andato a pagare sono andato dal responsabile che era in cassa ci ha pure chiesto se era andata bene senza neanche fare menzione dell’olio o per lo meno chiedere scusa dell’accaduto . E per lo più un conto salato . "
"ui_bubble_rating bubble_50","Meraviglioso","Bello, accogliente e buono.Nessuna pecca pecca, gentili simpatici e il cibo è buono.La cameriera giapponese simpaticissima!"
"ui_bubble_rating bubble_20","Deludente ","Personalmente visto che di ristoranti ne giro non mi è piaciuto per niente come si mangia ma zero totale ho presso una tartare che penso li hanno messo un kg di cipolle ho dovuto mangiare una tonnellata di pane e un insalata verde Il personale molto gentile ma non basta la gentilezza della cameriera !Sinceramente non lo consiglio puoi ognuno decide "
"ui_bubble_rating bubble_50","Una gradevole sorpresa","A due passi dalla stazione, in una via secondaria, dall’esterno appena si indovina, attraverso le tende scostate, la gradevole sorpresa che attende all'interno. Locale raffinato di gusto antico, gestione attenta del proprietario, personale sorridente e affabile. Si servono piatti tradizionali toscani, e non solo, cucinati e impiattati con cura ed eleganza. Profumi e sapori si accompagnano alla cura del dettaglio, la tradizione sposa la modernità. Ottimi i pici al ragù come la mousse di baccalà e il mahalebi dove riso, latte, miele, pistacchi ed essenze di rose inebriano i sensi. Se ripasseremo da quelle parti, ritorneremo senz'altro!"
"ui_bubble_rating bubble_50","L’amore col sapore","Immergersi nella piacevole scoperta dei piatti proposti da Abdel, un viaggio tra gusto e amore per la cucina, accompagnati da sorrisi e buon vino...Che dire.. amore col sapore, un connubio di emozioni da far innamorare il palato!Consigliatissimo ***** "
"ui_bubble_rating bubble_50","Consigliatissimo ","Ambiente favoloso, personale qualificato, all'altezza e discreto.Abdel ti accoglie con simpatia ed eleganza, piatti squisiti e carta dei vini eccezionali.Da tornare quanto prima. "
