"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","consigliato","Dei miei amici mi hanno consigliato questo ristorante..ambiente curato e pulito, personale attento e competente...la fiorentina davvero super. Per essere a Firenze il prezzo è buono"
"ui_bubble_rating bubble_50","Ottima scoperta","La mia amica mi ha proposto questo posto ed ha fatto centro!!!Locale mito carino, curato, non dispersivo elegante ma senza pretese.Servizio ottimo, personale di sala davvero gentile e efficiente.Cucina davvero buona, prodotto buonissimi e presentati in maniera davvero gradevole.È un posto in cui tornerò estremamente volentieri "
"ui_bubble_rating bubble_40","Ottimo!!!","Sono stato in qs ristorante durante la mia permanenza a Firenze e visto che mi sono trovato benissimo ci sono tornato una seconda volta in 4 gg... partiamo dal servizio: personale attendo e competente ottima l'idea di offrire un prosecco con un assaggino offerto dalla casa mentre si aspettano le portate...non è da tutti anzi da pochi ed è sempre cosa gradita...abbiamo preso i ravioli e i tagliolini con la bufala...molto buoni e originali...la fiorentina buonissima e la tagliata con carciofi in 3 consistenze davvero particolare e gustosa...che dire abbiamo mangiato molto bene il locale è piccolo e ben curato e accogliente come il personale che ho trovato davvero attento e disponibile nelle spigazione dei piatti...prezzi onestissimi visto che siamo a Firenze...bravi!!!"
"ui_bubble_rating bubble_50","Locale intimo e non solo ...","Ottimo cibo e pietanze buone e belle da vedersi.Ambiente accogliente e molto carino sia per passare una serata in famiglia che con amici.Personale sempre sorridente e disponibile!Dolci super!"
"ui_bubble_rating bubble_50","Cura del dettaglio!! ","Ottima cena con amici in questo locale che non avevo mai notato. Menù sfiziosa, di qualità e personale disponibile e gentile. Abbiamo assaggiato più portate scambiando i piatti, esperienza super positiva! Per concludere consiglio il loro tortino di ricotta!!!"
"ui_bubble_rating bubble_50","Sempre una garanzia!","Cena dell’8 Dicembre! Accolti come a casa, pieni di attenzioni e gentilezza.Servizio veloce anche con il locale strapieno. Piatti come sempre di altissima qualità, ottimo il polpo croccante e il filetto di ombrina, ma comunque sono tutti da provare! Ci torneremo sicuramente!!!!"
"ui_bubble_rating bubble_10","Parere obiettivo","Mai più........ !!!!! Abbiamo preso tre antipasti pretenziosi, due primi e due secondi. Una bottiglia d’acqua è una di vino. 124 euro per tornare di corsa a casa, per fortuna vicino al ristorante e mangiare in modo decente."
"ui_bubble_rating bubble_50","Piacevole accoglienza e raffinata cucina","Piacevole locale con bella cucina a vista nel quale Mattia e la sua famiglia ti accolgono con tanta gentilezza e riguardo. Ottimi e ben combinati gli antipasti, cura e raffinatezza nella presentazione di ogni piatto, tagliata di manzo e tartare al top.Sicuramente da provare e riprovare. Bravi!!"
"ui_bubble_rating bubble_50","Da non perdere","Ristorante veramente da non perdere. L'ambiente è arredato con stile e gusto, la cucina è ricercata ma le porzioni non sono minimal. Il servizio è sempre molto puntuale e cortese senza essere invadente. Prezzo più che adeguato al livello.Il plus è dato dal fatto che le mancie vengono devolute integralmente alla lotta contro il cancro, da standing ovation"
"ui_bubble_rating bubble_50","Cena con amici","Come sempre una garanzia dagli antipasti ai dolci, ambiente curato ma familiare, servizio impeccabile, piatti sublimi una delizia per il palato!"
"ui_bubble_rating bubble_40","Cena piacevole","Un bel locale abbastanza curato con un po’ di confusione per la tanta gente.Ho mangiato un risotto particolare, ottimo, ed una bistecca perfetta, buoni anche i dolci.Unica nota dolente un odore di fogna che ci ha accompagnato per tutta la cena."
"ui_bubble_rating bubble_50","Una Favola per il Palato","Conosco da anni il ristorante ma ogni volta rimango sempre più innamorato... la sua qualità è sempre in continua ascesa, mangiare in questo ristorante fa sempre assaporare il gusto del mangiare e dell’ottima cucina.In caso in specie, assaggiare questa tagliata ai carciofi è stato qualcosa di veramente libidinoso.POSTO SENSAZIONALE!"
"ui_bubble_rating bubble_50","Cena di venerdì ","Sempre ottimo.Locale carino,intimo e silenzioso.A.conduzione famigliare.Sempre gentilissimi e cortesi. Piatti molto buoni. Prezzi onesti per la qualità del cibo.cucina ricercata ma attenta alle tradizioni.Lo consiglio ad occhi chiusi."
"ui_bubble_rating bubble_50","Buonissimo e gentilissimi","Siamo stati a cena, piatti vari, ben curati e molto buoni. Materia prima di qualità. Staff gentilissimo!"
"ui_bubble_rating bubble_50","Serata indimenticabile!","Ci sono piatti semplici ma elaborati allo stesso tempo, tutto molto buono, il personale molto cortese e disponibile. Il posto non è grandissimo, ma ne vale la pena.Rapporto qualità prezzo piu che giusto.Lo consiglio!"
"ui_bubble_rating bubble_50","Cena con amici","Una cena molto piacevole. Abbiamo mangiato molto bene, si vede che una cucina fatta di ricerca da ragazzi giovani ma preparati. Piatti particolari ma con una ferma radice nella tradizione. Niente voli pindarici sterili, piuttosto piatti buoni con alcuni procedimenti di cucina complicati. Il ragazzo ai tavoli carino, professionale e gentile. Una bella serata. "
"ui_bubble_rating bubble_50","Spettacolare!!","Una vera e propria chicca dove ogni ingranaggio funziona alla perfezione. Un menù curato nei minimi dettagli e presentato benissimo, un ambiente accogliente e familiare e un servizio cortese e competente sono i punti di forza di questo locale."
"ui_bubble_rating bubble_50","Pranzo di lavoro","Ottimo servizio di qualità e sapori, il tutto gestito in modo professionale e cortese. Consiglio anche per la cena, con menù ricercato ed un ottima carta dei vini. Affidatevi a Mattia che gestisce la sala con simpatia e professionalità. "
"ui_bubble_rating bubble_50","Consigliatissimo!","Ci sono andata spesso sia a pranzo che a cena. Niente da dire, tutto ottimo e personale gentilissimo."
"ui_bubble_rating bubble_50","Tutto ottimo","Posto davvero carino con cucina a vista. Un giorno siamo stati a pranzo e fanno dei menu fissi ma buonissimi e di qualità. Siamo tornati stasera x festeggiare un compleanno e abbiamo scoperto un menu eccezionale molto ricercato. Piatti esteticamente ben curati e deliziosi. Il personale molto gentile lo chef molto giovane ma bravissimo. Prezzi normali x il cibo. Ci torneremo. Consigliato. "
"ui_bubble_rating bubble_50","Cena in 2","Di questo locale mi é piaciuto tutto. Il posto, il menù, il personale, e chiaramente i piatti. Carina e allegra la cucina a vista, ottima e vasta la scelta del menù. Daniele (il giovane chef) attento e preparato. Ottimo il risotto, e delicato il cervello fritto e i funghi nostrani.. super consigliato. Bravi!"
"ui_bubble_rating bubble_50","Certezza.","Certezza di trovare un ambiente carino e confortevole, certezza di trovare un servizio efficiente e simpatico, certezza di trovare piatti preparati con i migliori e freschi ingredienti, e certezza di dolci fatti in casa sublimi, bravi a tutti !!!"
"ui_bubble_rating bubble_40","Pranzo veloce ","Tutto molto buono quello che abbiamo mangiato Dal tagliere del locale alla carne e verdure Prezzo in linea con la qualità Da provare "
"ui_bubble_rating bubble_50","Una cena a due","Cena ottima, piatti gustosi originali e ben presentati;servizio attento, cortese e mai entrante; l'ambiente è elegante e soft; il prezzo onesto. Una garanzia. Provate il polpo croccante!"
"ui_bubble_rating bubble_50","Da non perdere","Questo piccolo ristorante dovrebbe essere di esempio a tanti altri più conosciuti ma sicuramente inferiori in termini di qualità, professionalità e presentazione dei piatti.Mi dispiace di averlo scoperto soltanto adesso e ci tornerò sicuramente presto! Tartare eccellente. Bravi!"
"ui_bubble_rating bubble_30","Pranzo in famiglia","Locale piccolo ma gradevole con vista sulla cucina. Buono il tagliere con pecorino e salumi i crostini con patè di fegatini buono ma con il pane troppo arrostito e duro. Cervello pollo e verdure il tutto fritto con troppa farina nella pastella e risultavano pesanti.Tagliata con friatelli buona. Vino della casa mediocre. Servizio nella media. Conto un poco alto per un pranzo (circa 30 euro a testa)."
"ui_bubble_rating bubble_50","da tornarci sicuramente","trovato il locale tramite questo sito. servizio impeccabile e cibo di alta qualità. qualità prezzo perfetti. ci tornerò sicuramente"
"ui_bubble_rating bubble_50","Davvero buono","Ci vado spesso a pranzo e non delude davvero mai. Si mangia bene ed il posto è carino. Alla prossima"
"ui_bubble_rating bubble_50","Accogliente, buona qualità ","Il locale è molto carino, servizio velocissimo e qualità buona.Il personale è cortese. Peccato non esserci andato prima. Meglio prenotare, anche se non è d'obbligo, poiché mi è capitato spesso che fosse al completo. Consigliatissimo... "
"ui_bubble_rating bubble_50","ottimo!","ci sono andata almeno quattro volte, e ogni volta sono uscita dicendomi che era davvero una bella scoperta. Personale gentile e disponibile, clima molto piacevole, cucina a vista con menù vario e ogni piatto ottimamente cucinato e presentato. Ve lo consiglio vivamente"
"ui_bubble_rating bubble_50","Buonissimo! Servizio top","Siamo andate in 5 amiche in questo ristorante. Per me era la 2' volta a distanza di tempo,per cui una conferma. Tutto buonissimo, materie prime di qualità. Per non parlare del servizio di Mattia , il giovane proprietario che per esaudire un' amica è uscito per comprarle il gelato. Rapporto qualità prezzo giusto. Provare per credere :)"
"ui_bubble_rating bubble_50","CONSIGLIATISSIMO","Non era la prima volta che mangiavo in questo locale, zona Cure a Firenze.Che dire, ogni volta è un vero piacere farci una cena. Perfetto sia con amici che in dolce compagnia, l’ambiente è molto piacevole, mai chiassoso e molto accogliente.Il personale è sempre gentile e preparato, i proprietari trasmettono vera passione nel servire, consigliare e descrivere i propri piatti.Ma la vera forza di questo locale è il menu (che varia con regolarità ogni 3/4 mesi): piatti sempre molto ben preparati, elaborati ma senza eccessi.Ho preso una tartara di ricciola, buonissima e delicata. Proseguito con i cappellacci ripieni di capesante, davvero eccellenti. Di secondo calamaro ripieno, tenerissimo e molto saporito. Altri amici hanno preso la carne (ho assaggiato il filetto, morbido come il burro), anche loro soddisfatti.Carta dei vini completa e con ottimi prodotti.Dolci: pochi ma buoni, raccomandatissimo il cheese cake, per nulla pesante (cosa rara) e davvero ottimo.Che dire, una gestione familiare esemplare, uno chef giovane e capace, prezzi competitivi. Consigliatissimo!"
"ui_bubble_rating bubble_40","...Festeggiamenti...","Ritornato dopo molto tempo...cucina ottima, bello il locale e personale gentile e professionale.Prezzi medio alti 2 coperti 2 antipasti 2 secondi 1 dolce 1 donnafugata bianco e 2 caffè 80€ ma cosa importante siamo usciti soddisfatti."
"ui_bubble_rating bubble_50","Ambiente rilassante e tanta qualità","Esperienza davvero positiva!!ne avevo sentito parlare e finalmente ci sono stato, aspettative pienamente soddisfatte!!!Cibo di qualità e servizio attento, ambiente curato pulizia e ottimi impiattamenti!!Ottimo il risotto agli asparagi caprino e tartufo!Da provare assolutamente sia in coppia che con gli amici"
"ui_bubble_rating bubble_50","Complimenti!!!!","Ottimo una vera sorpresa. Una famiglia che trasmette tutto l'amore che ha per il suo lavoro. Ho magiato pesce ed era da tempo che non rimanevo cosi colpita. Tutto squisito con proposte molto originali. Eravamo un gruppo di amici di dieci persone circa tutti molto soddisfatti. Continuate cosi!!!!Ci tornero prestissimo!"
"ui_bubble_rating bubble_40","Sofisticato e accogliente ","Ambiente gradevole, ottima cucina.Locale romantico e personale molto gentile A volte si aspetta un po’ tra le portate.vale la pena andarci"
