"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Da provare!","Piccolo ristorante nel centro di Firenze; rivisitazione dei piatti tipici toscani tutti sapientemente spiegati dal Sig.Antonio. Ottima cantina! Merita una visita"
"ui_bubble_rating bubble_40","Piacevole cena in una fredda serata fiorentina","Il locale ha nel menù, volutamente basato su un ristretto numero di portate, la sua peculiarità. Come spiegato dal gestore, il menù intende far assaporare ai clienti piatti della cucina toscana in genere, quindi non necessariamente fiorentina, proponendo anche portate con prodotti del mare, meno frequenti nei ristoranti fiorentini abituali. Abbiamo ordinato un antipasto, un primo e un secondo e poi due dessert, con i dettagli delle varie portate illustrati dal gestore, sempre prodigo di informazioni sia sulle pietanze che sui vini. Nel complesso è stata un'esperienza piacevole, anche per la sobria eleganza del locale e per la gradevolissima musica di sottofondo. "
"ui_bubble_rating bubble_50","Superlativo!!!","Siamo stati in questo ristorante due gg fa, tutto ottimo, dal servizio al vino, piatti squisiti. Validissima alternativa al classico ristorante fiorentino dove ci si aspetta di trovare la Fiorentina. Siamo rimasti molto soddisfatti. Consigliatissimo. "
"ui_bubble_rating bubble_50","La cucina buona di una volta! ","Grazie alle dettagliate ed appassionate descrizioni del padrone di casa Antonio, abbiamo assaporato ancora meglio le ottime pietanze, immergendoci completamente in una dimensione senza tempo. Sapori antichi descritti minuziosamente, odori e visioni di altri tempi. Anche il vino, di cui non siamo esperti, ci ha fatto sentire ancora più a casa dopo le degustazioni proposte. Altra nota di merito: non avere un menu turistico e soprattutto avere poche pietanze per ogni portata, chiaro segno di qualità ed attenzione per il cliente. Bravi. Certamente consigliato.Armando e IlariaNapoli"
"ui_bubble_rating bubble_50","Piccolo posticino nel cuore di Firenze, eccellente qualità","dopo aver letto le buone recensioni, abbiamo deciso di provare questo posto nel pieno centro di Firenze. Confermiamo l’eccellente Valutazione: cibo buonissimo (menù della tradizione Toscana, ma in chiave leggermente rivisitata) e oste molto attendo a guidarti nella scelta dei piatti e Nei giusti abbinamenti di vino."
"ui_bubble_rating bubble_50","Le ricette di una volta","Quando arrivi in una città come Firenze dove i turisti la fanno da padrona è difficile trovare un ristorante attento a valorizzare le tradizioni del territorio. Poi, se cerchi bene, trovi Il Ricettario piccolo locale con cucina in sala e Antonio, il padrone di casa che con calma e conoscenza ti spiega la filosofia del ristorante e di un menu scritto a penna con le ricette del territorio toscano. Le ricette, quelle antiche dei contadini, con cottura lenta e con il profumo che riempiva le case. Insomma questo è un locale dove incontrare con successo la cultura e la cucina toscana e dove il gestore ha scelto la strada commercialmente più difficile ma da cui si esce con il palato e il cuore gonfio di gioia. GRAZIE ANTONIO!!! "
"ui_bubble_rating bubble_50","Eccezionale!!","Scoperto per puro caso nel centro di Firenze, a pochi passi da Ponte Vecchio, si è rivelato un ristorante degno di essere chiamato tale. Il Ricettario, così chiamato il menù, comprende alcune delle migliori Ricette tradizionali, studiato nei minimi dettagli, il Ricettario ha pochi ma eccezionali piatti, curati già dal principio con una scelta delle materie prime di alta qualità e soprattutto 100% locali. Il proprietario oltre che molto disponibile e simpatico, è anche molto preparato ed esperto in tutto quello che offre... dal Vino (che viene fatto gentilmente assaggiare prima di scegliere), al Cibo, che viene raccontato nei minimi dettagli come fosse una storia.Che dire, assolutamente Eccezionale!Assolutamente da provare se siete qui a Firenze."
"ui_bubble_rating bubble_50","Curato nei minimi dettagli","Ristorante molto carino nel centro di Firenze! Il menu segue le vere ricette tradizionali caratterizzato da sapori eccezionali! Il proprietario ha curato ogni singolo dettaglio che va dall’arredamento alla scelta della materia prima interamente locale! Il prezzo assolutamente modico!Insomma un’esperienza da ripetere sicuramente quando torneremo a Firenze!"
"ui_bubble_rating bubble_50","Semplicemente Eccezionale","Abbiamo scoperto questo ristorante per puro caso, vicinissimo a Ponte Vecchio e non posso che fare i complimenti al proprietario e a tutto lo staff. Menù particolare e raffinato, non ampio ma decisivo, abbiamo mangiato ogni piatto con gusto fino alla fine, sembra di mangiare a casa della nonna, con quei sapori di una volta, difficili da trovare al giorno d'oggi. Non posso che raccomandarlo a tutti. 5 stelle meritatissime."
"ui_bubble_rating bubble_50","Tour della cucina toscana","Limitata scelta di piatti della tradizione Toscana dalla Lunigiana alla Maremma. Scelta azzeccata del locale i cui piatti sono preparati in maniera sublime. Da apprezzare l' attenzione al cliente dalla scelta dei piatti ai vini. Il gestore è stato molto affabile e premuroso con tutti italiani e stranieri padroneggiando l' inglese. A proposito mi aveva promesso la ricetta della sua fantastica confettura di cipolle di Tropea. Solo per quello il ristorante merita una visita. Complimenti!!!"
"ui_bubble_rating bubble_50","Bella scoperta!","Cena di capodanno ‘18. Cena alla carta: scelta tra tre antipasti, tre primi, tre zuppe, tre secondi e tre dolci.Abbiamo scelto una selezione di salumi del territorio (ottima), tortelli con ripieno spinaci e ricotta ricoperti da un ragù prelibato, un altro prima e uno stracotto altrettanto buono.Lo staff cortese e preparatissimo ci ha spiegato i piatti con tanta passione e amore. Complimenti.Per essere la cena di capodanno, abbiamo speso una cifra non eccessiva. Lo consiglio!"
"ui_bubble_rating bubble_50","Una scoperta eccezionale!","Locale piccolo e accogliente. La scelta perfetta per un tour enogastronomico della Toscana, da nord a sud, dall'Appennino alla costa tirrenica. Personale gentile e pronto ad accogliere tutte le richieste riguardo all'origine delle ricette ed ai possibili allergeni.Una scoperta eccezionale!"
"ui_bubble_rating bubble_50","materie prime di eccellente qualità","Complimenti per la ricercatezza delle materie prime di qualità eccellente. Cipolle caramellate e Bigoli da 10 ma la torta di mele sarà indimenticabile."
"ui_bubble_rating bubble_50","Eccellenza in tavola","Il cibo è buonissimo, servizio ottimo e veloce. Il posto è accogliente, si nota subito l'elevata professionalità e passione del personale. Il prezzo rispecchia la qualità dei piatti. Estremamente consigliato! "
"ui_bubble_rating bubble_50","ottima qualità","Sono stata in questo ristorante il giorno di Natale. la sala è molto piccola (poi ho visto che ne hanno un'altra al sotterraneo), ambiente moderno e curato. Abbiamo mangiato molto bene e la qualità del cibo è senz'altro ottima. Forse il servizio è stato un po' lento ma ci sono stati problemi con le prenotazioni per cui forse è comprensibile. Se devo fare un appunto il secondo di carne pensavo fosse completo, cioè avesse il contorno, considerando che nel menù non sono citati. I dolci niente di particolare. Conto adeguato con i prezzi di Firenze. Consiglio, in inverno, di farsi assegnare un tavolo non vicino all'ingresso, aprendosi spesso la porta l'ambiente si raffredda molto velocemente."
"ui_bubble_rating bubble_50","Tutto perfetto","Ristornate curato nel minimo dettaglio,la qualità del cibo si sente che è di prima scelta,il personale disponibile e preparato,complimenti al proprietario per la passione con là quale svolge il suo lavoro !"
"ui_bubble_rating bubble_50","Eccellente","Eccellente menu esplorativo: proprietario e camerieri perfetti, servizio rapido con prezzi in linea: talmente disponibili da consigliarci anche un vinsanto - assolutamente meritate cinque stelle su cinque."
"ui_bubble_rating bubble_50","Eccellente","Ottimo ristorante al centro di Firenze. Pietanze di eccellenza,il proprietario Antonio molto gentile ed accogliente. Lo consigliamo vivamente,noi ci torneremo senz'altro."
"ui_bubble_rating bubble_50","5 pallini su 5, e c’è un perché","Abbiamo pranzato in questo ristorante e siamo rimasti molto soddisfatti, locale piccolo e tranquillo, tanta attenzione al cliente e cura nei piatti, dalla presentazione, al gusto per finire alla presentazione. I sapori ottimi, dagli antipasti ai secondi. Da provare assolutamente se si desidera fermarsi in un posto che non sia il classico locale turistico che cerca di fregare"
"ui_bubble_rating bubble_30","Recensioni w","Recensioni troppo entusiastiche è un po' fuorvianti. Infatti, al di là di una buona selezione di prodotti locali, non mancano note dolenti quali: arredamento e interni mancanti del calore che ci si aspetterebbe da un locale che si vorrebbe tipico, tavolini da fastfood troppo ravvicinati. Sulla proposta della cucina: buoni i salumi, non più di discreti i pici e da dimenticare i tortelli troppo grandi e ricoperti da una incomprensibile quantità di ragù non indimenticabile... Si esce rimpiangendo una trattoria alla buona..."
"ui_bubble_rating bubble_50","TOP ","Siamo stati a pranzo con degli amici e che dire ottimo!!! La location non è molto grande ma semplice e ben curata ma passiamo al cibo veramente molto buono ricette di antiche tradizioni molto curate e materie prime freschissime bravissimi ottima la cantina dove Antonio sa proporti degli ottimi prodotti Toscani , ottimo rapporto qualità prezzo , i dolci 4 porzioni ci sono stati offerti grazie . È stato un vero piacere "
"ui_bubble_rating bubble_50","Viaggio guidato alla scoperta dei sapori toscani.","Con il mio fidanzato, decidiamo di festeggiare l'anniversario in questo ristorante attratti dalla recensioni e dal design particolare. Si trova a due passi dal Ponte Vecchio e ha pochi coperti (al massimo 25) però la cucina che offre è molto interessante. Un viaggio culinario guidato da Antonio che la sa lunga sui suoi piatti e la loro storia. L'offerta non è ampia, ma certamente accattivante. Buono l'antipasto con cecina, crostini di fagioli e cavolo nero e i formaggi, molto particolare la zuppa con all'interno un crostone con pecorino e un uovo sodo al centro. Ho trovato gustosa la torta di mele con la crema. Ve lo consiglio perché troverete passione e gusti particolari!Prezzi in linea con la qualità offerta."
"ui_bubble_rating bubble_50","Molto più che una semplice cena: un'esperienza. Un'idea che va al di là.","Antonio, il proprietario giovane di questo meraviglioso locale, è una persona di una conoscenza davvero profonda della regione Toscana, e di tutto ciò che essa offre. Ciò che da all'occhio è proprio il suo non essere originariamente Toscano a fare effetto. Una passione per l'esperienza culinaria, per la tradizione che non deve perdersi, per la selezione degli ingredienti e dei piatti significativi, per offrire un menù che copre tutta la regione Toscana. La freschezza degli ingredienti scelti, la selezione di vini di livello, il rapporto qualità/prezzo, misti alla gentilezza, la conoscenza e la simpatia di Antonio, rendono il Ricettario il mio posto preferito a Firenze."
"ui_bubble_rating bubble_50","Ci son tornato ed migliorato","Per una cena '' fuori '' mi sono ripresentato al ricettario. Che dire, stessa accoglienza, stessa attenzione coinvolgente e costante per tutta la serata. Abbiamo deciso di assaggiare la Toscana sul mare. Ottimo antipasto di pesce (eccezionale polpo e patate) un cacciucco, una trabaccolara, ed il baccalà alla livornese. Tutto ottimo, presentato bene e raccontato dal proprietario Antonio che ci ha incantati con la spiegazione dei piatti e con la scelta del vino. Infine ci è stato offerto un ottimo dolce accompagnato da un calice di vino da uve stramature. Ci siamo intrattenuti dopo la cena con Antonio ed il giovane chef Cosimo che ci hanno raccontato la filosofia del locale e della cucina. Ci hanno coinvolto!! È il meglio locale di Firenze perché è un locale che Serve è veramente utile, ti sazi e ti nutri di conoscenza, diventi partecipe dell'entusiasmo di queste persone che fanno un lavoro con una passione che si percepisce in ogni dettaglio ed in ogni parola ed in ogni piatto ovviamente. E poi il menù con frasi della Divina Commedia..... Unico! Bravi"
"ui_bubble_rating bubble_50","Bravi!","Situato nel bel centro di Firenze a due passi da Ponte Vecchio. Bella accoglienza, piatti caserecci fatti con ingredienti freschissimi! Carta dei vini molto dettagliata! Ambiente pulito e personale cordiale! Prezzi onesti. Raccomandatissimo!"
"ui_bubble_rating bubble_50","Più di una semplice cena...","...Dietro questo ristorante si nasconde una filosofia: il riportare alla luce vecchie tradizioni della Cucina Toscana ormai dimenticate o in disuso. Antonio, il proprietario, si preoccupa in sala non solo di far gustare le pietanze, provenienti da 15 differenti luoghi della Toscana, ma anche di raccontarne le origini per ben comprendere il senso profondo di ciascuna Ricetta. Il nome Il Ricettario rappresenta proprio questo: un viaggio nella Toscana che fu attraverso i suoi sapori antichi e sempre nuovi conditi dalle storie della gente che per secoli li ha gustati. Il Ricettario è in definitiva Viaggio, Esperienza, Scuola, e per gli amanti del vino (io purtroppo no ma mio marito sì) Scoperta delle sensazioni visive, olfattive, gustative dei principali vini della Toscana! Per tutto questo Grazie Antonio, è stata una serata indimenticabile, sia per me che per tutta la mia famiglia! Torneremo il prima possibile!"
"ui_bubble_rating bubble_50","Pranzo in centro","Siamo entrati per caso è ci siamo trovati in un bel posto: abbiamo ordinato piatti tipici della tradizione toscana tutto abbinato ad un ottimo vino. Il personale e gentilissimo e i prezzi in linea con la qualità."
"ui_bubble_rating bubble_50","Da Provare!","Ristorante piccolo, una ventina di posti, ben curato e pulito! Menu tipicamente toscano con tanto di mappa allegata per scoprire da dove arrivano le pietanze descritte! Cameriere molto preparato sui vini e sugli oli. Degustazione di entrambi i prodotti eccellente! Ottime le zuppe sopratutto l'Acquacotta della Maremma! Ritornerò nella mia prossima tappa fiorentina!"
"ui_bubble_rating bubble_50","Tutto favoloso, consigliatissimo","In questo ristorante non solo si gustano ottimi piatti ma si impara anche molto della storia e della tradizione della cucina Toscana, non vedo l'ora di tornare."
"ui_bubble_rating bubble_50","Cucina Toscana Autentica!","Siamo stati con la mia ragazza in questo ristorante dopo aver letto le recensioni su tripadvisor e devo dire che non posso che confermare il giudizio su questo posto! Davvero perfetto nella realizzazione dei piatti e nel racconto degli stessi. Particolarmente apprezzata la degustazione dei vini prima di scegliere la nostra bottiglia! abbiamo preso due primi e un secondo, acqua e bottiglia di vino 77 euro totali. Rapporto qualita prezzo ottimo. Il dolce ci è stato offerto dal proprietario! Grazie della bella serata e a presto! Alessandro e Giada"
"ui_bubble_rating bubble_50","Serata Speciale a Il RIcettario!","Grazie a Il Ricettario per la bellissima festa di compleanno! Una cena davvero coi fiocchi dall'antipasto al dessert! Tortelli e cacciagione buonissimi! Il tutto accompagnato da un ottimo Vino Nobile. Grazie anche per la torta a sorpresa, semplice e buonissima! Un abbraccio ad Antonio e a tutto lo staff! A presto!"
"ui_bubble_rating bubble_50","Il meglio che si possa trovare ","Nuovo locale in via lambertesca. Menù curato nei minimi particolari, ingredienti selezionati con cura da parte dello staff.Complimenti ai ragazzi della cucina e ad Antonio! Super preparato anche sulla storia del singolo ingrediente!Sicuramente uno punto di riferimento per chi ha voglia di vivere la vera cucina toscana"
"ui_bubble_rating bubble_50","Diverso dal solito","Che bella Accoglienza! un ristorante dove ti spiegano le origini dei piatti oltre a farteli gustare! Io e la mia amica siamo rimasti davvero molto soddisfatte dalla cucina de il RIcettario, pochi piatti ma fatti con amore! Il mio stracotto era tenerissimo e molto gustoso, cosi come pure il baccala alla livornese della mia amica! Ottima selezione di vini sapientemente spiegati dal cameriere! Complimenti e a presto! Rita e Claudia."
