"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Ottimo pasto","Particolare in tutto e conoscendo già la cucina iraniana posso dire che è stata un ottima scoperta nel centro di firenze, torneremo sicuramente per assaggiare altri piatti proposti."
"ui_bubble_rating bubble_50","Ottima serata","Locale piccolo ma caldo e accogliente, personale alla mano molto gentile, piatti tipici persiani, non avevo mai assaggiato niente del genere, ma i piatti mi hanno veramente stupito"
"ui_bubble_rating bubble_50","Compleanno insolito ","Un’ottima cena per festeggiare il compleanno di mia figlia! Abbiamo assaggiato un po’ di tutto con molta soddisfazione. Locale piccolo e intimo. Tanta cortesia. Da provare!"
"ui_bubble_rating bubble_50","Fantastica sorpesa","Incuriositi e con la voglia di provare qualcosa di nuovo, prenotiamo in questo piccolo locale accogliente, caldo, intimo.Cibo eccellente, sapori di terre lontane Definitivamente uno dei miei posti preferiti a Firenze!!"
"ui_bubble_rating bubble_30","Buono ma sapori molto particolari","Premetto che ho dato 3 stelle solo perché a noi non sono piaciuti i sapori, ovviamente molto diversi dai nostri e non paragonabili con piatti di altre etnie. Detto ciò io lo consiglio, si vede che son piatti ben curati e cucinati bene. Abbiamo preso un antipasto, un piatto unico e dolce. Spesa nella norma "
"ui_bubble_rating bubble_40","Gastronomia eccellente","I piatti sono favolosi, sapori delicati e sorprendenti. Da migliorare nel servizio, ma cmq lo consiglio vivamente. "
"ui_bubble_rating bubble_50","Gradita sorpresa","Ristorante veramente caratteristico, atmosfera persiana, personale accogliente e una cucina fedele alla tradizione con piatti particolari che vorresti provare tutti. Da non perdere!"
"ui_bubble_rating bubble_40","Profumi colori e spezie ","Locale molto intimo, con due salette piccoline ma con una calda atmosfera. Il menu é intrigante con descrizioni e foto dei piatti tipici. Largo uso di spezie e abbinamenti deliziosi (cannella e zafferano dal profumo intenso) . Abbiamo assaggiato vari antipasti tutti molto buoni e un piatto principale ciascuna. Devo dire che tutti erano buoni e per niente piccanti ma con un gusto dolce amaro ben calibrato . Il mio riso con zafferano e cannella che accompagnava i bocconcini di pollo davvero speciale. Il gelato con gocce di acqua di rose davvero intrigante . Serata piacevole . Lo consiglio per una cena alternativa per provare i gusti persiani ."
"ui_bubble_rating bubble_40","Posto intimo e accogliente","Bellissima scoperta nel centro di Firenze. Sono rimasto molto soddisfatto degli antipasti e del piatto principale, un po' meno dal dolce. Personale gentilissimo e posto carino e intimo. Esperienza da riprovare assolutamente."
"ui_bubble_rating bubble_30","Una cena diversa... colori e profumi da Tehran!","A cena in questo locale... piacevolmente sorpresa non amando in generale i sapori diversi da quelli tipici italiani a cui sono abituata! Antipasti molto buoni, sia i due tris (che abbiamo chiesto di differenziare), che l'insalata di spinaci, noci, feta e salsa di melograno (molto buona).... il piatto principale mi è piaciuto meno, non amo mischiare riso e carne ma in questo caso non c'era alternativa... l'ambiente è carinissimo, piccolo ma davvero molto curato! Personale gentilissimo!"
"ui_bubble_rating bubble_50","sapori persiani","Siamo stati sabato sera a cena con degli amici...Abbiamo preso 2 tris di mazè, 1 salad spinaci, 1 celo bademjan(variante vegetariana), 2 celo kubide, 1 celo giuge, masghati e shole zard..Tutto veramente ottimo e a buon prezzo..Location veramente bella e curata..Personale molto cortese e gentile..Torneremo sicuramenteConsiglio di prenotare"
"ui_bubble_rating bubble_40","piccolo ma si mangia bene","Eravamo in giro con le colleghe in cerca di un ristorante in cui cenare, e per puro caso abbiamo trovato il Tehran! Incuriosite dalla cucina persiana, che nessuna di noi aveva mai assaggiato, siamo entrate.Il ristorante è Piccolo, un corridoio che in fondo si apre in una saletta piccolina. Era pieno, ma fortunatamente c'erano dei posti disponibili lungo il corridoio! Il locale è accogliente e ben curato, il personale molto gentile e disponibile. Il cibo è Ottimo! Da provare il riso avvolto nelle foglie di riso!!! Consiglio di prenotare perché noi siamo state fortunate a trovare posto!!! Consigliato!"
"ui_bubble_rating bubble_50","Cucina eccellente in un piccolo spazio","Cucina persiana molto gradevole senza eccessi in speziature.Abbiamo preso i piatti del giorno: una specie di timballo di riso e uno stufato di carne.Buonissimo il gelato Bastani.Servizio gradevole e quasi famialiare.Prezzi incredibilmente bassi per la zona: 44 € in due,bevande comprese (vino e minerale)."
"ui_bubble_rating bubble_40","Etnico con gusto","Abbiamo cenato in questo piccolo ristorante arredato con gusto, assaggiando diverse specialità che ci sono molto piaciute, forse solo la loro tipica bevanda allo yogurt un po' difficile per noi, anche i dolci sono risultati buoni in particolare il budino di riso. Prezzo giusto, da ritornarci, ma bisogna sempre prenotare"
"ui_bubble_rating bubble_50","Piccolo, quasi nascosto ma...","Ci sono stato accompagnato da mia figlia che abitando a Firenze lo conosce, altrimenti è quasi nascosto anche se in pieno centro. Vale davvero la pena, cibo di qualità, servizio ottimo e gentilezza con tutte le spiegazioni dei piatti necessarie. Da provare assolutamente i dolci...Unico consiglio che posso dare è quello di prenotare perchè il locale è piccolo. Ma è da provare assolutamente"
"ui_bubble_rating bubble_50","Buonissimo ","Piatti buonissimi e anche belli Ambiente accogliente e personale gentile Raccomandatissimo se volete mangiare i veri piatti persiani "
"ui_bubble_rating bubble_50","Buono!","Bello il posto, ottima la cucina molto tipica. Personale molto gentile e simpatico. Lo consiglio assolutamente."
"ui_bubble_rating bubble_40","Posto molto curato e buon cibo!","Eh si...questo è davvero un bel ristorantino etnico nel vero centro di Firenze! Situato fra piazza del Duomo e Piazza della Signoria il locale è piuttosto stretto ma molto molto grazioso, pulito e ben tenuto. L'apparecchiatura è semplice con tovagliette all'americana. Il personale molto gentile e anche bello (!); le ragazze ci hanno spiegato tutto per capire bene cosa andavamo ad ordinare. Noi eravamo in 6 e abbiamo preso antipastini vari per tutti poi ciascuno ha preso un piatto di carne che viene sempre acompagnato con del riso. Da bere vino rosso e acqua. Era tutto molto buono, alcuni sapori più particolari di altri ma davvero bene. Io ho mangiato l'agnello e lo consiglio vivamente. Abbiamo preso anche il dolce (budino e gelato con gusto allo zafferano) e il caffè. Costo dell'operazione: 26 euro a testa che mi sembra un ottimo rapporto qualità/prezzo. La cosa che mi ha colpito oltre alla gentilezza del personale e al cibo è stata il fatto che ci fossero diverse persone di lingua araba come se il posto fosse un punto di riferimento per le persone arabe che abitano a Firenze. Accanto al nostro tavolo c'erano tre persone che avevano preso da bere una bevanda che mi ha incuriosito: ho chiesto loro cosa fosse e mi hanno spiegato che si tratta di yogurth, acqua gassata, sale e acqua di rose; molto gentilmente ci hanno fatto assaggiare e noi abbiamo potuto provare qualcosa che altrimenti ci saremmo persi. Ecco questo piccolo gesto di condivisione culturale mi ha fatto apprezzare ancora di più questo posto...Da provare senza dubbio! "
"ui_bubble_rating bubble_50","Consigliatissimo","A cena per la prima volta in un ristorante medio orientale, siamo stati molto felici della calda accoglienza e della gentile pazienza con cui il gestore ci ha spiegato e descritto piatti per noi nuovi e da scoprire.Interessante il piatto del giorno giornaliero proposto in menù.Qualità ottima, ambiente riservato (un po' troppo piccolo forse), prezzi nella norma, sevizio cortese e rapido.Consigliatissimo !"
"ui_bubble_rating bubble_50","Buona esperienza","Prima volta che provo la cucina iraniana molta buona.Persone molte gentile e disponibileLa consiglio"
"ui_bubble_rating bubble_50","scoperto per caso","posticino caratteristico, non turistico nonostante la posizione. Piatti buoni e molto belli! pulitissimo e ben arredato"
