"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Andateci!","Questa sera alloggio con la mia famiglia a Firenze. Per cena abbiamo optato per la pizza e il nostro hotel ci ha consigliato Il Clarinetto! Ci siamo trovati benissimo!!! Due bicchieri di prosecco, a me e a mio marito, come benvenuto; accompagnati da una schiacciatina! Pizza ottima, tra l'altro due dei nostri bimbi l'avrebbero divisa, ed allora è già arrivata tagliata a metà (in 2 piatti) e ulteriormente già tagliata a fette. Pizza il clarinetto e tartufina gustosissime e l'impasto divino: croccante fuori e lievitata molto bene. Una nota particolare va al personale: ci ha servito un ragazzo (credo sia indiano o comunque di origine): gentilissimo, cordiale, simpatico e premuroso! 10+Insomma..... il tutto, non una semplice pizza!! E... la birra: servita nel cestello con ghiaccio!! Per cui, se vi trovate a Firenze e volete una buona pizza condita con tanta gentilezza e occhio di riguardo passate dal  Il Clarinetto."
"ui_bubble_rating bubble_50","Ottimi piatti di pesce ","Abbiamo cenato in questo piccolo ristorante che si trovava vicino al nostro alloggio e la scelta è risultata azzeccata: abbiamo optato per assaggiare due antipasti di pesce e due piatti di pasta condita sempre con pesce. Il tutto ben cucinato e servizio attento e veloce. Da consigliare, ma bisogna prenotare perché il locale è piccolo."
"ui_bubble_rating bubble_50","Fantastico ","Lo ribadisco un altra volta, fantastico, menù da 10, servizio da 10. Lo consiglio a tutti i fiorentini e a chi è in visita a Firenze!!"
"ui_bubble_rating bubble_50","Ottimo","Siamo stati in questa pizzeria diversi anni fa e non ci aspettavamo di trovare il posto proprio come prima! In due abbiamo preso 3 pizze. Due marinare e una margherita. Eccezionali! Materia prima di ottima qualità (Non è da tutti). Guardando il menù, in generale, i prezzi sono giusti. Non avendo assaggiato la cucina, possiamo dire poco a riguardo ma da una buona pizza si capisce molto. Staff pulito, organizzato e tranquillo. Proprietario carinissimo. Ci è stato offerto anche un prosecco inizialmente che è una piacevole nota di benvenuto."
"ui_bubble_rating bubble_40","Pranzo di lavoro OK.","Il locale è frequentato a pranzo da lavoratori in pausa pranzo. Il personale è gentile e veloce, ho preso una insalatona ricca e saziante. Una bottiglia di acqua e caffè. Non posso fare valutazioni sul resto delle specialità ma i presupposti perchè sia un buon locale ci sono. Segnalo il pane, fatto dal pizzaiolo credo, buonissimo davvero irresistibile!!!"
"ui_bubble_rating bubble_40","Una buona pizza ","Trovato per caso, personale accogliente e gentile, la pizza buona ed anche i dolci. Economico. A pranzo appare molto frequentato da lavoratori in pausa."
"ui_bubble_rating bubble_40","Pranzo di lavoro","Mangiare buono, prezzi onesti e discreta varietà. Il servizio è professionale e amichevole. Da consigliare. Esperienza sicuramente positiva."
"ui_bubble_rating bubble_40","Ottima pizza","Noi abbiamo optato per la pizza, buonissima, alla napoletana. Però diversi avventori intorno a noi hanno optato per il pesce, e a quanto pare doveva essere molto buono.Locale assolutamente normale, non particolare. Personale molto gentile. Prezzi nella media"
"ui_bubble_rating bubble_50","Piacevole sorpresa ","Abbiamo cenato in questo locale durante il nostro soggiorno a Firenze e abbiamo deciso di provare piatti a base di pesce. Cena freschissima e molto apprezzata, personale simpatico e prezzi più che onesti (padellata di mare per 2 persone, 2 primi a base di pesce e due caffè = 63 euro).Davvero consigliatissimo "
"ui_bubble_rating bubble_40","Piacevole sorpresa","Desideroso di mangiare del pesce nelle vicinanze di Piazza della Libertà, guardando le recensioni su TA ho scoperto questo ristorante.Le aspettative sono state soddisfatte, piatti ben preparati, abbondanti, personale gentile e disponibile.Ci tornerò volentieri all'occasione."
"ui_bubble_rating bubble_50","Cena leggera","Per due sere di seguito, ero a Firenze per un congresso, ho cenato con pizza e birra. Ottime entrambe e tutte e due le sere. Pasta ben lievitata. No sete durante la notte. Servizio e personale Okey."
"ui_bubble_rating bubble_50","Pesce incredibile ","Sono stato al clarinetto per mangiare del pesce. Antipasto di crudités, sgombro in carpione e seppie alla brace. Raramente ho trovato questo livello di qualità. Personalmente penso che a Firenze non ci sia un ristoratore migliore quando il pesce è protagonista. L’attenzione dello staff fa il resto. "
"ui_bubble_rating bubble_50","Anniversario al pesce","I miei genitori cercavano un posto dove mangiare pesce in città, cercando su internet ho trovato questo posto. Il locale ha l'aspetto della trattoria anni 70 anche per il clima gioviale che si respira, il servizio rapido, sorridente e attento caratterizzano ancora di più il pasto (molto apprezzati sia la focaccina che il flûte di prosecco in apertura). Il menù è ricco ma noi eravamo li per il pesce che, non aveva neanche un asterisco quindi tutto fresco! Personalmente ho preso un'insalatina calda di mare, buonissima (anche se c'erano diversi pezzi di gusci) e le seppie sabbiata che consiglio a tutti. Sul finale un sorbetto al limone e mezzo tartufo di pizzo calabro... Tutto per 25 euro a testa!!! Insomma ottimo! "
"ui_bubble_rating bubble_50","Cena","Ottimamente tutto, la pizza, il personale molto cordiale e simpatico e la location, consigliatissimo!!!!"
"ui_bubble_rating bubble_50","Facoloso","Il clarinetto è una a esperienza fantastica che consiglio a tutti! Paolo, un oste di altri tempi, mi ha coccolato per tutta la sera. Pesce fresco e gran vino ad un prezzo più che ragionevole. "
