"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Buono","Grande lino, ottimo locale, ci ho sempre mangiato bene negli anni. La cucina è casereccia, ma di gusto, il personale è gentile..prenotate prima pero"
"ui_bubble_rating bubble_50","Turismo ","Tutto buonissimo Normalmente in una visita turistica di più giorni si provano più ristoranti.Dopo la prima serata da Lino io e mia moglie siamo invece ritornati, perché soddisfattissimi dalla prima esperienza, e perché abbiamo voluto provare altri piatti del menù.Ed è stata una ulteriore conferma.Buono tutto; gli antipasti di sformatino, i primi con tartufo, la carne gustosa e ben cotta, e soprattutto i dolci fatti in casa.Conto in linea con la qualità.Complimenti "
"ui_bubble_rating bubble_50","Miss","Location molto caratteristica e accogliente. Personale gentilissimo, in particolar modo il ragazzo che ci ha servito Antonio, che ci ha dato ottimi consigli. Consigliato assolutamente!"
"ui_bubble_rating bubble_50","Mr","Tutto favoloso tortelli di lampredotto con pesto al cavolo nero una cosa mai mangiata ...buonissima vera bistecca alla fiorentina !!! il cameriere bello e sexxi da morire ........ proprio un tipo da scappare insieme waaahhhoooo"
"ui_bubble_rating bubble_50","Un posto da non perdere a firenze","Siamo stati in questo ristorante con uno sconto di the fork. Atmosfera accogliente, abbiamo ordinato delle patatine e una fiorentina che si è fatta attendere. Il proprietario per farsi perdonare ci ha offerta un’altra porzione di patatine. Personale molto gentile e carne ottima. Si può scegliere sia tipo che quantità di carne. Qualità/prezzo giusta (36€) e limoncello a fine pasto offerto dalla casa. Molto consigliato."
"ui_bubble_rating bubble_50","Cena ultimo dell'anno top","Abbiamo mangiato la sera dell'ultimo dell'anno e siamo rimasti ultra soddisfatti sia del cibo sia del servizio. Ci hanno spiegato in modo esaustivo tutti i piatti su cui eravamo indecisi. Fiorentina ottima, gran pezzo pure! Buonissimi anche i primi ed i dolci!"
"ui_bubble_rating bubble_50","Cena del 31/12","Che dire..un posto molto accogliente!!per fortuna abbiamo prenotato due settimane prima per trovare posto..Carne ottima,sia la Fiorentina alla griglia sia il gran pezzo consigliato dal cameriere!!Posto molto carino e personale molto gentile e disponibile,soprattutto con le mie esigenze per la bambina piccola..Nonostante ci sia stata gente ci hanno servito con molta serietà e col sorriso sulle labbra..se dovessi tornare a Firenze tornerei sicuramente per assaggiare altri sfiziosi piatti!!"
"ui_bubble_rating bubble_50","Da ritornarci","Serata piavevole.Mangiato degli ottimi tortelli con pesto di e cavolo nero e una bistecca superlativa.i dolci, fatti in casa ,sono una vero lieto fine.Ci tornerò."
"ui_bubble_rating bubble_50","Pranzo eccellente. ","Sabato 29 dicembre 2018 Antipasto sorprendente Primo eccezionale Secondo innovativo Dolce da leccarsi le labbra Bel locale. Ottimo servizio. Cortesia garantita. Da andare nuovamente nel 2019 e scoprire tutte le loro bontà "
"ui_bubble_rating bubble_50","Ambiente tranquillo, ottima cucina!","Il locale si presenta bene personale alla mano ma professionale cucina che richiama i tipici piatti Toscani di ottima qualità. Ho passato una bellissima giornata."
