"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Qualità eccellente!","Locale molto accogliente e romantico. Abbiamo mangiato la bistecca, molto tenera e saporita. Servizio impeccabile e ingredienti di altissima qualità. Consiglio vivamente questo locale. Prezzi nella media.Camerieri molto accoglienti ed gentili. "
"ui_bubble_rating bubble_40","buona la prima","sono stato una volta, bello il locale,tutto a lume di candela, piatti buoni,classici toscani, personale gentile,ci ritornero"
"ui_bubble_rating bubble_50","OTTIMO","Ottimo ristorante. Ho cenato con la Fiorentina-Scottona ed era davvero buonissima. Si scioglieva in bocca. Ottimo servizio, cordialità e gentilezza.Da provare assolutamente!"
"ui_bubble_rating bubble_10","W la ragazza albanese ","Prenotati dal pomeriggio un tavolo di 6 coperti , arrivati sul posto con solo 5 minuti di ritardo ci riceve un ragazzo alto minuto di non nazionalità italiana confondendoci con varie frasi è giustificazioni abbastanza ridicolo di rito solite .La mia ragazza essendo delMestiere riesce a farmi dire la verità il nostro tavolo assegnato ad altri clienti con una scusa di offrici il prosecco ci fanno sostare in una sala adiacente chiusa per pulizie ripristino al capodanno .li conosciamo questa ragazza splendida albanese che ci intrattiene offrendoci del vino . Nel frattempo lo stesso ragazzo ci visita più volte con varie rassicurazioni del tavolo che ci saremmo assicurati entro 10 minuti ma x farla breve dopo più di un ora ci liquidano dicendo che non si sarebbe liberato alcun tavolo ."
"ui_bubble_rating bubble_20","Sopravvalutato","Siamo andati a cena il giorno 31/12/18 locale carino, posti stretti. Primo piatto insapore, tagliatelle ai funghi porcini, secondo tagliata di manzo, accettabile ma ho mangiato sicuramente di meglio.Il tutto secondo me ad un prezzo eccessivo, in aggiunta giusto per la serata del 31 una bella maggiorazione del 20% “sai è capodanno eh si festeggia “118,68€ per 1 tagliatelle ai ^funghi porcini^ 2 tagliate di manzo 1 dolce1 bicchiere di vino1 acqua naturale"
"ui_bubble_rating bubble_40","La buona cucina toscana","Classica cucina toscana in centro a Firenze, carne cucinata a regola d'arte, senza fare eccessive esagerazioni culinarie. Un pò costoso."
"ui_bubble_rating bubble_40","Attesa ripagata","Avevamo prenotato per 7 una settimana prima e avevano addirittura voluto,nonostante la telefonata,una email di conferma.Abbiamo comunque aspettato fuori una decina di minuti,durante i quali ci hanno offerto un prosecco.Locale piccolo ma accogliente,volutamente a lume di candela.Noi invece eravamo in una saletta - non a lume di candela - davanti alle cucine,quindi ere un continuo viavai di piatti che uscivano fumanti,di camerieri che si districavano abilmente in spazi strettissimi.Ci vuole un grande affiatamento di squadra per lavorare bene in questi ambienti. E così è al Paiolo.Ogni piatto è preparato con cura.Noi abbiamo preso un ottimo antipasto chiamato il Gran vassoio “Il Paiolo”,consistente in salumi,formaggi,ecc.,poi uovo al tegamino al tartufo,delicatissimo,pici (pasta lunga acqua e farina) alla carbonara,eccellenti,pappardelle al cinghiale idem,ravioli al tartufo strepitosi,ravioli con pecorino,pere e barbabietole,e ,tutta la pasta citata è tirata a mano da loro,poi tagliata gorgonzola e noci tagliata rucola e parmigiano,carni eccellenti.A chiudere panna cotta ai frutti di bosco,torta di mele e cantucci bagnati con il vin santo,un classico.Dell’ottimo rosso,acqua e un conto in 7 di 275 euro.Simpatico il cameriere di Matera che ci ha servito alla grande.Soddisfattissimo vi consiglio di andarci."
"ui_bubble_rating bubble_10","Pessimo","Il ristorante ha due sale: una più casereccia es una più elegante. Dopo aver prenotato nella seconda per ieri sera alle 20.45 ed esserci presentati con 5 minuti di anticipo, ci fanno attendere fuori per mezz ora, dicendoci che non è possibile cenare nella saletta e che era meglio per noi L altra sala. Accettiamo. Eravamo in 6 più una bambina. Abbiamo ordinato: chianina da 1,6 kg, buona ma arrivata fredda; gnocchi al sugo, non sufficienti; due risotti ed un raviolo ed una pappardella al cinghiale ed ai funghi, buoni ma non ottimi .Una bottiglia di rosso. 303 euro.Al di là della scortesia del servizio, prezzo sproporzionato."
"ui_bubble_rating bubble_30","Nulla di che","Sono stata a pranzo.Il menu a mio personale gusto non mi è sembrato gustoso, anzi a me è parso turistico.Servizio presente, non invasivo e veloce nella giusta maniera.Pappardelle al cinghiale e ravioli di patate al tartufo: porzioni non abbondanti. Gusto buono ma io non ho digerito i ravioli.Il tiramisù buono ma non speciale.2 primi, 1 acqua e 1 dolce 50 euro.Rapporto qualità prezzo sproporzionato.Io non mi sento di consigliarlo soprattutto per il prezzo"
"ui_bubble_rating bubble_50","Compleanno!!!","Il cibo è meraviglioso, cucinato nella migliore tradizione Toscana. I piatti sono gustosi e di buone porzioni."
"ui_bubble_rating bubble_50","Pranzo eccellente","Siamo stati in questo bel locale per pranzo. Mangiato una fiorentina spettacolare e dolci eccellenti. I camerieri gentili, simpatici e professionali.Ci siamo trovati così bene che siamo tornati anche il giorno dopo."
"ui_bubble_rating bubble_50","Ottimi piatti","Locale accogliente, personale gentilissimo. Piatti tipici molto buoni, la bistecca strepitosa e anche i dolci buonissimi."
"ui_bubble_rating bubble_50","Ottima cena a lume di candela","Location accogliente, in centro. Personale professionale e molto attento alle esigenze dei clienti. Ottimo cibo, porzioni abbondanti. Buonissimo il vino. Da provare."
"ui_bubble_rating bubble_50","Delizioso","Ristorante raccomandatissimo se si vuole assaporare la cucina toscana classica. Personale gentile e ospitale."
"ui_bubble_rating bubble_50","Buonissima la carne","Carne buonissima e ambiente molto accogliente. Direi unico con tutte le luci della candela....molto bello ci ritornerò sicuro"
