"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Piacevole sorpresa ","Sono stata ieri sera a cena con mio marito in questo locale molto curato ,abbiamo mangiato due primi di cui dei pici con l’anatra fantastici e delle caserecce con funghi altrettanto buoni ,poi una rosticciana marinata con il miele morbidissima .I camerieri, con grande professionalità ,ci hanno coccolati per tutta la cena .Complimenti,ci torneremo presto !"
"ui_bubble_rating bubble_50","Complimenti! ","Ci siamo fermati per caso dando un occhiata su tripadvisor! Mai scelta fu piu indovinata! Senza aver prenotato di sabato sera entriamo e molto gentilmente ci apparecchiano un tavolo di corsa! Ci offrono un drink di benvenuto e con molto tatto ed educazione ci fanno sentire a nostro agio!Un menu semplice e complesso con cibi particolari e ottima presentazione! Il tutto sviluppato in un contesto molto elegante di livello! A fine cena la piacevole scoperta uno dei camerieri che ci ha coccolato tutto il tempo era il titolare del locale che si e seduto a fare due chiacchiere con noi.Complimenti consigliassimo! E se ripassiamo da quelle parti torneremo sicuramente! Bravi! "
"ui_bubble_rating bubble_50","Garbo, sapore ed estro","Ho cenato all'ultimo dell'anno senza patire alcun disservizio di uma ricorrenza dall'alta affluenza. Sono stato ccolto con solerzia e garbo con l'offerta di un cocktail sublime composto ad personam. I piatti sono stati illustrati prima e preparati poi con gran cura, il servizio è stato sollecito ed efficiente. I primi hanno coniugato i sapori tipici con l'estro di chi ha buon gusto. La fiorentina, preparata per due, ha assecondato alla perfezione tempi di cotttura differenti. Contorni, dessert e vini sono stati il giusto corollario di una cena da riordare e, quanto prima, replicare."
"ui_bubble_rating bubble_50","La Firenze buona","Tanti complimenti per tutto, staff gentile efficiente e molto professionale, cibo ottimo in tutte le sue sfumature. "
"ui_bubble_rating bubble_50","Piacevole sorpresa","Passeggiando all'ora di pranzo abbiamo trovato questo locale fra tanti,è sono veramente molti,ci è piaciuto e siamo entrati.personale giovane e molto cortese, abbiamo preso lo strudel di fegatini, i caserecci funghi e pecorino e una insalata, tutto veramente buono,prezzi moderati e locale carino.Ci torneremo sicuramente."
"ui_bubble_rating bubble_50","Eccellente","Posto molto carino ed accogliente, cibo squisito, ottimi primi, squisita bistecca alla Fiorentina, buoni dolci, buon caffè ma tazzina non troppo calda. Personale cordiale, preparato e molto simpatico. Da tornarci sicuramente!"
"ui_bubble_rating bubble_50","Ragazzi che posto!","Abbiamo prenotato tramite the fork trovando una vera chicca del centro di Firenze. Locale molto elegante e fine. Sevizio impeccabile, gentilissimo e piacevole. Abbiamo preso un antipasto in due, una pappa al pomodoro e dei tortelloni al pecorino e tartufo(che erano la fine del mondo!!!), un piatto di costolette di maiale laccate al miele( la carne si scioglieva letteralmente in bocca, allucinante!), due dolci, un caffè e due limoncelli offerti. Come vino abbiamo voluto regalarci un ottimo Brunello di Montalcino. Senza il vino comunque avremmo speso poco più di 60€ in due, prezzo più che onesto per il viaggio culinario che ti regala questo locale.Abbiamo solo un grande rimpianto: avervi scoperto la nostra ultima sera a Firenze. Grazie mille ragazzi!"
"ui_bubble_rating bubble_50","Pranzo davvero gustoso... ","Locale in cui siamo stati oggi a pranzo, molto accogliente e arredato con divanetti e tavoli molto carini, il cibo è veramente buono, abbiamo provato le caserecce porcini e pecorino(gustosissime), gnudi burro e salvia, tagliata di pollo con patate x la ns bimba, tutto veramente buono così come i dolci chessecake ai frutti d bosco e tiramisù, il conto è davvero onesto, personale molto gentile e attento, bravi! "
"ui_bubble_rating bubble_50","Stupendo!!","Sono stato ieri sera a cena in questo ristorante con la mia ragazza , ispirato e convinto dalle recensioni tutte positive. Sono rimasto davvero soddisfatto.Il menù è completo , con piatti curati a prezzi onesti. Il personale è professionale , ma siamo rimasti impressionati soprattutto dal proprietario , che ci ha accolti e trattati veramente in modo impeccabile."
"ui_bubble_rating bubble_50","Ottimo","Luogo accogliente, personale professionale e gentilissimo.Cibo ottimo e prezzi molto convenienti per la qualità altissima.Semplicemente perfetto da tutti punti di vista.Consiglio altamente."
"ui_bubble_rating bubble_40","Bello e buono","Luogo stupendo, curato nei dettagli, ornamentali e funzionali. All'entrata il lungo tavolo centrale all'americana colpisce anche se forse limita un po' gli spazi in sala. Noi italiani non siamo molto contenti di mangiare su sgabelli con altra gente, se non si tratta di fast-food, ma il locale ovviamente, è frequentato da molti stranieri essendo in posizione centrale. Stesso discorso per le sedute a divanetto con i tavoli all'interno, poco intimi e un pelino claustrofobici. Per fortuna il turismo non ha influito sulla proposta gastronomica, giusta nella quantità di piatti, non fossilizzata sulla cucina Toscana, e per quello che ho potuto assaggiare, ben fatta. Il personale ci ha pesato la nostra bistecca di dinosauro al tavolo cruda. Bellissima. 1,200 kg. È arrivata al tavolo con i contorni e presentata bene. Era eccellente. La proposta dei vini buona e il personale gentile ed educato. Mi è mancato quel pizzico di calore in più nel servizio che mi aspetto quando esco e trovo buon cibo e un posto così bello. Un consiglio più che una critica. Lo consiglio senz'altro"
"ui_bubble_rating bubble_40","Ottimo pranzetto","Girolando per Firenze siamo capitati per caso davanti a questo ristorante, abbiamo deciso di fermarci visto che era ora di pranzo. All'interno si presenta molto bene, uno stile un po' misto tra il rustico e il raffinato. Un ambiente molto accogliente. Il personale è gentile e disponibile. Per quanto riguarda il cibo, ci siamo trovati molto bene! Piatti abbondanti e di qualità, con un menù alla carta di ampia scelta con piatti particolari. Il rapporto qualità prezzo direi ottimo, alla cassa ci hanno fatto anche un piccolo sconto. Sicuramente ci ritorneremo e lo consiglio."
"ui_bubble_rating bubble_50","Wow!!","Locale moderno in perfetto stile giovanile, servizio impeccabile e cibo all'avanguardia, che tiene conto della tradizione ma anche dell'innovazione dei piatti. Voto Diesci. Consigliatissimo"
"ui_bubble_rating bubble_40","Locale smart","Accoglienza, onestà, correttezza. Cibo buono. Ragazzi di sala premurosi e gentili. In pieno centro di Firenze"
"ui_bubble_rating bubble_40","Bel locale","Si mangia bene ed i prezzi sono giusti. Io locale è carino ed arredato con gusto. Simpatiche le ciotole in rame in cui servono le portate. Unico Grosso Difetto: SERVIZIO LENTISSIMO! "
"ui_bubble_rating bubble_40","Bella sorpresa!!","Consigliati dalla ragazza dell’hotel abbiamo deciso di cenare in questo locale. Beh che dire, una bella sorpresa!! Personale simpatico e cortese, buon prezzo e cibo molto buono!Particolare anche come vengono serviti i primi, non in tradizionali piatti ma in tegami! "
"ui_bubble_rating bubble_50","Bravi","Se siete stufi delle trattorie vecchio stile tipiche del centro di Firenze questo posto fa per voi. Il ristorante è stiloso, ben arredato. Il cibo ci è piaciuto molto: ottima la tagliata ad un prezzo decente. Abbiamo provato anche i primi: consigliati maccheroni al ragù di maiale nero. Personale cordiale."
"ui_bubble_rating bubble_50","Piacevole sorpresa ","Ottimo locale per una pausa pranzo. Situato nel pieno centro di Firenze. Personale gentilissimo e cibo ottimo. "
"ui_bubble_rating bubble_50","Un posto in cui tornare!","Sono stata a cena in questo locale durante le vacanze di natale, prenotato su the fork. Il ristorante si trova in pieno centro e offre un ambiente informale ma elegante allo stesso tempo. Abbiamo ordinato la tartare di carne, la burrata, costine e casarecci ai funghi. Tutto davvero ottimo e a prezzi molto più che onesti. Ne sono rimasta talmente contenta da tornarci anche il giorno successivo a pranzo, ordinando questa volta la selezione di formaggi, il flan di parmigiano, gli gnudi ricotta e salvia, i pici all’anatra e una cheesecake. Ancora tutto ottimo esattamente come la sera prima. Da menzionare il personale gentilissimo e disponibile con tutti i clienti. Se dovessi ripassare a Firenze tornerò sicuramente!"
"ui_bubble_rating bubble_40","Pausa musei","Poco lontano da piazza della Signoria, posto ideale per una pausa pranzo completa e a prezzi ragionevoli. Buona scelta di antipasti, primi e secondi tradizionali con qualche ricercatezza: vini al calice di buona qualità.Forse un po' lenti nel servizio in ora di punta, ma ottimo rapporto qualità prezzo. "
"ui_bubble_rating bubble_50","Che scoperta!","Abbiamo trovato questo ristorante per caso e spinti dalle buone recensioni abbiamo deciso di provarlo. Che sorpresa... Cibo veramente ottimo, i primi sono uno spettacolo e i secondi non scherzano. Vino magnifico ed alla fine il conto è stato assolutamente onesto. Personale molto gentile e cortese. Da rirornare!"
"ui_bubble_rating bubble_50","Ottimo","Finalmente un ottimo ristorante nel centro di Firenze : non turistico , ottima cucina , location elegante e buon prezzo . Aggiungi anche un servizio veloce e cortese .... tutte caratteristiche difficili da coniugare soprattutto a prezzi onesti !!!"
"ui_bubble_rating bubble_50","Eccellente ","Luogo molto elegante e accogliente, personale molto gentile e disponibile.Piatti ottimi e prezzo più che onesto.Assolutamente consigliato "
"ui_bubble_rating bubble_50","Cena a Firenze","Il luogo è molto elegante e accogliente. I camerieri sono molto gentili e ospitali a tal punto di servire anche l’acqua nei bicchieri. Il cibo è molto buono e le porzioni sono abbondanti; durante l’attesa del primo piatto ci è stato offerto un “cocktail di benvenuto” e nonostante il coperto venga 1€ a persona comprendeva anche il pane e la piadina calda. Il prezzo delle portate è relativamente basso in confronto al tipo di ristorante."
"ui_bubble_rating bubble_50","Veramente eccellente ","Locale veramente molto ben arredato , tranquillo e pulito. Il cibo veramente spettacolare buonissimo e devo dire che non mi aspettavo dei piatti così buoni. Servizio molto buono con personale veramente all’altezza. Prezzi onesti vista anche la posizione dove si trova. Veramente complimenti lo consiglio a tutti. "
"ui_bubble_rating bubble_50","Bell'atmosfera","Servizio veloce ed efficiente. Si mangia molto bene, con alcuni piatti piacevolmente al di fuori della tradizione.Buona la carne ed eccellenti i primi."
"ui_bubble_rating bubble_40","Molto buono! ","Nel cuore del centro storico di Firenze troviamo questo ristorante con un arredamento molto carino e “modaiolo” con la particolarità di un menù cocktail davvero ottimo! Possiamo trovare piatti toscani con qualche rivisitazione... direi che nel complesso sono rimasta soddisfatta perché il personale è molto gentile e come piatti ho apprezzato molto la tagliata, il primo erano dei pici all’anatra con cipolla caramellata erano buoni ma non c’era la cipolla quindi non mi hanno particolarmente soddisfatta, ho assaggiato anche gli gnocchi di zucca che erano buoni ma a mio avviso mancava un po’ il sale. Il rapporto qualità prezzo è ottimo abbiamo speso 23€ a testa quindi direi onestissimo considerando che è proprio dietro via tornabuoni! "
"ui_bubble_rating bubble_50","Perfetto ","5 stelle meritatissime.Il locale è molto carino.. adatto ad una cena romantica. Elegante ma non eccessivo, di gusto molto moderno.La cucina è ottima ed abbondante, la carne squisita. Il servizio perfetto, elegante ma ti sembra di essere un amico di vecchia data. Prezzi contenuti dato il locale e la posizione centralissima, due antipasti, circa 1,5kg di fiorentina, una buona bottiglia di vino, acqua dolce e caffè si sta sugli 80/90€ in due.Ottima anche la cocktails list e la carta dei vini.Da provare se si visita firenze."
"ui_bubble_rating bubble_50","Cena romantica per due<U+0001F31F>","Abbiamo prenotato tramite l'app The fork ottenendo lo sconto del 20% sulla cena ma nonostante questo si tratta di un ristorante con prezzi accessibilissimi e di grande qualità! L'acqua si paga una volta e viene poi servita al tavolo continuamente appena finisce in maniera gratuita dal personale super attento e cordiale. La tagliata di carne cuinata con il Chianti veramente pazzesca!!! Il locale è veramente bellissimo, atmosfera romantica e molto calda. Da tornarci assolutamente "
