"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Eccellente","C'è poco da dire, cena ottima, personale simpatico e cordiale sempre pronto a soddisfare ogni nostra esigenza. Non è la prima volta che ci sono stato e di sicuro ci tornerò ancora. Complimenti a tutto lo staff del Rosso Crudo!!! A presto"
"ui_bubble_rating bubble_50","Tutto perfetto","Quando un locale è perfetto lo è in ogni sfaccettatura. Bella la location, personale cordialissimo e cibo assolutamente di livello. Ottimi i primi, rigorosamente con pasta fresca, spettacolare la carne. Buona ma non vastissima la scelta dei vini. Buon rapporto qualità prezzo, conto più che adeguato. "
"ui_bubble_rating bubble_40","Buona la prima!","Ottimo pranzo con amici in un locale caldo e accogliente. Personale attento ed educato. Buona la scelta dei vini. Consiglio i taglioni al tartufo, eccezionali. "
"ui_bubble_rating bubble_50","Bello ritornare!","Ritornato un altra volta dopo capodanno,questa volta con dei amici,tutto perfetto come la prima volta.la gentilezza dello staff come sempre ha fatto il suo(bottiglia di grappa e limoncello sul tavolo offerto)grazie raggazi"
"ui_bubble_rating bubble_50","Ottimo vino","Ho iniziato il 2019 con un delicioso pranzo a Rosso Crudo. Il ristorante ha un ottimo vino. Lo staff era cordiale e professionale."
"ui_bubble_rating bubble_50","Pasta fresca","Un ottimo ristorante in Firenze. La pasta fresca e fatta in casa. Il servizio cordiale e disponibile."
"ui_bubble_rating bubble_30","Un delusione!","Suggeritoci dall'albergo ci siamo ritrovati in un locale angusto, quasi opprimente per lo scarso spazio. Tavolini talmente vicini da non potersi muovere senza urtare o disturbare i vicini. La cucina a vista poi, una vera tristezza. Ma veniamo al menù.I crostini sono arrivati in tavola spugnosi, i tortelli erano salatissimi, i tagliolini con porcini quasi collosi, spaghetti alle vongole tremendi (meglio toglierli dal menù). Per fortuna la tagliata era molto buona.Serata negativa? Forse. Ma tornando a Firenze non ci farò ritorno."
"ui_bubble_rating bubble_50","ultima sera a Firenze","locale molto bello e caratteristico con mattoni a vista e tantissimi vini in mostra!!!ottima qualità di prodotti,soprattutto la chianina(naturalmente il prezzo sale)!il servizio molto cortese nonostante il locale fosse pieno..e ci sono stati offerti limoncino e amaro x concludere una bella serata!sicuramente lo consiglio "
"ui_bubble_rating bubble_40","Posto bello e cibo buono ","Crostino toscano ottimo, Fiorentina di chianina molto buona. Posto bello, cucina a vista, tempi di servizio ottimi anche se in quest’ultimo c’è ancora da migliorare qualcosa... prezzo corretto per ciò che si mangia. Sicuramente consigliato!"
"ui_bubble_rating bubble_50","Locale tipico","Bel locale con buon servizio dove poter gustare ottimi taglieri di salumi, buoni primi e spettacolari carni fra cui un ottimo filetto al pepe verde e la classica fiorentina di Chianina accompagnata da verdure grigliate. Buona la disponibilità di vini sia bianche che rossi. Prezzi nella norma. Da consigliare."
"ui_bubble_rating bubble_50","Ottimo locale ","Siamo stati qui il 22 dicembre, bello il locale, staff preparato e ottima la qualità della chianina che abbiamo preso. I prezzi adeguati alla qualità che offre il locale."
"ui_bubble_rating bubble_40","Carne ottima ","Mi sono recato qui con la mia ragazza a cena, ed abbiamo preso un osso buco con i funghi(ottimo) ed una tagliata di manzo con la cottura un po' troppo cotta per i miei gusti, ed avevo ordinato una media cottura, ma era leggermente un po' più cotta, nulla di grave ovviamente.Il servizio un po' troppo ansioso, sbrigativo, ma i sorrisi ci sono stati lo stesso da parte dei camerieri, però ci sta erano pieni di comande e di tavoli da servire.Detto questo lo consiglio perché si mangia davvero bene ed i prezzi sono nella media.Ps:non si paga il coperto, cosa molto apprezzata da noi! "
"ui_bubble_rating bubble_50","<U+0001F377><U+0001F377><U+2764><U+2764>","Ottima scelta. Tutto era perfetto, il cibo, il servizio, l'atmosfera, e naturalmente il vinoTorneremo di nuovo"
"ui_bubble_rating bubble_50","Garganelli ai Scampi alla Vodka","Sono rimasto senza parole dai Garganelli ai Scampi alla Vodka assolutamente raccomandato. Poi lo staff gentilissimo, un pranzo piacevolossimo."
"ui_bubble_rating bubble_50","Un bistecca eccezionale","Un bistecca eccezionale. Lo staff davvero professionale. Anche le paste fresce erano meravigliose. Ho avuto un tempo meraviglioso con la mia famiglia."
"ui_bubble_rating bubble_50","La bistecca era divina","La bistecca fiorentina era squisita ed era cucinata in maniera divina. Ho passato una cena meravigliosa con la mia famiglia."
"ui_bubble_rating bubble_50","Mama mia che pasta frescha","Ottima qualita della pasta fresca al Rosso Crudo, si sentiva propio che la pasta era fatta in casa. Sicuramente tornero presto"
"ui_bubble_rating bubble_50","<U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F>","Ottimo! Qualita di cibo troppo buona, il prezzo conveniente. Personale cordiale e simpatico. É una buona scelta. Torneremo sicuramente."
"ui_bubble_rating bubble_50","Cena con la mia famiglia ","Siamo stati al rossocrudo un sabato a cena eravamo in 5 ,tempi di attesa non erano lunghi visto che il ristorante è aperto da poco comunque ristorante e ben fatto con i minimi dettagli curati. Hanno una vasta scelta di vini toscani e non solo. Piatto forte per loro e la bistecca alla fiorentina ( scottona di Chianina) 50 gg frollata però da sottolineare che ho mangiato la miglior carbonara in assoluto , la pasta è fatta in casa lo fa lo chef che parlando con i camerieri mi hanno raccontato che sulle spalle ha più 35 anni di lavoro .Leonardo il cameriere ci offerto con piacere la grappa del Chianti . Il conto in linea con la concorrenza anzi qualità prezzo davvero eccellente. Grazie ragazzi e alla prossima. "
"ui_bubble_rating bubble_50","Ottima cena","Cena con gli amici del calcio a 5 in vista del Natale. Ottimo il pesce piatti curati e saporiti. Ok."
"ui_bubble_rating bubble_50","Ottimo servizio","Ottimo servizio , lo staff di ristorante ci ha fatto sentire molto bene, tornero sicuramente al piu presto."
"ui_bubble_rating bubble_50","Alta qualità","Ottima qualita e un ottimo servizio, lo staff ci ha fatto sentire veramente come a casa nostra.Tornerò al più presto."
"ui_bubble_rating bubble_50","Ottima qualita","Era la prima volta che venivo al RossoCrudo grazie alle raccomandazioni di amici stretti. Ho fatto bene a seguire il loro consiglio. Sono sorpreso dalla pasta fresca che ho assaggiato, veramente ottima qualita. Ci tornerò più spesso."
"ui_bubble_rating bubble_50","Consigliato<U+0001F60A><U+0001F60A>","Ci sono stata settimana scorsa...ottimi piatti,ottima pasta fresca...lo staff gentilissimo e preparatissimo..."
"ui_bubble_rating bubble_50","Piacevolmente sorpreso","Piacevolmente sorpreso dalla pasta fresca che ho assaggiato a Rosso Crudo sopratutto le tagliatelle, veramente ottima qualita."
"ui_bubble_rating bubble_50","Ottima pasta fresca (pappardelle al chinghiale...gnammm) e carne del sapore unico","Sono stata qualche settimana fa con il mio fidanzato e siamo rimasti stupiti da questo ristorante, situato nel centro storico di Firenze, a due passi dal Duomo. L'ambiente molto accogliente e lo staff cortese danno un valore aggiunto al cibo meraviglioso.Le pappardelle al chinghiale erano uniche. Anche il filetto di carne al peppe verde, tenero e di un sapore irripetibile.Non vedo l'ora di andare di nuovo a Firenze e sicuramente RossoCrudo sarà una delle nostre fermate obbligatorie :-)"
"ui_bubble_rating bubble_50","Un pranzo squisito","Dopo aver visitato Firenze, abbiamo scelto di fermarci a pranzo al RossoCrudo. Abbiamo avuto modo di assagiare piatti prelibati. Lo staff molto preparato, ci ha consigliato i piatti migliori. Consiglio a tutte le famiglie di sceglere RossoCrudo per gustarsi un pranzo delizioso. "
"ui_bubble_rating bubble_50","Da provare","Ci siamo trovati in questo posto quasi per caso.... ma devo dire che ci è piaciuto moltissimo! Il cibo buonissimo e porzioni abbondanti... posto curatissimo ( la cucina a vista mi è piaciura molto)...servizio cordiale e veloce...prezzo giusto! Da consigliare!!!!!"
"ui_bubble_rating bubble_50","Una cena indimenticabile","un pranzo in coppia in questo meraviglioso ristorante è la scelta giusta ,I cibi erano squisiti. Lo staff molto professione. Consiglio a tutte le coppie di fare visita al RossoCrudo quando visitano Firenze."
"ui_bubble_rating bubble_50","Un esperienza splendida ","Dopo un tour di Firenze ci siamo dati appuntamento al RossoCrudo. I piatti serviti erano prelibati. La location splendida. Consiglio a tutti che vogliono gustarsi le prelibatezze Toscane. "
"ui_bubble_rating bubble_50","Splendida esperienza ","RossoCrudo ci ha fatto assaggiare il vero sapore della cucina italiana in generale e quella toscana in particolare. I piatti ben assemblati e serviti. Lo staff sempre sorridente e professionale. Consiglio a ciascuno che visita Firenze di inserire RossoCrudo nelle mete da visitare. "
"ui_bubble_rating bubble_50","Soddisfatto del servizio ","Prima volta che visitato Firenze con la famiglia ho scelto di pranzare al RossoCrudo. Il servizio è stato molto apprezzato. I piatti erano ben serviti e conservavano i valori nutritivi degli ingredienti. Ci tornerò di nuovo. "
"ui_bubble_rating bubble_50","DUE VOLTE DI SEGUITO QUA NON SI SBAGLIA!","Siamo stati in questo ristorante a fine Novembre, non avevamo letto nulla a riguardo, abbiamo tentato andandoci Sabato sera a cena e il tentativo è andato così bene che ci siamo tornati anche Domenica a pranzo! qua abbiamo mangiato di certo la migliore tagliata e la migliore fiorentina da quando bazzichiamo in zona Firenze e Toscana in generale, nel caso decideste di andare, a fine pasto dovete assolutamente lasciare un posto per una cheese cacke da mille e una notte! posto molto accogliente a 5 minuti dal Duomo, prezzi assolutamente onesti!"
"ui_bubble_rating bubble_50","Ottima bistecca ai piedi del Cupolone","Ha aperto da poco ma ha già conquistato la mia fiducia.Specializzato nella Bistecca alla Fiorentina e primi di pasta fresca.Piatti abbondanti e prezzi convenienti.Lo consiglio a tutti i miei ospiti"
"ui_bubble_rating bubble_50","Serata indimenticabile","Abbiamo prenotato per festeggiare il mio compleanno con The Fork prima volta in assoluto. Il personale in sala ci ha subito spiegato che potevamo scegliere dal menù e dalla carta dei vini senza restrizioni. Siamo stati curati e coccolati in un viaggio nei sapori. Tutto ottimo dal tagliere di antipasto, che comprende anche i crostini, ai secondi (tagliata al tartufo e ossobuco con funghi porcini). Verdure grigliate di contorno e dolci. Ottimi il vino e la grappa. Il ristorante non fa pagare coperto e servizio. Il locale con soffitti in mattone è molto carino. Da ultimo la cosa più importante per me: digerito tutto benissimo. Un grazie a tutto lo staff di sala e cucina. Bravi e professionali. Grazie!"
"ui_bubble_rating bubble_40","Niente male","Giorni fa io e il mio compagno ci siamo fermati a mangiare qui! Accoglienza perfetta! Tagliata di manzo al tartufo ben fatta, ma non impeccabile! Buone le patate al forno (caserecce piuttosto che quelle in busta).. Dessert un po' deludente ma tutto sommato, considerando la posizione piuttosto vicina a piazza duomo, nulla da ridire! Personale cortese e prezzi nella media! "
"ui_bubble_rating bubble_50","Fantastic!","Fantastico!Cibo buonissimo e porzioni abbondanti, atmosfera, musica piacevole ed il ragazzo che ci ha seguite è stato davvero impeccabile!Assolutamente da ripetere! Amazing place, best restaurant in Florence!"
"ui_bubble_rating bubble_50","Alla perfezione","Ottimo cibo dall'antipasto al dolce ma la chianina ottima niente da dire.(torta della nonna sublime). Ambiente raffinato in una location interessante. Servizio buono, personale gentile e disponibile. Assolutamente consigliato. Utile?"
"ui_bubble_rating bubble_50","qualità","ristorante al due passi dal Duomo. Atmosfera unica. Piatti generosi, ma soprattutto di qualità eccezionale. Pasta fresca e carni di prima scelta. Dolci artigianali di ottima fattura. Lo consiglio a tutti. Ottimo rapporto qualità prezzo"
"ui_bubble_rating bubble_50","Bella scoperta","Ottimo ristorante in pieno centro, a due passi da Piazza Duomo. Servizio molto cortese e attento. Il filetto era molto buono, morbido e saporito, cottura perfetta. La torta della nonna fantastica."
"ui_bubble_rating bubble_40","Soddisfatta, consigliato! ","Sono stata in questo bellissimo locale in occasione della mia festa di laurea. Eravamo parenti ed amici e ci era stata gentilmente riservata metà sala. L'ambiente è davvero bello e curato nei dettagli. Il proprietario è molto gentile e disponibile, va incontro alle esigenze del cliente, così come i camerieri molto gentili ed accoglienti.Siamo potuti rimanere quanto volevamo in piena libertà. Consiglio questo posto per feste di questo tipo.Ho scelto la modalità del buffet e devo dire che non mi sono pentita! Cibo buono ed abbondante.Complimenti! "
