"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Buono ma..","Buono, ma non da primi posti su TripAdvisor, ho mangiato in posti migliori e speso anche meno, con questo non dico di aver mangiato male ma nemmeno come mi aspettavo per essere il primo in classifica di tutta Firenze, un premio invece lo darei all’accortezza dei camerieri e alla gentilezza veramente unica..meritate 4 punti solo per quello!!! Fate un bagno interno perché fuori e in pieno inverno si muore di freddo!!!"
"ui_bubble_rating bubble_50","Un compleanno con i fiocchi!","Abbiamo cenato in questo piccolo e grazioso ristorante per la sera del mio compleanno e siamo rimasti veramente soddisfatti! Piatti unici ed originali, accostamenti particolari e prezzi nella media per la qualità che il ristorante offre. Servizio gentilissimo. Conto ottimo! Senz’altro ci torneremo!!! "
"ui_bubble_rating bubble_40","Cortesia e creatività","Fa piacere entrare in un locale ed essere accolti con un sorriso da tutti, camerieri e chef. Ambiente giovane, curato, piatti insoliti e fantasiosi che stuzzicano la curiosità e l'appetito. Da provare!"
"ui_bubble_rating bubble_50","Bellissima cena!","Complimenti! Ormai non se ne può fare a meno...una cucina moderna e sensoriale. Qualcosa di particolarmente delizioso... Bravi giovani!"
"ui_bubble_rating bubble_40","OTTIMO","ottimo sotto tutti i punti di vista, tutto perfetto dal cibo, all'ambiente, al servizio. grazie mille per l'esperienza culinaria."
"ui_bubble_rating bubble_50","fantastico","piatti raffinati,personale giovane molto disponibile ed educato, bellissima esperienza.la carne e fantastica"
"ui_bubble_rating bubble_50","Cena prelibata!!","Bistrot in borgo la croce gestito da ragazzi in gamba!! Un menù particolare che li contranddistinge dagli altri locali del centro. Tutto squisito! Ottimi piatti accompagnati da dell'ottimo vino."
"ui_bubble_rating bubble_50","Pranzo fantastico","Locale piccolo accogliente e ben curato. Personale preparato, cortese e mai invadente. Piatti fantastici per qualità dei prodotti e impiattamento. Prezzo corretto. Complimenti ragazzi siete il top. Tappa obbligatoria quando sarò a Firenze."
"ui_bubble_rating bubble_50","Merita!!!","Delizioso bistrot per le vie del centro. Piccolo ma molto accogliente. Piatti sublimi!!! Io e mia moglie ne siamo rimasti entusiasti. Ci ritorneremo sicuramente quando saremo a Firenze! "
