"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Buonissimo","Schiacciate atomiche,davvero simpatici, prezzi bassi, ritorneremo sicuramente , anche vegetariano/vegano"
"ui_bubble_rating bubble_50","Bella scoperta! ","Una piacevole scoperta. Salumeria caratteristica, ottimi taglieri e panini. Consigliata per pranzi piacevoli e veloci. "
"ui_bubble_rating bubble_50","Ottimo rapporto qualità prezzo","Servizio rapido,ragazze gentilissime e buona qualità e varietà di piatti e panini,ottimo rapporto qualità prezzo. Consigliato anche a famiglie con bambini."
"ui_bubble_rating bubble_50","pino is the best","da sempre c'e pino e la sua famiglia in via verdi a preparare ottimi sandwich. si mangia bene e si spende poco. ottima accoglienza simpatica. pino ha sempre qualche battuta da fare"
"ui_bubble_rating bubble_50","Vent'anni dopo.Sempre al top , sempre il mitico Pino !","La salumeria Verdi rappresenta uno di quei luoghi che hanno segnato il mio percorso fino a qui.Era il 1996 , frequentavo il liceo in Piazza S. Croce e durante la pausa pranzo venivo da Pino insieme ad un gruppo di amici.Oltre ad un ambiente familiare , venivamo per la qualità dei prodotti offerti. Tutti e ribadisco tutti al TOP ! Dalla schiacciata , ai salumi ai primi piatti , il tutto accompagnato con dell'ottimo vino.Tornato a Firenze per una passeggiata in Famiglia, ho avuto il piacere di ritrovare Pino, la sua splendida salumeria e quei sapori genuini che avevo lasciato tanto tempo fà.Un tuffo nel passato , tra ricordi , risate e 3 primi piatti veramente spettacolari.Pappa al pomodoro, Penne al forno ai 4 formaggi, Penne al salmone , una schiacciatina favolosa con mortadella e carciofini sott'olio.Un bicchiere di Chianti e una bottiglia d'acqua.18 ,00 € per stare bene, veramente bene, in un luogo caldo in centro a Firenze, appunto in via Verdi.Da Pino starete bene , tranquilli , non è la solita salumeria TURISTICA .Qui si trovano eccellenze del territorio , con un rapporto qualità prezzo al top.Grazie Pino , è stato un vero piacere rivederti.Alla prossima ! Michele"
"ui_bubble_rating bubble_50","Una garanzia!","Ormai è diventata abitudine la schiacciata di Pino.Una grande vastità di scelta tra affettati e soprattutto salse e di grande qualità.Consigliatissimo!"
"ui_bubble_rating bubble_50","Una Schiacciata ripiena al giorno e via","Semplicemente ottima una bella schiacciata ripiena di ogni ben di dio salse salsine formaggi verdure affettati di ogni quale.....e la vostra fame viene placata........tornarci è sempre mitico Bravo Pino'S"
"ui_bubble_rating bubble_40","Una Favola cittadina","Favolose schiacciate servite velocemente per un pranzo, una cena veloce e non. Per una pausa dalla visita della città, per la sosta prima uno spettacolo serale loro ci sono, in una traversa di via Ghibellina a due passi da S. Croce. Merita una visita questo luogo dove si assaggiano antichi sapori a buon mercato, serviti con cordialità e maestria."
"ui_bubble_rating bubble_50","Semplicemente Pino","Non si può visitare Firenze senza fare un salto in questo posto per una schiacciata in compagnia. I prodotti sono tutti ottimi e oltre alle scelte pronte puoi scegliere tu stesso come creare il tuo panino e sbizzarrirti con fantasia. Pino è simpaticissimo, così come tutto lo staff e si può mangiare bene spendendo poco. Consigliatissimo.PS: A tutti quelli che si lamentano del Non c'è il servizio al tavolo o Ci sono pochi primi etc ricordatevi che principalmente è una panineria, quindi state sereni e godetevi il buon cibo."
"ui_bubble_rating bubble_50","Semplicemente imbattibile","Ormai quando vado a Firenze Pino è un monumento da visitare al pari del ponte vecchio o piazza della Signoria. Situato a tre passi da piazza Santa Croce, questo locale nel cuore di Firenze è qualcosa di piacevole e unico...ampia scelta del menù non solo panini ma anche primi e secondi il tutto contornato da prezzi imbattibili ma soprattutto la gentilezza con il quale si viene accolti e serviti non ha prezzo!!!"
"ui_bubble_rating bubble_40","Una passeggiata in centro a Firenze","Sono stato a fare una passeggiata con mia moglie in centro, a Firenze, e verso le 13,30 presi da un po' di fame abbiamo cercato un luogo dove poter mangiare qualcosa. Camminando in Via Verdi ci siamo ritrovati davanti a questo locale, piccolo ma accogliente, tranquillo e ben fornito di salumi e quant'altro per imbottire le schiacciate calde. Una grande varietà di schiacciate riempite con ogni ben di Dio a un prezzo veramente... appetibile!"
"ui_bubble_rating bubble_50","ottimo per un apsto veloce","schiacciata al prosciutto rigorosamente toscano ed un calice di chianti.schiacciata croccante e prosciutto ben stagionato, ottimo per uno spuntino veloce, ottimo il rapporto qualità prezzo."
"ui_bubble_rating bubble_50","Schiacciata da non perdere! ","A pochi passi da Santa Croce trovate Pino’s Sandwiches, un piccolo locale che offre delle schiacciate strepitose. Con la sua simpatia e cortesia Pino le prepara al momento farcendole con materie prime di qualità: salumi, formaggi e salse combinati alla perfezione. Una delizia per il palato! Consigliato. "
