"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Schiacciata veramente <U+0001F51D><U+0001F947><U+0001F44D>","Ottima schiacciata servita con ottimi salumi e abbinamenti super con salsine e cremine. Ottimo rapporto qualità/prezzo .Purtroppo il locale è molto piccolo e si è un po' sacrificati a gustare mentre si mangia l'ottima schiacciata (molto valida anche quella con i cereali nell'impasto).Consigliato a tutti i buon gustai "
"ui_bubble_rating bubble_50","Come sempre","Di passaggio a Firenze ci siamo fermati. Schiacciata e ingredienti sono sempre eccezionali. Profumi e sapori che restano."
"ui_bubble_rating bubble_50","Trovato per caso, una sorpresa!","Locale trovato aperto il 1 gennaio a pranzo... Una vetrina che mi ha subito attirata per il suo aspetto di una volta, sono stata tutto il tempo della preparazione della mia schiacciata a osservare tutti i particolari (bellissimi) del locale! Schiacciata buona, calda e fragrante! Bravissimi! Lo consiglio davvero!"
"ui_bubble_rating bubble_50","Pazzesco","Salumi buonissimi, schiacciata ottima, salse incredibili. Ero molto tentata di comprare la salsa al tartufo, ma non avrei esitato a prendere quella ai funghi, davvero speciale ma purtroppo non in vendita! Tornerò sicuramente la prossima volta che verrò a Firenze"
"ui_bubble_rating bubble_50","Schiacciata e ingredienti buonissimi ","Abbiamo pranzato due volte in questo locale Street food, e abbiamo preso la schiacciata con prosciutto crudo artigianale (davvero fantastico), pecorino e pomodoro strusciato, veramente tutto buonissimo. Il locale essendo street food non ha tavoli, ma solo punti di appoggio e sgabelli, è un po’ piccolino ma carino."
"ui_bubble_rating bubble_40","Sostanziosi e delicati","Abbiamo mangiato delle schiacciate secondo la tipica tradizione fiorentina, i panini nonostante gli ingredienti abbastanza pesanti, apparivano molto delicati. Il locale è seppur piccolo molto accogliente e curato nei particolari."
"ui_bubble_rating bubble_40","Buonissimo ","Buona la schiacciata, sia bianca che abbiamo multicereali. Ottima qualità dei prodotti! Posto delizioso con spazi molto piccoli! "
"ui_bubble_rating bubble_40","Capitati cosi","È stata una sorpresa cibo buono servizio direi si può fare di più prezzo nella norma nel contesto lo consiglio."
"ui_bubble_rating bubble_50","Spuntino eccellente","Dopo una bella scarpinata tra arte e negozi, abbiamo optato per un pranzetto-spuntino in questo locale un pò nascosto ma vicino al centro storico. Ci siamo fatti consigliare dai ragazzi, gentilissimi e disponibili, che preparano questi gustosissimi panini e non ci hanno affatto deluso. Pane toscano ripieno di sbriciolona artigianale, pecorino e crema di peperoni; schiacciata con prosciutto crudo artigianale, pecorino, funghi e crema di tartufo, il tutto annaffiato con un buon bicchiere di vino...in una parola: PARADISIACO! Ingredienti freschi, buonissimi e pane fragrante, torneremo sicuramente per assaggiare altri abbinamenti. Il locale è un pò piccino per cui, per potersi sedere, è meglio evitare l'ora di punta, ma merita davvero. "
"ui_bubble_rating bubble_50","Per un pranzo veloce","Ottimo posticino tipico di Firenze. A circa 10 minuti a piedi dalla stazione ferroviaria. È un antico negozio di merceria trasformato.Pochi posti. Potresti trovare tanta gente e mangiare in piedi, che è comunque bello.Ottimi panini con ottimi ingredienti. Consigliatissimo."
"ui_bubble_rating bubble_50","la migliore schiacciata di Firenze","Locale piccolo e accogliente, se hai fortuna puoi sedere dentro approfittando di uno degli sgabelli messi a disposizione. I ragazzi sono davvero gentili e cordiali.QUALITà dei salumi e formaggi OTTIMA, salse e conserve di loro produzione ed è possibile acquistare tale prodotti. A mio avviso la buona schiacciata di Firenze"
