"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Fantastico: come sentirsi a casa ","Mi trovavo a Firenze con mia sorella e una nostra amica e abbiamo prenotato per puro caso tramite the fork in questa osteria.Che dire... ottimo cibo e personale super gentile!Consiglio assolutamente!"
"ui_bubble_rating bubble_40","Si sta sempre bene","Con una prenotazione su The Fork sono andato a mangiare da Semolina per la prima volta da quando il ristorante non è più in centro e sono rimasto soddisfatto. Il locale è piccolo, familiare ed il servizio è carino ed accogliente. Abbiamo deciso di mangiare pesce e la scelta è stata azzeccata. In due abbiamo mangiato una selezione di antipasti di mare deliziosa (sicuramente il miglior piatto), una porzione di cavatelli aglio olio peperoncino acciuga e capperi (accoppiamento fantastico peccato per la porzione un pò scarsa) e due fritture di calamari con carciofi fritti (che purtroppo sono diventate patate per l'assenza del contorno). Al termine abbiamo preso due caffè, mentre durante il pasto abbiamo preso una bottiglia di acqua naturale e mezzo litro di bianco della casa. Il conto sarebbe stato di 72 euro che sono diventate 57 con lo sconto per la prenotazione su The Fork. Un costo giusto, anche senza sconto, per la qualità del cibo mangiato. Ci torneremo!"
"ui_bubble_rating bubble_40","Molto bene !","Bella osteria tipicamente toscana.Abbiamo mangiato molto bene , la carne ( tranne lo scrivente perché vegetariano ) ottima ed abbondante ma , nella totalita' , sara' un pranzo da ricordare.Conto non basso in assoluto ( 266 ridotto poi sui 250 ) ma assolutamente rapportato a cio' che abbiamo mangiato sia come qualita' che come quantita'.Mi preme sottolineare il servizio , simpatico celere e premuroso."
"ui_bubble_rating bubble_50","Migliore osteria di quartiere","Abbiamo pranzato benissimo, il personale è accogliente e davvero gentile. Veramente consigliato sia a pranzo che a cena."
"ui_bubble_rating bubble_50","Ottima osteria","Abbiamo cenato con un'ottima tagliata. Buonissima osteria e personale gentile e disponibile.Veramente consigliato."
"ui_bubble_rating bubble_30","Siamo stati bene","Prenotato con The Fork perché vicino a dove eravamo e perché ci sarebbe stato lo sconto... Ma siamo stati bene: ottima la carne e l'antipasto. Servizio leeeeeeeeento ed un po' confusionario ma generoso il proprietario che se n'è accorto. Prezzi troppo alti rispetto alla media. Da provare ma non ci tornerei."
"ui_bubble_rating bubble_50","Ottimo cibo familiarità gentilezza....","Approfittando di uno sconto di €50 e del 20% sul totale torniamo alla Trattoria semolina ordinando un antipasto con affettati bufala sottoli e bruschette un piscio alle vongole un risotto bottarga e gamberetti un cheesecake da bere prendiamo un calice di prosecco una bottiglia d'acqua e due caffè tutto veramente buono e squisito una serata tranquilla mangiando con calma degustando gli ottimi piatti preparati dallo chef Inoltre se siete fortunati potrete trovare il grande bomber Christian Riganò e fra i tavoli a districarsi tra portate e simpatia il grande Foffo.Per tutto quanto elencato sopra abbiamo speso la bellezza di €0"
"ui_bubble_rating bubble_50","Pranzo dominicale dopo la Fiera dell’Artigianato a Fortezza da Basdo","A solo 15 minuti della Fortezza e a due passi dallo Stadio Franchi, una osteria a conduzione familiare con un tocco di fantasia nei piatti. Antipasto: Terrina di fegatini al vin santo e crema caramel di foie gras d’oca. Primo: Cavalletti aglio peperoncino fiori di zucca e capperi - da provare! Secondo: Faraona disossata con ripieno di asparagi, frittata, porro , scalogna e pancetta - una meraviglia! Dolce: un opera d’arte nella forma di un guscio di cioccolato contenente una soffice mousse al cioccolato e una purè di frutta della passione- qui si va al paradiso dei golosi. Servizio simpatico e cortese. Prezzi giusti per l’ottima qualità. Bagni: spaziosi e puliti . Parcheggio disponibile in giro nell quartiere se non c’è evento al Franchi."
"ui_bubble_rating bubble_40","Come a casa","Il proprietario ti mette talmente a tuo agio che ti pare di cenare casa. Ottimi antipasti e secondi eccellenti, sia di pesce che carne, bel locale ottimo il servizio. Consigliatissimo "
"ui_bubble_rating bubble_40","Ottima cucina!","Sono stata con una mia amica a cena, abbiamo preso dei primi buonissimi, abbinamenti molto ricercati. Per il secondo non riuscivamo a scegliere dato che non trovavamo un piatto che ci ispirasse, così la cucina ci ha preparato una frittura di pesce mista a carciofi fritti. Molto abbondante e veramente buona. Prezzo onestissimo, mi sembra 20€ a testa con coperto, acqua, vino, due primi a testa, una frittura a metà, un caffè e due ammazza caffe offerti. Personale carino e disponibile."
"ui_bubble_rating bubble_50","Ottimo pranzo ","Cercavamo un posto per pranzare col mio collega vicino al Mandela forum e ci siamo imbattuti in questa osteria per caso.L’ambiente è familiare e l’arredamento da tipica osteria Toscana.Abbiamo preso antipasto di terra tipico con crostini affettati e mozzarella veramente buona per poi passare a 2 ottime tagliate con patate arrosto. Da sottolineare la straordinaria morbidezza e bontà della carne. Dolci ottimi, prezzo buono considerando la città molto turistica, il proprietario e la cameriera molto gentili e alla mano..  Consigliatissimo, se ricapitero in zona ci tornerò sicuramente."
"ui_bubble_rating bubble_40","Una buona osteria ","Osteria alla mano, il personale e le cameriere gentili. Pici all’astice delicati e saporiti al punto giusto, frittura di calamari e carciofi ben fatta e molto buona. Non diamo un giudizio positivo al 100% perché abbiamo notato differenze di prezzi tra il menù riportato su thefork e quello reale. Inoltre la tagliata di carne era buona, ma un po’ scarsa nella quantità. In compenso i dolci ottimi. Complimenti al pasticcere! "
