"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Finalmente!","Era da tempo che volevo portare mia moglie da Settimo e ieri siamo riusciti ad andarci. Locale piccolo, intimo, personale giovane e molto educato, nel quartiere ha fama di essere un buon ristorante di pesce e ieri volevamo scoprire se era vero.Consiglio di prenotare perché rischiate di fare un viaggio a vuoto.Abbiamo iniziato il nostro viaggio gastronomico con un antipasto di mare completo, una porzione per due, l'intenzione era quella di assaggiare un antipasto completo per poi concentrarci su altre portate principali. È stato un trionfo di sapori e consistenze, partendo dalla leggerezza delle crudite fino a salire in gusto (dopo 5 piatti assortiti) ad un soutè di cozze e vongole, tutto buono! Poi abbiamo optato per uno spaghetto allo scoglio e uno alle vongole e bottarga. Le portate sono molto generose, come piace a me. Il primo l'ho trovato molto buono, la pasta saltata nello scoglio era sipida ma si riusciva ad apprezzare il pesce con cui era condita/saltata (tutto fresco). L'altro spaghetto era buono ma aveva il difetto di essere troppo sipido, la generosa spolverata di bottarga annullava le vongole e saturava le papille gustative. Peccato, forse un elemento a contrasto, anche banalmente del prezzemolo fresco tritato, avrebbe bilanciato meglio il piatto, comunque la pasta era ben cotta e ho apprezzato comunque l'offerta. Mia moglie era sufficientemente sazia e così solo io ho preso un secondo, la grigliata mista per uno, che per l'occasione (è un piatto per due), mi è stato proposto due gamberoni, due bei scampi e due seppie grigliate, senza il pesce che sarebbe stato servito invece se avessimo preso la porzione intera (per due, come detto prima). Ho apprezzato, una buona grigliata.Infine ci siamo concessi un sorbetto rinfrescante (specie a me reduce dell'assalto di bottarga). Nell'attesa del conto abbiamo molto gradito l'offerta di bonbon, molto buoni. Ultima graditissima sorpresa il conto, un rapporto qualità-prezzo non da tutti. Siamo rimasti soddisfatti, consiglieremo ad amici il ristorante e speriamo di poterci tornare il prima possibile."
"ui_bubble_rating bubble_50","Uno dei migliori ","Sono stato da Settimo più volte e non delude mai. Credo sia uno dei pochi ristorante che difficilmente sbaglia una portata. Questa volta ho provato gli spaghetti al granchio, personalmente ottimi e le porzioni sono sempre abbondanti.Andateci non ve ne pentirete. Buon rapporto qualità prezzo. Mi raccomando prenotate altrimenti rischiate di rimanere fuori."
"ui_bubble_rating bubble_50","Una garanzia ","Conosco questo ristorante da molto tempo essendo di fianco al vivaio dei miei cugini.. ceno spesso da “Settimo” e devo dire che non si smentisce mai.. tutto sempre ottimo.. dagli antipasti caldi e freddi (servono anche il crudo) ai primi (una menzione va agli straccetti con gli scampi che sono favolosi) ai secondi dove consiglio la frittura.. siete sempre una garanzia.. buon cibo accompagnato dalla grande cordialità di Settimo e Daniela.. continuate cosi "
"ui_bubble_rating bubble_50","Il miglior ristorante di pesce di Firenze ","Questo é il miglior ristorante di pesce di Firenze in assoluto! Cibo ben condito e pesce freschissimo."
"ui_bubble_rating bubble_50","Cena tra colleghi ","Ristorante dove mangiare un pesce di qualità altissima ottimi gli antipasti specialmente il crudo primi di abbondanza unica come anche i secondi ottima cantina vini e personale di estrema gentilezza "
"ui_bubble_rating bubble_50","La gentilezza prima di tutto","Vengo spesso in questo locale. Il servizio è molto veloce, cordiale ed educato. I piatti sono abbondantissimi e il rapporto qualità prezzo ottimo! Lo consiglio vivamente in tutto!"
"ui_bubble_rating bubble_40","Professionalità e gentilezza","A Firenze mangiare bene a base di pesce è impresa davvero ardua...qui da Settimo invece sì può.Pietanze sia di crudi che caldi tutti freschi e ben preparati... serviti con professionalità e gentilezza.La sig.Daniela accoglie personalmente i clienti e con discrezione e cortesia consiglia le pietanze del giorno.Buona scelta di vini...Non è un locale economico ma il pesce fresco costa quindi a mio parere il conto è onestoDa provare se si vuole mangiare bene e tanto ma ripeto soprattutto in maniera genuina... anche perché il pesce meno è elaborato più si gusta la freschezza"
"ui_bubble_rating bubble_50","Sorprendente ","Locale situato in zona Novoli ... poco distante c’è un grande parcheggio. Location suggestiva, non molto grande. Accoglienza discreta e professionale... ovviamente pesce ... antipasti e secondi da assaporare ci gusto. Vino , dessert caffè ... da rivedere prossima estate <U+2B50><U+FE0F>"
"ui_bubble_rating bubble_50","Cena aziendale ","Posto piccolo ma grande nella qualità del pesce. Piatti molto buoni ed abbondanti, molto buono anche il vino. Consigliato "
