"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Gustosissimo..","Bel posticino nel centro di Firenze...piccolo ma curato, panini particolari con avicado e con prodotti tipici vedi la finocchiona e il tanto rinomato lampredotto è molto buono. Vino a calice 2€ non si paga il coperto...stra consigliato"
"ui_bubble_rating bubble_50","Ormai ci vado sempre ","Da anni mi reco da Rocco, ormai siamo di famiglia! Panini ottimi, primi veloci e sfiziosi. Adesso anche con l’avocado! Panini da 4 a 5 euro, primi da 7. Il classico gottino da 2 euro.. no vabbè! Locale da 10. Aspettate che vale la pena"
"ui_bubble_rating bubble_50","buonissimo.....","Ci vai per una birra e ti rtitrovi a mangiare panini da leccarsi i baffi, salmone avocado e bergamotto....favoloso da gourmet...e poi il famigerato lampredotto con salsa verde e salsa piccante, impeccabile. i ragazzi sono gentili e spiegano a tutti la loro filosofica di lavoro, molti prodotti arrivano direttamente dall'azienda agricola del proprietario, tra cui l'avocado. iolo consiglio bravi, francesco da modena."
"ui_bubble_rating bubble_50","Avocaderia e molto altro..","LEGGENDO le recensioni si tripadvisor mi sono soffermato su questo locale che offriva un menu' diverso dai soliti stret food fiorentini. OTTIMI panini con avoado da loro prodotto, abbinamenti vaqri dall'huumus con cipolla rossa caramellata al salmone con il bergamotto. ma non solo panini trovate anche primi e il famoso lampredotto. staff veloce dinamico ed efficente, cordiale e gentile. ci tornero"
"ui_bubble_rating bubble_50","che bella esperienza","ti ritrovi in questo piccolo localino quasi per caso, il personale super gentile ti accoglie e ti spiega il menu. Noi arriviamo decisi per assaggiare il lmampredotto, ma poi optiamo per un lampredotto e un panino con avocado, cosi tanto decantati. abbiamo scelto porchetta pomodori secchi e avocado. buonissimoooo, ne valeva la pena. prossima volta prima tappa da sogni e sapori."
"ui_bubble_rating bubble_50","Pausa veloce","Trovato per caso in zona Duomo settimana scorsa.Il proprietario molto gentileHo provato il panino al lampredotto,buono ma il top è quello preso da mia moglie e mia figlia, con avocado e salsiccia!!!Buonissimo e a prezzi onesti per la zonaGianni"
"ui_bubble_rating bubble_50","Lampredotto favoloso","Locale piccino picciò ma grandi gusti. Personale simpatico e dinamico, lampredotto buonissimo e ottimo vino rosso alla spina. Bravi!!!!!!"
"ui_bubble_rating bubble_50","Chiacchiere e tanto avocado","Ottimo punto di ritrovo per una pausa pranzo in compagnia accompagnata da gustosi panini farciti con avocado in ogni forma, non delude. Ve la consiglio!!"
"ui_bubble_rating bubble_50","Sorpreso...","troviamo questo piccolo locale nel nostro soggiorno na firenze tramite tripadvisor, la mia ragazza amante dell'avocado, decide di entrare, io titubante la seguo. mi affido ai consigli del gestore, che ci spiega la politica del locale, la provenienza degli avocadi, sono italiani prodotti da loro stessi in calabria,e ci lasciamo consigliare. lei prende uo con hummus cipolla rossa caramellata e pecorino con avocado, io ho preso uno con porchetta avocado e pomodori secchi. Mi sono dovuto ricredere, tutto molto buono tutto eccellente, posto piccolo ma accogliente. forse troverete un po di att4esa, ma ne vale la pena."
