"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","ottimo","Il locale è piccolo e molto carino.Abbiamo mangiato cose diverse dal solito e tutto era buonissimo. Consiglio di provare la pasta cacio, pepe e gamberi!!!!Il personale è molto gentile ed efficiente .Da provare !!!!!"
"ui_bubble_rating bubble_30","Pranzo lavoro","Era tanto che lo volevo provare e questa attesa forse mi aveva alzato le aspettative...il locale , anche se molto piccolo, è carino ma estremamente rumoroso , il sevizio molto rivedibile , il cibo molto buono ma la spesa totale un po’ troppo elevata. "
"ui_bubble_rating bubble_50","Wow","Che spettacolo!! Locale piccolo ma carino,servizio ottimo e discreto, pesce saporito e ben presentato! Ripeto...wooowww"
"ui_bubble_rating bubble_20","Non lo consiglio","Il ristorante è piccolo, così come i tavoli. In 3 persone si sta stretti con i vari piatti, bicchieri e bottiglie. I prezzi sono medio alti, sopratutto per una qualità del pesce non eccelsa. Non abbiamo mangiato male, ma nemmeno bene. 40 euro a testa con 2 bicchieri di vino, decisamente troppo. A Firenze il pesce buono e perfino più economico, è altrove..."
"ui_bubble_rating bubble_50","Pranzo di lavoro","Ottima qualità della materia prima e dei piatti finali, titolari e personale cortesi e competenti.Non da meno la carta dei vini, eccellente rapporto qualità prezzo"
"ui_bubble_rating bubble_40","Una buona serata","Ci siamo trovati bene per gentilezza e servizio alzandoci da tavola deliziati. Unica nota dolente, la difficoltà di piatti espressi per intolleranze ed allergie qualora un commensale lo fosse."
"ui_bubble_rating bubble_50","Top","locale accoglientequalita' materiale superlativo cucinato con sapienzaservizio attento e non invadentecantina fantasticaun ristorante che personalmente rispecchia tutto per una cena di pesce"
"ui_bubble_rating bubble_40","Pesce e poi pesce","Servizio veloce ma attento, pesce fresco e ben cucinato. Padrone di casa e camerieri simpatici e cordiali. Proprio tutto buono."
"ui_bubble_rating bubble_50","Cena compleanno tra amici","Abbiamo trascorso una splendida serata, mangiando dell’ottimo pesce FRESCO!!! Gli antipasti e i primi erano superbì insieme ad un ottima aragosta, il servizio è molto accogliente, già quando siamo arrivati è stato come sentirsi a casa, tra battute e degli splendidi sorrisi abbiamo trascorso una bellissima sera, riguardo il conto è stato molto onesto, devo dire che non c’è da dire niente, non sono mai stato così buono nelle mie recensioni, ma loro se lo meritano veramente!!! Ottimo lavoro continuate cosi !!! Grazie ancora Giovanni"
"ui_bubble_rating bubble_20","Delusione","Locale carino, ma molto rumoroso. Primi piatti mediamente buoni. Una delusione profonda invece sia la frittura che la grigliata. Servizio invadente e poco professionale. Non lo consiglierei agli amici. "
"ui_bubble_rating bubble_50","Ittimo","Tutto ottimo.. pesce fresco e gentile il servizio.. tutto davvero molto buonoBello il locale , moderno.. forse i tavoli un po’ troppo vicini e consigliata la prenotazione... "
"ui_bubble_rating bubble_40","Un piccolo gioiello luminoso nella periferia","Il locale si presenta molto carino, ben arredato modernamente ma senza forzature; lo staff è giovane, gioviale, attento e hanno saputo non solo consigliarci ma anche spiegarci con il sorriso e con sapienza la composizione dei piatti.Vi sono delle proposte classiche con tocchi piacevoli di rivisitazione, pietanze buone e conto a nostro avviso non elevato, se paragonato ad un ristorante di pesce e per di più nella cara Firenze.E udite udite...abbiamo pure trovato parcheggio a 15 metri di distanza!"
"ui_bubble_rating bubble_40","Pesce perfettamente cucinato","Ottimo ristorante di pesce. Cucina di alta qualità, personale simpatico e cortese e prezzi nella media. Discreata la lista dei vini. Il locale è piuttosto piccolo ed i tavoli risultano un po’ troppo ravvicinati .Trovare un parcheggio a distanza ragionevole può essere un’impresa davvero ardua.Nel complesso è un’esperienza consigliabile"
"ui_bubble_rating bubble_50","Una cena tranquilla ","Cibo molto buono e personale molto gentile e carino...!Ci ritornerei sicuramente !Ambiente tranquillo "
