"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Ottimo","Ottima sosta durante la visita a Firenze, buon vino e buon cibo, locale carino, personale gentile prezzo giusto, molto consigliato"
"ui_bubble_rating bubble_40","Una ottima sorpresa","Estratti per caso abbiamo pranzato in modo ottimo buona qualità e servizio , ampia scelta. Consiglio."
"ui_bubble_rating bubble_50","gita a Firenze","Posto eccezionale! Locale molto carino, personale gentile e cordiale. Mangiato benissimo . Più che consigliato."
"ui_bubble_rating bubble_40","Tanta scelta, ottima qualità ","Quando sono in Toscana non posso non prendere i crostini con i fegatelli e la ribollita che qui erano entrambi ottimi. Buono il vino della casa e gentile il personale. Consiglio una visita al Giardino dei Boboli la cui entrata è situata vicinissima alla trattoria. Così alimenterete corpo e spirito. "
"ui_bubble_rating bubble_50","Favoloso! Una garanzia ","Alle porte del centro storico pieno di locali troppo turistici, per la seconda tappa dell'anno a Firenze siamo tornati qui. A gennaio 2018 abbiamo fatto un pranzo a dir poco squisito, primi eccezionali, personale molto gentile, cordiale e professionale. Dunque per non incorrere ad errori visto che per noi il cibo di qualità é cosa fondamentale e ragione di vita, siamo tornati qui, stavolta per una bella cena. Bistecca ottima! Questo posto é una garanzia, se ne trovano davvero pochi....pochi.... "
"ui_bubble_rating bubble_40","pranzo dopo visita ai Giardini","Capitati per caso uscendo dai Giardini è stata una bella scoperta!Trattoria piccola ed accogliente! A qualsiasi ora arrivavano i clienti, li ho visti sempre accolti con il sorriso e la voglia di servirli.Noi abbiamo mangiato solamente il primo....quantità abbondante e di buona qualità!Da ricordare in caso di altre visite a Firenze."
"ui_bubble_rating bubble_40","Trattoria Toscana zona palazzo Pitti ","Trattoria Toscana vicina a Palazzo Pitti e al giardino di Boboli. Il locale è carino, molto piccolo. Le pietanze sono buone (abbiamo assaggiato l’osso buco e le salsicce con patate. I prezzi sono nella media. "
"ui_bubble_rating bubble_40","Piacevole cena tra amici","Qualche giorno fa cercando un buon posto dove cenare in zona Palazzo Pitti abbiamo deciso di provare questa trattoria.Nonostante l’orario, prossimo alla chiusura, ci hanno accolto senza problemi.Il menu è ricco di piatti appetitosi soprattutto quelli consigliati dallo chef.Dopo l’antipasto di terra abbiamo deciso di assaggiare sia i tortelli di patate al cinghiale che quelli al burro salvia e speck. Da bere abbiamo scelto un buon Chianti consigliatoci dallo staff e infine un delizioso dessert di salame al cioccolato.La cena e il servizio sono stati molto graditi da tutti noi.Buon rapporto qualità prezzo."
"ui_bubble_rating bubble_50","Ma senza pensarci due volte.","Scappando dalle mille proposte turistiche del centro siamo finiti in questa trattoria appena superato ponte vecchio. Che dire, vuoi mangiar bene, tipico, autentico e beneficiare della simpatia locale? Venite qui ne rimarrete soddisfatti. Ps : I pici senesi alla gricia erano esageratamente buoni. Raramente mi capita di dirlo"
