"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Cortesia e professionalità.","Ho cenato in questa trattoria/ristorante piccola ma accogliente, non lontano dal centro. L'interno ben curato con tavolini sedie ed un divano lungo. La ragazza che ci ha serviti molto dolce e gentile, mai invasiva. Il ragazzo (forse il titolare) attento alle esigenze dei clienti. La tagliata era ottima!!! Se andate a Firenze dovete fermarvi alla Trattoria Camillo Cavour!!"
"ui_bubble_rating bubble_40","Una confortevole sosta","Nel trambusto del centro di Firenze una piacevole sosta in un piccolo ma confortevole ed ospitale ristorante. Il menù di mezzogiorno non è molto affollato ma completo ed i piatti sono buoni e ben realizzati.Insomma un buon compromesso tra menù turistico e impostazione tradizionale."
"ui_bubble_rating bubble_40","Consigliato ","Nel centro di Firenze, attività storica, ottimi servizio ed accoglienza. Primi buoni e fiorentina eccellente. Prezzi elevati tuttavia nella media della zona. "
"ui_bubble_rating bubble_40","Piacevole sorpresa ","21.30, pieno centro a Firenze.Già rassegnato a finire in una trappola per turisti pur di mettere qualcosa nello stomaco, mi ritrovo al Camillo Cavour dove siamo stati letteralmente coccolati dal personale, abbiamo mangiato e bevuto bene.Il conto nemmeno tanto alto, considerato che siamo in pieno centro a Firenze."
"ui_bubble_rating bubble_50","Semplicità e qualità","Un ristorante come non ce ne sono più. Professionalità, rapidità nel servizio e un menù tipico molto gradevole.Buono il cibo e grande attenzione alle intolleranze alimentari con un menù per il senza glutine di tutto rispetto (disponibile anche la pasta fatta in casa).Buon rapporto qualità/prezzo"
"ui_bubble_rating bubble_50","Un ristorante come dovrebbero essere i ristoranti.","Il valore della tradizione. Fantastico locale di quelli che frequentavo da pischello coi nonni. Molta sostanza, tavoli stretti e camerieri che corrono, pochi svolazzi, menù tradizionale con qualche piccola innovazione e tante possibili scelte di fritti, come una volta. Carta dei vini non sterminata ma con scelte di rilievo, location centrale. Costo equo.Un ristorante come dovrebbero essere i ristoranti."
"ui_bubble_rating bubble_50","Ottimo locale!","Sono capitato in questo ristorante per un pranzo di lavoro e sono stato accolto con straordinaria gentilezza è cordialità. Il cibo è stato ottimo e la possibilità di pranzare a contatto con le vie storiche di Firenze è un’esperienza unica. Da tornarci! "
"ui_bubble_rating bubble_40","Una bella mangiata ","Ristorante in pieno centro a Firenze.Mangiato un ottima bistecca alla fiorentina e buoni contorni.Buona anche la carta dei vini.Rapporto qualità prezzo un po’ alto, circa 80€ a persona."
"ui_bubble_rating bubble_50","Meglio di così non si può! ","Ad ottobre sono stata a Firenze con la mia famiglia e ci siamo fermati in questo elegante locale in via Cavour. Il cibo era estremamente buono e gustoso. La miglior Fiorentina di sempre. I prezzi sono nella media (considerando che Firenze non è una delle città più economiche d’Italia) e il prezzo valeva la qualità dei prodotti. I ate for lunch with my family in this amazing restaurant. We ate the best Fiorentina ever. The cost was right for the quality of the food (80€ for 4 people). The owner is American, but he knows how Italian cook! I suggest this place 100% . "
