"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Buona cucina","Sono stata sabato a pranzo a mangiare in questa trattoria con mio marito. Abbiamo preso pici con cavolo nero, salsiccia e pecorino buonissimi, e per secondo polpette ai fagioli e verdure miste tutto molto buono.Da notare che non fanno pagare nè coperto nè acqua."
"ui_bubble_rating bubble_50","Ottima scelta","Trattoria tipica, piccola ma molto accogliente e personale cordiale.Cibo ottimo e gustoso, ribollita spettacolare. Mi figlia ha preso un filetto al pepe verde a cottura media ed era perfetto, lo ha divorato. Consiglio anche antipasto LUNA DI MIELE.Rapporto qualità prezzo ottimo visto la bontà delle pietanze."
"ui_bubble_rating bubble_40","Cena precapodanno","Da suggerimento dei locali, ci siamo affidati al sentimento e all'amore della trattoria.Non pianificavamo di mangiare da re il giorno prima di capodanno, perché volevamo tenere la pancia libera per spaccarci il giorno dopo.Eppure... siamo stati trasportati: la calda accoglienza e il profumo ci hanno fatti sentire in un luogo familiare. Il cibo ci ha condotto per luoghi magici, ricchi di tradizione e passione.Per questo siamo rimasti delusi dal vino della casa, che ci aspettavamo spaziale, e invece ha portato qualche lacrima sulle nostre gote."
"ui_bubble_rating bubble_50","Adoro!","Siamo quasi degli habitué in questa trattoria. Subito fuori dai tracciati più turistici. La location è caratteristica, l’interno semplice. I piatti sono squisiti ed il personale gentilissimo. "
"ui_bubble_rating bubble_40","Ci tornerò","Il locale si trova un po fuori dal giro turistico,mi hanno colpito l accoglienza e l'ambiente familiare e accomodante..piatti della tradizione..il mio peposo su letto di purè al limone era davvero gustoso e abbondante..la tagliata aveva un sapore incredibile e anche la cottura era perfetta,unico neo ci è stata servita tiepida e si è presto raffreddata..peccato perché meritava davvero.Buonissimo il tortino di cioccolato con gelato al fiodilatte.Rapporto qualità prezzo adeguato.Tutto sommato un buon locale dove assaggiare la tipica cucina toscana.Lo consiglio"
"ui_bubble_rating bubble_50","Ottimo!","Ho provato questo ristorante su consiglio di un amico e ne sono rimasto piacevolmente soddisfatto. Consigliato!"
"ui_bubble_rating bubble_50","Si va sul sicuro","Sono tornato in questa trattoria a distanza di un anno perché ne serbavo un ottimo ricordo e ho fatto bene.Favoloso antipasto luna di miele (formaggio fuso, olio al tartufo e patate...), ottimi pici nelle versioni al cavolo nero ed al cinghiale e superbo peposo di guancia di manzo su purea di patate al limone, in assoluto il miglior peposo mai mangiato nei miei soggiorni a Firenze. Cantucci con vinsanto, cortesia, prezzo assolutamente onesto. Consigliato"
"ui_bubble_rating bubble_50","WoW","Personale di estrema cortesia anche nei confronti dei bimbi ; tutti pronti a mettere a proprio agio chiunque .Pietanze di ottima qualità inoltre ....Resterei ore e ore a sentir parlare il titolare di tutto quel che fanno di come lo fanno ..Di sicuro ci torneremo !"
"ui_bubble_rating bubble_50","Non si sbaglia mai!","Da quando l’abbiamo scoperto è diventato il nostro locale di riferimento in città.Cortesia e gentilezza accompagnano dei piatti veramente ottimi: tradizione toscana con un tocco di moderno che non altera né tradisce, porzioni abbondanti che non guastano!Complimenti a tutto lo staff.Consiglio vivamente di prenotare perché i tavoli sono pochi. Merita anche per ,dopo cena, un giro nel quartiere di santo spirito!"
"ui_bubble_rating bubble_50","Ogni volta tutto perfetto. ","È sempre una conferma. Tappa fissa ogni volta che si va a Firenze. Gentilezza, ospitalità, ottimo cibo tipico. A presto. "
"ui_bubble_rating bubble_40","Compleanno di mamma","Bel posticino di grande cordialita' e attenzione.In 3 persone 90 euro, con vino e torta inclusa(millefoglie buonissimo).Cosa volete di piu?"
"ui_bubble_rating bubble_50","Serata a Firenze ","Ristorante ottimo, sia nei prezzi che nella qualità.Servizio molto gentile e cortese Un antipasto, un primo, un secondo+ un contorno =49€ Cosa molto apprezzata in questo ristorante è che non si paga ne l’acqua ne il coperto.Piccola pecca è l’odore abbastanza forte di tartufo "
"ui_bubble_rating bubble_50","Pranzo meraviglioso","Seconda esperienza in questo locale piccolo, ma super accogliente di Firenze. I pici in forma di gorgonzola con noci e i dolci della casa ci hanno estasiato...oltre alla qualità (e quantità) delle portate, la simpatia ed il calore di tutto lo staff ne fanno una meta da conoscere e da provare...."
"ui_bubble_rating bubble_40","Consiglio di provarlo","Cibo buono, locale tipico, prezzi adeguati, acqua e coperto gratuiti, personale gentile. Da provare. Ottima posizione"
"ui_bubble_rating bubble_40","È tutto piccolo piccolo tranne il cibo","Siamo stati a cena in due in questa piccolissima osteria oltrarno (fuori dai percorsi turistici classici di Firenze). L'ambiente ricorda vagamente quello di una cucina di casa ma il personale è cordiale e attento (meravigliosamente accogliente la proprietaria) e le porzioni belle abbondanti. Abbiamo ordinato come antipasti la cialda di salsiccia cruda (ottima) e i coccoli con crudo e stracchino (tutto buonissimo anche se i coccoli un filo unti). A seguire abbiamo preso le bistecchine di cinghiale al tartufo (buonissima sia la carne che la qualità del tartufo) e il peposo (tenerissimo anche se un po' indietro di sale). Tra i contorni le patatine fritte buone anche se, come i coccoli, belle unte. Da dimenticare invece le patate ghiotte. Bene i dolci, sia i cantucci col vin santo che la torta al cioccolato vecchia Firenze. Vino della casa così così. Prezzo non economico ma onesto e in linea con quanto mangiato. Bravi."
