"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Discreto cibo ma occhio al sale","Nel complesso non male la cucina e molto molto carino l’ambiente anche se nulla mi ha colpito in particolare di questa trattoria. Viste le recensioni su TripAdvisor qui sotto forse si partiva con delle aspettative troppo alte. Abbiamo preso tre diversi antipasti: tagliere di formaggi (eccellenti), sformato di verdure (buono) e trio di crostini (a mio parere modesti); la ribollita, che ho trovato già parecchio tendente al salato, ed infine dei contorni di patate al forno e fagioli. I fagioli erano purtroppo eccessivamente salati e li abbiamo dovuti lasciare lì. Almeno non sono stati (giustamente) messi in conto. Serata forse sfortunata, proviamo a ritornare un’altra volta per giudicarlo nuovamente."
"ui_bubble_rating bubble_50","il numero uno <U+0001F44D><U+0001F3FB>","Capodanno passato a Firenze..tra un consiglio e un altro, decidiamo di andare ad istinto e cerchiamo da soli un posticino dove poter mangiare e bere i prodotti tipici della Toscana..eccolo qui, da Giovanni, ambiente intimo e tipico, cucina di ottima qualità, scelta di vini ampia ma sopratutto calore, semplicità e professionalità allo stesso momento..fiorentina pazzesca, vino consigliato da Giovanni morbido e perfetto con la carne...la cosa che ci ha piu colpiti, oltre al cibo..l’amore e il rispetto per le proprie tradizioni, torneremo presto a trovare il “nostro amico Giovanni”.. grazie ancora da Marwen e Alessia :)"
"ui_bubble_rating bubble_50","Consigliatissima ","Cibo eccellente, con ampia scelta,anche di piatti tipici toscani; ottimo rapporto qualità prezzo e servizio efficiente; complessivamente un bell'ambiente per chi vuole passare una serata in un'atmosfera accogliente e famigliare senza spendere troppo "
"ui_bubble_rating bubble_10","Nulla di che.","Dopo un antipasto di salumi e due cose sott'olio (impossibili da sbagliare) arriva la tanto attesa bistecca alla fiorentina,che di Fiorentina non aveva NULLA.intanto non era un T-BONE steak ma solo controfiletto, quindi il taglio non è quello che un cliente si aspetta,ovviamente senza contorno(da pagare a parte anche se la bistecca Costava più di 60 euro)Non era una bistecca italiana, ma come detto (dopo) dal proprietario, di black Angus irlandese,(se volevo mangiare black Angus irlandese,caro mio,stavo a casa mia,e andavo alla steak house di paese, questo è certo.non mi facevo 340 km per mangiare una carne che trovo anche al supermercato)Il proprietario, dopo aver ascoltato la mia lamentela è andato su diversi siti per difendere il fatto che se,uno vuole la Fiorentina con filetto, deve essere espressamente richiesto, anche se quella che ho preso io era da 1.3 kg......Dopo 25 minuti di spiegazione e goffi tentativi di rimediare, la mia morosa ha preso un tiramisù, anch'esso,nulla di che, arrivato dopo solo 20 minuti di attesa,perché uno dei cuochi era preso ad aprire bottiglie ad un tavolo di amici suoi,chiacchierando allegramente sulla giornata passata,quindi gli altri clienti non esistevano più. Prima ed ultima volta."
"ui_bubble_rating bubble_50","Eccellente!","Consigliato da un amico che lavora a Firenze, ci siamo recati in questa trattoria per assaggiare per la prima volta la ribollita. Siamo rimasti molto soddisfatti da questo piatto molto buono, il titolare poi persona simpatica e cordiale. Sicuramente ci ritorneremo quando ripasseremo da Firenze."
"ui_bubble_rating bubble_50","TOSCANA VERA","Ci siamo andati tre volte a cena negli ultimi mesi sempre con grande soddisfazione. Primi perfetti, gnudi, maltagliati, fettuccine e secondi di carne da non perdere. Dolci all’altezza. Locale accogliente e personale molto disponile. Giusto il rapporto qualità/prezzo. Da provare!"
"ui_bubble_rating bubble_50","Fiorentina spettacolare","Abbiamo cenato qui di sabato sera, Fiorentina squisita. Applausi a Giovanni che non chiede il grado di cottura desiderato!!! È così! Punto. La Fiorentina si magia in quel modo! Non più al sangue o meno al sangue!! Ci torneremo appena possibile. A prestoPs: panna cotta imperdibile e Chianti sfuso buono."
"ui_bubble_rating bubble_50","Eccellente ","Siamo stati per la prima volta in questo ristorante con amici e devo dire che ne siamo rimasti estremamente soddisfatti.. personale molto cordiale e piatti ottimo.. la lingua ed i pici acciugati da provare assolutamente! Ottimi anche i dolci "
"ui_bubble_rating bubble_30","Potete farcela","Location tipica Fiorentina, tra mattoni a vista e volte, la trattoria pecca nel serviziosbagliando le portate e dimenticandosi di alcuni piatti ordinati, boh.Camerieri cinesi che non comprendono con chiarezza gli ordini e la lingua.Le scuse ci sono state.Ci ripasserò più avanti per vedere se si sono organizzati meglio."
