"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","bel posto da visitare","ottimo il servizio Buona la pizzaeccezionali i dolcipulitissimo e ordinatofacile da raggiungere posizione ottima"
"ui_bubble_rating bubble_50","Buon cibo e simpatia!","Siamo stati a Firenze alcuni giorni, lo abbiamo provato perché il più vicino alla nostra stanza e trovandoci bene siamo tornati anche le sere successive.Abbiamo avuto modo così di provare un po' di tutto, dalla pizza ai primi, dalle bruschette ai secondi e abbiamo sempre trovato piatti di grande qualità e anche abbondanti!Inoltre la simpatia e la disponibilità del personale sono state la ciliegina che ha reso ottime tutte le nostre cene da loro.Un grazie ancora per tutto!"
"ui_bubble_rating bubble_30","Capodanno a firenze","Cosa positiva che era aperto il primo Dell'anno, il personale é stato cordiale a trovarci 2 posti anche se non avevamo prenotato. Piatti abbondanti anche se la qualità non era il massimo. "
"ui_bubble_rating bubble_50","Ottima cena","Siamo stati a cena in sei persone in un ambiente familiare. Il personale è stato super cordiale, amichevole, disponibile e gentile. Abbiamo mangiato molto bene, la pizza e la carne erano deliziose. I dolci fatti in casa erano buonissimi. Abbiamo speso il giusto. Alla fine della cena ci è stata offerta una buona bottiglia di limoncello. Ristorante consigliatissimo."
"ui_bubble_rating bubble_50","Week-end a Firenze","Siamo stati a cena in questo locale perché vicino all'hotel. Ambiente carino. Abbiamo scelto il Menu fiorentina: antipasto toscano, fiorentina da 500gr, 1bicchiere di vino, 1/2 acqua 35,00€. La carne OTTIMA!Servizio abbastanza veloce. Il proprietario molto simpatico ci ha offerto una focaccia nell'attesa dell'antipasto e amari a fine cena. Camerieri molto simpatici e cordiali.Prezzi nella norma.Consigliatissimo! "
"ui_bubble_rating bubble_50","Piatti squisiti in cordialità","Ho cenato in questa trattoria con la mia famiglia durante una vacanza fiorentina ed ho assaggiato bruschette e primi squisiti. Anche la pizza margherita avanzata da mio figlio non era niente male. Non sono da meno i dolci fatti in casa, la panna cotta è insuperabile. L'ospitalità dei titolari è eccezionale e il limoncello offerto a chiusura serata è uno spettacolo...per i più simpatici c'è un'ulteriore sorpresina :-) Consiglio vivamente questo locale, ne rimarrete piacevolmente sorpresi. Saluti da Lorenzo, Oriona, Gabriel & Manuel ;-)"
"ui_bubble_rating bubble_30","Pranzo di lavoro.","A Firenze nella pausa pranzo è uno dei locali che permette di mangiare velocemente a prezzo convenzionato. Ho mangiato degli ottimi gnocchetti al pesto con un bel piatto di verdure alla piastra, buono e abbondante."
"ui_bubble_rating bubble_40","Weekend fiorentino ","Posizionato poco fuori dal centro in una zona tranquilla, veramente ottima la fiorentina morbida e gustosa buoni i salumi e squisiti i dolci.Servizio eseguito in modo impeccabile (gentile e disponibile)Il conto è stato onesto e giusto per quello che abbiamo preso"
"ui_bubble_rating bubble_50","Speciale ","Siamo venuti in questo ristorante perche ce hanno consigliato degli amici, e devo dire che non siamo affatto rimasti delusi! Era un pranzo con amici e colleghi di lavoro, tutto quanto ottimo! È stato un pranzo speciale accompagnati da risate e buon cibo! Ritorneremo indubbiamente!!!!"
"ui_bubble_rating bubble_50","Deliziosa","Siamo stati a un pranzo con amici, abbiamo ordinato un antipasto due penne e un tortellini e come secondo due filetti al pepe verde, deliziosi! Ottima anche la pizza!! "
"ui_bubble_rating bubble_40","Buono","Abbiamo mangiato 2 spaghettti allo scoglio. Porzioni abbondanti e pasta al dente. Personale gentile e ambiente pulito"
"ui_bubble_rating bubble_50","Eccellente","Pizza e cucina buonissima personale cortese e gentile, da provare per chi va a Firenze non si rimane delusi!"
"ui_bubble_rating bubble_50","Abbiamo trovato degli amici","Siamo stati ieri sera, ci hanno coccolato e servito delle orrime bistecca preso con il menu bistecca! Delizosi anche i dolci ."
