"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Goduria ","Trattoria storica, nel cuore di Firenze, serve piatto della tradizione toscana preparati divinamente. Saporiti, abbondanti e goderecci come ribollita, peposo e trippa per poi arrivare alla Fiorentina tenera come burro, il tutto annaffiato da un buon Chianti. Locale antico con arredamento d'epoca e storico, aperto solo a pranzo! "
"ui_bubble_rating bubble_40","...a zonzo per Firenze","ottimo ristorante caratteristico in BorgoSan Lorenzo.Ottima lofferta con robollita?...con vellutata et . Ottoma la carne!........"
"ui_bubble_rating bubble_40","Ottima bistecca","Il locale, piccolo, è aperto solo a pranzo, di fronte a San Lorenzo. Osteria tipica toscana. Servizio cortese. Ho preso bistecca con fagioli cannellini all’olio. Ottima. Da provare.Prezzi un po’ alti rispetto alla media."
"ui_bubble_rating bubble_50","Fiorentina e simpatia","31 dicembre, io e mia moglie ci siamo regalati un magnifico pranzo in questa trattoria. Locale semplice e piacevole, cortesia, simpatia ma soprattutto ottimo cibo di qualità. Fiorentina sublime!!! Prezzo giusto."
"ui_bubble_rating bubble_50","Sempre uguali, e non è un difetto.","Pur non essendo un fiorentino, pranzo da Sergio Gozzi tutte le volte che passo per Firenze: qua non cambia mai nulla, per fortuna.Purtroppo capita spesso che la trippa o la ribollita (o gli altri piatti, ovviamente) siano terminati; ma ci sta, anche perchè il locale è sempre pieno murato. E poi, questa trattoria va presa così com'è, con il suo caos e senza troppe fisime: se si cerca qualcosa di diverso si vada altrove.I prezzi, speriamo che anche quelli continuino a rimanere sempre bassi."
"ui_bubble_rating bubble_50","Madonnina mia come si mangia bene","Premetto che sono di Firenze quindi qualcuno potrebbe pensare che sono di parte ma questo ristorante rappresenta veramente la cucina fiorentina. Locatio tipica con tavoli di marmo uno attaccato all altro in modo da relazionarsi e disquisire con i vicini. Una ribollita meravigliosa e una pasta e fagioli con il cavolo nero da paura gnocchi con ragù abbondante che alla fine sei costretto a fare la scarpetta con un pane di primissima qualità. Polpettine e ceci all olio da consigliare e poi il piatto tipico di Firenze per eccellenza Lampredotto in umido con patate e cavolo nero. Il conto poi veramente ottimo. Unico avvertimento: sono aperti solo a pranzo perché la sera sono stanchi morti da tutto quel correre la.domenica sono chiusi e no accettano prenotazioni. Sì va e si aspetta ma ne vale veramente la pena. Poi se anche il presidente Mattarella durante la sua visita a Firenze è andato a mangiare lì che dite ci sarà il suo bel motivo."
"ui_bubble_rating bubble_50","Un pranzo eccezionale","Atmosfera fiorentina, cortesia, semplicità, arredamento essenziale e piacevole, servizio veloce, cibo di eccellente qualità. Da tornarci sicuramente, e ci tornerò. Era quasi tutto prenotato ma il proprietario è riuscito a trovarci un tavolo. Grazie mille e complimenti per il vostro lavoro!"
"ui_bubble_rating bubble_50","Locale Fiorentino Doc ","Lo consiglio a tutti quelli che vogliono assaggiate la cucina Fiorentina assaporando piatti tipici della tradizione cucinati con passione. Troverete un locale essenziale con tavoli in marmo e un buon servizio. Non è possibile prenotare occorre mettersi in coda ed aspettare il proprio turno. Il locale é aperto solamente a pranzo. Non puoi pretendere di mangiare un boccone al volo sia perché c’è sempre gente e occorre attendere il proprio turno sia perché merita sicuramente una bella pausa per gustare in compagnia una cucina genuina. "
"ui_bubble_rating bubble_50","Lambredotto da 10","Il pranzo è veramente un godimento, mangiato bene e speso il giusto. Lampredotto con cavolo nero e patate da 10. Anche gli altri piatti buonissimi."
"ui_bubble_rating bubble_40","Soddisfatti","Locale storico di Firenze sito di fronte alla chiesa di San Lorenzo, in posizione strategica fra le Cappelle Medicee la Galleria dell’Accademia e Santa Maria in Fiore, carne ottima servizio cortese e veloce.Spesa adeguata"
"ui_bubble_rating bubble_30","Senza infamia e senza lode","Attirati dalle buone recensioni siamo stati a pranzo in questa trattoria Toscana che purtroppo non ha rispettato le aspettative in quanto il sugo in bianco dei tortelli era molto pesante anche se di buon gusto, la Fiorentina purtroppo per i 42€ al kilo di sicuro NON li valeva visto anche che a Roma a metà prezzo se ne mangiano di migliori. Il personale (barbetta) un po’ antipatico nei modi comunque la prossima volta cambieremo. "
"ui_bubble_rating bubble_50","Non sarà perfetto per tutti...","....ma per me è tappa fissa e punto di riferimento in città.Strategicamente a due passi dalla Stazione, cerco sempre di arrivare a Firenze o di ripartirirne in tempo utile per passare da loro.Gli anni passano, non cambia il locale, non cambia il personale, non cambia il menu, non cambiano i prezzi ma, soprattutto NON CAMBIA LA QUALITÀ!Oggi Ribollita, polpette fritte e cannellini. Eccellenti, non saprei come meglio definirli.Sempre pieno, molti turisti (ma come potrebbe essere diversamente in pieno centro a un passo da San Lorenzo?) ma anche molti fiorentini che fingono di snobbarlo ma son sempre qui...Che altro dire? Se non lo avete mai provato, venite! Se già lo avete provato, tornateci!!Difetti? Uno!È aperto solo a pranzo! Quanto mi piacerebbe venire senza fretta anche a cena, prina di una passeggiata in centro....Alla prossima! Ancora una volta, grazie"
"ui_bubble_rating bubble_50","Tappa fissa nei miei soggiorni fiorentini","Scoperta 15 anni fa, ogni volta che mi capita di passare da Firenze non rinuncio ad un pranzo dai Gozzi. Trattoria tipica, anzi storicamente tipica, i Gozzi hanno una lunghissima tradizione, che si “tocca” con mano nei piatti proposti. La carne, nelle sue varianti, è la regina. Provare per credere..."
"ui_bubble_rating bubble_50","La trattoria come vorreste che fosse","A conduzione familiare.Con l ‘ oste che vi adocchia sulla porta, vi mette in lista e poi vi chiama per accompagnarvi al tavolo. Ampia, in due locali attigui, spaziosa, la trattoria Gozzi ha ancora i tavoli di marmo, un menù non sconfinato e imperniato sui piatti tipici fiorentini, un personale simpatico e competente.Prezzo assolutamente alla portata, tenuto conto della genuinità dei prodotti.Se vi capiterà di andarci ci tornerete spesso e volentieri.È aperta solo a pranzo."
"ui_bubble_rating bubble_50","Sempre un'ottima conferma !!!","Tornando a Firenze anche a distanza di un paio d'anni questa è una sosta certa e fissa che non delude mai !!!Trattoria storica fiorentina con arredi d'epoca e cucina rigorosamente tradizionale!!!La ribollita è per me la più buona di Firenze...Il servizio è eccezionale per la velocità e cortesia in rapporto poi al grande affollamento del locale che è preso d'assalto dai turisti ma anche dai fiorentini.Il rapporto qualità prezzo è ottimo. Unico difetto ....È aperta solo a pranzo !!!!"
"ui_bubble_rating bubble_40","anche qui grazie alla Guida Slow Food","In pieno centro, si rischia di non trovarla tanto è minimale l' accesso al locale. Vengono confermate le note già ritrovate sulla Guida Slow Food: cucina semplice e genuina del territorio. Porzioni adeguate, prezzo più che onesto."
"ui_bubble_rating bubble_50","Tradizione nel cuore di Firenze","Sono tornata in questo locale dopo diversi anni, ma è tasto lo stesso. Un locale tradizionale in cui si respira Firenze, poco turistico, anche se frequentato da turisti e non. Piatti gustosi toscani e locale semplice ma accogliente. Prezzi nella norma"
"ui_bubble_rating bubble_50","Fiorentina top","Fiorentina top in pieno centro (consigliata da amici fiorentini)...incredibile! Abbiamo fatto 1h e mezza di coda ma ne è valsa la pena...la rifarei!"
