"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Consigliatissimo!","La colazione delle 10 del mattino a Firenze, nn si può altro che fare con il panino col lampredotto del Trippaio del Porcellino!!! Panino a 4€ e bicchiere di vino ad 1€! Direi super onesto!Ci tornerò di sicuro!!!"
"ui_bubble_rating bubble_50","Un panino di lampredotto sublime!","Panino sublime!!!La gente del posto intorno al suo chiosco era già un invito alla degustazione... ed il suo strepitoso panino è stata la conferma di così tante recensioni positiveUn bicchiere di buon vino rosso ha completato il mio veloce pranzo.Il panino con lampredotto 4 euro ed il bicchiere di rosso 1 euro......... semplicemente ONESTO!!Lo consiglio 100%"
"ui_bubble_rating bubble_40","Chef rubio","Ho voluto ripercorerre le tappe di chef rubio e provare il panino con il lampredotto; buono e se confrontato con altri chioschetti cittadini devo dire che il porcellino è nelle posizioni alte della classifica.Bravi anche a gestire le code di turisti, e non solo, affamati!!!!!!!!!!!!!!!!!!!!"
"ui_bubble_rating bubble_50","Lampredotto Bòno","Prima mia esperienza con il lampredotto, però senza pane così nudo per assaporarlo meglio. Molto consigliato a me è piaciuto molto davvero particolare e unico. Grazie Ragazzi"
"ui_bubble_rating bubble_50"," cibo da strada ","ottimo ed economico, da provare il panino (4 euro).Non c è nulla da dire ma solo da mangiare :-), non riesco a digitare più di 100 caratteri xche l'unica parola che riesco a scrivere ottimo!"
"ui_bubble_rating bubble_50","Ottimo lampredotto","Un panino davvero superlativo per chi è amante del classico lampredotto fiorentino!Pranzo veloce, buono, economico e completamente al centro.Servizio velocissimo.Da tornarci sicuramente!!!Bravi!"
"ui_bubble_rating bubble_50","i miglior trippaio di Firenze","l'è proprio bono! gentili e ci si intende in fretta! costa poco e ti sfama pe bene! consigliato per chi vuole fare un pranzo veloce, buono e a basso costo."
"ui_bubble_rating bubble_40","Lampredotto a Firenze ","Se andate a Firenze non potete fare a meno di passare da il Trippaio del Porcellino. Per assaggiare il panino o la vaschetta di Lampredotto con Salsa Verde e accompagnato da un bicchiere di rosso. Personale molto simpatico. "
"ui_bubble_rating bubble_50","Street food ","Lo street food per antonomasia a Firenze. Qui si DEVE venire per il panino. In Lampredotto e salsa verde, accompagnato da “mosso” rosso. Con 5€ vi sfamerete e bene."
