"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","non ci vedevo più dalla fame ...","fermatevi assolutamente da loro,tappa obbligata per chi vuole gustare un autentico lampredotto con un ottimo vino, semplicemente squisito!"
"ui_bubble_rating bubble_50","Pausa panino fiorentino doc","mi sono fermato parecchie volte a mangiare dal Pollini Sergio,in assoluto il panino al l’ampredotto più buono del centro di Firenze,vicino al mercato di sant’Ambrogio !!!!!!! Complimenti è buonissimo.Ve lo consiglio vivamente,fermata obbligatoria per assaggiare l’anima fiorentina ed il buonissimo gusto del lampredotto,con un bel bicchierozzo di vino rosso. Pausa pranzo da dio,auguri di buon natale a tutti "
"ui_bubble_rating bubble_50","Panino al lampredotto di alto livello","Il panino al lampredotto è l'anima di Firenze, e qui se ne sente tutta la profonda semplicità e bontà"
"ui_bubble_rating bubble_50","Real italian street food","Uno dei lampredottai storici di Firenze. Fermatevi a pranzo per uno spuntino a base di pane e lampredotto, facendo attenzione a non esagerare. Se dovete lavorare, meglio non esagerare con le quantità!"
"ui_bubble_rating bubble_50","peccato non averlo provato","siamo andati appositamente ma una volta arrivati, avevano finito tutto. l'indomani partivamo, un vero peccato. ma sicuramente sarà stato ottimo"
"ui_bubble_rating bubble_50","Tutela Unesco","I trippai a Firenze sono una istituzione che dovrebbe essere tutelata dall'Unesco. Sergio Pollini dovrebbe essere nominato presidente onorario di questo bene dell'umanità."
"ui_bubble_rating bubble_50","Lhe’ iMeglio di tutti","Sergio e PierPaolo nel loro furgoncino cucinano il miglior Lampredotto&Trippa che ci sia, Simpatici e Pittoreschi gestori di questo StreetFood in Via de’Macci dove il Panino coi Lampredotto e la Trippa alla Fiorentina fanno da padroni indiscussi di pranzi e merende per i Fiorentini ma anche per chi a Firenze viene a fare il Turista e vuol mangiare qualcosa di veramente Tipico in un posto tra i più belli e suggestivi di Firenze. W Sergio e Pierpaolo I Babbo e I Figliolo di Trippa&Lampredotto Pollini"
"ui_bubble_rating bubble_50","Da leccarsi i baffi","Siamo andati a Firenze anche per gustare finalmente il panino col lampredotto e l'esperienza da Pollini è stata veramente appagante! Abbiamo letteralmente divorato il panino col lampredotto, salsa verde e piccante (si poteva avere anche con la trippa); poi la guancia al pomodoro che è stata la sorpresa che non ti aspetti, fantastica. L'ambiente è piacevole e faccio notare che ho visto diversi fiorentini quindi significa che chi è della città lo apprezza quotidianamente ed è lontano dall'essere un posto turistico."
"ui_bubble_rating bubble_50","Ottimo Lampredottaio","Rosetta come Dio comanda, lampredotto buono e morbido, simpatia, sono gli ingredienti giusti per fare il lampredottaio.Sicuramente un lampredotto da provare!"
"ui_bubble_rating bubble_50","Tradizione e cordialità ","Se sei in vacanza a Firenze e hai poco tempo per pranzare, vai dalla tripperia Pollini in pieno centro per un’esplosione di sapori. E se come me non conoscevi il lampredotto, una volta assaggiato non potrai più farne a meno."
"ui_bubble_rating bubble_50","La tradizione non tradisce mai","E facile oggi trovare un posto dove mangiare qualcosa di buono e di tradizione, basta farsi un giro per il web e vedere le recensioni no? E invece difficile trovare un posto come se ti trovassi a casa tua e mangiare anche bene, io l’ho trovato ed è il mitico trippaio da Sergio e PierPaolo Pollini da loro anche un semplice panino al Lampredotto (tra l’altro ottimo ) diventa una cosa eccezionale Bravi e grazie dell’accoglienza che mi avete datoConsigliatissimoSalutiPeppe"
"ui_bubble_rating bubble_50","Di passaggio","Ottimo street food (come si chiamano ora) , dove si può parlare del più e del meno mangiando un ottimo Panino col lampredotto bevendo birra fresca.Bravi davvero!"
"ui_bubble_rating bubble_50","Firenze ","Non puoi dire di aver assaporato tutto di Firenze se non hai mangiato qui un panino con il lampredotto. Genuino. Questa è Firenze come il panino tartufato di via Tornabuoni o la cioccolata di Rivoire. "
"ui_bubble_rating bubble_50","Eccellente! (Voto:9/10)","Panino eccellente! Ogni qual volta mi reco a Firenze passo sempre dal mio lampredottaio preferito e non rimango mai deluso.Chiuso la sera."
