"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Gradevole sorpresa ","Abbiamo scelto la Vinoteca credendo di andare in un ristorante ma abbiamo anzi ho sbagliato in pieno.La Vinoteca non è un ristorante ma un gradevole locale dove si assapora del buon vino abbinato a gustosi piatti freddi.Personale poco “Fiorentino” decisamente siculo, per questo ancora più accogliente, buona la carta dei vini, per essere una vinoteca mi sarei aspettato una scelta maggiore, ma, la gentilezza del proprietario e i consigli ricevuti hanno compensato pienamente.Ottimi la tartare vegetariana e per me carnivoro la tartare tagliata al coltello n’1 oltre allo spaziale lardo con le cipolle, piatti da non perdere La scelta del bianco siculo servito alla giusta temperatura, è stata molto apprezzata Locale da ritornare "
"ui_bubble_rating bubble_50","Ottima esperienza ","Cena intima e molto piacevole, con piatti gustosi e curati. Mix di pecorini selezionati e di tutti i gusti (come quello alle erbe e allo zafferano), accompagnati da salumi altrettanto buoni. A seguire Gnocchi al ragù d'anatra e zuppa ai cereali ottimi. Camerieri molto cordiali e competenti. Sicuramente da riprovare. Ottimo rapporto qualità prezzo. "
"ui_bubble_rating bubble_50","idea geniale","bel locale piccola ma fatto benissimo ti senti a casa. personale gentile cibo ottimo.complimenti davvero molto bravi"
"ui_bubble_rating bubble_50","Che meraviglia!","Il locale ha un bancone centrale, circondato da pochi tavoli. Il menu è abbastanza assortito e permette di fare un pranzo veloce, ma di assoluta qualità. La zuppa di farro e legumi è, a mia memoria, la più buona che abbia mai assaggiato. La sera, dopo cena, sono tornato per degustare un vino: il proprietario è un esperto, che riesce a consigliare sapientemente intuendo da poche parole i gusti degli avventori. Eccellente!"
"ui_bubble_rating bubble_50","Pranzo veloce ma da tornarci!!!","Capitate per caso in questo locale per un pranzo veloce , siamo rimaste colpite dalla location ma soprattutto dalla qualità degli ingredienti. Ho preso un panino con il tonno di tonnara, crema di ceci e pomodorini. Pane tiepido e croccante, tonno buonissimo , una vera armonia di sapori e gusto. Il dolce: il cannolo siciliano destrutturato, una vera delizia. Cortesia e prezzo più che adeguato!Consigliatissimo!!!"
"ui_bubble_rating bubble_40","ottimo","Un angolo nascosto appena fuori dalla movida del quartiere Sant'Ambrogio. Ottime proposte in abbinamento alla carta dei vini. Da ritornarci."
"ui_bubble_rating bubble_50","Un posto speciale per un evento speciale. Grazie alla Vinoteca!","Pranziamo spesso alla Vinoteca perchè il nostro ufficio si trova proprio dall'altra parte della strada. Perciò abbiamo deciso di organizzare alla Vinoteca un apericena per un evento molto importante, l'inaugurazione ufficiale della nuova Sede di Smith College, l'università americana dove lavoro.Dario e la sua famiglia hanno organizzato per noi un ricco buffet con cibo squisito e ottimo vino; il locale, tutto a nostra disposizione, è stato allestito in maniera egregia, in modo che ci fossero tavoli disponibili per chi voleva sedersi, ma anche lo spazio per muoversi e accedere al buffet. Atmosfera con luci soffuse, fiori e candele. Una meraviglia. Servizio impeccabile. Discreto, ma pronto a soddisfare tutte le richieste degli ospiti.Il cibo superlativo e l'ottimo servizio hanno soddisfatto pienamente le nostre aspettative e abbiamo ricevuto molti complimenti dai nostri ospiti, italiani e statunitensi. L'evento è stato un grande successo e la Vinoteca ha contribuito in maniera decisiva. Grazie a Voi, Dario e famiglia!"
"ui_bubble_rating bubble_50","Eccellenza e cortesia: binomio perfetto.","Quando buon cibo e buon vino vengono accompagnati da una location a dir poco perfetta, che lascia spazio alla condivisione con musica tenue e gradevole, luci calde e delicate, e da personale gentile, attento e capace di consigliarti il meglio a seconda dei gusti personali: ne esce fuori un'esperienza che più che una cena può essere descritta come un momento unico nel suo genere, indimenticabile. Altissima la qualità degli alimenti, piatti presentati benissimo oltre che ottimi al gusto, prezzi contenuti ed accessibili, servizio impeccabile, rapido, e che rivolge accurate attenzioni al cliente, cosa che difficilmente si riesce a trovare in giro."
"ui_bubble_rating bubble_30","Più sì che no","Il locale è molto accogliente e confortevole. L’atmosfera che si respira è tranquilla e raccolta. Il proprietario è estremamente disponibile e cordiale. Le materie prime dei taglieri sono tutte di buona scelta: ottimi i salumi, ottimi i formaggi (il blu 61 è un erborinato davvero notevole). Tuttavia la cucina lascia abbastanza a desiderare (sia per i primi sia per le tartare).La carta dei vini è molto esigua per essere un’enoteca; inoltre non si capisce perché i prezzi dei vini al calice siano così alti rispetto al prezzo della relativa bottiglia (ad esempio, la bottiglia di franciacorta è venduta a 32 o 34€, il che è ragionevole, ma il calice a 12€!, un prezzo davvero spropositato, adatto semmai a uno champagne di buon livello).Per un aperitivo o se si intende cenare con taglieri vari il locale è comunque consigliato. I prezzi inoltre sono molto onesti."
"ui_bubble_rating bubble_50","ottime tartare","ristorante in centro a firenze, con ottime tartare e affettati...buoni i vini proposti.personale simpatico e preparatoobbligatorio prendere il cannolo scomposto tutte le volte che ci torno.prezzo nella media, ma con lo sconto di the fork conveniente"
"ui_bubble_rating bubble_50","Esperienza culinaria","Come da titolo, più che una cena, una vera e propria esperienza di gusti. Ottimi i formaggi, i salumi e l'associazione con le birre. Simpatico il panino/non panino condito su ambo i lati. Assolutamente da provare!"
"ui_bubble_rating bubble_50","Gusto e relax! ","Arrivi in questo posto, situato in una bella zona di Firenze, e vieni subito accolto dal calore dello splendido locale e dalla gentilezza e disponibilità del personale. Scelta di vini (e birre) veramente molto ampia, e poi il proprietario si vede essere davvero un appassionato del campo! Prima di iniziare cicchetti veneziani, formaggi ubriachi e salumi tipici toscani. Tutto veramente buono. A seguire i panini aperti (gustosi e, credetemi, non andrete via affamati), il tutto accompagnato da un ottimo Chardonnay siciliano fruttato. Io ne ho preso uno col pesce spada, crema di pistacchi e mozzarella di bufala, abbinamento azzardato ma a dir poco riuscito. Infine i dolci: fra cannolo scomposto, torroncino con colata di cioccolato... Una delizia per il palato! Il conto: eravamo in 4 ed abbiamo pagato circa 20€ a testa. Qualità eccelsa per un prezzo accessibile. Cosa chiedere di più? "
"ui_bubble_rating bubble_40","Cura per il cliente","Siamo stati con amici una sera e siamo usciti soddisfatti, ottima la qualità del cibo, l' ambiente curato e intimo, ma soprattutto l' attenzione verso il cliente e la simpatia del proprietario, unitamente alla sua preparazione su ciò che veniva servito, è la cosa che più ci è piaciuta."
"ui_bubble_rating bubble_40","Una Moderna Taverna Osteria","Siamo stati accolti dal proprietario con gentilezza e professionalità, il locale è spazioso con tavoli ben distanti ( privacy) che facilitano la conversazione con calma e senza fretta. Le pietanze sono ricercate e rivisitate con prodotti di qualità. Buona la scelta di vini ( anche al bicchiere) e alcolici. da tornarci"
"ui_bubble_rating bubble_40","Non solo Tuscan!","Fuori dai giri turistici, provato a pranzo con la famiglia. Ottimo! Personale gentilissimo, traspare soprattutto passione nel servizio e nella proposta culinaria. Una proposta variegata, con la qualità a fare da filo conduttore. Si spazia da piatti tradizionali tartare, gnocchi, sapientemente rivisitati e proposti, a salumi e formaggi di produzioni eccellenti: vi segnalo un B61, un blue cheese, strepitoso!Ottima la carta dei vini, anche con proposte al bicchiere. Birre artigianali della Garfagnana interessanti. Ottimi i dolci per finire in bellezza. Interessante l’assaggio di cioccolato, meraviglioso il rum ad accompagnarlo. Per l’aperitivo serale propongono cicchetti....... la prossima occasione da creare, dopo la prima piacevolissima esperienza."
"ui_bubble_rating bubble_50","Entrato per caso, uscito soddisfatto!","Locale moderno, accogliente e pulito. Cibi squisiti serviti e proposti da un personale preparato e gentile. Ottima scelta, assolutamente consigliato!"
"ui_bubble_rating bubble_50","Piacevole scoperta","Locale molto curato, moderno ed elegante. Menù di qualità con prodotti ricercati. Rapporto qualità prezzo eccezionale. L'accoglienza e la gentilezza del personale sono straordinari!Ci torneremo sicuramente. "
"ui_bubble_rating bubble_50","Compleanno d'autore","Ottima cena. Qualità ottima. Servizio cordiale, puntuale e riguardo.Assolutamente ottimi tutti i piatti provati:tartare, crostone, bufala e i dolci.Niente da dire. Bravi"
"ui_bubble_rating bubble_50","Da provare assolutamente!","Abbiamo trovato questo posto per caso cercando su internet! Volevamo mangiare qualcosa di fresco, leggero e lo abbiamo trovato! Prodotti di super qualità, piatti buonissimi è tutto il sapore della Sicilia! Oste e personale gentilissimo piacevole e super attento...ci siamo sentiti a casa ed il vino poi...ottimo! Ci torneremo sicuramente! Grazie mille per averci coccolato..ci avete fatto venire voglia di un bel viaggio in una delle isole più belle del mondo: la Sicilia!!! Giulia e Simone il batterista :)"
"ui_bubble_rating bubble_40","Pranzo veloce","Ci sono andato qualche giorno fa a pranzo con dei colleghi; l'ambiente è moderno ed è possibile mangiare anche al bancone del bar.Ampia scelta di vini, piatti con materie prime ricercate e con abbinamenti azzeccati ( per esempio crostone con lardo di colonnata e cipollotti di tropea )...da riprovare anche a cena!!!"
"ui_bubble_rating bubble_50","Splendida cena!","Ottima cucina, locale caloroso e ottimamente condotto!Complimenti davvero, ci ritorneremo senza alcun dubbio."
"ui_bubble_rating bubble_40","Cena piacevole tra amiche ","Siamo state settimana scorsa a mangiare in questo nuovo locale, ci siamo trovate molto bene. Avevamo prenotato in 3 su the fork con il 50%, poi si è aggiunta una nostra amica ma i posti con lo sconto erano finiti; il signore ha comunque accettato la quarta persona al 50%. È stato tutto gradito, consiglio i salumi iberici, il goulash e come dolci il cannolo siciliano e il dolce alla gianduia. Locale molto carino e intimo, il personale molto gentile che ci tiene al proprio lavoro, i prezzi nella media (tralasciando lo sconto) . A parer mio avendo scelto come nome Vinoteca aumenterei la selezione del vino. "
"ui_bubble_rating bubble_50","Ci tornerò ","Io e le mie amiche siamo state qui ieri sera e ci è piaciuto tanto! Posto con pochi tavoli molto accogliente, servizio davvero molto caloroso, cibo super buono! C'è una ragazza che fa tutto da sola in cucina ed è davvero molto brava! Noi abbiamo preso in 4 tagliere di affettati spagnoli (super buono) vari assaggi di formaggi, dei crostoni, un piatto caldo a testa, un dolce a testa, una bottiglia di vino, una di acqua, due bicchieri di passito ed un caffè. In tutto con lo sconto the fork al 50% abbiamo speso 23 euro a testa.. vi assicuro che anche senza sconto con tutto ciò che abbiamo mangiato era più che onesto! Consigliatissimo"
"ui_bubble_rating bubble_50","Un venerdì ","Io e il mio ragazzo, una sera non sapevamo dove andare. Avevamo voglia di qualcosa di diverso. Abbiamo trovato questo posto e ne eravamo molto incuriositi, non conoscendo, abbiamo prenotato con the fork, e avevamo il 20% di sconto sulla cena. Già da fuori si vede l'eleganza, e la semplicità del locale, ne siamo rimasti piacevolmente sorpresi.Il proprietario ti mette subito a tuo agio, ti accomoda, ti parla un po' del locale.L'interno è molto bello, parquet da terra fino all'altezza dei tavoli. Pochi mobili, tutti pieni di vino (siamo pur sempre in un'enoteca) e anche molte birre. Ci sono molte opzioni che offre il locale. Da un semplice aperitivo, aperitivo e tagliere fino a una cena completa. Ovviamente anche i prezzi cambiano e sono molto adatti a ciò che uno ordina.Ormai decisi a consumare una cena, abbiamo preso due calici di vino e un antipasto si salumi misti spagnoli in 2,dopo goulash con polenta e zuppa di cipolle. La cordialità del proprietario ci ha proprio fatto sentire a casa, prima dell'antipasto ci ha servito un piattino con delle sfoglie di pane, per smorzare la fame, piattino semplicissimo, ma molto gradito. I piatti serviti, sono stati tutti eccellenti, infine il proprietario è riuscito a prenderci per la gola illustrando dei dessert che sul menù non erano descritti. Proprio delle chicce!Siamo rimasti entusiasti, e torneremo molte altre volte! (senza sconti, perché merita il prezzo per la qualità e la cordialità) "
"ui_bubble_rating bubble_50","Ottimo!","Locale nuovo e tranquillo , personale gentile e accogliente, qualità/prezzo alta.Ho avuto modo di mangiare in questo locale a pranzo e ne sono rimasto davvero entusiasta! Vino della casa molto buono, cibo genuino, menu curato.Ci tornerò senza dubbio!"
"ui_bubble_rating bubble_50","Squisito ed elegante","In uno dei miei tanti viaggi mi sono ritrovato davanti questa bellissima enoteca: ho gustato un ottimo piatto di tortelli al tartufo accompagnato da uno Chardonnay siciliano ed ho concluso con un eccellente tortino francese. Wow!"
"ui_bubble_rating bubble_50","Non delude mai...","Posticino romantico ed impeccabile. Il proprietario e la sua ragazza sono persone gentilissime e premurose. Ogni pietanza viene spiegata con cura ed ogni piatto ha qualcosa di particolare. Gli ingredienti sono di ottima qualità. Consiglio la degustazione di formaggi e salumi  ubriachi .. un'altra nota positiva è la possibilità di prendere dei vini di ottima qualità sfusi. Oltretutto, non è neanche caro e la macchina può essere lasciata proprio lì davanti , visto che c sono sempre posti vuoti data la tranquillità della zona."
"ui_bubble_rating bubble_50","Compleanno in vinoteca","Che dire, il posto miglior provato a Firenze sotto ogni punto di vista: atmosfera, servizio e cucina! Una tappa sarà obbligatoria anche nel nostro prossimo viaggio a Firenze!Da provare soprattutto le tartare e i dolci!Non lo dico quasi mai ma è consigliatissimo!"
"ui_bubble_rating bubble_50","Bellissima esperienza","Abbiamo conosciuto questa realtà tramite the fork; servizio rapido, direttamente dal titolaremolto attento nella presentazione dei piattipiatti con prodotti di qualità, ottime preparazione e abbinamenti con i vinilocale curato, con la possibilità di chiacchierare con calmadi sicuro ci torneremomolto interessante anche il bancone per gli aperitivi"
"ui_bubble_rating bubble_30","Un buon aperitivo a Firenze","Durante il nostro giro a Firenze per l'ora dell'aperitivo ci siamo trovati davanti alla Vinoteca... Non poteva capitarci posto migliore!! Locale carino, personale stupendo, buon vino e prezzi modici considerando che siamo vicino al centro di Firenze. Io ve lo consiglio vivamente!! "
"ui_bubble_rating bubble_50","Ottimo, cucina tradizionale efficacemente rivisitata ","Ormai ogni sabato scegliamo la Vinoteca per i nostri pranzi di lavoro, ambiente intimo, cucina sempre ottima, vino eccellente. Complimenti per il lavoro e il trattamento che ci riservate sempre.Lamberto "
"ui_bubble_rating bubble_40","Buon posto","La location è molto curata, il servizio cordiale, il menu buono. Il rapporto qualità prezzo è giusto, secondo me alto per i dolci. Un buon posto comunque. "
"ui_bubble_rating bubble_50","Una piacevole sorpresa!!","Posto molto tranquillo, curato e accogliente. Si mangia molto bene e si assaggiano salumi e formaggi ricercati e particolari. Strepitoso il cannolo siciliano scomposto! Ottime le zuppe. Davvero una bella sorpresa!"
"ui_bubble_rating bubble_40","Bella cena","In occasione di una cena tra amici abbiamo provato questo ristorante in zona centrale ma tranquilla e siamo stati davvero molto bene. Buoni e sfiziosi i crostoni, ottimo il piatto di formaggio Blu, buona la tartare. Servizio gentilissimo e bella scelta di vini. Ambiente moderno, atmosfera soft. Avrei dato il massimo come voto se non che la mia zuppa di cipolle sinceramente non era all’altezza, buona ma non eccellente come il resto. Sara’ l’occasione per tornare e vedere se l’hanno migliorata! Consigliato comunque!"
"ui_bubble_rating bubble_50","Ottima scoperta ","Posto accogliente, ottimi profumi, proprietario appassionato e presente, interessante selezione di prodotti e tutto preparato sul momento. Il conto, anche grazie allo sconto su the fork, veramente contenuto vista la qualità della cena. Ci torneremo."
