"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Che dire!!","Ripeto, A mio avviso il miglior lampredotto di Firenze.!Tagliere di salumi notevole È chiaro che alle spalle c'è una ricerca legata al cibo genuino e ricercato.Ottimo anche il Chianti "
"ui_bubble_rating bubble_50","Merenda d'autore","Vagavo con la mia famiglia per le vie del centro alla ricerca di un posto per sfamarci quando mi sono imbattuto in questo localino con esposti sul bancone una serie di salumi. Abbiamo diverse focacce tutte di ottimo livello: le più gustose sono risultate quella con la porchetta, i pomodori secchi le cipolline e la salsa boscaiola e la piccante con sbriciolona carciofini e salsa piccante. Un posto da consigliare"
"ui_bubble_rating bubble_40","Fantastico ","Panino al lampredotto eccezionale, il migliore mai mangiato!!!Focaccia con porchetta rucola pomodorini secchi e peperoni ottima sapori ben equilibrati, eccellente anche il vino. Da tornarci!!!"
"ui_bubble_rating bubble_50","Tutto eccellente","Siamo passati per caso da questo ottimo posto: che dire tutto perfetto...dall' accoglienza , il padrone molto cordiale e simpatico, all'ottimo cibo...Abbiamo preso 3 schiacciate eccellenti:Una prosciutto e pecorinoUna italia (crudo mozzarella e pomodoro)Una sbriciolona mozzarella e pomodoroI servizi igienici pulitissimiTutto benissimo!! Consigliatissimo!!"
"ui_bubble_rating bubble_50","Non delule mai!!","Dopo il primo pranzo siamo subito tornati appena possibile, perché siamo rimasti piacevolmente sorpresi dalla qualità dei prodotti!! Un piccolo angolo nel cuore di Firenze in cui trovare il vero gusto della tradizione Fiorentina. La scelta è ampia, tra cui schiacciata o rosetta farcita, mix di taglieri tipici o anche il lampredotto direttamente nella vaschetta. Il rapporto qualità/prezzo (e quantità!!) è veramente uno dei migliori, le schiacciate sono ricchissime, dire che sono farcite è dire poco!! Il gusto poi, è una gioia per il palato. I proprietari sono gentilissimi e super disponibili, ormai è diventata una tappa fissa! Consigliatissimo"
"ui_bubble_rating bubble_40","Vi consiglio di fermarvi ","Un piccolo angolo dove tradizione e gusto vengono rispettati. Prezzi leggermente inferiori o comunque in linea con lo standard della zona. L'aspetto più rustico esteriore non stimola l'entrata ma se avete voglia di un pasto meno elaborato questo è il posto giusto. Consigliatissimo "
"ui_bubble_rating bubble_50","Lavorano con passione e tanto impegno per soddisfare tutti ii clienti!","Atratto dalle personalizzabili schiacchiatine toscane e dallo stile tradizionale del posto, ci sono entrato una volta ed adesso ci vado quasi ogni giorno! i proprietari sono una coppia gentilissima e simpatica, mi hanno permesso da buon meridionale di preparmi la mia personale schiacciata! buonissima...la calabrese crudo, melenzane, piccante, scamorza affumicata e un pizzico di tartufo ! La prendo ogni giorno! ve la consiglio. Ingredienti sempre freschi e deliziosi, schiacciate molto buone! voto 10 alla qualità e 10 alla loro sempre cordiale disponibilità!"
"ui_bubble_rating bubble_50","Un angolo di Toscana verace in centro a Firenze","Siamo capitati per caso in questo piccolo locale, molto accogliente, con schiacciate di ottima qualità (e la possibilità di comporla a proprio piacimento) - e quantità: le porzioni sono generose - e un proprietario simpatico e alla mano. Piaciuto molto, al punto che siamo ritornati per una seconda tappa. Ampiamente consigliato per uno spuntino veloce di qualità!"
"ui_bubble_rating bubble_50","Posto fantastico (tappa fissa) ","Ormai è diventata una tappa fissa per me e tutti i miei amici ma, come sempre, riesce a sorprendermi come se è successo la prima volta. Lo consiglio a tutti! Cibo ottimo e accoglienza stupenda!"
"ui_bubble_rating bubble_50","Il panino al lapredotto uno spettacolo","Abbiamo mangiato in questo posto intimo e pulito, il panino davvero buonissimo.Personale gentile e disponibile"
"ui_bubble_rating bubble_50","Se fossi di Firenze ci verrei spesso. ","Prodotti davvero buonissimi, dai taglieri ai vini, personale simpatico, accogliente e professionale. Da consigliare ;)"
