"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Come in famiglia","Locale pulito ed accogliente nel quale abbiamo trascorso una bellissima serata all'insegna dell'ottimo cibo tipico toscano (tagliata spaziale). Un plauso particolare ai 2 gestori del locale che hanno accolto e coccolato il sottoscritto, mia moglie ed il nostro bimbo di un anno e mezzo come fossimo di famiglia e che fanno capire quanto l'amore per il proprio lavoro e l'attenzione al cliente facciano sempre la differenza. 5 stelle meritatissime."
"ui_bubble_rating bubble_50","Cena ottima","Cena ottima, la carne eccezionale sopratutto per quanto riguarda la Fiorentina, senza discriminare i primi altrettanto ottimi.Personale disponibile , gentile e servizievoli. Prezzo qualità prezzo.Consigliatissimo!!!!!!"
"ui_bubble_rating bubble_50","Cena tra amici ... visitando firenze e altri posti vicino... stupenda... ottimo ristorante ed persone gentilissime","Cibo buonissimo!!! Prima piatti ottimi .. e la carne speciale anche un ottimo vino di chianti tutto buonissimo consiglio di andarci se venite qui"
"ui_bubble_rating bubble_50","Decisamente consigliato!","Se cercate una buona cucina Toscana, buon vino, gentilezza e professionalità la Piccola Corte é il posto che fa per voi!Complimenti per tutto, é stata un'ottima scoperta!"
"ui_bubble_rating bubble_50","OTTIMO!!","Locale molto carino, staff gentilissimo e si mangia davvero bene! Lo consiglio sia per un pranzo veloce e buono, sia per cena che viene proposto un menu molto interessante! "
"ui_bubble_rating bubble_50","10 e lode","Alloggiando vicino alla stazione di Santa Maria Novella , cercavamo un ristorante non troppo distante e con l 'aiuto di tripadvisor abbiamo trovato questo posto delizioso . Non possiamo fare altro che confermare le recensioni positive fin qui lasciate aggiungendo che personalmente non avevo mai incontrato uno staff cosi cordiale e disponibile alle richieste . Io e la mia compagna ci siamo sentiti coccolati per tutto il tempo ed anche il nostro cagnolino se avesse avuto il dono della parola avrebbe confermato... Per non parlare poi della qualità del cibo .. paccheri alla carbonara di pesce sublimi .. spaghetti alle vongole .. non nella media e di livello decisamente superiore a quanto viene ormai offerto nella ristoranzione . Polpettine al baccala e grigliata super per concludere e sentirsi degnamente dei turisti alla ricerca del buon cibo in toscana . Per finire passito Firriato gentilmente offerto e sconto alla presentazione del conto . Volevamo tornare anche il giorno dopo ... ristoratori di questo calibro andrebbero premiati . Marco e Sara "
"ui_bubble_rating bubble_50","Posto unico","Situato dietro alla Staziona Santa Maria Novella, la Piccola Corte è uno dei ristoranti migliori dove io sia mai stata!Locale bellissimo, prodotti di altissima qualità, porzioni abbondanti e staff simpatico e disponibilissimo. Se siete a Firenze, dovete assolutamente andare!...PICCOLO CONSIGLIO! Sw volete prendere la Fiorentina, prendete solo quella o,al massimo, il dolce dopo"
"ui_bubble_rating bubble_40","Gentili e veloci, pranzo di lavoro","Un veloce pranzo di lavoro, ma accolto e servito con gentilezza e velocità.Una insalatona, ma il verde non è del supermercato, burrata e prosciutto buoni.Da migliorare la cappa della cucina, nella sala c'era odore di cucinato."
"ui_bubble_rating bubble_50","Addio al Nubilato","Un'amica aveva organizzato un addio al Nubilato in un famoso Hotel di Firenze...fatto sta che non sono riusciti a sistemare 10 belle donne! All'ultimo minuto questa cara amica si è rivolta a questo ristorante che ci ha subito ben accolto. È un ambiente molto carino, la cucina è ottima con piatti sia di pesce che di carne. Il polpo alla griglia con purè viola è buonissimo. Il personale è gentile e simpatico e a fine serata ci siamo riproposte di ritornarci."
