"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Molto buono, direi Eccellente","Locale piccolino ma ben arredato, servizio buono, i piatti sono veramente buoni, pizza delicata ed impasto leggero e veramente equilibrata, molto buona; primi deliziosi!Piatti anche da asporto.Vale la pena tornarci!! "
"ui_bubble_rating bubble_40","Ottima pizza","Il locale è molto carino e ben tenuto, magari un pochino piccolo ma per i mesi caldi hanno un ottimo posto esterno coperto, pizza veramente ottima con prezzi nella media della città."
"ui_bubble_rating bubble_20","Delusione!!!","A parer mio,ci sarebbero molte cose da rivedere:la pizza(piccola di diametro e gommosa) oltre ad evere prezzi assurdi(6 euro la Margherita e 7.50 le altre),non credo in tutta Jesi,si paghi una pizza così.-i primi:accettabili,ma scarsi come quantità( 50 g con solo pomodoro,7 euro)ASSURDO- le bevande: SE PENSATE DI POTER FAR PAGARE 1 LITRO DI BIRRA 4 LUPPOLI 12 EURO,NON SO DAVVERO,COME DEFINIRVI.Più che un arrivederci,è stato un ADDIO.con tutti i locali che ci sono a Jesi,davvero mai più."
"ui_bubble_rating bubble_40","Pizza ottima","Nell'occasione in cui siamo stati ho provato pizza e dolci, pizza assolutamente molto buona, dove ogni prodotto emerge e si sente, dolci ottimi. Servizio cordiale. Locale con pochissimi coperti, prenotazione consigliata."
"ui_bubble_rating bubble_20","Prima esperienza non entusiasmante. Da riprovare.","Ci sono capitato per una cena veloce a base di pizza. Il locale si presenta piccolo ed informale, si mangia su tovagliette di carta, in compenso i tavoli sono spaziosi. Cameriera gentile e sorridente, servizio un po' lento ma accettabile. Devo pero' fare un'osservazione di carattere estetico. E' orribile presentare una pizza con diametro approssimativo di 30 cm servita su piatto diametro 40. Sul menu sono indicate due misure di pizza, 33cm (standard) e 45cm (maxi) ...ok... ma sarebbe più elegante utilizzare un piatto di dimensioni adeguate per ogni formato. Gusto della pizza un po' insipido e farcitura scarsa, si sentiva leggermente il sapore di lievito. Il locale non dispone di bevande analcoliche alla spina. Solo lattine, ad eccezione della birra. Nei tavoli vicini ho visto arrivare belle porzioni di carbonara ed invitanti taglieri di salumi formaggi e verdure. Probabilmente vale la pena ritornarci per qualcosa di alternativo alla pizza... I dessert invece sono buonissimi. Ho espresso alla cameriera i miei complimente per la squisitezza del tiramisu!"
"ui_bubble_rating bubble_30","non male in generale!","Premetto che per posizione e qualità generale a Jesi si trova certamente di meglio. Ad ogni modo , avendo provato solo la pizza , mi sento di lasciare un giudizio più che sufficiente , menzione d'onore per il personale molto carino e disponibile con i clienti."
"ui_bubble_rating bubble_40","Cena in famiglia,migliore pizza di Jesi!","Locale piccolo però bello,servizio ottimo! Il cibo(carne alla griglia) buono,la pizza buonissima,un piccolo ritocco sui piatti e forse è il migliore ristorante qualità prezzo di Jesi!! Consigliato!!!"
"ui_bubble_rating bubble_20","Non bene. Quasi male.","Cena sabato sera. Mia moglie prende un primo ed io una grigliata con un contorno. Attendiamo una ventina di minuti e arriva la grigliata, ma senza il contorno. Finisco la grigliata e arriva il primo di mia moglie con il mio contorno. Non ci siamo proprio. Eravamo 10 persone i tutto a cena. Non mi dite che non si riesce a gestire 3 portate come le nostre da servire in contemporanea. Cibo buono ma nulla di strabiliante. Con 2 bottiglie d'acqua abbiamo speso 25 euro."
"ui_bubble_rating bubble_40","Una piacevole sorpresa","Arrivati in questo locale per caso/necessità vista l'ora tarda per il pranzo siamo rimasti piacevolmente colpiti dalla qualità del menù di pesce e dalla straordinaria cortesia del personale di sala che ci ha supportato in tutte le nostre necessità (e non sono poche con una bambina di 1 anno). Ci siamo tornati anche per cena. Consigliato se si bada alla sostanza."
