"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Colazione ok","Sempre affollatissimo. Brioche dolci e salate davvero strepitose. Menzione speciale per la sfogliata alla ricotta e per i maritozzi. Servizio celere e personale gentile. Pochino lo spazio al bancone."
"ui_bubble_rating bubble_50","Tutto super","Colazione sia dolce che salata eccellente, personale molto gentile e celere anche a locale pieno,tavoli a disposizione e conto nella media"
"ui_bubble_rating bubble_20","peccato per la barista","Sono capitata qui più volte per la colazione, paste e caffeè sono buone, ma un sorriso e un buongiorno non si nega a nessuno.Si ha la sensazione di disturbare......"
"ui_bubble_rating bubble_50","5 per la crema ","Solo x la crema vale le 5 stelle, ma anche il salato non è male, peccato che se vai troppo tardi tipo le 12 non trovi più niente, e i prezzi sono un pelo più alti della concorrenza "
"ui_bubble_rating bubble_50","Ottime paste!","Davvero buone le paste,sia dolci che salate. Grande varietà. Locale carino. Possibilità di fare una colazione veloce,ma anche comodamente seduti! Posto strategico....ben visibile e con parcheggio! Consigliato !"
"ui_bubble_rating bubble_40","perfetto","per sosta colazione o come luogo di incontro con clienti da fuori. facile da raggiungere e ben visibile dalla viabilità. ottima la scelta di paste al mattino"
"ui_bubble_rating bubble_40","Aperitivo vegano","Ho provato questo locale in occasione dell'aperitivo vegano/vegetariano che fanno tutti i giovedì. Scelta abbastanza varia di miniburger a base di ceci, bruschettine e porzioni di hummus. Buon rapporto qualità prezzo (5€ a testa per l'aperitivo a buffet e 1 drink)."
"ui_bubble_rating bubble_40","colazione mattutina","Vado spesso in questo bar, specialmente nei fine settimana, quando si ha qualche minuto inpiu' per gustarsi un buona colazione, ricco di varieta' di paste e personale gentile."
"ui_bubble_rating bubble_40","Per una sosta veloce è l'ideale ","Ogni volta che mi trovo a Jesi con la mia ragazza vengo in questo BAR dove il personale è sempre molto cortese. I prodotti sono buoni così come il rapporto qualità/prezzo"
"ui_bubble_rating bubble_40","Prima colazione ","Sono stato per lavoro a Jesi e mi sono fermato al Why Not.Posto carino con possibilità di stare seduti anche fuori.Non c'è servizio al tavolo ed il personale nel mio caso due ragazze non sprizzano cordialità da tutti i pori diciamo,la mattina sopratutto un bel sorriso ed un buon giorno non detto giusto per dire fa sempre piacere.Colazione un cappuccino ed una pasta per niente male,il cornetto con la crema era molto buono sua di ripieno che di pasta.Nel complesso un più che buon posto per fare colazione anche se a me a dato l'impressione che più che un bar pasticceria dove fare colazione come se fossi a casa e sentirsi coccolati è più locale da cornetto e cappuccio al volo prima di andare a lavorare."
"ui_bubble_rating bubble_30","bar vicino al centro","Sono passato più volte per la colazione e devo dire che c'è molto assortimento di brioches sia dolci che salate, personale gentile e professionale ma purtroppo i tavoli li abbiamo trovati sempre piuttosto sporchi dai precedenti clienti questo forse dovuto alla grande affluenza e quindi il personale fatica ad eseguire tutte le faccende.Rapporto qualità/prezzo nella media."
"ui_bubble_rating bubble_40","Colazione","L' ambiente è gradevole con alcuni tavoli a disposizione,il personale gentile e veloce anche a locale pieno,le paste sono ottime come pure ottima è la scelta ,i prezzi nella media della tipologia"
"ui_bubble_rating bubble_40","Colazione doc","Per me uno dei migliori bar di Jesi ottime paste con grande scelta buon cappuccio e caffè servizio veloce sono capitato anche per l'aperitivo e mi sono trovato bene ma bisogna andarci presto alle 20 chiude."
"ui_bubble_rating bubble_20","Servizio non all'altezza","Nulla da dire per quanto riguarda la qualità delle paste, ottima con molta varietà di creme gustose e ben fatte, tuttavia e purtroppo trovo il personale non all'altezza, freddo e poco cordiale, ai tavoli è raro non trovare molliche se non tazze di altre - no servizio al tavolo -. Insomma,da provare si, ma una pasticceria di così buon livello meriterebbe un servizio molto piu ricercato e meno provinciale."
"ui_bubble_rating bubble_50","Ottima pasticceria a Jesi!!","Personale educato e gentile ! La pasticceria ottima e e ben assortita per tutti i gusti e di produzione artigianale obbligatorio provare i croissant al cioccolato fondente!! Per gli aperitivi vengoni serviti vini delle migliori cantine del territorio e non solo!! Comodo anche il parcheggio."
"ui_bubble_rating bubble_50","Ottime colazioni","Ottimo locale sia per le colazioni che per gli aperitivi. Buonissime le brioches, meglio di quelle di pasticceria!!!"
"ui_bubble_rating bubble_50","LA COLAZIONE PERFETTA!!!","L ampia scelta di pasticceria per la colazione non manca di certo, la qaulita' nemmeno, sono inassoluto tra le migliore, gentilezza e professionalita da parte del personale e del titolare, ottimo per aperitivi con molti vini di qualita e cocktail fatti a regola d arte, stucchini vari abbondanti e fatti con prodotti sempre freschi.molto buone torte e pasticceria artigianale."
"ui_bubble_rating bubble_50","COLAZIONI APERITIVI E PASTICCERIA DI QUALITA'!!!","Cominciamo dalle colazioni, indubbiamente tra i migliori cornetti che abbia mai mangiato, fatti da loro in modo artigianale, molto ben farciti e con un ampia scelta, quello al cioccolato fondente e' da sareie a.Capitolo pasticceria, il panettone artigianale e' tappa fissa tutti gli anni e un motivo ci sara, otttime le pastarelle e le torte in genere, diverse volte mi sono servito da loro per compleanni e feste varie e mai deludono.Aperitivi, scelta di vini molto ben selezionata con le migliori cantine locali, personale qaulificato per indicarti in base ai tuoi gusti il vino da prendere e nel preparare i cocktail, sul bancone si trovano vari stuzzichi, niente prodotti precotti o preconfezzionati come si usa in molti altri bar...."
"ui_bubble_rating bubble_10","Delusione totale","Un aperitivo pessimo non per le pietanze anzi quelle erano abbastanza buone, ma un drink senza usare lo shaker non lo mai visto in nessun locale di aperitivi , era solo dei liquidi mischiati insieme. Pessimo !!! "
"ui_bubble_rating bubble_20","Delusione.","Prendo spesso le brioches per colazione da portare a casa, e sono molto buone e abbondanti. Ci siamo recati dopo pranzo per un caffè e per un dolcetto, per essere una pasticceria non avevano quasi niente e dopo aver assaggiato dei miseri mini cannoli e pagato il conto la delusione era tanta."
"ui_bubble_rating bubble_30","valido","Vasta gamma di pasticceria dolce e salata , carino sia all'interno che all'esterno quando il tempo lo permette.... , buon posto anche per un aperitivo in compagnia."
"ui_bubble_rating bubble_40","La colazione con ottima pasticceria","Ottimo Bar per la colazione della mattina o lo spuntino di metà giornata.Ottima la pasticceria con tanta varietà.Prodotti di ottima qualità Anche il caffè non è male. Possibilità di prodotti alla soia per cappuccini Ampio parcheggio davanti al locale."
"ui_bubble_rating bubble_30","Aperitivi discreti...buona colazione1","Aperitivi discreti ma non superbi.Buono per la colazione. Pulito.Personale cortese ma poco sorridente(non tutti naturalmente).Consigliato?ni"
"ui_bubble_rating bubble_20","Lunch ok ma... ","Ho pranzato con dei colleghi per pranzo.. Disponibilità di primi ampia ma ridotta all'atto concreto di scelta, all'una di pomeriggio.. Qualità dei primi da distributore automatico, confezionati in contenitori di plastica, gli stessi in cui ti servono poi.. Purtroppo non ho trovato fino ad ora alternative in zona.. "
"ui_bubble_rating bubble_40","Buon aperitivo con gli amici","Ho fatto un aperi-cena in questo bar il 30 ottobre e mi sono trovato abbastanza bene, con prezzi nella norma. Forse la quantità poteva essere maggiore degli stuzzichini, comunque nel complesso buon bar"
