"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Sorpresa","Per essere un ristorante collegato all'albergo mi ha veramente sorpreso. Bel locale, pesce ottimo, prezzi nella norma"
"ui_bubble_rating bubble_40","Menù vario","Menù variegato, pesce e carne, pochi piatti per ogni tipologia danno la possibilità di accontentare tutti i gusti, purtroppo però a volte qualche piatto del menù manca...Servizio molto cordiale e ottimo rapporto qualità prezzo!!"
"ui_bubble_rating bubble_30","Bel locale","Sono stato in questo ristorante la sera stessa che sono arrivato in albergo. Sicuramente bel posto ma te lo godi se sei li per piacere e non per lavoro. Buoni i piatti belle preparazioni con porzioni modestissime. "
"ui_bubble_rating bubble_50","Soddisfatta","Ho soggiornato nel Hotel qui per l’esposizione internazionale canina di Chiaravalle, e la sera per non muovermi con il cane e non dover prendere l’auto ho preferito mangiare in loco.Locale accogliente, personale gentile e cortese, ambiente molto ‘’elegante’’.Ho optato per assaggiare gli spaghetti sabbiosi che ho trovato ottimo ed il gratin di pesce, davvero molto buono. Come antipasto mi ha deliziata il misto di terra, soddisfatta anche di quello.Portate abbondanti ( meglio)Ho scelto vino al calice, verdicchio, che mi ha fatto molto piacere. Tempi di attesa giusti tra una portata e l’altra, conto assolutamente adeguato alla qualità del cibo. Per chi lo avesse trovato troppo caro ( come ho letto nei commenti precedenti) consiglio di tornare a mangiare nei vari all you can eat a prezzo fisso perché evidentemente non sono mai stati in un ristorante...Unica pecca che purtroppo devo notare è il menu con le pagine scollate.( visto che era stato già fatto notare in precedenti recensioni ho trovato una trascuratezza non averli aggiustati."
"ui_bubble_rating bubble_50","<U+0001F60D><U+0001F60D><U+0001F60D>","Posto elegante e soft. Puoi tranquillamente parlare con gli altri commensali senza essere infastidito dalla confusione. E il cibo è spettacolare!!! Il personale è educato, competente ed anche simpatico."
"ui_bubble_rating bubble_50","Magnifico!!","Ho prenotato al calice di stelle per una cena di coppia con la mia ragazza! Per l occasione ho riservato il privet ( allego la foto). Esperienza decisamente unica e all altezza delle aspettative , il tavolo era ben isolato rispetto al resto della sala , garantiva la privacy ed era curato nei minimi dettagli. Era inoltre presente una gradevole musica di sottofondo.Il personale è stato gentilissimo e molto attento inoltre le portate erano ben impiattate e veramente buone !Esperienza da ripetere e lo consiglio per chi desidera una cena romantica. "
"ui_bubble_rating bubble_40","Discreto ","Personale gentilissimo, attento..Buono il cibo, mangiato pesce freschissimo..Parcheggio interno Da ritornarci "
"ui_bubble_rating bubble_50","Sempre il meglio.","Recensisco anche questa volta la mia visita da Calice di Stelle.Ieri sera sono stata per l'ennesima volta in questo stupendo ristorante,che dire?MERAVIGLIOSO come sempre. I cibi sempre migliori,il personale squisito,chiudo qui...vi consiglio una visita."
"ui_bubble_rating bubble_50","THE BEST","Saro' breve.Calice di Stelle e' il migliore. Il personale tutto e' sempre disponibile e competente.I cuochi stupendi.I piatti ben curati ed ottimi,tutti.La signora che si occupa della cassa e' gentilissima.Assolutamente da consigliare.."
