"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Gita scolastica ","Abbiamo avuto l’occasione di visitare questo caseificio che produce formaggi di mucca e di bufala tutto con il proprio latte.I bambini hanno avuto l’occasione di produrre del formaggio primo sale e di fare un piccolo giro a cavallo, i genitori hanno fatto un giro nelle stalle assieme al proprietario.C’è la possibilità di acquistare formaggi e di acquistare carne.Belle esperienza per i bambini e per i grandi."
"ui_bubble_rating bubble_50","Spettacolo!!!!!","Siamo in vacanza a Jesi e siamo venuti al caseificio. Prodotti locali ottimi. Formaggi di produzione propria ed è possibile ordinare anche la carne. Vendono anche salumi locali di produzione non propria ma di un produttore locale - ottimi anche quelli. C’è un’area PIC NIC dove è possibile mangiare. Dimenticavo producono anche il pane e sono organizzati con taglieri e piatti di carta. Quindi se venite verso le 12.00 fate acquisti e poi fate anche un PIC NIC. Spettacolo!!!!!!"
"ui_bubble_rating bubble_40","ottimi prodotti","salve , ottimo caseificio, prodotti veramente buoni e genuini, consigliato , unica pecca i prezzi un po cari, "
"ui_bubble_rating bubble_50","Tempio dei formaggi ","Per i malati di latte, formaggi e mozzarella come me è una tappa d’obbligo. Bufala e vaccina curati con passione e amore da Giulia e la sua famiglia, donano latte per tesori gastronomici. L’arte casearia fa il resto, freschi, stagionati, erborinati, speziati ecc. La mozzarella di bufala e il fiordilatte sono le mie debolezze. Come il matematico Caccioppoli che trovava nutrimento e godimento solo in una mozzarella addentata a nudo. Tappa vivamente consigliata "
"ui_bubble_rating bubble_40","Mercato","Ho scoperto i loro prodotti x caso al mercato rionale.. il furgoncino giallo aveva catturato la mia curiosita ..ora è la mia prima tappa del sabato mattina ..prodotti eccelsi ,freschi, le mozzarelle lo stracchino gli yogurt..lo consiglio vivamente. Il ragazzomolto gentile"
"ui_bubble_rating bubble_50","tornando a casa ci passo a volte per comprare i loro prodotti","lavoro spesso in ancona e vivo a staffolo e quando ritono a casa sovente mi fermo a comprare i loro prodotti caseari anche bufalini di ottima qualità con prezzi giusti ."
"ui_bubble_rating bubble_10","Mai più ","Sabato mattina alle 10 telefono per prenotare un chilo di mozzarellatreccia e mi viene detto di passare verso le 13 perché doveva stare un po in acqua e sale,purtroppo arrivo fuori al caseifivio alle 13 e 04 e trovo la signora che sta chiudendo la porta alle sue spalle e le chiedo scusa per il ritardo e che volevo la mozzarelle,lei mi risponde:dovete passare nel pomeriggio abbiamo chiuso la cassa.Allucinante!!! Non ci torno piu"
"ui_bubble_rating bubble_50","Buone le mozzarelle","Buonissime le mozzarelle le ciliegine la burrata e tutti i prodotti caseari. Molto buone anche le salsicce secche"
"ui_bubble_rating bubble_50","Eccelso","Dal produttore al consumatore qualità e genuinità. Si trova un po scampagnato ma lo si trova. Il prezzo traduce la qualità dei prodotti "
