"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_10","Quando si apre? ","È da svariati giorni che sono qui e nel pomeriggio passo sempre durante la pausa sperando di trovare aperto dato che l'orario sulla porta indica che di fatto dovrebbe esserlo, ma è sempre chiuso. Magari un giorno riuscirò ad assaggiare qualcosa."
"ui_bubble_rating bubble_40","da provare","Catena come tutte le altre, con porzioni di patatine fritte di varie dimensioni, per chi vuole fare un' assaggio veloce e' il posto giusto."
"ui_bubble_rating bubble_10","FA SCHIFO !!","Oltre ai prezzi esorbitanti per qualità del cibo che ti offrono, i metodi di cottura di patate e altro non mi sembrano il massimo della salute comunque mi è capitato per sbaglio di prenderci delle patatine fritte classiche con un pò di ketchup sopra. Ho iniziato a mangiare avevano un sapore ORRENDO sembravano patatine radioattive.Un sapore disgustoso non sono riuscito nemmeno a strozzarmele tutte perchè erano immangiabili. Arrivato a metà del pacchettino ho dovuto buttare via tutto perchè erano tossiche. Se volete prendervi un tumore o qualche altro colpo andate pure a mangiare in questi posti. Uscirete con 4-5 euro in meno nelle tasche e roba tossica in mano. Poi non vi lamentate se a 40-50 anni vi diagnosticano un tumore da qualche parte !!."
"ui_bubble_rating bubble_30","MAH ....","Forse sono un po' critico nei confronti di questo tipo di attività ma in un centro storico così bello non vedo la necessità di un posto del genere. Roba fritta di tutti i tipi (patate in tutti i modi) con montagne di salse....originalità zero....salute ancora meno. Sorry"
"ui_bubble_rating bubble_30","Ci vediamo da...","Nuovo punto di incontro per giovanissimi e non solo. Un' alternativa alla portata delle tascghe dei giovani avventori"
"ui_bubble_rating bubble_30","Fritto","Per un boccone veloce passeggiando lungo le strade del centro storico, veloce ed economico, senza pretese"
"ui_bubble_rating bubble_40","Sfiziosità","Patatineria e non solo, anche altri prodotti tutti da take-away con rapido servizio, non ci sono posti a sedere"
"ui_bubble_rating bubble_10","Orario di apertura incerto","Curiosa di provare le loro patatine mi sono recata davanti al locale per 3 mattine nel giro di pochi giorni. Nell'orario esposto era indicato che l'esercizio sarebbe dovuto essere aperto ma l'ho trovato sempre chiuso. Al terzo giorno ho telefonato per chiedere se avrebbero aperto e mi hanno detto di sì, ma ho trovato di nuovo chiuso... non ci si comporta così."
"ui_bubble_rating bubble_30","Patate da passeggio","Una friggitoria in pieno centro a Jesi dove per pochi euro si possono mangiare patate fritte servite in coni di carta accompagnate da una serie di salse che però non appena si freddano diventano mollicce ed unte"
"ui_bubble_rating bubble_40","Patate+salse= love forever","Ottimo posto per uno snack al centro. C'è altro da esplorare oltre le classiche patatine fritte. Salse OTTIME"
"ui_bubble_rating bubble_40","simpatico","patatine servite in un cartoccio, sono stato sempre dubbioso sulle patatine fritte per poca fiducia nell'olio usato, ma su queste posso dire che non ho avuto alcun fastidio, l'olio mi è sembrato buono. sicuramente da riprovare"
"ui_bubble_rating bubble_40","sfizioso","per tutti offre solo patate fritte con tante salse aperto tutto il giorno molto pulito di passaggio non si deve aspettare molto"
"ui_bubble_rating bubble_40","Gustoso sfizio Jesino!","Sono passata per caso e non ho saputo resistere alla tentazione di un pò di patatine fritte. Ragazza al bancone gentilissima e sorridente, buone le patatine, curiose le salse da tutto il mondo.Consigliato per uno sfizio patatoso!"
"ui_bubble_rating bubble_30","Il regno delle patatine reggerà? Per ora si.","Dopo la pappa con il *jingle* pomo pomo d'oro la patatina fritta è il must per i giovani d'oggi, persi nella gastronomia dei fritti e del colesterolo. Eppure chipsland jesi è da provare: i ragazzi al banco sono molto gentili (apprezzato il fatto di averci dato una salsa senza averci fatto pagare l'esorbitante prezzo di euro 0,50 per una schizzata di SAMURAI), la qualità c'è tutta e camminare per la economicamente morta via degli Orefici con in mano il cartone delle patatine fritte è gustoso. Nella bottega arredata in maniera spartana ci sono anche le olive all'ascolana caserecce, in futuro speriamo i cremini della nonna e magari qualche futura novità che permetterà di tornare non solo per le patatine fritte.Chipsland Jesi è una grande scommessa, per loro titolari di una franchising nuovo, per noi che ancora viviamo una Jesi monocentrica ormai colabrodo sociale e politico."
