"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Pausa pranzo dal lavoro","Posto perfetto per una pausa pranzo veloce, menù non particolarmente ricco, ma ottimo rapporto qualità prezzo, anzi i prezzi in realtà sono molto bassi, e la qualità è molto buona.A pranzo durante la settimana è sempre pieno di lavoratori, ed a volte può essere difficile trovare posto. Ma il personale è molto efficiente e aspettando qualche minuto in genere sistemano sempre un tavolo al volo...Straconsigliato a pranzo! "
"ui_bubble_rating bubble_30","Nella media del suo genere","Locale molto frequentato nel mezzogiorno, soprattutto da lavoratori. Un po' toppo caotico per i miei gusti ed ovviamente ne risente anche il sevizio. Personale comunque gentile. Menù poco vario, punta molto sulla quantità delle porzioni. Prezzo nella media dei pranzi di lavoro."
"ui_bubble_rating bubble_40","trattoria casereccia","aperto solo a pranzo, menu fisso molto economico ma di buona qualita', il nome non e' adatto in quanto sono tutte ragazze di gradevole aspetto"
"ui_bubble_rating bubble_40","pausa pranzo","locale non bellissimo, ma il cibo buono frequentato per lo più da gente che lavora, servizio buono e cordiale"
"ui_bubble_rating bubble_40","Trattoria con T maiuscola","Locale informale, come deve essere una trattoria, pochi piatti ma ben fatti, in porzioni che calmano veramente la fame. Ci tornerò davvero volentieri, anche per rivedere le splendide cameriere."
"ui_bubble_rating bubble_50","Ottimo","Sono stato con amici ...cosa dire...posto veramente bello e prezzi super Accessibili...i primi erano eccellenti per non parlare della carne e del pesce..veramente da tornarci...personale gentilissimo....super consigliato..ci torneremo molto presto."
"ui_bubble_rating bubble_40","Bravissime","Ho pranzato diverse volte per lavoro, ottima varietà di menù, porzioni abbondanti, personale gentilissimo e servizio veloce."
"ui_bubble_rating bubble_40","pranzo veloce","Vado diverse volte in questo ristorante, specialmente nella pausa pranzo del lavoro, menu vario e sevizio veloce, prezzi accessibili, adatto per chi proprio come me ha poco tempo per pranzare."
"ui_bubble_rating bubble_30","Buono per pausa pranzo","Locale semplice e di grande passaggio. Cibo normale gradevole ed in abbondanti porzioni ma senza particolare slanci. È' una buona mensa aziendale con servizio rapido e cortese e prezzi molto abbordabili."
"ui_bubble_rating bubble_40","Sosta pranzo a Jesi ","Locale perfetto per una sosta pranzo in zona Jesi con collaboratori per mangiare rapidamente a cifre Modiche accolti in una bella atmosfera "
"ui_bubble_rating bubble_40","Lavoro","Quando lavoro da queste parti, mangio sempre qui, posto semplice ma ben servito, prezzi contenuti , personale simpatico e veloce, vale la pena fermarsi."
"ui_bubble_rating bubble_30","Ottimo per pausa pranzo","Pranzo quasi tutti giorni in questa tavola calda, i pasti sono buoni ed il menu fisso cambia spesso, i prezzi accessibili, e il personale molto professionale e cordiale"
"ui_bubble_rating bubble_40","Ottimo per il suo scopo","Per un veloce pranzo da soli o di lavoro è ottimo.Cibo buono, genuino, locale con porzioni abbondanti.Personale professionale e cordiale.Posizione facilmente raggiungibile con ottimo parcheggio."
"ui_bubble_rating bubble_50","Ottimo per qualità cibo e servizio","Tipico ristorante/ trattoria per pranzi di lavoro! Cibo ottimo ed abbondante. Servizio veloce e simpatico! Prezzi bassi ( con 12 Euro pasto completo ) e da bere gratis! Ci torno ogni volta che sono a Jesi."
"ui_bubble_rating bubble_50","Molto buono!!","Accoglienza eccellente.Locale pulito.Ci sono andato tante volte e mi sono trovato bene!! Con 12€ mangi abbondante primo secondo contorno e da bere gratis!!"
"ui_bubble_rating bubble_40","pranzo al volo","ristorante dalle poche pretese,ma fatto apposta per pranzi di lavoro anche in comitiva. Cibo genuino e servizio molto veloce. Prezzi bassi tipici dei ristoranti da lavoro."
"ui_bubble_rating bubble_10","molto scarso","una battaglia persa direi......personale incompetente maleducati fra itavoli soprattutto la mora bassetta secchetta credo il suo nome sia caterina...io lla licenzierei in tronco manda via i clienti."
"ui_bubble_rating bubble_30","Adatto a pranzi di lavoro","Questo locale sito nella zona industriale di Jesi, è frequentato soprattutto da operai ed impiegati che lavorano in zona. Locale spartano ma pulito, gestito da ragazze veloci ma con servizio dilettantistico. Cucina un pò incostante nel rendimento ma adeguata al prezzo di 13 Euro per il menù fisso. Adatto, come da titolo, solo a veloci pranzi di lavoro."
