"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Non solo bar","Ottima pasticceria i torroni son fenomenali, gentilezza e cortesia e se puoi fermarti all'ora di pranzo non resterai deluso perché sono tanti i piatti che propongono da mangiare lì o da portare in ufficio e tra le molte proposte anche ottime verdure tutto cucinato con cura! Bravi!"
"ui_bubble_rating bubble_50","Favoloso","Locale favoloso, arredato con gusto e con una veranda graziosissima! Colazioni super e pranzi eccezionali! Loredana e i suoi figli sono veramente unici! Complimenti continuate cosi"
"ui_bubble_rating bubble_30","Ok","A pranzo è sicuramente una delle migliori scelte, tuttavia i primi piatti nonostante siano buoni sono spesso poco abbondanti (spendendo circa 9-10 euro con acqua o vino). Vino del supermercato verdicchio o passerina, tuttavia i primi e i secondi sono preaparati con cura. Ottime anche le insalate per i più salutari. Servizio a volte lento soprattutto a pranzo."
"ui_bubble_rating bubble_50","Il miglior pranzo di jesi","Mi trovo spesso a dover portare a pranzo a colleghi di lavoro. Posso garantire che in questo posto ti senti a casa, il locale è gestito da una signora molto simpatica che insieme ai suoi figli garantisco un servizio ottimo e veloce, la qualità del cibo è davvero ottima, se vuoi fare una bella figura ritengo che questo sia il posto giusto. Il prezzo è veramente buono, volendo si possono utilizzare i buoni pasto Ticket Restaurant . Poi la qualità si vede, assaggiate intanto. ...."
"ui_bubble_rating bubble_40","Ottima colazione","Ottima la colazione con cappuccino ben fatto e cremoso mentre le brioche deliziose e fragranti, locale moderno, pulito e ben tenuto.Servizio veloce e personale gentile e disponibile.Unico piccolo neo sui tavoli non ci sono i portatovagliolini, o almeno le volte che ci siamo stati noi x colazione era così, più che un neo è un mio consiglio di attrezzare i tavoli con tovaglioli che non guastano mai.Ottimo locale consigliato."
"ui_bubble_rating bubble_50","Buonissimo","I primi fatti in casa sono veramente fantastici, oserei direi davvero i più buoni della zona , tutto freschissimo e davvero gustoso , perfetto per una pausa pranzo veloce e rilassantePorzioni abbondanti "
"ui_bubble_rating bubble_50","primi ottimi!","Accompagnato da un nostro agente della zona, ho gradito molto il pranzo: tutti i primi sono preparati in casa, la pasta ha una consistenza che fa capire all'uovo cosa vuol dire: agnolotti e ravioli al top. Oggi ho gradioa molto l'insalatona, difficile da trovare così altrove. Un posto dove ritornare"
"ui_bubble_rating bubble_50","Simpatia, ospitalità e gusto","Se capitate da queste parti e volete fare una pausa lavoro vi consiglio questo posto a gestione familiare. Si mangia bene e si è accolti con gioia e semplicità. I loro dolci sono ottimi. "
"ui_bubble_rating bubble_50","Non solo bar","Ottima pasticceria, gentilezza e cortesia e se puoi fermarti all'ora di pranzo non resterai deluso perché sono tanti i piatti che propongono da mangiare lì o da portare in ufficio e tra le molte proposte anche ottime verdure tutto cucinato con cura! Bravi!"
"ui_bubble_rating bubble_30","Per un pranzo veloce","Sono stato in questo locale per un pranzo veloce. La scelta è ampia e le porzioni abbondanti. I piatti offerti sono piatti veloci preparati con ingredienti buoni. Prezzi nella media. Parcheggio ampio. Invitanti al bancone i prodotti destinati alla colazione."
"ui_bubble_rating bubble_50","Cornetti di produzione propria: meraviglia per il palato, delizia per la salute","Ottima cornetteria di produzione propria, dimenticate i vecchi cornetti surgelati ed entrate ad apprezzare i cornetti e le brioches, i sandwich, i maritozzi e altro ancora tutto rigorosamente di produzione propria. Grazie Loredana e figli e collaboratori tutti della splendida idea e dell'amore che ci mettete nel preparare queste bontà e nello scegliere gli ingredienti di qualità che rendono tutto quello che offrite davvero speciale."
"ui_bubble_rating bubble_40","Ottima colazione...","Locale situato all'ingresso della città in una struttura che ospita uffici pubblici e no,facile da trovare. Ben si presenta il banco bar con varietà di brioche artigianali,caffè ottimo. Ci si può tranquillamente sedere ai tavoli per due chiacchiere, lista menù pranzo con piatti gustosi. Personale gentile ed affabile. Bene!"
"ui_bubble_rating bubble_40","Colazione del sabato","Locale carino situato nella primissima periferia di Jesi,possibilita' di consumare al tavolo,caffe' buono,cornetti un po' meno,personale molto simpatico e umile anche se non proprio professionale.Tutto sommato c'è di peggio."
"ui_bubble_rating bubble_40","Dalla colazione al pranzo sempre alta qualità","Ottima pasticceria, ottime proposte gastronomiche con tanta varietà di piatti sia primi che di verdure, ideale per pranzi leggeri e gustosi."
"ui_bubble_rating bubble_50","Caffè buono, paste e dolci artigianali","Il mio bar quotidiano per il caffè spezza-mattina: caffè buono, cappuccino con crema di latte, non schiuma, marocchino super, paste e dolci fatti da loro ...!!"
"ui_bubble_rating bubble_10","Personale distratto","Siamo stati a pranzo .... un casino totale in sala <U+2639><U+FE0F> .... Abbiamo aspettato un po' troppo per ordinare e sentivamo un po' di lamentele anche da altri clienti .... Per il servizio un disastro totale ... Troppo confusi e disordinati e per la gente che c'era troppo personale distratto ..... Al mio collega li ha fatto un po senso la signora cameriera ..... Non mi voglio esprimere....Ma l'avete fatto mai sto lavoro ????????????????????Meno male che quello che abbiamo mangiato è stato molto buono ... Svegliatevi in sala e fatte molta più attenzione invece di fare altro ..... "
"ui_bubble_rating bubble_50","Quando l'ottima cucina è rovinata dal pessimo servizio","Giorni fa mi sono trovato in questo bar a pranzare, cucina ottima servizio di basso livello peccato, punteggio eccellente naturalmente per la cucina."
"ui_bubble_rating bubble_50","Un piccolo e inaspettato gourmet ","Ideale per le colazioni con una grande varietà di pasticceria. Perfetto per pranzi veloci ma allo stesso tempo di qualità. Personale giovane e molto cordiale!! Lo consiglio vivamente! "
"ui_bubble_rating bubble_40","Benvenuto cordiale Bella",""
