"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Un ristorante solo per veri intenditori","Il rapporto qualità/prezzo eccellente. Il servizio è ottimo e presenta vini alla carta della zona eccellenti"
"ui_bubble_rating bubble_50","Ottimo pranzo","In zona per lavoro, sono stato portato qui da una collega che lo conosceva già e che si era trovata bene. Infatti siamo stati benissimo. Io ho assaggiato delle tagliatelle fatte in casa ai frutti di mare e poi dei calamari. Tutto davvero ottimo. Personale molto gentile, prezzi nella media. Da tenere assolutamente presente!Se questa recensione vi è piaciuta, potete leggere le mie altre sulle Marche (e non solo) e mi fa piacere un click su: È Utile? E se volete potete anche seguirmi... Grazie :)"
"ui_bubble_rating bubble_50","A volte ritornano ... diventa un BISOGNA TORNARCI SPESSO!","CI VENGO OGNI VOLTA CHE PASSO DA JESI. Gianni Giacani è uno dei migliori cuochi di pesce che abbia mai provato ... in barba agli stellati! A pranzo offre dei pranzi di lavoro meravigliosi, quantità e prezzi giusti per chi poi lavora ... ma la qualità è superba. ottimi ingredienti sposati benissimo tra loro e presentati divinamente.Che altro dire ... torniamoci! ... ah dimenticavo l'olio .... è da serie A.Locale spartano e piccolino, di conseguenza lo è anche il bagno, ma chi se ne frega la cucina copre tutte le piccolissime magagne. claudio53"
"ui_bubble_rating bubble_50","Giacani","Lo chef Giacani, in un locale essenziale e spartano, propone piatti eccezionali per i prodotti usati e ben presentati. Per me è il numero 1 nelle Marche e......"
"ui_bubble_rating bubble_50","Viaggio nelle Marche","Fantastico. Presentazioni dei piatti splendide, qualità eccellente. Carta vini all altezza. Rapporto qualità prezzo eccellente. Chef e personale di cortesia assoluta. Io e mia moglie se passeremo per jesi ancora, sicuramente ci fermeremo.Fabrizio. Belluno"
"ui_bubble_rating bubble_50","Non aprite quella porta!","Unica nota stonata è il nome scritto con l’H. Giacani su questo è inamovibile. Non sarebbe il cuoco folle e geniale che tutti conoscono. Non aprite quella porta della cucina, potreste essere inondati dal mare. Pesce freschissimo dell’adriatico, dei pescherecci fornitori di Ancona, più che cucinato, accarezzato dalle sapienti mani di Giacani, vi regalerà nel piatto profumi marini, salsedine, brezza di sciroppo. Tagliolini realmente fatti a mano ruvidi e ignoranti, con un misto di mare ad abbracciare. Filetti di pesce al vapore con gambero e il Re del mare, sua maestà Lo scampo. Da mangiare a occhi chiusi. Olio di propria produzione monovarietale Raggia in bottiglia sul tavolo, fieno tagliato, non invadente, su un paninetto casalingo (consigliato vivamente l’acquisto in loco). Dolce di buona levatura. Calice di spumante, 35 euro. Unica nota stonata è il nome scritto con l’H"
"ui_bubble_rating bubble_50","Fantastico","La riconferma di un posto imbattibile, di cui mi sono innamorato già alla prima visita e nel quale cerco di tornare almeno una volta all'anno, con famiglia o amici, anche se vengo da Modena.L'eccellenza del pescato decantata in tutta la sua semplicità, senza fronzoli o lavorazioni inutili. Tocchi e spennellate di verdurine colorate, cotture gentili e sapienti, che valorizzano il pesce. Un pesce bianco, adriatico, carnoso e saporito, che non cade mai nelle solite ricette da pizzeria, né ne negli a volte troppo alti voli pindarici di ristoranti che si propongono di rinnovare questa materia prima.L'altra sera abbiamo riprovato lo squisito sushi dell'adriatico, un magnifico astice,la pasta fatta a mano con il misto mare e i filettini di sgombro.Una poesia. Pasta come quella della nonna, imperfetta, callosa e con il calore casalingo giusto, sormontata da una delicata montagnola di molluschi e pesce freschissimo. Filettini delicatissimi e lavorati pochissimo, con il magnifico abbinamento dell'olio del signor Giacani. Astice assolutamente lussurioso, che non sente il bisogno dell'esagerato accompagnamento della catalana e si accontenta di cantare nella sua semplicità, con un po' di insalatina croccante (che buona la testa!!). Sushi semplicemente spettacolare e leggerissimo.Due dolci con un piccolo gelato e le pesche sciroppate di Giacani...dessert buoni e freschi per pulirsi la bocca.Con due calici di vino bianco, abbiamo speso 50euro a testa, secondo me onestissimi.Come mi piace dire sempre: La poesia non è per tutti. Non venite se vi aspettate di ingozzarvi, o se siete persone che non riescono a stare a tavola senza la coca cola e la tv. Lasciate perdere anche se per voi un ristorante di pesce deve avere una location stellare, o se i contorni devono per forza essere avanguardisti.Io sono contentissimo della poesia di questa semplicità, che insegna come di meno è di più"
"ui_bubble_rating bubble_40","Buna scoperta","Capito a Jesi per lavoro e mi fanno scoprire questo ristorante dove assaggio un ottimo ptimo, una frittura molto buona e un dolce delizioso. I sapori sono molto puliti pur mantenendo il giusto equilibrio tra tradizione e gusti moderni "
"ui_bubble_rating bubble_50","Gianni number one","Conosco il ristorante da una vita e almeno una volta al mese passo a mangiare da Gianni (il titolare). Piatti non troppo elaborati ma spettacolari per la qualità degli ingredienti utilizzati (il pesce è senza dubbio il più fresco di tutta la provincia). L’olio (di prodozione propria) è fantastico e ne consiglio l’acquisto. Se vi capita (e se è a menù) non vi fate sfuggire LA PIZZA e quando sono di stagione mangiate assolutamente i carciofi fritti.BRAVISSIMO GIANNI. Top!"
