"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_10","Bettola","Mi hanno invitato in questo ristorante (chiamarlo ristorante è un offesa verso la categoria) diciamo mensa degli anni 60. Si presenta come un vecchio capanno vicino al fiume. Norme di sicurezza, zero. Sporco, senza arredamento e senza illuminazione. Cibo poco e niente di speciale. Prezzo dai 20€ ai 30€, che mi sembra un furto. Personale normale. Consiglio vivamente di evitarlo."
"ui_bubble_rating bubble_20","Purtroppo non fumo, non posso accendere le vostre candeline","Siamo stati in famiglia per festeggiare un compleanno. Discreti i primi (pappardelle al cinghiale, bucatini, tagliatelle al ragù) strepitosi i secondi (agnello, grigliatina con fegatini, gulash, spezzatino al vino rosso). In generale anche i camerieri sono stati cordiali. Purtroppo però la serata è stata rovinata da uno di loro che si è presentato al tavolo con il dolce e le candeline (portate da noi) per la festeggiata, spente. La giustificazione è stata:mi dispiace ragazzi, ma non fumo.Siamo rimasti di sasso.Ovviamente è bastato poi chiedere in cucina e in men che non si dica l'accendino è saltato fuori.Peccato."
"ui_bubble_rating bubble_50","NON ANDATE se...","Se amate la cucina gourmet o la nouvelle cuisine che uscite con più fame di come siete entrati NON ANDATE.Se volete essere serviti e riveriti oltre misura da un cameriere col sorriso finto come nelle classiche fotografie di famiglia NON ANDATE.Se siete affascinati dal ristorantino piccolo e aggraziato in cui tra commensali si sussurra un po’ perché fa chic e un po’ perché i tavoli sono attaccati l’uno all’altro NON ANDATE.Se gradite il vino etichettato e infiocchettato a 50€ a bottiglia perché per voi solo l’etichetta è sinonimo di qualità NON ANDATE.Se vi piace avere un coperto con 3 bicchieri cadauno (anche se siete astemi), 3 forchette, e 3 coltelli (cui spesso ci si domanda a che servano) NON ANDATE.Se volete un menù stile trasmissione “4 ristoranti” di Borghese con piatti dai nomi e dai condimenti più improbabili NON ANDATE.Insomma: se vi piace l’apparire all’essere o la forma alla sostanza non mettete mai piede in questo locale. Per tutti gli altri almeno una volta è d’obbligo fermarsi sia per i piatti, sia per il posto che per il clima diverso che si respira rispetto al 90% dei ristoranti.Se il proprietario non si monta la testa né si infighettisce e mantiene -a menù completo- prezzi popolari tra i 20€ e i 25€ Il Bucatino resta un must, esattamente come fu."
"ui_bubble_rating bubble_50","Alla buona, ma organizzatissimi","Si mangia alla buona e la sistemazione è spartana. E' il posto dove puoi fare una scarpetta (e ne vale la pena), senza alcuna preoccupazione. Propongono quasi sempre le medesime cose (quattro o cinque primi e quattro o cinque secondi) e la cucina (enorme) è sempre pronta, per cui ti servono in un batter d'occhio. I bucatini all'amatriciana sono la fine del mondo (attenzione agli schizzi).Si può mangiare fuori, sotto un pergolato, o all'interno, in una specie di capannone con le lamiere. Diego, il titolare, è simpaticissimo e non fa mai mancare la battuta. Efficienti i camerieri. Un posto anni 50 che ha il suo fascino e la sua originalità e che non trovi da nessuna parte.Quando sono a Jesi, nei mesi estivi e primaverili, quando il locale è aperto, ci vado quasi sempre."
"ui_bubble_rating bubble_50","Ottimo cibo alla buona","Ci siamo fermati in questo posto mentre eravamo di passaggio verso Gubbio. Servizio e cucina molto buoni, il posto è un po' spartano ma quando si mangia bene non importa . Servizio veloce e ottimi prezzi. "
"ui_bubble_rating bubble_50","Ambiente e cucina veraci!","Vi avvisiamo subito che stiamo per tornarci...il prossimo ottobre! Arriviamo dall'isola d'Elba e quando ci troviamo in questa zona ci piace pranzare da Diego e famiglia. Ormai sono diventati amici, proprio grazie alla loro simpatia genuina e alla passione che investono nella loro attività. I piatti tradizionali, semplici e molto gustosi fanno il resto."
"ui_bubble_rating bubble_30","si mangia bene pur se da ignoranti","menù a base di carne e verdura come una volta .Ottimi i primi e le grigliate di carne , anche se un pò unte devo dire .Camerieri grezzi ma simpatici , non hanno menù perciò siate chiari quando ordinate !vino della casa ed hanno pure lemoncello e baninio fatti a mano !"
"ui_bubble_rating bubble_30","Un viaggio nel tempo","Un viaggio nel tempo quando si poteva aprire una trattoria con un pavimento di cemento e una tettoia.Cucina normale, locale “sgarrupato” con la macchina che fulmina gli insetti e i camerieri che ritirano i piatti nei cesti di plastica con un carrello .Solo per i “nostalgici” dei locali popolari degli anni ‘60"
"ui_bubble_rating bubble_40","La semplicità delle cose","Se vuoi mangiare cose fatte in casa in un ambiente molto informale, questo è il ristorante per voi, primi buoni e abbondanti, secondi, per chi riesce ad ordinare ancora tutti molto buoni..assolutamente da assaggiare il bananino!"
