"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Ottimo self service","Il self service è davvero ottimo. Consiglio il venerdì quando cucinano il pesce. I prezzi sono davvero ottimi ed il cibo buono! Ottimo rapporto qualità prezzo"
"ui_bubble_rating bubble_30","Self service buono","Self service ampio ed accogliente, personale attento, molta scelta tra buoni primi secondi e contorni, ottimo il dolce, le porzioni sono un pò esigue, prezzo nella media, consigliato"
"ui_bubble_rating bubble_40","Ottima pausa pranzo.","Ero indeciso tra il Quirino o i soliti fast food. Mai scelta fu migliore!!!! Buona varietà di prodotti,locale spazioso, staff cordiale e disponibile. Spesa accessibile e qualità Buon A del cibo. Consigliato a tutti quelli che con poco tempo a disposizione vogliono mangiare bene e velocemente."
"ui_bubble_rating bubble_50","Ottimo tutto più che un self service un ristorante con i fiocchi.","Ottimo cibo e personale disponibile . Non è il solito self service ma tutto è curato nei minimi dettagli. Bravissimi !! Consigliatissimo."
"ui_bubble_rating bubble_10","Il Self Service più costoso di tutti!!!","Come dal titolo di questa recensione specifico che per:Primo, contorno di verdure (per loro secondo), 1/2 acqua, macedonia ed un caffè ho speso €16,80 in un self-service!!!Sono andato dalla simpatica signora della casa chiedendo spiegazioni e mi ha detto che forse erano un po' abbondanti e che le porzioni venivano calcolate ad occhio dalla cassiera......E con questo ho detto tutto nel 2017 facciamo le cose ad occhio....Ho detto alla simpatica signora che sanno benissimo come perdere i clienti!!!"
"ui_bubble_rating bubble_30","ottimo self service","Come ristorante self-service è veramente ottimo, offre molte tipologie di cibo anche casereccio, molta scelta ad ottimo prezzo.Consigliato."
"ui_bubble_rating bubble_50","Per la pausa pranzo non ha eguali","Questo self service è molto accogliente, il personale è gentilissimo e disponibile. Vengono proposti piatti caserecci anche ricercati. Molto buoni gli gnocchi ma anche il pesce. La scelta è ampia e la qualità davvero ottima. Per quanto abbia girato in Italia, devo ancora trovare un posto simile per una pausa pranzo di uguale qualità allo stesso prezzo. Davvero consigliatissimo"
"ui_bubble_rating bubble_40","Recensione","Pesce buono , location molto carina, e i camerieri davvero gentili e a modo. Torneremo volentieri !!"
"ui_bubble_rating bubble_40","Ottimo per pausa pranzo!","Siamo stati in questo locale durante una pausa pranzo veloce tra un lavoro e l'altro.Devo dire che è veramente insolito trovare un locale così ben tenuto e curato.Il servizio è ottimo, vieni accolto dallo staff che ha sempre il sorriso sulle labbra, la scelta è ampia e il mangiare è veramente molto buono.Il rapporto qualità/prezzo è imbattibile.La pulizia eccellente e ne so qualcosa visto che sono del settore.Con meno di mezz'ora ha mangiato e preso il caffè per essere di nuovo operativo, perciò cosa si vuole di più.Di sicuro una perla per il settore e un importante punto di riferimento.Complimenti a tutti, continuate così!!!"
