"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Tanto buono il cibo quanto brutto il posto","Raramente mi e capitata una situazione simile dove il cibo era buonissimo abbondante e gustoso e il posto era trascurato, troppo pieno di cose, datato, pesante, brutto. Un peccato insomma perche la cucina é promettente!"
"ui_bubble_rating bubble_50","Albergo Ristorante Italia ","Cucina tipica del territorio...tradizione super rispettata... ristorante elegante e accurato...ospitalità a 100%...qualità prezzo super...ristorante da consigliare a tutti."
"ui_bubble_rating bubble_40","Ottimo pesce","Abbiamo pranzato in 5 presso questo ristorante dopo aver prenotato la mattina stessa. La scelta non era amplissima: ci sono stati proposti tre diversi primi ed un solo secondo. Tuttavia, le soluzioni proposte erano ottime e preparate con cibo freschissimo. Abbiamo preso due piatti di tagliatelle (fresche ed all'uovo alla) pescatora e due risotti, anche questi con frutta di mare e gamberi. Per secondo, oltre ad un'insalta, abbiamo condiviso una grigliata di calamari e mazzancolle impanati.Oltre a questo, il cameriere (piuttosto esuberante ed estroverso) ci ha servito prosecco ed alici - buone e delicate - come antipasto offerto dalla casa. Ottima anche la schiacciata (una sfoglia di pane molto sottile e leggera). Come bevande, un verdicchio della casa e due bottiglie d'acqua.Totale, 159€, circa 32 a testa. Giusti se si considera la tipologia di cucina, un po' tantino se però si tiene in conto che il numero effettivo di portate era 7 (più un'insalata).Nel complesso, un buon pranzo!Consigliato."
"ui_bubble_rating bubble_50","Ottimo","A vederlo da fuori non sembrerebbe un locale in cui entrare al volo.In realtà sia l'aspetto ma soprattutto la bontà del pesce mi hanno fatto ricredere.Ottimi gli antipasti, davvero diversi cucinati in mille modi, pesce fresco e delicato, la frittura eccezionale, cosi come l'arrosto di pesce.Una vera chicca le tartine che accompagnavano l'aperitivo e il dessert finale!Davvero una piacevolissima sorpresa! ConsigliatissimoMolto cordiale anche il personale"
"ui_bubble_rating bubble_50","SPECIALE","Un ottimo ristorante, ambiente elegante e pulitissimo. Il pesce è squisitissimo e la presentazione dei piatti davvero bella. Bravo Luciano e complimenti!"
"ui_bubble_rating bubble_30","diffidare dai prigiudizi!","Ho celto era tutto semieno ed allora pre diffidato dei ristoranti degli alberghi. Ma stavolta il ristorante che avevo scelto era pieno ed allora ho trovato questo come ripego. La location è un pò demodè, magari residui di fasti passati. L'accoglienza molto affabile . Poco frequentato. Abbiamo mangiato secondo la tradizione marchigiana , affettati come antipasti e grigliata e frittura di carne variegata, con contorni molto sfiziosi. Avevo in mente del verdicchio, stando a Jesi, ma con la carne non ci azzeccava. Il cameriere mi ha invece consigliato una lacrima di morro d'alba Alborada veramente buono, dal profumo di lampone , giovane e dai tannini al punto giusto sia per sgrassare dalla frittura che per accompagnare il capretto alla scottadito. Il rapporto Qualità/prezzo giusto e il servizio competente e cordiale hanno completato il quadro. Ve le consiglio per un pranzo senza troppe pretese, ma per un piacevole mangiar."
"ui_bubble_rating bubble_40","Chi l’ha detto che il buon pesce si mangia solo al mare?","Sono stato diverse volte in questo ristorante vicino alla stazione di Jesi e ogni volta ho mangiato solo del buon pesce, freschissimo, cucinato come dio comanda e servito con professionalità. Il personale è simpatico e competente e il locale è piuttosto accogliente. La presentazione dei piatti è notevole, ma la loro qualità non è da meno. Ottima la scelta di etichette di vini. Prezzo adeguato alla qualità e non particolarmente caro.Lo consiglio!"
"ui_bubble_rating bubble_50","tutto buonissimo!!!","Eccellente è il giusto voto per una cena così buona servita con tanta cura e simpatia! I piatti erano veramente ottimi, dall'antipasto al dolce, molto curati e ben presentati ma soprattutto buonissimi! Decisamente consigliato!!!!!!!"
"ui_bubble_rating bubble_40","da rifare","Salve a tutti vi scrivo per consigliarvi di provare la cucina di questo ristorante l'atmosfera e' piacevole ed accogliente ed il pesce e' buonissimo . Ho spesso 30 euro per il mio menu' e sono stata servita con ottima professionalita'."
"ui_bubble_rating bubble_20","Un ristorante di pesce ......a Jesi che non ha pesce!!!!","Ho mangiato due volte in questo ristorante.Confermo che la cucina e' ottima ed i vini selezionati sono di livello.Non usano il menu', ma tutto si fa a voce.La cosa strana e' che per natale e in agosto......non hanno il menù di pesce, adducendo scuse relative a fermo pesca o mancanza di pesce......a Jesi!Francamente inconcepibile e questo non fa onore al ristorante"
"ui_bubble_rating bubble_40",".....ottima cucina ad ottimi prezzi.....","La cucina tradizionale marchigiana con buone esecuzioni di piatti nazionali.Ben curata la cantina, buon servizio e conto poco impegnativo fanno di questo ristorante un jolly; ci si può andare in famiglia, con amici e con colleghi se la caverà comunque più che sufficientemente.Particolarmente consigliato."
