"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Brewpub di livello","Ci siamo fermati per un aperitivo e abbiamo gustato delle birre di qualità. Locale ben arredato, grande, adatto per fare due chiacchiere in compagnia. Dispone anche di un menu come se fosse un ristorante. Personale giovane e gentile"
"ui_bubble_rating bubble_50","Ottimo locale!","Birrificio/birreria davvero carino in centro a Jesi.Varia selezione di spine di produzione propria e non, con qualche bottiglia davvero eccezionale.Birre per tutti i gusti, personale gentile e disponibile. "
"ui_bubble_rating bubble_50","Fa-vo-lo-so","Ottima qualità, ottima capacità nel cucinare le materie prime e ottima birra. Per non parlare dell'accoglienza. Top!"
"ui_bubble_rating bubble_50","Giro per i locali a Jesi ","Il collega sapendo di essere un assiduo consumatore di birra mi ha portato in questo locale ad assaggiare la birra fatta da loro ...Devo dire che nonostante l'età molto giovane bravi a gestire il locale birra ipa eccezionale proverò le altre "
"ui_bubble_rating bubble_40","Wow","Premetto che non sono un amante dei pud, ma il Jack Rabbit mi ha fatto cambiare idea, soprattutto sul cibo di altissima qualitá, il menù è favoloso e molto vario, unica piccola pecca la birra (le blanche) medrioche come sapore"
"ui_bubble_rating bubble_50","Ottimo","Ottima scelta delle birre,soprattutto.quelle da loro prodotte.cibo ottimo come il servizio.locale moderno con gente giovane e motivata.si respiraaria nuova"
"ui_bubble_rating bubble_50","Entri per una birra veloce ed entrato fai cena, bevi con calma la birra e scambi pure ricette di cucina.","Qui si capisce la differenza tra chi produce birra e chi la vende solamente, non solo producono ma da fedeli seguaci dell'arte brassicola sperimentano nuovi stili.Hamburger perfetto, croccante fuori e morbido all'interno di ottima carne locale.Ragazzi giovani che con coraggio lavorano in un settore difficile, meritano.Ciao Ragazzi alla prossima."
"ui_bubble_rating bubble_50","FINALMENTE!","Un pub eccezionale, con birre km0 strepitose e una buona proposta di panini o piatti per cenare. La birra d’asporto poi e secondo me il plus di questo locale! Unica pecca: d’estate non ha spazio all’aperto. Non si può avere tutto! Bravi!"
"ui_bubble_rating bubble_50","Posto carinissimo!! ","Il posto è molto carino, in centro, e si mangia benissimo anche se si spende un po' di più! Provate il pork and chips e non ve ne pentirete!! "
"ui_bubble_rating bubble_40","Ottime birre","Birreria molto tipica nel cuore di Jesi, ideale per aperitivi, cene e serate in compagnia.Sono stato più volte in questo locale per le più varie occasioni, ma in questo posto recensirò la cena.Naturalmente l'occasione per andare è sicuramente per bere birra: sempre di ottime qualità, sempre artigianale e con un turn-over molto spedito.Quando ci si mangia invece c'è una sorta di contrasto tra come si beve e come si mangia.Sinceramente il menù lo trovo apprezzabile ma migliorabile, tuttavia trattandosi di un pub è sicuramente la scelta migliore dove mangiare."
"ui_bubble_rating bubble_50","Bravissimi","Siamo stati in questo brew pub tramite trip ed ho subito stretto confidenza con i simpaticissimi titolari...ottima scelta di birre, anche particolari per un pubblico più esigente come me (ad occhio la migliore della zona, con birre autoprodotte) e panini buoni..alla fine mi hanno anche regalato due birre..che dire se siete in zona andateci"
"ui_bubble_rating bubble_50","Facciamoci una birra","Il locale è arredato con attenzione, carina la vetrina che fa vedere il laboratorio. Ampia scelta di birra."
"ui_bubble_rating bubble_50","Posto consigliato!","Negli ultimi anni a Jesi sono comparse molte birrerie diverse, la città è piccola, ma la scelta sicuramente non manca e il Jack Rabbit è sicuramente tra tutti uno dei migliori con molte birre diverse di loro produzione. Anche il locale dentro è molto bello e merita, l'unico problema può essere la poca disponibilità di posti a sedere dato che il locale nel fine settimana specialmente è molto affollato."
"ui_bubble_rating bubble_40","Bella realtà","Locale accogliente, personale giovane, gentile e disponibile. Panini particolari di ottima qualità, ampia e valida scelta di birra alla spina sia della casa che non.Sicuramente un locale da consigliare"
"ui_bubble_rating bubble_50","Bel posto!","Bel posto a Jesi, diversa selezione di birra molto variegata e buona a prezzi onesti.Consigliato per in:uscita dopo cena per poi visitare anche la città di Jesi!"
"ui_bubble_rating bubble_40","Bella scoperta! ","Scoperto per caso passeggiando al centro di Jesi. Ottimo cibo, adatto anche ai bambini. Ho molto apprezzato la birra, specialmente la scura. Il locale è molto bello ed è stato sistemato molto bene. Unico neo il rumore, troppo. "
"ui_bubble_rating bubble_40","Buono!","Posto accogliente e personale giovane e gentile Buone proposte di piatti e panini cucinati con cura e dall’ottimo sapore.Ampia la scelta delle birre Bella scoperta Rapporto qualità prezzo nella norma"
"ui_bubble_rating bubble_50","Ottimi consigli.","Mi sono fermato per una serata in compagnia di amici. Location molto interessante e particolare. Hamburger molto buono con sapori ricercati, fritti anch'essi molto gustosi. Favolosa anche la birra. Camerieri molto gentili e anche disponibili a consigli per l'abbinamento migliore tra cibo e birra. Sicuramente tornerò appena sarò in zona."
"ui_bubble_rating bubble_50","Giovani e bravi","Siamo “incappati” per caso in questo carinissimo posto, curato dall’arredamento alle scelte delle loro birre artigianali, anche la cucina è ottima, il personale, cona a capo Marco è giovane, preparato, professionale e molto molto cordiale, sicuramente un posto da provare se si passa per Jesi. "
"ui_bubble_rating bubble_40","Ottime Birre","Locale Accogliente ed originale. Tantissime birre da degustare di propria produzione ed internazionali. Menù ricco e gustoso. Unica pecca, è molto difficile trovare posto perchè è relativamente piccolo e distribuito in lunghezza, ma d'altronde non si può avere tutto dalla vita."
