"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Rinnovato ..ma il solito..!!!","In Questo locale ci siamo ritornati dopo tempo invogliati da una nuova gestione ma anche da un ambiente rinnovato molto scenografico .Questo locale una volta aveva un impostazione sui grandi film e attori del cinema, almeno ricordo così, oggi si presenta elegante con dei bellissimi soffitti alti, dove si trovano dei lampadari che rendono il locale molto scenografico. Purtroppo devo dire che il locale non è commisurato al cibo, menu' e piatti non di qualità ma impostato molto sulla pizzeria. specie quando siamo andati il fine settimana c'è molta confusione. Il servizio è lento e i tempi di attesa lunghi. Da rivedere"
"ui_bubble_rating bubble_20","Pizza non male ma servizio da migliorare","Abbiamo deciso di andare a mangiare una pizza il sabato sera con gli amici e questa pizzeria era l'unica che avesse a disposizione posto per una decina di persone. Lo staff non si dimostra molto sorridente o accogliente, oltretutto nonostante sia abbastanza numeroso, il servizio risulta essere molto lento e disattento. Dopo un po' di tempo dal nostro arrivo la cameriera viene a prenderci le ordinazioni quando ancora non ci era nemmeno stato portato il menù. Ordiniamo qualche fritto prima della pizza per stuzzicare un po' ma su 5 cose chieste ne arrivano solo tre. Quando ci vengono servite le pizze una cameriera ritorna in cucina con una pizza perché non si ricordava come si chiamava. Finita una caraffa di birra ne ordiniamo un'altra ma non ci viene portata, pertanto mangiamo le pizze senza birra. Tutto sommato i pochi fritti arrivati erano buoni e croccanti e la pizza sottile e digeribile. Il locale è capiente adatto per le cene tra amici, anche se ha qualche tavolata leggermente troppo attaccata l'una all'altra e qualche posizione in cui si avvertono spifferi di freddo che vengono da fuori. I prezzi sono giusti e nella media delle altre pizzerie. Il servizio e il personale sono assolutamente da rivedere e migliorare!"
"ui_bubble_rating bubble_30","Nella media","In questo esercizio comamerciale nei pressi del centro storico di Jesi, con ampie sale, è possibile mangiare anche la pizza. Durante la nostra prima visita abbiamo assaggiato alcune pietanze a base di pesce mentre la seconda volta abbiamo preso la pizza. A nostro avviso, le proposte culinarie di questo ristorante/pizzeria sono nella media."
"ui_bubble_rating bubble_10","Un ora di attesa","Un ora di attesa per mangiare una pizza e un primo. La pizza era “asciutta” e il primo era senza sapore e poco cotta la pasta. La gestione era molto disorientata."
"ui_bubble_rating bubble_40","Buono ","Abbiamo mangiato bene, carbonara e amatriciana molto buone, forse le più buone della città, l'attesa forse è stata un po' lunga visto che il locale non era affollato però ne è valsa la pena, il prezzo giusto. "
"ui_bubble_rating bubble_10","Pubblicità ingannevole e cucina mediocre. Sconsiglio vivamente.","Su internet pubblicizzano di accettare i buoni pasto, poi al momento del conto dicono che non li accettano con la scusa che hanno cambiato gestione, nonostante abbiano ancora adesivi dei buoni pasto ovunque e la gestione sia cambiata da quasi due anni.L'impasto della pizza era mediocre ma i condimenti scarsi. I dessert davvero pessimi e di bassa qualità, la cheesecake è stata servita sciolta tipo frappé.Il ristorante è piccolo e con troppi tavoli uno attaccato all'altro, non c'è spazio per alzarsi dalla sedia e se il ristorante è pieno si crea diventa troppo caldo e si crea tanta confusione che nemmeno ad un concerto.Prezzi decisamente alti per la proposta."
"ui_bubble_rating bubble_30","Migliorabile","Di passaggio a Jesi era l'unica pizzeria che ci ha accolti senza prenotazione del giorno della grande tombola del paese...Le pizze sono buone basse e croccanti... Migliorabile la cordialità del personale che non ti fa un sorriso MAI (anche se sono stati veloci ed efficienti... Ma il turista o almeno io vorrei vedere anche un sorriso e magari una battuta da un cameriere..) i prezzi delle pizze sono nella media... Sconvolgente il prezzo di un litro di Coca Cola che costa 10 €... Io credevo fosse un errore... Ed invece.... "
"ui_bubble_rating bubble_50","Lo consiglio","Cena in famiglia di sabato s'era ce la avevano consigliato, devo dire ch'è il rist era strapieno,bello rinovato tutto nuovo.I Titolari molto professionali. La pizza otima, la tagliata lacrima una delizia,la carbonara la migliore che ho mangiato.poi la ciliegina su la torta i dolci squisiti ben presentati e buonissimi. Complimenti."
"ui_bubble_rating bubble_20","Attesa infinita","Cena tra amici in un calmo lunedì sera. Oltre al nostro tavolo c’erano altri tre tavoli con delle coppiette. Abbiamo preso dei primi di pesce e abbiamo atteso circa 45 minuti e ripeto il locale era quasi vuoto! Oltre a questo non è possibile servire prima tre persone, dopo dieci minuti altre tre persone e l'ultima persona è stata servita dopo 25 minuti dall’arrivo del primo piatto. I piatti erano troppo pieni di pepe a mio avviso ma comunque mangiabili. Prezzi giusti per la qualità proposta. Il pesce sembrava congelato ma ci sta visto che il ristorante propone un menu con carne, pesce e pizza."
